,novellus_male,novellus_female,tuple,systems_male,systems_female,inc_male,inc_female,average_male,average_female,male-female
10,-1.2878929,-1.551727,"('unsympathetic', 'sympathetic')",-0.95490783,-1.140215,-0.44253418,-0.51806974,-0.8951116,-1.070004,0.1748924
38,-1.2335396,-1.1505506,"('untruthful', 'truthful')",-1.1340638,-1.1960711,0.0039573917,-0.103100315,-0.7878819,-0.816574,0.0286921
43,-1.2025784,-1.245832,"('irresponsible', 'responsible')",-0.984624,-1.0429993,-0.07095525,-0.19267434,-0.7527192,-0.8271685,0.0744493
28,-1.148999,-1.0313276,"('disloyal', 'loyal')",-0.53264654,-0.5916276,0.49267742,0.37759972,-0.3963227,-0.4151185,0.0187958
74,-1.1351935,-1.1946039,"('undedicated', 'dedicated')",0.095447734,0.03959973,-0.37542155,-0.3665407,-0.4717224,-0.5071816,0.0354592
45,-1.1238533,-1.1598856,"('incompetent', 'competent')",-0.5556017,-0.6575766,-0.6454549,-0.5855758,-0.77497,-0.8010127,0.0260427
58,-1.0534098,-0.95946807,"('undiscriminating', 'discriminating')",0.20841108,0.26785663,-0.07911008,-0.10348849,-0.3080363,-0.2650333,-0.043003
84,1.0118983,0.99137074,"('inferior', 'superior')",0.54592055,0.54195106,1.1512237,1.1553128,0.9030142,0.8962115,0.0068027
19,-0.9971316,-0.76584154,"('inhospitable', 'hospitable')",-1.1667566,-1.085443,0.2566298,0.20354187,-0.6357528,-0.5492475,-0.0865053
31,-0.983534,-0.5129687,"('evil', 'good')",-0.8788302,-0.6807195,-0.81907904,-0.73057103,-0.8938144,-0.6414197,-0.2523947
27,-0.92795795,-0.8410297,"('hardhearted', 'softhearted')",-0.3909713,-0.28075844,1.3949339,1.5933895,0.0253349,0.1572005,-0.1318656
86,-0.91962975,-0.9176938,"('uninfluential', 'influential')",-0.15348949,-0.2969902,-0.34399188,-0.329885,-0.4723704,-0.5148563,0.0424859
39,0.9186206,0.9540922,"('exploitative', 'cooperative')",1.8032597,1.8468503,0.13728851,0.16027832,0.9530563,0.9870736,-0.0340173
78,-0.9085726,-0.87153333,"('nonresilient', 'resilient')",1.4201691,1.4066107,0.827626,0.96988,0.4464075,0.5016525,-0.055245
0,-0.8893439,-1.0062711,"('unsociable', 'sociable')",0.2769331,0.19830906,-0.6543856,-0.6078261,-0.4222655,-0.4719294,0.0496639
8,-0.84362763,-0.5267104,"('unaffectionate', 'affectionate')",-1.2143397,-1.237356,0.24078262,0.10356137,-0.6057283,-0.5535016,-0.0522267
72,-0.8410072,-0.78647465,"('unambitious', 'ambitious')",-1.582375,-1.6324269,-1.4684242,-1.5249972,-1.2972689,-1.3146329,0.017364
57,-0.79482883,-0.7977401,"('unimaginative', 'imaginative')",-0.39683446,-0.47510293,-2.5908275,-2.347807,-1.2608302,-1.2068833,-0.0539469
9,-0.7932895,-0.49860346,"('unaffectionate', 'caring')",-0.52925855,-0.5156,0.9768895,0.9806538,-0.1152195,-0.0111832,-0.1040363
1,-0.7919618,-0.45239237,"('unfriendly', 'friendly')",-0.034502435,0.0046628583,1.5976951,1.5873944,0.257077,0.3798883,-0.1228113
83,0.7668673,0.80388397,"('powerless', 'powerful')",0.23382087,0.21861888,-0.977431,-1.0049334,0.0077524,0.0058565,0.0018959
40,0.74722207,0.7641454,"('stingy', 'generous')",-0.058381677,-0.040984936,-1.561529,-1.4034997,-0.2908962,-0.2267798,-0.0641164
69,0.7433896,1.0226542,"('lazy', 'industrious')",0.29150197,0.48160407,-0.06287001,0.10610209,0.3240072,0.5367868,-0.2127796
