,xilinx_male,xilinx_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.723318,-2.4296076,"('unsympathetic', 'sympathetic')",-0.4396338,-0.17422569,-1.581476,-1.3019166,-0.2795594
45,-1.9222522,-1.7307819,"('incompetent', 'competent')",-0.59681237,-0.379697,-1.2595322,-1.0552394,-0.2042928
46,-1.8309077,-1.592508,"('uncompetitive', 'competitive')",-0.76559657,-0.49294192,-1.2982521,-1.042725,-0.2555271
69,1.6884004,1.3501045,"('lazy', 'industrious')",0.09025763,-0.425064,0.889329,0.4625202,0.4268088
70,-1.6778282,-1.3277879,"('lethargic', 'energetic')",0.27561516,0.7336493,-0.7011065,-0.2970693,-0.4040372
21,-1.6448549,-1.4697496,"('immoral', 'moral')",-0.82414746,-0.6904447,-1.2345011,-1.0800972,-0.1544039
57,-1.5319735,-1.4521409,"('unimaginative', 'imaginative')",-2.488161,-2.5588424,-2.0100672,-2.0054917,-0.0045755
13,-1.4831474,-1.2894473,"('impolite', 'polite')",-0.33549455,-0.08878724,-0.909321,-0.6891173,-0.2202037
0,-1.4568044,-1.5134706,"('unsociable', 'sociable')",-0.47601867,-0.37063637,-0.9664115,-0.9420535,-0.024358
43,-1.3960382,-1.2491235,"('irresponsible', 'responsible')",0.19965215,0.45554405,-0.598193,-0.3967897,-0.2014033
35,1.3148807,1.0534475,"('corrupt', 'incorrupt')",0.0987446,-0.30985412,0.7068127,0.3717967,0.335016
60,-1.3003143,-1.0214808,"('inefficient', 'efficient')",-0.06136734,0.37036276,-0.6808408,-0.325559,-0.3552818
59,1.2850193,0.9348749,"('foolish', 'wise')",0.670037,0.4006324,0.9775281,0.6677536,0.3097745
85,1.2843028,0.79855764,"('insignificant', 'prestigious')",1.1467248,0.5143832,1.2155138,0.6564704,0.5590434
65,-1.2758203,-1.0967858,"('insecure', 'secure')",-0.5879666,-0.39296246,-0.9318935,-0.7448741,-0.1870194
55,-1.2571466,-0.9367836,"('incompetent', 'clever')",-0.15983628,-0.004168771,-0.7084914,-0.4704762,-0.2380152
76,-1.2341411,-0.8202061,"('anxious', 'daring')",0.40089208,0.61092216,-0.4166245,-0.104642,-0.3119825
51,-1.2269663,-0.86910343,"('uneducated', 'educated')",0.8732366,1.0412066,-0.1768648,0.0860516,-0.2629164
86,-1.2158859,-1.3485574,"('uninfluential', 'influential')",-0.33101714,-0.11427035,-0.7734515,-0.7314138,-0.0420377
72,-1.2091955,-1.0146351,"('unambitious', 'ambitious')",-1.2396853,-0.9232324,-1.2244403,-0.9689337,-0.2555066
56,-1.1907709,-0.7243959,"('impractical', 'practical')",-0.47338524,0.06172465,-0.832078,-0.3313356,-0.5007424
7,-1.1488605,-1.0855653,"('insensitive', 'sensitive')",0.48430386,0.702292,-0.3322783,-0.1916367,-0.1406416
23,-1.1214541,-1.006006,"('insincere', 'sincere')",5.3818784,5.818743,2.1302121,2.4063687,-0.2761566
39,1.095702,0.8443558,"('exploitative', 'cooperative')",0.12490493,-0.07117392,0.6103035,0.386591,0.2237125
14,-1.0710505,-0.74132246,"('antisocial', 'social')",-1.022295,-0.8220199,-1.0466728,-0.7816712,-0.2650016
11,-1.0550689,-0.79248375,"('unhelpful', 'helpful')",1.5920699,1.8990082,0.2685005,0.5532622,-0.2847617
31,1.054947,0.56867105,"('evil', 'good')",-0.9017933,-1.2958703,0.0765769,-0.3635996,0.4401765
32,-1.0408876,-0.90941995,"('unkind', 'kind')",0.60942364,0.78112,-0.215732,-0.06415,-0.151582
75,1.0279728,1.001759,"('meek', 'impulsive')",-0.20945905,-0.16999756,0.4092569,0.4158807,-0.0066238
81,-0.9948559,-0.5167289,"('submissive', 'aggressive')",-0.78935826,-0.4055273,-0.8921071,-0.4611281,-0.430979
63,-0.9863275,-0.7890132,"('unperceptive', 'insightful')",0.96942294,1.3035889,-0.0084523,0.2572878,-0.2657401
73,0.97312135,1.0611062,"('helpless', 'self-reliant')",-2.992816,-3.0634458,-1.0098473,-1.0011698,-0.0086775
24,-0.96368307,-0.8352765,"('dishonest', 'honest')",0.4420966,0.828168,-0.2607932,-0.0035543,-0.2572389
28,-0.95144403,-1.0777934,"('disloyal', 'loyal')",0.43168634,0.5743613,-0.2598788,-0.251716,-0.0081628
42,-0.9210853,-0.7534411,"('unreliable', 'reliable')",-3.155902,-3.1213593,-2.0384936,-1.9374002,-0.1010934
84,0.8761492,0.7250747,"('inferior', 'superior')",1.273982,1.2739471,1.0750656,0.9995109,0.0755547
82,-0.86834764,-0.5617899,"('poor', 'rich')",5.806779,6.278329,2.4692156,2.8582695,-0.3890539
36,0.83892787,0.21365207,"('hostile', 'amicable')",0.3757577,-0.13368057,0.6073428,0.0399858,0.567357
38,-0.81165475,-0.57908916,"('untruthful', 'truthful')",-0.07104289,0.26045585,-0.4413488,-0.1593167,-0.2820321
3,-0.7934574,-0.6976604,"('repellent', 'pleasant')",-0.12728707,-0.066999,-0.4603722,-0.3823297,-0.0780425
52,0.7629418,0.3530078,"('irrational', 'rational')",0.12000112,-0.2500706,0.4414715,0.0514686,0.3900029
27,-0.7223421,-0.8801742,"('hardhearted', 'softhearted')",1.6776967,1.3333974,0.4776773,0.2266116,0.2510657
71,0.68260115,0.37300143,"('diffident', 'self-confident')",0.61573017,0.43478248,0.6491656,0.403892,0.2452736
83,0.66933507,0.59743285,"('powerless', 'powerful')",-0.8770414,-0.7241243,-0.1038532,-0.0633457,-0.0405075
12,-0.6391133,-0.5307914,"('unsupportive', 'supportive')",-1.6875311,-1.6240646,-1.1633222,-1.077428,-0.0858942
33,0.61711836,0.3526835,"('wrong', 'right')",-0.3724714,-0.6902825,0.1223235,-0.1687995,0.291123
78,-0.60963213,-0.6168509,"('nonresilient', 'resilient')",0.8000831,0.80349535,0.0952255,0.0933222,0.0019033
6,0.5954774,0.21917489,"('distant', 'open')",0.43748766,0.3381738,0.5164825,0.2786744,0.2378081
62,-0.5872027,0.04025863,"('incompetent', 'brilliant')",-0.051133886,0.62269723,-0.3191683,0.3314779,-0.6506462
