,gilead_male,gilead_female,tuple,sciences_male,sciences_female,inc_male,inc_female,average_male,average_female,male-female
10,-1.937553,-1.4210836,"('unsympathetic', 'sympathetic')",-1.0614924,-0.84819436,-0.5834694,-0.42170593,-1.1941716,-0.8969947,-0.2971769
38,-1.8662299,-1.8590771,"('untruthful', 'truthful')",-0.7295927,-0.590093,-0.31665036,-0.20435783,-0.9708243,-0.8845093,-0.086315
1,-1.7975799,-2.2594664,"('unfriendly', 'friendly')",-0.64856964,-0.88854724,1.7751281,1.5082734,-0.2236738,-0.5465801,0.3229063
86,-1.7031062,-1.5686533,"('uninfluential', 'influential')",-0.2956942,-0.20453346,-0.3879968,-0.35116827,-0.7955991,-0.7081184,-0.0874807
32,-1.488201,-1.2833582,"('unkind', 'kind')",0.06293096,0.3030502,0.48744962,0.50193554,-0.3126068,-0.1594575,-0.1531493
43,-1.4333649,-1.1349051,"('irresponsible', 'responsible')",-0.9065564,-0.637391,-0.19630931,-0.04037178,-0.8454102,-0.6042226,-0.2411876
69,1.425567,1.239856,"('lazy', 'industrious')",1.0104798,0.8786451,-0.1771824,-0.36407754,0.7529548,0.5848079,0.1681469
19,-1.4030786,-1.2533644,"('inhospitable', 'hospitable')",-1.0984501,-1.1232247,-0.19540243,-0.1026402,-0.898977,-0.8264098,-0.0725672
63,-1.3659683,-1.1919932,"('unperceptive', 'insightful')",-0.19039106,0.054523606,0.73431474,0.85993636,-0.2740149,-0.0925111,-0.1815038
11,-1.3605502,-1.1594638,"('unhelpful', 'helpful')",0.084699266,0.14068857,1.3818371,1.6062497,0.0353287,0.1958248,-0.1604961
23,-1.3251151,-1.3431332,"('insincere', 'sincere')",-0.7278805,-0.6567286,5.112957,5.335903,1.0199871,1.1120138,-0.0920267
13,-1.3090016,-0.85011613,"('impolite', 'polite')",-1.1483047,-0.7673121,-0.40862334,-0.2304221,-0.9553099,-0.6159501,-0.3393598
53,-1.1928476,-1.3308711,"('uncreative', 'creative')",-0.23179993,-0.5230731,0.80332786,0.73619664,-0.2071066,-0.3725825,0.1654759
5,-1.1469555,-1.1470491,"('distant', 'outgoing')",-1.113449,-1.1214043,0.026113592,0.04155003,-0.7447637,-0.7423011,-0.0024626
70,-1.1401117,-0.8096085,"('lethargic', 'energetic')",-0.6952453,-0.42041185,0.13765052,0.44330147,-0.5659022,-0.2622397,-0.3036625
9,-1.1147891,-1.4781528,"('unaffectionate', 'caring')",0.26694292,0.026622219,1.1746233,1.0363097,0.1089257,-0.138407,0.2473327
31,-1.0631944,-1.2454438,"('evil', 'good')",-0.47822404,-0.8060747,-0.54209226,-0.71089226,-0.6945035,-0.9208035,0.2263
3,-1.0613945,-1.0491999,"('repellent', 'pleasant')",-0.16453727,-0.31077614,0.21593373,0.13112198,-0.336666,-0.409618,0.072952
45,-1.0138129,-0.58524156,"('incompetent', 'competent')",0.026930973,0.18740529,-0.3422287,-0.3117861,-0.4430369,-0.2365408,-0.2064961
0,-0.99997306,-0.7726998,"('unsociable', 'sociable')",-0.18407261,0.025019595,-0.59485996,-0.5418235,-0.5929685,-0.4298346,-0.1631339
82,-0.96184176,-0.7605637,"('poor', 'rich')",-0.09614922,-0.074630186,5.987497,6.195778,1.6431686,1.7868614,-0.1436928
56,-0.95206016,-0.41748688,"('impractical', 'practical')",0.09840389,0.5130433,-0.6100623,-0.42866108,-0.4879062,-0.1110349,-0.3768713
22,-0.9409273,-0.6681753,"('untrustworthy', 'trustworthy')",-0.14849953,0.072184235,-1.1625912,-0.9031116,-0.7506727,-0.4997009,-0.2509718
84,0.92056674,1.0319494,"('inferior', 'superior')",0.8069426,0.90523046,0.9709892,1.0784166,0.8994995,1.0051988,-0.1056993
7,-0.8868754,-0.67336446,"('insensitive', 'sensitive')",-0.35395136,-0.2316763,0.5094137,0.49851567,-0.2438043,-0.1355084,-0.1082959
57,-0.88440764,-0.7075414,"('unimaginative', 'imaginative')",-0.5756565,-0.5187043,-2.5641625,-2.7127254,-1.3414089,-1.3129903,-0.0284186
30,-0.850248,-0.49366254,"('intolerant', 'tolerant')",0.31672654,0.53208166,0.63156915,0.77767193,0.0326826,0.2720304,-0.2393478
28,-0.8264049,-1.0585966,"('disloyal', 'loyal')",0.37061483,0.25042433,0.8873954,0.73918015,0.1438684,-0.0229974,0.1668658
51,-0.822277,-0.515275,"('uneducated', 'educated')",-0.11891751,0.16293079,0.095829524,0.23316452,-0.2817883,-0.0397266,-0.2420617
24,-0.81895036,-0.59817976,"('dishonest', 'honest')",-1.0980395,-0.94843507,0.22375938,0.38894567,-0.5644101,-0.3858897,-0.1785204
61,-0.80354446,-0.7748345,"('illogical', 'logical')",0.4197168,0.38878596,0.09754053,0.058121294,-0.095429,-0.1093091,0.0138801
88,-0.7924191,-0.75289583,"('low', 'eminent')",-0.6015161,-0.5343034,-0.0028895847,-0.051992565,-0.4656083,-0.4463973,-0.019211
