,hillshire_male,hillshire_female,tuple,brands_male,brands_female,co_male,co_female,average_male,average_female,male-female
6,-2.2544823,-1.7844778,"('distant', 'open')",-0.4621631,0.0932628,-0.61511815,0.004626955,-1.1105878,-0.562196,-0.5483918
36,-2.2017577,-1.8859411,"('hostile', 'amicable')",-2.0061002,-1.6394771,-0.8434665,-0.16449732,-1.6837749,-1.2299719,-0.453803
31,-1.8578079,-1.641387,"('evil', 'good')",-1.61353,-1.5178748,-1.2068814,-0.8575949,-1.5594064,-1.3389522,-0.2204542
56,1.843183,1.2893835,"('impractical', 'practical')",2.314623,1.9216906,0.4976159,-0.09957971,1.5518074,1.0371648,0.5146426
5,-1.5601782,-1.1671618,"('distant', 'outgoing')",-0.086877376,0.2692724,-0.55931437,-0.21334761,-0.7354566,-0.3704123,-0.3650443
1,-1.5592105,-1.8429232,"('unfriendly', 'friendly')",0.76922464,0.9853843,0.8837247,0.9278581,0.0312463,0.0234397,0.0078066
52,-1.5526584,-1.1168634,"('irrational', 'rational')",-1.1589017,-0.85305667,-0.76616836,-0.3733105,-1.1592429,-0.7810768,-0.3781661
60,1.5181769,1.2027467,"('inefficient', 'efficient')",1.6484046,1.2603059,0.52629715,0.09718987,1.2309596,0.8534142,0.3775454
46,1.4725133,1.0241904,"('uncompetitive', 'competitive')",1.6018485,1.342798,-0.7000541,-1.0803623,0.7914359,0.4288754,0.3625605
8,-1.462411,-1.4733921,"('unaffectionate', 'affectionate')",-0.3514722,-0.05567441,0.010740224,0.24586287,-0.6010477,-0.4277346,-0.1733131
25,-1.421173,-1.4450933,"('egoistic', 'altruistic')",-0.35603052,-0.24852115,0.71048427,0.8906045,-0.3555731,-0.26767,-0.0879031
85,-1.3851079,-1.0932423,"('insignificant', 'prestigious')",-0.48975882,-0.08814737,-1.1928421,-0.60032016,-1.0225697,-0.5939033,-0.4286664
39,1.3048768,1.4500372,"('exploitative', 'cooperative')",1.3954704,1.5467787,0.72590625,0.81408495,1.1420844,1.2703003,-0.1282159
73,1.2593131,1.375282,"('helpless', 'self-reliant')",0.86085474,1.0849345,-3.3949406,-3.249264,-0.4249243,-0.2630158,-0.1619085
70,1.181454,0.8213628,"('lethargic', 'energetic')",0.4103896,0.2531441,0.794482,0.5548454,0.7954419,0.5431174,0.2523245
35,-1.1788622,-0.89608735,"('corrupt', 'incorrupt')",-2.3567052,-1.9489094,-1.0686871,-0.686672,-1.5347514,-1.1772229,-0.3575285
19,-1.1646678,-0.5807333,"('inhospitable', 'hospitable')",-0.6317824,-0.17719173,-0.71543527,-0.23838864,-0.8372952,-0.3321046,-0.5051906
76,1.1598787,1.0123748,"('anxious', 'daring')",0.81246793,0.835056,0.40400708,-0.038410544,0.7921179,0.6030067,0.1891112
42,1.1406244,1.4045932,"('unreliable', 'reliable')",0.2667919,0.5246843,-2.6049263,-2.500458,-0.39917,-0.1903935,-0.2087765
22,1.11415,0.77618384,"('untrustworthy', 'trustworthy')",0.49121198,0.23022383,-0.16896975,-0.38045335,0.4787974,0.2086515,0.2701459
45,1.1135217,0.24244648,"('incompetent', 'competent')",1.1364261,0.4070238,0.09686901,-0.46792784,0.7822723,0.0605141,0.7217582
53,-1.0622656,-1.1137195,"('uncreative', 'creative')",0.7156986,0.9753881,0.4330701,0.42373228,0.0288344,0.0951336,-0.0662992
14,1.0391308,0.5125977,"('antisocial', 'social')",0.80246425,0.1659845,0.00063352846,-0.5036402,0.6140762,0.058314,0.5557622
88,-1.0313482,-0.82783026,"('low', 'eminent')",0.21793145,0.3031128,-0.48445418,-0.58194077,-0.4326237,-0.3688861,-0.0637376
80,1.0226246,0.77874076,"('dominated', 'dominating')",0.72290736,0.5138338,-0.35841098,-0.6044783,0.4623737,0.2293654,0.2330083
64,0.99764377,1.1417035,"('shy', 'confident')",-0.02526915,-0.27483684,-5.3194942,-5.4253774,-1.4490399,-1.5195036,0.0704637
21,0.97610646,1.0260164,"('immoral', 'moral')",0.7217308,0.78580064,-0.5631425,-0.70906365,0.3782316,0.3675844,0.0106472
30,0.96647847,0.80457234,"('intolerant', 'tolerant')",1.5797746,1.3829067,0.689055,0.6176978,1.0784361,0.9350589,0.1433772
62,0.96181047,0.44357386,"('incompetent', 'brilliant')",1.4917818,1.1082876,0.5603574,0.007225873,1.0046499,0.5196958,0.4849541
37,0.93897694,1.1586337,"('fake', 'genuine')",-0.108065486,0.24091922,-0.037983723,0.1401031,0.2643092,0.5132187,-0.2489095
27,-0.93754643,-0.4981802,"('hardhearted', 'softhearted')",-0.07046319,0.37529236,0.2693213,0.59146816,-0.2462294,0.1561934,-0.4024228
