,american_male,american_female,tuple,capital_male,capital_female,ltd_male,ltd_female,average_male,average_female,male-female
16,-2.1982148,-1.7307417,"('unpopular', 'popular')",0.16778773,0.18996944,-0.0015435666,0.012176394,-0.6773235,-0.509532,-0.1677915
36,-1.669023,-1.7765149,"('hostile', 'amicable')",-0.3366614,-0.52353185,-0.5723131,-0.89435345,-0.8593325,-1.0648,0.2054675
73,1.4427853,1.4805481,"('helpless', 'self-reliant')",0.90680516,0.84417903,-3.8984125,-4.0275426,-0.5162741,-0.5676052,0.0513311
24,1.3797879,1.1432861,"('dishonest', 'honest')",-0.504624,-0.3454195,0.38499662,0.36649862,0.4200535,0.3881217,0.0319318
39,1.354987,1.4995437,"('exploitative', 'cooperative')",0.1859082,0.33466268,0.05673647,0.119075835,0.5325439,0.651094,-0.1185501
31,-1.3256298,-1.6954329,"('evil', 'good')",-0.53459024,-0.78164524,-1.4736552,-1.9010963,-1.1112917,-1.4593916,0.3480999
42,1.189736,1.1349666,"('unreliable', 'reliable')",1.2172958,1.3224806,-2.6666982,-2.6652977,-0.0865555,-0.0692836,-0.0172719
78,-1.1549909,-1.0178492,"('nonresilient', 'resilient')",1.0691957,1.0273564,0.8596931,0.6952304,0.257966,0.2349125,0.0230535
70,1.1220311,0.78732115,"('lethargic', 'energetic')",0.69801956,0.73313767,1.1279436,1.2133644,0.9826647,0.9112744,0.0713903
76,1.1022172,1.3491668,"('anxious', 'daring')",1.2987492,1.4442441,1.0362978,1.3626015,1.1457547,1.3853375,-0.2395828
51,1.0708979,0.98594016,"('uneducated', 'educated')",0.45467213,0.50850976,0.83187366,0.8549195,0.7858146,0.7831231,0.0026915
53,-1.0561601,-1.0995436,"('uncreative', 'creative')",0.8584337,0.9445208,0.6330268,0.53064,0.1451001,0.1252057,0.0198944
47,-1.0342777,-1.1414604,"('stupid', 'smart')",0.4834131,0.52940327,6.522982,6.660669,1.9907058,2.0162039,-0.0254981
48,1.0293046,0.79583126,"('unintelligent', 'intelligent')",-0.04527639,-0.05555184,0.9028145,0.8098684,0.6289476,0.5167159,0.1122317
81,1.0026547,1.1639736,"('submissive', 'aggressive')",1.4154103,1.6108327,0.27661312,0.544936,0.8982261,1.1065807,-0.2083546
82,-0.98050094,-0.49030623,"('poor', 'rich')",0.017204532,0.37468904,6.6927547,6.8784223,1.9098194,2.2542683,-0.3444489
29,-0.9760103,-1.0991442,"('unfair', 'fair')",-0.046121627,-0.2396142,-0.4566427,-0.6846471,-0.4929248,-0.6744685,0.1815437
40,0.9456026,0.55962646,"('stingy', 'generous')",1.0801342,0.98573357,-2.2903879,-2.6817987,-0.088217,-0.3788129,0.2905959
66,0.9425259,0.74021,"('inactive', 'active')",1.968723,1.7297119,1.1180978,0.847833,1.3431155,1.1059182,0.2371973
43,0.9389157,0.9405184,"('irresponsible', 'responsible')",0.81090534,0.9815745,1.1261795,1.210812,0.9586668,1.0443017,-0.0856349
12,0.8884653,0.63865757,"('unsupportive', 'supportive')",1.5288494,1.6222185,-1.8976053,-2.0323086,0.1732364,0.0761892,0.0970472
80,0.84723955,0.52755505,"('dominated', 'dominating')",0.13463034,-0.113011956,0.34930894,0.40149027,0.4437263,0.2720111,0.1717152
49,-0.8327582,-0.69212383,"('unable', 'able')",-0.3107644,-0.2720102,0.2603114,0.2619793,-0.2944038,-0.2340516,-0.0603522
56,0.8162828,0.8768124,"('impractical', 'practical')",1.0428076,1.3464825,0.75241137,0.97817135,0.8705006,1.0671554,-0.1966548
77,-0.7988147,-0.66670537,"('unmotivated', 'motivated')",1.5361708,1.8272572,-0.4487124,-0.2925516,0.0962146,0.2893334,-0.1931188
34,-0.78735846,-0.7942524,"('mean', 'honorable')",0.41444248,0.4903457,5.967222,6.193246,1.8647687,1.963113,-0.0983443
64,0.7597702,0.83048135,"('shy', 'confident')",0.78009295,1.0043828,-6.3020535,-6.2552896,-1.5873968,-1.4734751,-0.1139217
1,-0.7391109,-0.95889354,"('unfriendly', 'friendly')",0.1866682,0.021740546,1.1662153,0.68345594,0.2045909,-0.0845657,0.2891566
52,-0.72978866,-0.9352076,"('irrational', 'rational')",0.1295822,-0.104148194,-1.049701,-1.5279114,-0.5499692,-0.8557557,0.3057865
10,0.72585905,0.43159914,"('unsympathetic', 'sympathetic')",-0.061168704,0.049091,0.87512356,1.0800604,0.5132713,0.5202502,-0.0069789
26,0.6705843,0.2689026,"('hardhearted', 'benevolent')",1.4125919,1.1381094,1.2441069,0.8799298,1.1090943,0.7623139,0.3467804
18,0.66052806,0.90340513,"('disagreeable', 'welcoming')",0.34474298,0.50207114,-1.2787552,-1.3190209,-0.0911614,0.0288185,-0.1199799
5,-0.63926464,-0.7202881,"('distant', 'outgoing')",0.839305,0.684566,-0.8690456,-1.0714993,-0.2230018,-0.3690738,0.146072
74,0.6376935,0.53571624,"('undedicated', 'dedicated')",0.8491117,1.0214779,0.2546654,0.36664602,0.5804902,0.6412801,-0.0607899
4,-0.6262063,-0.9881377,"('disliked', 'liked')",-0.044696987,-0.103678524,-6.854211,-7.0887017,-2.5083714,-2.7268394,0.218468
25,-0.61967385,-0.6681657,"('egoistic', 'altruistic')",-0.14139338,-0.16989388,0.41729963,0.28961197,-0.1145892,-0.1828159,0.0682267
35,-0.61723447,-0.5452309,"('corrupt', 'incorrupt')",-1.0312401,-1.2321682,-1.3251781,-1.5289818,-0.9912176,-1.1021269,0.1109093
79,0.6065987,0.4959623,"('wavering', 'unwavering')",0.27245262,0.343346,-0.32579082,-0.48437107,0.1844202,0.1183124,0.0661078
28,0.580244,0.5127461,"('disloyal', 'loyal')",-0.1588307,-0.119190745,1.1145862,1.1197828,0.5119998,0.504446,0.0075538
21,0.56188273,0.54002416,"('immoral', 'moral')",0.3217713,0.45426965,-0.21610229,0.024462849,0.2225172,0.3395855,-0.1170683
72,0.5541357,0.5339776,"('unambitious', 'ambitious')",0.83943653,1.0243624,-0.11087556,-0.043999672,0.4275655,0.5047801,-0.0772146
65,0.5524531,0.78834635,"('insecure', 'secure')",0.124872856,0.2561471,1.0913953,1.4659342,0.5895737,0.8368092,-0.2472355
60,0.55069494,0.73801464,"('inefficient', 'efficient')",0.61299527,1.022536,1.1420789,1.5282072,0.7685897,1.0962526,-0.3276629
67,0.5177595,0.76509064,"('doubtful', 'determined')",-0.16999534,0.0463508,-0.8899468,-0.65806323,-0.1807276,0.0511261,-0.2318537
84,0.49328956,0.65983284,"('inferior', 'superior')",0.38209414,0.39874125,0.340591,0.25622642,0.4053249,0.4382668,-0.0329419
27,0.49077058,0.122792356,"('hardhearted', 'softhearted')",0.31950235,0.13897493,0.8123856,0.3605412,0.5408862,0.2074362,0.33345
88,0.4883728,0.43725324,"('low', 'eminent')",-0.4866602,-0.26590276,-0.045770686,0.010625111,-0.014686,0.0606585,-0.0753445
11,0.47658226,0.5600973,"('unhelpful', 'helpful')",0.47535497,0.7007318,2.2483797,2.47272,1.0667723,1.2445164,-0.1777441
59,-0.46100178,-0.46095082,"('foolish', 'wise')",0.56710255,0.50859964,-0.26654005,-0.48253953,-0.0534798,-0.1449636,0.0914838
63,0.44624007,-0.021143418,"('unperceptive', 'insightful')",1.0776868,1.0317954,1.5771043,1.5126942,1.0336771,0.8411154,0.1925617
85,-0.428209,-0.6056715,"('insignificant', 'prestigious')",1.2472197,1.050659,-1.0332987,-1.3832351,-0.0714294,-0.3127492,0.2413198
8,-0.4264527,-0.6094105,"('unaffectionate', 'affectionate')",-0.5751153,-0.6776665,-0.14152108,-0.48420513,-0.3810297,-0.5904274,0.2093977
6,-0.41605905,-0.6845059,"('distant', 'open')",0.369041,0.14365095,-0.33609828,-0.670701,-0.1277054,-0.403852,0.2761466
0,-0.4001289,-0.3452289,"('unsociable', 'sociable')",0.41445467,0.50341046,-0.06861834,0.024327666,-0.0180975,0.0608364,-0.0789339
32,-0.38408405,-0.27357906,"('unkind', 'kind')",0.036501847,0.32555276,0.9216526,1.1296288,0.1913568,0.3938675,-0.2025107
45,-0.3774031,-0.8153459,"('incompetent', 'competent')",-0.12587738,-0.103603,0.9314988,0.64922565,0.1427394,-0.0899077,0.2326471
20,0.36771953,0.19680823,"('rough', 'thoughtful')",0.94653,0.8814058,1.3143048,1.2162321,0.8761848,0.7648153,0.1113695
69,-0.32456005,-0.39008412,"('lazy', 'industrious')",1.5396647,1.4143372,-0.97648567,-1.2279191,0.0795397,-0.0678887,0.1474284
7,0.32192808,0.23922427,"('insensitive', 'sensitive')",0.15873419,0.37114182,0.6640524,0.597677,0.3815716,0.402681,-0.0211094
9,0.3057053,0.23259783,"('unaffectionate', 'caring')",0.6691344,0.6429912,0.5050589,0.2084032,0.4932995,0.3613307,0.1319688
