,schering_male,schering_female,tuple,plough_male,plough_female,corp_male,corp_female,average_male,average_female,male-female
10,-2.1890461,-2.5209184,"('unsympathetic', 'sympathetic')",-2.540681,-2.68585,0.9227364,-0.032087527,-1.2689968,-1.7462851,0.4772883
1,-1.9691762,-2.4136522,"('unfriendly', 'friendly')",-1.6828833,-1.6217738,0.69040626,1.6312293,-0.9872177,-0.8013989,-0.1858188
3,-1.8650631,-1.9223229,"('repellent', 'pleasant')",-1.4561265,-1.5007796,0.8337973,0.36857912,-0.8291307,-1.0181744,0.1890437
86,-1.5895844,-2.0186865,"('uninfluential', 'influential')",-1.861152,-1.8771304,-0.03637677,-0.50267047,-1.1623711,-1.4661624,0.3037913
23,-1.5559964,-1.7475983,"('insincere', 'sincere')",-1.7287353,-1.5375792,6.8146973,6.145165,1.1766551,0.9533292,0.2233259
46,-1.5276111,-1.8534564,"('uncompetitive', 'competitive')",-1.6019037,-1.7933517,-0.22463527,-1.2200197,-1.11805,-1.622276,0.504226
73,1.430616,1.5478421,"('helpless', 'self-reliant')",1.2622149,1.4568505,-3.9508672,-3.3493316,-0.4193454,-0.1148797,-0.3044657
34,-1.4233239,-1.2549877,"('mean', 'honorable')",-1.3434668,-1.0673606,5.9074173,5.7307506,1.0468756,1.1361341,-0.0892585
48,-1.4060416,-1.4653567,"('unintelligent', 'intelligent')",-1.7423083,-1.6087533,0.74798274,0.63528323,-0.8001223,-0.8129423,0.01282
35,1.397139,1.4132179,"('corrupt', 'incorrupt')",1.7466604,1.6109883,-1.2409903,-0.52098984,0.6342697,0.8344054,-0.2001357
88,-1.2697828,-1.2738612,"('low', 'eminent')",-1.9549466,-1.842394,-0.31974864,-0.37188002,-1.1814927,-1.1627118,-0.0187809
63,-1.2287818,-1.4125342,"('unperceptive', 'insightful')",-1.1654232,-1.0858208,1.021274,0.8377727,-0.4576437,-0.5535274,0.0958837
57,-1.2055352,-1.9211965,"('unimaginative', 'imaginative')",-1.1751105,-1.5991108,-3.0488322,-3.262413,-1.8098259,-2.2609069,0.451081
17,-1.1996698,-1.3255637,"('nasty', 'nice')",-0.23144144,-0.4887922,-0.62621087,-0.6706838,-0.6857741,-0.8283466,0.1425725
49,-1.1962864,-1.1416798,"('unable', 'able')",-0.7128128,-0.6175522,0.024057234,-0.11580837,-0.6283473,-0.6250135,-0.0033338
28,-1.1942544,-1.7507105,"('disloyal', 'loyal')",-0.8258926,-0.9293929,1.288612,1.051924,-0.243845,-0.5427264,0.2988814
11,-1.1855903,-1.5389165,"('unhelpful', 'helpful')",-1.5473467,-1.6103494,2.3968852,1.832039,-0.1120172,-0.4390756,0.3270584
32,-1.1679264,-1.331424,"('unkind', 'kind')",-1.7620595,-1.7231579,1.0733194,0.90273845,-0.6188889,-0.7172812,0.0983923
41,-1.1397259,-1.5035231,"('unforgiving', 'forgiving')",-1.1428578,-1.0286888,-0.7583677,-0.3876051,-1.0136505,-0.9732723,-0.0403782
21,-1.1234261,-1.0818698,"('immoral', 'moral')",-1.5202199,-1.4114734,0.20114982,-0.56115055,-0.8141654,-1.0181646,0.2039992
72,-1.0877136,-1.1571016,"('unambitious', 'ambitious')",-1.1245881,-1.055411,0.104673125,-0.023663536,-0.7025429,-0.745392,0.0428491
24,-1.0805196,-1.014541,"('dishonest', 'honest')",-1.2217113,-0.86757433,0.7833193,0.7941361,-0.5063039,-0.3626598,-0.1436441
12,-1.0745363,-1.2584728,"('unsupportive', 'supportive')",-0.86010706,-0.6771646,-1.9520854,-1.8317994,-1.2955763,-1.2558123,-0.039764
53,-1.0438726,-1.5000249,"('uncreative', 'creative')",-1.1259732,-1.2263484,0.4340252,0.48489884,-0.5786069,-0.7471581,0.1685512
45,-0.9956394,-1.2647151,"('incompetent', 'competent')",-0.6083964,-0.7794553,0.29350936,0.11683955,-0.4368422,-0.6424436,0.2056014
62,-0.9917803,-0.958192,"('incompetent', 'brilliant')",-1.4017714,-1.2212973,0.9466045,0.5473128,-0.4823158,-0.5440588,0.061743
0,-0.9807655,-1.3406436,"('unsociable', 'sociable')",-0.9616698,-1.1934359,0.6732933,0.05312021,-0.4230473,-0.8269865,0.4039392
18,-0.97564894,-1.0948696,"('disagreeable', 'welcoming')",-1.5581287,-1.2455627,-1.0841206,-0.69878054,-1.2059662,-1.0130709,-0.1928953
