,bemis_male,bemis_female,tuple,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
53,-1.8709625,-1.7156705,"('uncreative', 'creative')",-0.39551017,-0.18896174,0.9704171,1.1779009,-0.4320185,-0.2422438,-0.1897747
57,-1.7352679,-1.6493087,"('unimaginative', 'imaginative')",-0.6034286,-0.5655555,-2.9419534,-2.2756088,-1.7602167,-1.4968243,-0.2633924
86,-1.7010103,-1.3627437,"('uninfluential', 'influential')",-0.81887454,-0.4349938,0.01711522,0.33923382,-0.8342566,-0.4861679,-0.3480887
0,-1.2593234,-1.1220949,"('unsociable', 'sociable')",-0.03349018,0.51135343,-0.86503786,-0.6707785,-0.7192838,-0.4271733,-0.2921105
73,1.2382349,1.2945465,"('helpless', 'self-reliant')",0.814983,0.68232095,-3.1438909,-2.8898268,-0.3635577,-0.3043198,-0.0592379
2,1.1252656,0.88801414,"('unlikable', 'likable')",1.7763146,1.3695537,0.9172188,0.75279415,1.272933,1.003454,0.269479
28,-1.0912762,-0.9514667,"('disloyal', 'loyal')",-0.9327617,-0.8530372,1.2125872,1.1604623,-0.2704835,-0.2146806,-0.0558029
44,1.0755763,1.0110258,"('prejudiced', 'unprejudiced')",-0.47650433,-0.53669864,-1.4580779,-1.5068468,-0.2863353,-0.3441732,0.0578379
6,-0.99001473,-0.9397915,"('distant', 'open')",-1.5847313,-1.4536752,0.4574699,0.38334334,-0.7057587,-0.6700411,-0.0357176
1,-0.9779027,-0.7232019,"('unfriendly', 'friendly')",-0.78068787,-0.5033242,2.0856664,2.158133,0.1090253,0.3105357,-0.2015104
77,-0.9233556,-1.0611229,"('unmotivated', 'motivated')",-0.24551545,-0.16443993,-0.990628,-0.78214544,-0.7198331,-0.6692361,-0.050597
48,-0.8499861,-0.7703789,"('unintelligent', 'intelligent')",-0.33558175,-0.2254605,0.4199528,0.7517926,-0.255205,-0.0813489,-0.1738561
8,-0.78394675,-0.6110972,"('unaffectionate', 'affectionate')",-1.5037259,-1.5435337,1.1466827,1.0335302,-0.3803299,-0.3737002,-0.0066297
7,-0.7806715,-0.5308971,"('insensitive', 'sensitive')",-0.772662,-0.31073144,0.6560442,0.9596849,-0.2990964,0.0393521,-0.3384485
58,-0.7624206,-0.46865666,"('undiscriminating', 'discriminating')",0.65309817,0.8735654,0.007853948,0.2524801,-0.0338228,0.2191296,-0.2529524
46,-0.7613447,-0.9686886,"('uncompetitive', 'competitive')",-0.08131231,-0.17386603,-0.90731347,-0.7441766,-0.5833235,-0.6289104,0.0455869
10,-0.7170191,-0.8045873,"('unsympathetic', 'sympathetic')",-0.700683,-0.49887854,-0.5250566,-0.31150126,-0.6475862,-0.5383224,-0.1092638
9,-0.7013163,-0.5794126,"('unaffectionate', 'caring')",-1.1753998,-0.99473464,1.640092,1.7136132,-0.0788747,0.0464886,-0.1253633
61,-0.6705436,-0.5689782,"('illogical', 'logical')",-0.5318497,-0.091310486,0.008573782,0.09862243,-0.3979398,-0.1872221,-0.2107177
40,-0.6319237,-0.2302526,"('stingy', 'generous')",-0.48019046,-0.1771979,-1.7317415,-1.2530951,-0.947952,-0.5535152,-0.3944368
66,-0.6197212,-0.6338766,"('inactive', 'active')",-0.5261459,-0.29412913,1.2625686,1.3473831,0.0389005,0.1397925,-0.100892
63,-0.59030944,-0.51041657,"('unperceptive', 'insightful')",-0.1307445,-0.033975244,0.7333413,1.1238676,0.0040958,0.1931586,-0.1890628
42,0.57882077,0.4493144,"('unreliable', 'reliable')",0.012113847,-0.087075844,-3.088593,-2.7719748,-0.8325528,-0.8032454,-0.0293074
87,0.57832855,0.44605497,"('unsuccessful', 'successful')",0.7575561,0.6737627,1.181049,1.2141151,0.8389778,0.7779776,0.0610002
88,-0.57331,-0.6661624,"('low', 'eminent')",-0.745404,-1.0701302,0.7386091,0.61868495,-0.1933683,-0.3725359,0.1791676
11,-0.5709139,-0.5638657,"('unhelpful', 'helpful')",-0.020973194,-0.059144847,1.5748662,1.7362306,0.3276597,0.3710733,-0.0434136
5,-0.5697786,-0.39443913,"('distant', 'outgoing')",-1.4202516,-1.1783526,-0.32467765,-0.35060692,-0.7715693,-0.6411329,-0.1304364
29,-0.5631235,-0.46223515,"('unfair', 'fair')",-0.6592359,-0.120215,-0.8197505,-0.63129747,-0.6807033,-0.4045825,-0.2761208
30,0.55055535,0.5485399,"('intolerant', 'tolerant')",1.2610288,1.441094,1.0160056,1.1577982,0.9425299,1.049144,-0.1066141
52,-0.5451532,-0.5085852,"('irrational', 'rational')",-0.8722498,-1.0351667,0.7493261,0.63546133,-0.2226923,-0.3027635,0.0800712
14,0.5417471,0.6421933,"('antisocial', 'social')",0.9401385,1.2968495,-0.7557268,-0.76427126,0.242053,0.3915905,-0.1495375
39,0.5173083,0.9013845,"('exploitative', 'cooperative')",1.4218812,2.123071,0.021501685,0.19273546,0.6535637,1.072397,-0.4188333
79,0.50665486,0.24163112,"('wavering', 'unwavering')",-1.4555131,-1.969131,0.47962087,0.34285215,-0.1564125,-0.4615492,0.3051367
19,-0.49226406,-0.36960644,"('inhospitable', 'hospitable')",-0.92747694,-0.76989585,0.016433045,-0.053093195,-0.4677693,-0.3975318,-0.0702375
23,-0.49106005,-0.5495815,"('insincere', 'sincere')",-0.21679719,-0.02094803,5.915742,5.481975,1.7359616,1.6371485,0.0988131
70,-0.47749466,-0.5467284,"('lethargic', 'energetic')",0.16699228,0.22370027,0.8167397,0.90051603,0.1687458,0.192496,-0.0237502
84,-0.43370527,-0.35911274,"('inferior', 'superior')",0.62154603,0.782545,0.80663764,0.9585566,0.3314928,0.4606629,-0.1291701
4,0.41792142,0.5807882,"('disliked', 'liked')",-1.0245572,-1.3961439,-6.7415886,-6.313336,-2.4494082,-2.3762306,-0.0731776
85,0.40631792,0.56998664,"('insignificant', 'prestigious')",-0.81019354,-1.298516,1.346354,1.253751,0.3141595,0.1750739,0.1390856
21,0.3933177,0.21569745,"('immoral', 'moral')",0.5463493,0.44220454,-0.73605245,-0.82040447,0.0678715,-0.0541675,0.122039
34,-0.3921022,-0.22179514,"('mean', 'honorable')",0.6076962,0.9218613,6.1626225,6.0355406,2.1260721,2.2452022,-0.1191301
12,-0.3916159,-0.27238938,"('unsupportive', 'supportive')",-0.7688451,-0.67763305,-1.8648766,-1.4128442,-1.0084459,-0.7876222,-0.2208237
50,0.3780569,0.18554609,"('clumsy', 'skillful')",-0.4621775,-0.86517465,0.66145575,0.57505804,0.1924451,-0.0348568,0.2273019
76,0.36708805,-0.109226,"('anxious', 'daring')",0.84032345,0.50146633,-0.27374154,-0.44416246,0.3112233,-0.0173074,0.3285307
68,-0.36433947,-0.14684406,"('dependent', 'independent')",-1.1107589,-0.8710538,-0.8737617,-0.6268811,-0.7829533,-0.5482597,-0.2346936
17,-0.36250833,-0.24459822,"('nasty', 'nice')",-0.39639816,-0.20264253,-1.0177355,-0.9973592,-0.592214,-0.4815333,-0.1106807
33,0.35115963,0.5198589,"('wrong', 'right')",-0.60472524,-0.5142329,-0.3836604,-0.16341263,-0.2124087,-0.0525955,-0.1598132
56,0.34902656,0.09068653,"('impractical', 'practical')",0.8262841,0.7574638,0.030027531,-0.04653874,0.4017794,0.2672039,0.1345755
18,-0.34169203,-0.23166984,"('disagreeable', 'welcoming')",-0.9128353,-1.03638,-0.56863457,-0.6426343,-0.6077206,-0.6368947,0.0291741
54,0.33043647,0.07608737,"('incapable', 'capable')",-0.22895819,-0.47398502,1.3812014,1.2428793,0.4942265,0.2816605,0.212566
37,0.31788313,0.46125463,"('fake', 'genuine')",-0.8783604,-0.4161432,0.09335907,0.25169015,-0.1557061,0.0989339,-0.25464
31,-0.3166362,-0.0067117997,"('evil', 'good')",-0.5227374,-0.50537443,-0.6869499,-0.7941071,-0.5087745,-0.4353978,-0.0733767
72,-0.30479017,-0.36237055,"('unambitious', 'ambitious')",-0.56482774,-0.63918155,-0.8448786,-0.88915485,-0.5714989,-0.6302357,0.0587368
83,-0.28714606,-0.24330533,"('powerless', 'powerful')",-0.7867913,-0.83098096,-0.99134463,-1.0090263,-0.6884274,-0.6944375,0.0060101
69,0.27461043,0.5042764,"('lazy', 'industrious')",0.08158843,0.32782638,-0.23202786,-0.056087937,0.0413903,0.2586716,-0.2172813
62,0.27168956,0.13902026,"('incompetent', 'brilliant')",0.3318656,0.38379124,0.022698598,0.15300784,0.2087513,0.2252731,-0.0165218
78,-0.25421488,-0.41973191,"('nonresilient', 'resilient')",0.1621215,-0.090583794,0.2612137,0.48049334,0.0563734,-0.0099408,0.0663142
51,-0.24545683,-0.2296252,"('uneducated', 'educated')",0.17580552,0.3620929,0.5472036,0.7498848,0.1591841,0.2941175,-0.1349334
15,-0.23659155,-0.3591722,"('boring', 'funny')",0.4754081,0.48477095,0.5634256,0.5262024,0.2674141,0.217267,0.0501471
60,0.2286223,0.2623887,"('inefficient', 'efficient')",0.5687439,1.0790558,-0.33683026,-0.0844868,0.153512,0.4189859,-0.2654739
82,-0.22847979,-0.5703418,"('poor', 'rich')",0.7454332,0.30975842,6.6555414,6.0078936,2.3908316,1.9157701,0.4750615
67,0.22025,0.26413873,"('doubtful', 'determined')",0.32294407,0.22591166,-0.22030863,-0.4498267,0.1076285,0.0134079,0.0942206
26,0.19685717,0.5671804,"('hardhearted', 'benevolent')",1.7164203,1.8719335,1.8016915,1.9552635,1.2383231,1.4647924,-0.2264693
41,0.1861344,0.14222984,"('unforgiving', 'forgiving')",0.11671065,-0.09246959,-0.12460623,-0.13229217,0.0594129,-0.0275106,0.0869235
16,-0.18440086,-0.30889556,"('unpopular', 'popular')",-0.40476155,-0.9981195,1.0135117,0.78619504,0.1414497,-0.1736067,0.3150564
59,0.17864124,0.30204743,"('foolish', 'wise')",-0.46037078,-0.19123325,0.74100655,0.81345,0.1530923,0.3080881,-0.1549958
20,-0.17795247,-0.08779506,"('rough', 'thoughtful')",1.0267891,1.2137375,0.77469337,0.9918466,0.5411766,0.7059297,-0.1647531
75,-0.17724244,-0.47407973,"('meek', 'impulsive')",-0.35712916,-0.93538684,-0.30835456,-0.38972747,-0.2809087,-0.5997313,0.3188226
55,-0.16306746,-0.17406267,"('incompetent', 'clever')",0.95062983,1.2113489,-0.036749274,0.12297149,0.250271,0.3867526,-0.1364816
3,-0.15961654,-0.3115679,"('repellent', 'pleasant')",0.76191586,0.6203983,0.1852084,-0.000737872,0.2625026,0.1026975,0.1598051
25,0.1530731,0.07050979,"('egoistic', 'altruistic')",0.44146234,0.22037035,1.7711151,1.6858795,0.7885502,0.6589199,0.1296303
49,-0.15163319,-0.30157313,"('unable', 'able')",-0.3819948,-0.37830675,-0.4476464,-0.3888723,-0.3270915,-0.3562507,0.0291592
36,-0.14997034,-0.14516377,"('hostile', 'amicable')",-0.8038179,-1.0160199,0.8995253,0.8503834,-0.0180877,-0.1036001,0.0855124
32,-0.14848958,-0.18510784,"('unkind', 'kind')",0.49070576,0.5554669,1.2570851,1.1632178,0.5331004,0.5111923,0.0219081
35,-0.13342881,-0.04709661,"('corrupt', 'incorrupt')",-0.9624962,-0.95058,0.17125732,0.16480172,-0.3082226,-0.277625,-0.0305976
13,0.130858,0.094261795,"('impolite', 'polite')",-0.22601368,0.13002619,-0.85224944,-0.7503752,-0.3158017,-0.1753624,-0.1404393
45,-0.12698494,-0.20709653,"('incompetent', 'competent')",-0.25011557,-0.35999772,-0.4582533,-0.39282107,-0.2784513,-0.3199718,0.0415205
27,-0.12601942,0.022000086,"('hardhearted', 'softhearted')",-0.39534867,-0.11260307,1.3978069,1.5868858,0.2921463,0.4987609,-0.2066146
71,0.1233812,0.31799835,"('diffident', 'self-confident')",-0.65359247,-0.47552451,0.4769275,0.6085272,-0.0177613,0.1503337,-0.168095
80,-0.113576435,-0.077292636,"('dominated', 'dominating')",0.1336143,0.39679158,-1.5222511,-1.4656675,-0.5007377,-0.3820562,-0.1186815
47,-0.10417518,-0.16630876,"('stupid', 'smart')",0.6525075,0.92212665,5.469528,4.9860635,2.0059535,1.9139605,0.091993
65,-0.10109931,-0.20958395,"('insecure', 'secure')",0.44652024,0.7008599,-0.62167555,-0.59869635,-0.0920849,-0.0358068,-0.0562781
81,-0.08053544,-0.37771603,"('submissive', 'aggressive')",0.2112187,0.026632752,-0.9068912,-1.0044422,-0.258736,-0.4518418,0.1931058
22,-0.07258214,0.09151281,"('untrustworthy', 'trustworthy')",0.036097452,0.46763018,-1.4139551,-1.1966618,-0.4834799,-0.2125063,-0.2709736
38,0.059531003,-0.23189095,"('untruthful', 'truthful')",-1.0829972,-1.5834786,-0.01266823,-0.09521709,-0.3453782,-0.6368622,0.291484
64,-0.04891771,0.15533142,"('shy', 'confident')",-0.24007955,0.16573936,-6.9028735,-6.358694,-2.3972902,-2.0125411,-0.3847491
43,-0.03999951,-0.08794943,"('irresponsible', 'responsible')",0.35944718,0.72580683,0.5278134,0.5732672,0.2824204,0.4037082,-0.1212878
74,0.023842372,-0.12885831,"('undedicated', 'dedicated')",0.64563423,0.48433635,0.38746363,0.540853,0.3523134,0.298777,0.0535364
24,0.014018882,0.16436392,"('dishonest', 'honest')",-0.73626,-0.2992538,0.7839614,0.7058741,0.0205734,0.1903281,-0.1697547
