,textron_male,textron_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-2.7105322,-2.3553436,"('distant', 'open')",-0.10956331,0.11901241,-1.4100478,-1.1181656,-0.2918822
31,-2.2161713,-1.8872008,"('evil', 'good')",-1.1084067,-1.0167475,-1.6622889,-1.4519742,-0.2103147
36,-2.0254333,-2.0407321,"('hostile', 'amicable')",0.19042395,0.09351382,-0.9175047,-0.9736091,0.0561044
79,-2.0183866,-1.9413532,"('wavering', 'unwavering')",-0.4724304,-0.3151071,-1.2454085,-1.1282301,-0.1171784
5,-2.016446,-1.7014906,"('distant', 'outgoing')",-0.6819021,-0.33366486,-1.3491741,-1.0175778,-0.3315963
60,1.987114,1.8712624,"('inefficient', 'efficient')",0.3747183,0.43882585,1.1809161,1.1550441,0.025872
66,-1.7872651,-1.6101177,"('inactive', 'active')",0.41629663,0.5194353,-0.6854842,-0.5453412,-0.140143
1,-1.7761164,-1.448793,"('unfriendly', 'friendly')",1.204567,1.4055905,-0.2857747,-0.0216013,-0.2641734
85,-1.7368652,-1.5708671,"('insignificant', 'prestigious')",0.15046524,0.27747685,-0.7932,-0.6466951,-0.1465049
8,-1.6730208,-1.50761,"('unaffectionate', 'affectionate')",0.5978909,0.9548648,-0.537565,-0.2763726,-0.2611924
19,-1.6728297,-1.4157132,"('inhospitable', 'hospitable')",-0.40069818,-0.12534809,-1.0367639,-0.7705306,-0.2662333
52,-1.5741873,-1.3856921,"('irrational', 'rational')",-0.17569952,-0.1294269,-0.8749434,-0.7575595,-0.1173839
9,-1.5375055,-1.3453379,"('unaffectionate', 'caring')",0.8018933,1.153224,-0.3678061,-0.0960569,-0.2717492
21,1.4857281,1.1553801,"('immoral', 'moral')",-0.10218306,-0.5123037,0.6917725,0.3215382,0.3702343
4,-1.4105241,-1.206063,"('disliked', 'liked')",-6.524931,-6.266475,-3.9677277,-3.736269,-0.2314587
81,1.3912061,1.1545138,"('submissive', 'aggressive')",-0.48369795,-0.5689974,0.4537541,0.2927582,0.1609959
53,-1.3903064,-1.161473,"('uncreative', 'creative')",0.6852632,0.817526,-0.3525216,-0.1719735,-0.1805481
76,1.3053263,0.98442835,"('anxious', 'daring')",0.37716833,0.12661324,0.8412473,0.5555208,0.2857265
