,american_male,american_female,tuple,international_male,international_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
45,-1.6656474,-1.6578492,"('incompetent', 'competent')",-1.0450791,-1.4067165,-0.07145272,-0.3793319,-0.5637716,-0.72826505,-0.8364877,-1.0430406,0.2065529
73,1.5326426,1.5784342,"('helpless', 'self-reliant')",1.386115,1.1788859,0.26745903,0.14586972,-2.870756,-2.92052,0.0788651,-0.0043325,0.0831976
16,-1.4232684,-1.302697,"('unpopular', 'popular')",0.10784161,0.1298264,-0.37713754,-0.29302317,0.33256948,0.28298163,-0.3399987,-0.295728,-0.0442707
0,-1.4055451,-1.5511122,"('unsociable', 'sociable')",-1.5150785,-1.7336353,0.19645344,0.082783565,-0.5464244,-0.61380726,-0.8176487,-0.9539428,0.1362941
39,1.3799504,1.2029753,"('exploitative', 'cooperative')",0.74471223,0.715497,1.7996162,1.8183337,0.3598013,0.20549282,1.07102,0.9855747,0.0854453
29,-1.340522,-1.3815811,"('unfair', 'fair')",-1.1703268,-1.0626496,-0.87498385,-0.7676003,-0.9463756,-0.8124871,-1.0830522,-1.0060794,-0.0769728
49,-1.2992487,-1.3867285,"('unable', 'able')",-0.9109568,-1.2131705,-1.027715,-1.1949644,-0.3012954,-0.5412487,-0.884804,-1.084028,0.199224
86,-1.2930013,-0.9984832,"('uninfluential', 'influential')",-1.1197132,-1.1115648,-0.37676886,-0.3911489,-0.4590983,-0.20976439,-0.8121454,-0.6777403,-0.1344051
53,-1.2244706,-1.0100629,"('uncreative', 'creative')",-0.76085037,-0.78027433,-0.56967205,-0.5503303,0.70708966,0.83521986,-0.4619759,-0.376362,-0.0856139
1,-1.178329,-0.52900684,"('unfriendly', 'friendly')",-0.41639182,0.07717426,-0.73339283,-0.38795543,1.4578952,1.8101326,-0.2175546,0.2425862,-0.4601408
41,-1.1577038,-0.75794303,"('unforgiving', 'forgiving')",-0.23740633,-0.43454784,0.75187653,0.6817633,0.21416987,0.35928345,-0.1072659,-0.037861,-0.0694049
47,-1.1490188,-1.1882977,"('stupid', 'smart')",-0.096301235,-0.3184341,0.66338646,0.5780831,5.409184,5.162026,1.2068126,1.0583442,0.1484684
78,-1.1366752,-0.96408087,"('nonresilient', 'resilient')",-0.29359424,-0.13206455,0.7172898,0.8188477,-0.03385434,0.3097421,-0.1867085,0.0081111,-0.1948196
8,-1.1228105,-0.5649931,"('unaffectionate', 'affectionate')",-0.37226933,0.0040283687,-0.95814395,-0.71314305,0.15252861,0.40666106,-0.5751738,-0.2168617,-0.3583121
55,-1.0569272,-1.0881035,"('incompetent', 'clever')",-1.1473204,-1.397497,0.8844942,0.605523,-0.061017364,-0.22609398,-0.3451927,-0.5265428,0.1813501
22,-1.0152227,-0.9712726,"('untrustworthy', 'trustworthy')",-0.57812196,-0.80378646,0.42670864,0.22825949,-0.99068546,-1.1125305,-0.5393304,-0.6648325,0.1255021
66,1.0026284,1.2387681,"('inactive', 'active')",1.0235792,1.3153608,0.30833763,0.7356671,0.6449963,1.0930815,0.7448854,1.0957193,-0.3508339
69,0.9988218,1.0086118,"('lazy', 'industrious')",2.500708,2.6103823,0.3533808,0.5666945,-0.747436,-0.6014853,0.7763686,0.8960509,-0.1196823
57,-0.9813397,-0.77450144,"('unimaginative', 'imaginative')",-0.7808017,-1.0428189,-0.45816612,-0.73789454,-2.32194,-2.2269,-1.1355619,-1.1955287,0.0599668
77,-0.97779846,-1.1947166,"('unmotivated', 'motivated')",-0.8651912,-0.85613215,0.0648635,0.13288519,-1.4053527,-1.3675787,-0.7958697,-0.8213856,0.0255159
36,-0.97721964,-0.49447802,"('hostile', 'amicable')",0.565622,0.9418033,-1.6814332,-1.235976,-0.0037275478,0.33521634,-0.5241896,-0.1133586,-0.410831
31,-0.9633618,-0.38194117,"('evil', 'good')",0.3323794,0.87558067,-1.0365894,-0.46768403,-1.4591925,-1.0482031,-0.7816911,-0.2555619,-0.5261292
46,-0.9398212,-1.0252273,"('uncompetitive', 'competitive')",-0.46663797,-0.8684074,1.5897164,1.2417254,-0.46381453,-0.6082605,-0.0701393,-0.3150425,0.2449032
82,-0.9168104,-1.0474762,"('poor', 'rich')",-0.8070198,-1.2586282,-0.38252428,-0.6980177,5.6938443,5.1004663,0.8968725,0.524086,0.3727865
10,-0.89693755,-0.8366054,"('unsympathetic', 'sympathetic')",-1.9023904,-2.1526904,-0.4577822,-0.7273164,-0.4033841,-0.44094434,-0.9151236,-1.0393891,0.1242655
3,-0.89645517,-1.1218504,"('repellent', 'pleasant')",-0.86721367,-1.1045586,0.80730504,0.65719265,0.31440136,0.033345543,-0.1604906,-0.3839677,0.2234771
67,0.85243094,0.6133778,"('doubtful', 'determined')",0.47966462,0.17942867,0.7686893,0.64908856,-0.33159962,-0.5803202,0.4422963,0.2153937,0.2269026
62,-0.8367175,-1.1052306,"('incompetent', 'brilliant')",0.023834199,-0.54368544,0.8982623,0.4200875,0.28234252,-0.12192562,0.0919304,-0.3376885,0.4296189
32,-0.7552881,-0.66635233,"('unkind', 'kind')",-1.1057879,-1.3944397,0.18581824,0.026039284,1.040922,0.8837967,-0.1585839,-0.287739,0.1291551
18,0.6644633,0.6470039,"('disagreeable', 'welcoming')",0.8715839,0.80575573,-0.30212566,-0.31357288,-0.48190182,-0.41607577,0.1880049,0.1807777,0.0072272
71,0.65641385,0.7162763,"('diffident', 'self-confident')",0.33557564,0.5142607,0.065599985,0.29268944,0.3434472,0.5201756,0.3502592,0.5108505,-0.1605913
37,-0.65242654,-0.31601804,"('fake', 'genuine')",-0.79429877,-0.5244564,-0.7327505,-0.54993415,0.06363749,0.15836383,-0.5289596,-0.3080112,-0.2209484
4,-0.6441204,-0.2479114,"('disliked', 'liked')",0.09901046,-0.041283946,-0.69186145,-0.7823522,-6.077645,-5.888111,-1.8286541,-1.7399147,-0.0887394
44,0.6268284,0.2951372,"('prejudiced', 'unprejudiced')",1.2224414,1.0483439,0.30968732,0.094599985,-0.80751795,-1.1405624,0.3378598,0.0743797,0.2634801
76,0.5784517,0.2168353,"('anxious', 'daring')",0.5766561,0.0029413514,1.2375947,0.7900079,0.5023041,0.21384835,0.7237517,0.3059082,0.4178435
42,0.57302046,0.40028822,"('unreliable', 'reliable')",0.6672342,0.12638438,1.0596845,0.7251185,-2.4382129,-2.6303868,-0.0345684,-0.3446489,0.3100805
14,-0.5372745,-0.900176,"('antisocial', 'social')",0.34808707,-0.026245236,1.9342456,1.6154951,-0.3819327,-0.6878971,0.3407814,0.0002942,0.3404872
64,0.52820486,0.2783007,"('shy', 'confident')",0.038785376,-0.2509155,1.0668597,0.8862797,-5.821026,-5.8622108,-1.0467939,-1.2371365,0.1903426
9,-0.5021212,-0.0859323,"('unaffectionate', 'caring')",-0.45544413,-0.14586881,-0.630168,-0.41732445,0.7441301,0.9913384,-0.2109008,0.0855532,-0.296454
51,0.45707902,0.39099967,"('uneducated', 'educated')",-0.020610124,-0.22716594,0.3148306,0.18829228,0.60229295,0.559257,0.3383981,0.2278457,0.1105524
23,-0.4459845,-0.7384033,"('insincere', 'sincere')",-0.63423383,-0.9481779,0.4051787,0.13571995,5.803724,5.3428793,1.282171,0.9480045,0.3341665
87,-0.43298963,-0.56704974,"('unsuccessful', 'successful')",0.59909314,0.48052847,1.258171,1.1515738,0.8167215,0.84531003,0.560249,0.4775906,0.0826584
5,-0.42783108,-0.036542296,"('distant', 'outgoing')",0.26810217,0.59653467,-1.5329745,-1.3030723,-0.6263133,-0.34766784,-0.5797542,-0.272687,-0.3070672
75,0.40933868,0.57262886,"('meek', 'impulsive')",1.0612895,0.8980664,-0.6600473,-0.74329776,-0.510869,-0.58473265,0.074928,0.0356662,0.0392618
61,-0.4079978,-0.43421113,"('illogical', 'logical')",-0.76695997,-0.7941444,-0.19823691,-0.1983722,-0.00900849,0.0671893,-0.3455508,-0.3398846,-0.0056662
2,0.40432388,0.40424517,"('unlikable', 'likable')",1.633279,1.3666763,1.9186267,1.7977419,1.0740216,0.9258791,1.2575629,1.1236356,0.1339273
56,0.35539973,-0.21288177,"('impractical', 'practical')",0.646892,0.15292458,0.976835,0.41448715,0.45139903,-0.0026291888,0.6076314,0.0879752,0.5196562
72,0.34571117,0.27847627,"('unambitious', 'ambitious')",-0.15050738,-0.33438727,0.52069783,0.48434836,-0.8590731,-0.9094367,-0.0357929,-0.1202498,0.0844569
25,-0.34510177,-0.19351926,"('egoistic', 'altruistic')",0.6312001,0.71389365,-0.10518813,0.033431232,1.1596375,1.3882581,0.3351369,0.485516,-0.1503791
