,ebay_male,ebay_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.1190693,-1.9574099,"('unsympathetic', 'sympathetic')",0.11092451,0.22930902,-1.0040724,-0.8640504,-0.140022
21,-1.8455714,-1.6719841,"('immoral', 'moral')",-0.48609284,-0.53329086,-1.1658322,-1.1026375,-0.0631947
68,-1.554114,-1.5829859,"('dependent', 'independent')",-0.19916265,-0.364054,-0.8766383,-0.9735199,0.0968816
18,-1.4988184,-1.31641,"('disagreeable', 'welcoming')",-0.8502488,-0.83298993,-1.1745336,-1.0746999,-0.0998337
57,-1.4650291,-1.4121279,"('unimaginative', 'imaginative')",-3.029442,-2.9727578,-2.2472355,-2.1924429,-0.0547926
65,-1.4606221,-1.6225204,"('insecure', 'secure')",-0.054946765,-0.18697523,-0.7577844,-0.9047478,0.1469634
22,-1.4528872,-1.334538,"('untrustworthy', 'trustworthy')",-0.9105166,-0.933108,-1.1817019,-1.1338229,-0.047879
14,-1.4087923,-1.30157,"('antisocial', 'social')",-0.7786561,-0.68957,-1.0937243,-0.9955701,-0.0981542
45,-1.3669755,-1.3079482,"('incompetent', 'competent')",-0.076091364,-0.1616246,-0.7215335,-0.7347864,0.0132529
86,-1.3089314,-1.2270104,"('uninfluential', 'influential')",-0.018033393,-0.060123704,-0.6634824,-0.643567,-0.0199154
51,-1.2867987,-1.3566043,"('uneducated', 'educated')",0.9503351,0.9536314,-0.1682318,-0.2014865,0.0332547
73,1.2603635,1.4096351,"('helpless', 'self-reliant')",-3.182982,-3.1055155,-0.9613093,-0.8479402,-0.1133691
28,-1.2370591,-1.3362033,"('disloyal', 'loyal')",0.7637256,0.63577753,-0.2366668,-0.3502129,0.1135461
36,1.170467,1.0593853,"('hostile', 'amicable')",-0.60145026,-0.66009945,0.2845084,0.1996429,0.0848655
3,-1.1527315,-1.1330734,"('repellent', 'pleasant')",0.14726008,0.21479954,-0.5027357,-0.459137,-0.0435987
6,1.1498777,1.2854749,"('distant', 'open')",-0.056452688,-0.014192516,0.5467125,0.6356412,-0.0889287
85,1.0805222,1.2817658,"('insignificant', 'prestigious')",0.070578404,0.20545945,0.5755503,0.7436126,-0.1680623
37,-1.0676837,-0.8325878,"('fake', 'genuine')",0.2705711,0.31189,-0.3985563,-0.2603489,-0.1382074
71,1.0563185,1.1159843,"('diffident', 'self-confident')",0.6703641,0.7920487,0.8633413,0.9540165,-0.0906752
64,-1.0353423,-0.77452785,"('shy', 'confident')",-7.480117,-7.305916,-4.2577295,-4.0402217,-0.2175078
70,-1.02991,-0.9681682,"('lethargic', 'energetic')",1.0779228,1.169022,0.0240064,0.1004269,-0.0764205
81,-1.0230526,-1.0094995,"('submissive', 'aggressive')",-0.3193326,-0.44506067,-0.6711926,-0.7272801,0.0560875
30,-0.98650324,-0.8403048,"('intolerant', 'tolerant')",0.79151964,0.77740633,-0.0974918,-0.0314492,-0.0660426
15,0.91150916,0.89243555,"('boring', 'funny')",0.08031486,0.029288094,0.495912,0.4608618,0.0350502
80,-0.9044302,-0.66602933,"('dominated', 'dominating')",-0.79154664,-0.7796947,-0.8479884,-0.722862,-0.1251264
55,-0.9036342,-0.8783945,"('incompetent', 'clever')",0.6760194,0.51660186,-0.1138074,-0.1808963,0.0670889
69,0.87595105,1.0609775,"('lazy', 'industrious')",-1.1142092,-0.9186383,-0.1191291,0.0711696,-0.1902987
49,-0.869649,-0.72736484,"('unable', 'able')",-0.018368978,0.11313956,-0.444009,-0.3071126,-0.1368964
35,0.84086126,0.9083488,"('corrupt', 'incorrupt')",-0.8182672,-0.77338046,0.011297,0.0674842,-0.0561872
77,-0.82821095,-0.82537174,"('unmotivated', 'motivated')",-0.8907481,-0.8630528,-0.8594795,-0.8442123,-0.0152672
5,0.8273903,1.0167295,"('distant', 'outgoing')",-0.58522284,-0.588858,0.1210837,0.2139357,-0.092852
0,-0.82034236,-0.9077127,"('unsociable', 'sociable')",-0.2802734,-0.43890446,-0.5503079,-0.6733086,0.1230007
33,0.80499864,0.83472097,"('wrong', 'right')",-0.8819883,-0.9816881,-0.0384948,-0.0734836,0.0349888
43,-0.7646254,-0.60668445,"('irresponsible', 'responsible')",0.82728,0.8603432,0.0313273,0.1268294,-0.0955021
87,0.76140845,0.7436087,"('unsuccessful', 'successful')",1.1449696,1.0668354,0.953189,0.9052221,0.0479669
46,-0.7368811,-0.7563444,"('uncompetitive', 'competitive')",-0.045846142,-0.08877626,-0.3913636,-0.4225603,0.0311967
25,0.7263497,0.6702736,"('egoistic', 'altruistic')",1.3395711,1.2847321,1.0329604,0.9775028,0.0554576
23,-0.6752684,-0.8112902,"('insincere', 'sincere')",6.6643357,6.4305506,2.9945335,2.8096302,0.1849033
9,0.6581017,0.6411592,"('unaffectionate', 'caring')",1.0980165,0.9763963,0.8780591,0.8087777,0.0692814
41,-0.637186,-0.5672077,"('unforgiving', 'forgiving')",-0.61318,-0.7002499,-0.625183,-0.6337288,0.0085458
48,-0.5888066,-0.64778537,"('unintelligent', 'intelligent')",0.95461965,0.8744961,0.1829065,0.1133554,0.0695511
19,-0.58692694,-0.5226979,"('inhospitable', 'hospitable')",-0.011293128,0.049112972,-0.29911,-0.2367925,-0.0623175
88,-0.5764441,-0.48461884,"('low', 'eminent')",-0.04663557,-0.04148212,-0.3115398,-0.2630505,-0.0484893
62,-0.55247366,-0.3620154,"('incompetent', 'brilliant')",1.0016463,0.99234927,0.2245863,0.315167,-0.0905807
1,0.53843474,0.48373863,"('unfriendly', 'friendly')",1.4153316,1.2048877,0.9768832,0.8443132,0.13257
82,-0.5283161,-0.88013184,"('poor', 'rich')",7.115856,6.8840685,3.2937701,3.0019684,0.2918017
24,-0.527716,-0.36587104,"('dishonest', 'honest')",0.9122796,0.76515865,0.1922818,0.1996438,-0.007362
13,-0.52526337,-0.59580415,"('impolite', 'polite')",-0.11592165,-0.119537726,-0.3205925,-0.3576709,0.0370784
8,0.52451956,0.4701216,"('unaffectionate', 'affectionate')",0.4325878,0.34134364,0.4785537,0.4057326,0.0728211
39,0.49633223,0.62728256,"('exploitative', 'cooperative')",0.101158544,0.08203656,0.2987454,0.3546596,-0.0559142
16,0.4920725,0.4521952,"('unpopular', 'popular')",0.5567086,0.49389637,0.5243905,0.4730458,0.0513447
34,0.48208535,0.39326203,"('mean', 'honorable')",6.6461954,6.678351,3.5641403,3.5358064,0.0283339
7,-0.44041628,-0.32290587,"('insensitive', 'sensitive')",1.0494215,1.0343889,0.3045026,0.3557415,-0.0512389
53,-0.3848682,-0.20473182,"('uncreative', 'creative')",0.7680287,0.75876945,0.1915802,0.2770188,-0.0854386
32,-0.3761304,-0.47407657,"('unkind', 'kind')",0.9163588,0.79428315,0.2701142,0.1601033,0.1100109
11,-0.36961648,-0.42524815,"('unhelpful', 'helpful')",2.3271804,2.2812948,0.9787819,0.9280233,0.0507586
42,-0.3646506,-0.17546092,"('unreliable', 'reliable')",-2.8707209,-2.69998,-1.6176858,-1.4377204,-0.1799654
66,-0.357266,-0.08530132,"('inactive', 'active')",0.49241304,0.704037,0.0675735,0.3093678,-0.2417943
56,-0.34009403,-0.38558897,"('impractical', 'practical')",0.28534198,0.28598133,-0.027376,-0.0498038,0.0224278
76,0.32554087,0.47715268,"('anxious', 'daring')",1.0272987,1.0700852,0.6764198,0.7736189,-0.0971991
72,-0.32520905,-0.39889053,"('unambitious', 'ambitious')",-0.55880487,-0.77580655,-0.4420069,-0.5873485,0.1453416
83,0.31669334,0.51567847,"('powerless', 'powerful')",-0.6291512,-0.63963306,-0.1562289,-0.0619773,-0.0942516
40,-0.30399475,-0.21891907,"('stingy', 'generous')",-1.8763295,-1.9452351,-1.0901622,-1.0820771,-0.0080851
54,0.29770958,0.49090666,"('incapable', 'capable')",1.2860333,1.44167,0.7918714,0.9662883,-0.1744169
29,-0.29496068,-0.20739928,"('unfair', 'fair')",-0.7303319,-0.7733204,-0.5126463,-0.4903598,-0.0222865
26,0.29292935,0.3855181,"('hardhearted', 'benevolent')",1.0599428,1.1204004,0.6764361,0.7529593,-0.0765232
67,-0.2793287,-0.2398413,"('doubtful', 'determined')",-0.75257325,-0.7579471,-0.515951,-0.4988942,-0.0170568
59,0.27257374,0.27236462,"('foolish', 'wise')",-0.027607989,-0.110723846,0.1224829,0.0808204,0.0416625
2,-0.26743618,-0.051653914,"('unlikable', 'likable')",0.24816544,0.34884378,-0.0096354,0.1485949,-0.1582303
75,0.26616472,0.32544935,"('meek', 'impulsive')",-0.38831124,-0.35491848,-0.0610733,-0.0147346,-0.0463387
27,0.2644064,0.38543665,"('hardhearted', 'softhearted')",1.07438,1.0616918,0.6693932,0.7235642,-0.054171
79,0.23818906,0.31948352,"('wavering', 'unwavering')",-0.025498461,0.04125611,0.1063453,0.1803698,-0.0740245
44,-0.23788825,-0.13926917,"('prejudiced', 'unprejudiced')",-1.4837222,-1.4578359,-0.8608052,-0.7985525,-0.0622527
17,-0.22309989,-0.15955237,"('nasty', 'nice')",-0.58169425,-0.53652096,-0.4023971,-0.3480366,-0.0543605
58,-0.21162267,-0.0672404,"('undiscriminating', 'discriminating')",0.19436578,0.1849308,-0.0086284,0.0588452,-0.0674736
74,-0.2062085,-0.1675159,"('undedicated', 'dedicated')",0.12865494,0.12683591,-0.0387768,-0.02034,-0.0184368
84,0.20523007,0.18061106,"('inferior', 'superior')",0.8522245,0.8478048,0.5287273,0.5142079,0.0145194
50,0.2006484,0.18567234,"('clumsy', 'skillful')",0.43676323,0.43029556,0.3187058,0.3079839,0.0107219
12,-0.19073017,-0.039198846,"('unsupportive', 'supportive')",-1.6909164,-1.6696024,-0.9408233,-0.8544006,-0.0864227
20,-0.18710624,-0.060243167,"('rough', 'thoughtful')",1.1947442,1.2628284,0.503819,0.6012926,-0.0974736
38,-0.1849436,-0.16807336,"('untruthful', 'truthful')",0.13152745,0.072376885,-0.0267081,-0.0478482,0.0211401
78,0.13291201,-0.005108271,"('nonresilient', 'resilient')",0.8496337,0.97256404,0.4912729,0.4837279,0.007545
4,-0.11754909,-0.06108174,"('disliked', 'liked')",-7.23375,-7.134225,-3.6756494,-3.5976534,-0.077996
63,0.10982937,0.10798752,"('unperceptive', 'insightful')",1.6697683,1.5999873,0.8897989,0.8539874,0.0358115
31,0.088777415,0.2152873,"('evil', 'good')",-1.5746281,-1.7152532,-0.7429253,-0.749983,0.0070577
52,0.07521853,-0.024390783,"('irrational', 'rational')",-0.8503889,-1.0091377,-0.3875852,-0.5167643,0.1291791
61,-0.040507264,0.0025374815,"('illogical', 'logical')",0.18421741,0.13880055,0.0718551,0.070669,0.0011861
47,-0.029556967,0.057110418,"('stupid', 'smart')",5.8771205,5.90613,2.9237819,2.9816201,-0.0578382
60,0.018882781,-0.013015262,"('inefficient', 'efficient')",0.7394686,0.6909938,0.3791757,0.3389893,0.0401864
