,nike_male,nike_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,2.2959907,2.6834216,"('unfriendly', 'friendly')",1.5346245,1.6819584,1.9153075,2.1826901,-0.2673826
26,1.9792545,2.2601926,"('hardhearted', 'benevolent')",1.1408393,1.4735501,1.5600469,1.8668714,-0.3068245
71,1.8352067,2.165102,"('diffident', 'self-confident')",0.17500602,0.5230298,1.0051063,1.3440659,-0.3389596
53,1.7045245,1.8418685,"('uncreative', 'creative')",0.8198506,0.9222653,1.2621876,1.382067,-0.1198794
44,-1.6547309,-1.7144991,"('prejudiced', 'unprejudiced')",-1.6640292,-1.5149966,-1.6593801,-1.6147479,-0.0446322
12,1.6245964,1.7236143,"('unsupportive', 'supportive')",-1.5545202,-1.4215834,0.0350381,0.1510155,-0.1159774
9,1.5964415,1.7957947,"('unaffectionate', 'caring')",0.92294836,0.91115063,1.2596949,1.3534727,-0.0937778
23,1.4614935,1.2498772,"('insincere', 'sincere')",6.654955,6.375222,4.0582242,3.8125496,0.2456746
33,1.3937373,1.6523268,"('wrong', 'right')",-0.66350555,-0.52868015,0.3651159,0.5618234,-0.1967075
64,-1.3212711,-1.3737904,"('shy', 'confident')",-6.4659505,-6.3284664,-3.8936107,-3.8511283,-0.0424824
39,1.2674652,0.9737423,"('exploitative', 'cooperative')",0.103710085,0.2217555,0.6855876,0.5977489,0.0878387
85,1.2531428,1.9989641,"('insignificant', 'prestigious')",0.033723015,0.5071565,0.6434329,1.2530603,-0.6096274
56,1.2386605,1.0502381,"('impractical', 'practical')",-0.119687304,-0.18547256,0.5594866,0.4323828,0.1271038
57,-1.1870974,-1.1366307,"('unimaginative', 'imaginative')",-2.9406557,-2.8489296,-2.0638766,-1.9927802,-0.0710964
29,-1.1254611,-0.9395728,"('unfair', 'fair')",-0.48102796,-0.3965625,-0.8032445,-0.6680676,-0.1351769
66,-1.1132197,-1.0116255,"('inactive', 'active')",0.28871506,0.28448498,-0.4122523,-0.3635703,-0.048682
74,1.0642723,1.1597534,"('undedicated', 'dedicated')",0.13223402,0.2621187,0.5982531,0.7109361,-0.112683
45,-1.0208268,-1.0095032,"('incompetent', 'competent')",-0.42169708,-0.6119852,-0.721262,-0.8107442,0.0894822
81,-1.0168347,-1.2893378,"('submissive', 'aggressive')",-0.8528753,-1.0606234,-0.934855,-1.1749806,0.2401256
54,1.0012301,1.3942819,"('incapable', 'capable')",1.209655,1.4343867,1.1054425,1.4143343,-0.3088918
4,-0.9992066,-0.5458574,"('disliked', 'liked')",-6.9270983,-6.55582,-3.9631524,-3.5508387,-0.4123137
75,-0.99552304,-0.7111469,"('meek', 'impulsive')",-0.5470416,-0.49282342,-0.7712823,-0.6019852,-0.1692971
24,0.96334827,0.6786095,"('dishonest', 'honest')",1.2520388,1.1562461,1.1076936,0.9174278,0.1902658
72,0.94243276,0.5953191,"('unambitious', 'ambitious')",-0.76120687,-0.7633766,0.0906129,-0.0840288,0.1746417
84,0.93139935,1.0473194,"('inferior', 'superior')",1.0211968,1.0542523,0.9762981,1.0507858,-0.0744877
80,-0.899951,-1.1556714,"('dominated', 'dominating')",-0.9517849,-1.1540054,-0.9258679,-1.1548383,0.2289704
32,0.89537436,0.8828795,"('unkind', 'kind')",1.1192862,1.2325573,1.0073303,1.0577184,-0.0503881
73,0.8680556,0.84135485,"('helpless', 'self-reliant')",-3.239997,-3.144335,-1.1859707,-1.1514901,-0.0344806
35,-0.8464207,-0.47882485,"('corrupt', 'incorrupt')",-0.56592953,-0.44599068,-0.7061751,-0.4624078,-0.2437673
61,0.82642514,0.72040826,"('illogical', 'logical')",0.34249744,0.41998968,0.5844613,0.570199,0.0142623
17,-0.8107181,-0.8448176,"('nasty', 'nice')",-0.7749476,-0.69822633,-0.7928329,-0.7715219,-0.021311
30,0.7512975,0.48370233,"('intolerant', 'tolerant')",1.0760901,0.9376617,0.9136938,0.710682,0.2030118
25,0.7373058,0.82484907,"('egoistic', 'altruistic')",1.2849158,1.4229879,1.0111108,1.1239185,-0.1128077
60,0.7202748,0.12911043,"('inefficient', 'efficient')",0.64781064,0.54279053,0.6840427,0.3359505,0.3480922
22,-0.69638747,-0.7069247,"('untrustworthy', 'trustworthy')",-0.83353686,-0.8711997,-0.7649622,-0.7890622,0.0241
5,0.68777,1.1288208,"('distant', 'outgoing')",-0.67068845,-0.4855842,0.0085408,0.3216183,-0.3130775
34,0.684655,0.5063184,"('mean', 'honorable')",6.4226346,6.3186693,3.5536449,3.4124939,0.141151
13,-0.5783117,-0.78235716,"('impolite', 'polite')",-0.16738567,-0.28035975,-0.3728487,-0.5313585,0.1585098
68,-0.57778484,-0.6938863,"('dependent', 'independent')",-0.3806685,-0.22032544,-0.4792266,-0.4571059,-0.0221207
14,-0.5741998,-0.8892401,"('antisocial', 'social')",-0.87774974,-0.9427297,-0.7259748,-0.9159849,0.1900101
62,0.5533361,0.1093366,"('incompetent', 'brilliant')",0.46971947,0.0835139,0.5115278,0.0964253,0.4151025
