,tjx_male,tjx_female,tuple,companies_male,companies_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.0213566,-1.7380872,"('unfriendly', 'friendly')",-1.2869025,-0.96604455,1.6471004,1.8458196,-0.5537195,-0.286104,-0.2676155
78,-1.656012,-1.5304929,"('nonresilient', 'resilient')",0.28890696,0.033129543,0.13531439,0.038908295,-0.4105969,-0.4861517,0.0755548
8,-1.3767443,-1.2035924,"('unaffectionate', 'affectionate')",-1.1081082,-0.8283636,0.53530943,0.56789577,-0.6498476,-0.4880201,-0.1618275
42,1.3748013,1.3265123,"('unreliable', 'reliable')",1.0575154,1.0191581,-2.2095573,-2.1288486,0.0742532,0.072274,0.0019792
36,-1.2484909,-1.1899997,"('hostile', 'amicable')",-2.7014983,-2.5045981,-0.0045881085,-0.07451939,-1.3181925,-1.2563724,-0.0618201
48,-1.2339493,-1.1938915,"('unintelligent', 'intelligent')",-0.32777238,-0.2629093,0.13505703,0.18514405,-0.4755549,-0.4238856,-0.0516693
39,1.1898035,1.1455436,"('exploitative', 'cooperative')",1.0699843,1.0915078,0.29573727,0.2603476,0.8518417,0.8324664,0.0193753
53,-1.1760538,-1.108215,"('uncreative', 'creative')",0.51246125,0.47973967,0.92838097,1.1384249,0.0882628,0.1699832,-0.0817204
9,-1.1610497,-0.9505139,"('unaffectionate', 'caring')",-0.29984304,-0.051773794,1.400658,1.5043814,-0.0200783,0.1673646,-0.1874429
67,1.1493434,1.1305237,"('doubtful', 'determined')",0.03747974,0.16130179,-0.4533519,-0.46263528,0.2444904,0.2763968,-0.0319064
26,-1.146838,-1.064591,"('hardhearted', 'benevolent')",1.023581,1.0428758,1.7703633,1.838932,0.5490355,0.6057389,-0.0567034
86,-1.118273,-1.2592313,"('uninfluential', 'influential')",0.46677294,0.32648295,0.28032053,0.21913694,-0.1237265,-0.2378705,0.114144
73,1.0777726,1.1397672,"('helpless', 'self-reliant')",0.13561803,0.42370138,-3.1769056,-3.1272268,-0.654505,-0.5212528,-0.1332522
62,1.0627029,0.91236204,"('incompetent', 'brilliant')",2.1916385,2.1426172,0.4634433,0.536929,1.2392615,1.1973028,0.0419587
56,1.0034535,0.9922543,"('impractical', 'practical')",2.1472142,1.9439355,0.2366865,0.36829138,1.129118,1.1014938,0.0276242
25,-0.9898311,-0.7005061,"('egoistic', 'altruistic')",-0.11733784,0.2939002,1.1334001,1.292634,0.0087437,0.2953427,-0.286599
31,-0.98559016,-0.87129873,"('evil', 'good')",-1.602138,-1.3150032,-1.0382473,-1.1924347,-1.2086585,-1.1262455,-0.082413
79,-0.95763487,-0.7824816,"('wavering', 'unwavering')",-1.7486935,-1.573966,0.06043937,0.11655603,-0.881963,-0.7466306,-0.1353324
64,0.95098495,0.8233069,"('shy', 'confident')",1.5793478,1.4361893,-6.258151,-6.187545,-1.2426061,-1.3093495,0.0667434
49,-0.9483043,-0.85075694,"('unable', 'able')",-0.3728421,-0.36472553,-0.42852235,-0.38231823,-0.5832229,-0.5326002,-0.0506227
18,-0.9287442,-0.838222,"('disagreeable', 'welcoming')",-0.8456534,-0.5302162,-0.51089877,-0.46918452,-0.7617655,-0.6125409,-0.1492246
60,0.8867924,0.8646169,"('inefficient', 'efficient')",2.5592504,2.4701855,0.20754388,0.34931538,1.2178622,1.2280393,-0.0101771
10,-0.84460795,-1.1046649,"('unsympathetic', 'sympathetic')",1.1444877,0.6878964,0.35293308,0.23140556,0.2176043,-0.0617877,0.279392
57,-0.8210432,-1.0974934,"('unimaginative', 'imaginative')",0.5050969,0.094232515,-2.3112206,-2.41996,-0.8757223,-1.1410736,0.2653513
54,-0.79934716,-0.67654145,"('incapable', 'capable')",-0.6905498,-0.36246735,0.88919073,0.97011316,-0.2002354,-0.0229652,-0.1772702
2,0.7918669,0.87991625,"('unlikable', 'likable')",0.93406856,1.1664528,0.51416695,0.7255609,0.7467008,0.9239767,-0.1772759
66,-0.75416684,-0.94638157,"('inactive', 'active')",-0.26904216,-0.38004863,1.2445693,1.1490725,0.0737868,-0.0591192,0.132906
6,-0.7513878,-0.48469603,"('distant', 'open')",-2.1691113,-1.6613947,0.59238654,0.68536973,-0.7760375,-0.486907,-0.2891305
23,-0.7464386,-0.7154501,"('insincere', 'sincere')",0.4752492,0.5197274,5.798691,5.785277,1.8425005,1.8631848,-0.0206843
87,0.6866419,0.5278796,"('unsuccessful', 'successful')",2.1891398,1.8381004,0.9496338,0.8486621,1.2751385,1.0715474,0.2035911
38,-0.6815602,-0.43139097,"('untruthful', 'truthful')",-0.21163295,0.060574256,0.3011313,0.51272446,-0.197354,0.0473026,-0.2446566
34,-0.6670445,-0.5612075,"('mean', 'honorable')",0.3583697,0.34769383,6.163186,6.14868,1.9515038,1.9783888,-0.026885
43,0.66287094,0.56524956,"('irresponsible', 'responsible')",1.2707047,1.2032892,0.87216336,0.82411444,0.9352463,0.8642178,0.0710285
0,-0.6615747,-0.79382247,"('unsociable', 'sociable')",1.0110062,0.71812975,-0.26339215,-0.3779415,0.0286798,-0.1512114,0.1798912
82,-0.6563672,-0.63197637,"('poor', 'rich')",0.49236646,0.5089222,6.0807037,6.161741,1.9722344,2.0128956,-0.0406612
27,-0.6495788,-0.6731417,"('hardhearted', 'softhearted')",0.16710748,0.19876114,1.2248439,1.1868418,0.2474575,0.2374871,0.0099704
85,-0.6351318,-0.36137804,"('insignificant', 'prestigious')",-0.72073793,-0.3744869,0.5911254,0.7943797,-0.2549148,0.0195049,-0.2744197
13,0.62889844,0.6315901,"('impolite', 'polite')",1.4741073,1.354629,0.11571529,0.013320282,0.7395736,0.6665132,0.0730604
80,0.6183567,0.32299358,"('dominated', 'dominating')",1.3897961,1.0259999,-1.0210524,-1.14587,0.3290335,0.0677079,0.2613256
28,-0.61313176,-0.61362344,"('disloyal', 'loyal')",-0.06373002,0.028584009,1.120774,1.1901213,0.1479708,0.201694,-0.0537232
68,-0.6078691,-0.68743914,"('dependent', 'independent')",-0.6552284,-0.61571944,-0.40837678,-0.5584853,-0.5571581,-0.6205479,0.0633898
72,-0.60055536,-0.54604304,"('unambitious', 'ambitious')",-0.31875065,-0.32462105,-0.9094697,-0.9171353,-0.6095919,-0.5959331,-0.0136588
40,-0.5884025,-0.72770953,"('stingy', 'generous')",0.6941783,0.64685273,-1.0811709,-1.2613261,-0.3251317,-0.4473943,0.1222626
32,-0.58730876,-0.43237337,"('unkind', 'kind')",0.70468175,0.7633507,0.86998415,1.087446,0.329119,0.4728078,-0.1436888
88,-0.58040935,-0.51086134,"('low', 'eminent')",0.3315513,0.38252163,0.16071479,0.3345378,-0.0293811,0.0687327,-0.0981138
59,0.57252246,0.75717694,"('foolish', 'wise')",-0.98941,-0.61643946,0.15564962,0.19996586,-0.0870793,0.1135678,-0.2006471
35,-0.5668946,-0.53359765,"('corrupt', 'incorrupt')",-2.4139075,-2.0920272,-0.33004907,-0.42434523,-1.103617,-1.0166567,-0.0869603
30,0.56588864,0.4833119,"('intolerant', 'tolerant')",2.300056,2.252349,0.8951962,0.980122,1.2537136,1.2385943,0.0151193
81,0.55093914,0.42486203,"('submissive', 'aggressive')",1.6639973,1.4808238,-0.5420706,-0.40903848,0.557622,0.4988825,0.0587395
70,0.5349197,0.26464495,"('lethargic', 'energetic')",2.0511575,1.702625,1.1360265,0.9856136,1.2407012,0.9842946,0.2564066
19,-0.51285577,-0.39533725,"('inhospitable', 'hospitable')",-1.0719215,-0.8145456,-0.091475755,-0.062126912,-0.558751,-0.4240032,-0.1347478
84,0.48682162,0.43060365,"('inferior', 'superior')",-0.5240994,-0.49366155,0.6914946,0.56716543,0.2180723,0.1680358,0.0500365
44,0.4840851,0.53576875,"('prejudiced', 'unprejudiced')",-0.56167734,-0.43142733,-1.3554602,-1.2865806,-0.4776841,-0.3940797,-0.0836044
20,-0.46409827,-0.57167536,"('rough', 'thoughtful')",-0.16911341,-0.2466714,1.066717,0.9213115,0.1445018,0.0343216,0.1101802
22,0.44564492,0.22953787,"('untrustworthy', 'trustworthy')",0.81505203,0.61226934,-0.7596457,-1.0061986,0.1670171,-0.0547971,0.2218142
41,-0.443959,-0.39977908,"('unforgiving', 'forgiving')",0.12786575,0.25500804,0.26719642,0.22867855,-0.0162989,0.0279692,-0.0442681
58,-0.44304547,-0.65306497,"('undiscriminating', 'discriminating')",0.80004734,0.54788107,0.26675737,0.18564087,0.2079198,0.026819,0.1811008
45,0.4422217,0.09317824,"('incompetent', 'competent')",1.5159897,1.228881,0.30511612,0.15890382,0.7544425,0.4936544,0.2607881
5,-0.43644884,-0.20245424,"('distant', 'outgoing')",-1.3148817,-0.92835504,-0.14080873,-0.07015911,-0.6307131,-0.4003228,-0.2303903
77,-0.40919608,-0.33471367,"('unmotivated', 'motivated')",0.574617,0.51046634,-0.9488559,-0.92489743,-0.261145,-0.2497149,-0.0114301
21,0.3522878,0.31798428,"('immoral', 'moral')",1.3881174,1.3349695,-0.8852345,-0.8280212,0.2850569,0.2749775,0.0100794
14,0.34242666,0.05742542,"('antisocial', 'social')",2.0635464,1.6238463,-0.5359518,-0.75178033,0.6233404,0.3098304,0.31351
24,0.31702015,0.333561,"('dishonest', 'honest')",-0.42110497,-0.18462071,1.0383976,1.0744077,0.3114376,0.4077827,-0.0963451
16,-0.3104409,-0.20184161,"('unpopular', 'popular')",-1.1341323,-1.0197213,0.6002751,0.6161592,-0.2814327,-0.2018012,-0.0796315
75,0.30743155,0.30959505,"('meek', 'impulsive')",-0.816179,-0.73222655,-0.34474537,-0.32872048,-0.2844976,-0.2504507,-0.0340469
74,-0.30546257,-0.31872106,"('undedicated', 'dedicated')",1.2501712,1.2778203,0.6903807,0.82332766,0.5450298,0.5941423,-0.0491125
55,0.25881344,0.022467066,"('incompetent', 'clever')",1.8135908,1.5924424,0.079409055,0.023225596,0.7172711,0.546045,0.1712261
52,-0.2585482,-0.07901068,"('irrational', 'rational')",-2.139554,-1.8680189,-0.7265869,-0.5900515,-1.041563,-0.8456937,-0.1958693
29,0.24763943,0.12987557,"('unfair', 'fair')",-1.8280094,-1.7509027,-0.8227325,-0.9833607,-0.8010341,-0.8681293,0.0670952
51,-0.23126324,-0.35834762,"('uneducated', 'educated')",1.2512333,1.0520492,0.41190854,0.4297674,0.4772929,0.3744896,0.1028033
15,0.2105688,0.269292,"('boring', 'funny')",-0.45334142,-0.30342662,0.15493283,0.11129978,-0.0292799,0.0257217,-0.0550016
7,0.18766457,0.011834685,"('insensitive', 'sensitive')",0.7732908,0.577925,0.9201542,0.80481386,0.6270365,0.4648579,0.1621786
33,0.17716238,0.26465583,"('wrong', 'right')",-0.3143466,-0.03143882,-0.32261044,-0.3771004,-0.1532649,-0.0479611,-0.1053038
17,0.15998147,0.14989768,"('nasty', 'nice')",-0.67678285,-0.64165556,-0.3349741,-0.3549305,-0.2839252,-0.2822295,-0.0016957
4,0.15928662,0.12152538,"('disliked', 'liked')",0.06151433,0.062239625,-6.0647244,-5.9569955,-1.9479745,-1.9244102,-0.0235643
69,-0.15004674,0.024035845,"('lazy', 'industrious')",-0.22070146,0.14189216,-0.42135787,-0.3867346,-0.2640353,-0.0736022,-0.1904331
46,0.14436424,-0.20143631,"('uncompetitive', 'competitive')",2.4881425,1.9082221,-0.29868543,-0.4680687,0.7779404,0.4129057,0.3650347
76,0.14267255,-0.06011421,"('anxious', 'daring')",1.6331812,1.4295099,0.2526581,0.32329363,0.6761706,0.5642297,0.1119409
12,-0.123902515,-0.09565896,"('unsupportive', 'supportive')",1.5223684,1.6085012,-1.3351033,-1.2553225,0.0211209,0.0858399,-0.064719
61,0.11971387,0.08020383,"('illogical', 'logical')",-0.2533147,-0.28333914,0.27048576,0.16403377,0.0456283,-0.0130338,0.0586621
47,0.1186254,0.06258194,"('stupid', 'smart')",0.5444642,0.51693666,5.4221663,5.284748,2.0284187,1.9547556,0.0736631
65,-0.082614824,-0.27007997,"('insecure', 'secure')",0.5681719,0.287209,-0.41299888,-0.37985307,0.0241861,-0.120908,0.1450941
