,equity_male,equity_female,tuple,residential_male,residential_female,average_male,average_female,male-female
85,2.40157,2.0337148,"('insignificant', 'prestigious')",-1.0473133,-0.30802923,0.6771284,0.8628428,-0.1857144
26,2.180302,2.1941137,"('hardhearted', 'benevolent')",1.0359137,1.2662016,1.6081078,1.7301576,-0.1220498
9,2.073036,2.1108627,"('unaffectionate', 'caring')",1.8205056,2.508605,1.9467708,2.3097339,-0.3629631
71,1.8671502,1.8477974,"('diffident', 'self-confident')",0.7981794,1.2913094,1.3326647,1.5695534,-0.2368887
12,1.743699,2.1276643,"('unsupportive', 'supportive')",-0.6864848,-0.47989184,0.5286071,0.8238863,-0.2952792
34,1.6656203,1.525044,"('mean', 'honorable')",5.3440385,5.493104,3.5048294,3.509074,-0.0042446
44,-1.662225,-1.4749639,"('prejudiced', 'unprejudiced')",-1.41224,-1.4947882,-1.5372325,-1.484876,-0.0523565
27,1.5891136,1.6364458,"('hardhearted', 'softhearted')",1.0515982,1.4961588,1.3203559,1.5663023,-0.2459464
22,-1.5162414,-0.9515031,"('untrustworthy', 'trustworthy')",-0.6506453,-0.7570563,-1.0834434,-0.8542797,-0.2291637
2,1.4258318,1.8740826,"('unlikable', 'likable')",0.32068455,0.72146255,0.8732582,1.2977725,-0.4245143
23,1.3280386,1.1825585,"('insincere', 'sincere')",7.727452,7.601987,4.5277452,4.3922729,0.1354723
73,1.3159102,1.289297,"('helpless', 'self-reliant')",-3.530829,-3.134661,-1.1074593,-0.922682,-0.1847773
45,-1.2892483,-0.7800081,"('incompetent', 'competent')",0.6901942,0.48457024,-0.2995271,-0.1477189,-0.1518082
39,1.2696747,0.92381155,"('exploitative', 'cooperative')",0.5644105,0.5189426,0.9170426,0.7213771,0.1956655
82,-1.1701906,-0.8695403,"('poor', 'rich')",6.714783,6.8369355,2.7722964,2.9836977,-0.2114013
15,1.1470654,1.166038,"('boring', 'funny')",0.006062107,0.1795869,0.5765638,0.6728125,-0.0962487
61,1.1273791,0.9321052,"('illogical', 'logical')",0.57533246,0.55752933,0.8513558,0.7448173,0.1065385
16,-1.1179665,-1.0034696,"('unpopular', 'popular')",-0.15769851,0.034182586,-0.6378325,-0.4846435,-0.153189
30,1.1000049,1.1485064,"('intolerant', 'tolerant')",1.6045613,1.1410053,1.3522831,1.1447558,0.2075273
33,1.0958807,1.1059376,"('wrong', 'right')",0.1175673,0.5254616,0.606724,0.8156996,-0.2089756
6,1.081333,1.1288515,"('distant', 'open')",-0.5308416,0.28156823,0.2752457,0.7052099,-0.4299642
31,-1.0574738,-0.88411397,"('evil', 'good')",-1.9550772,-1.4487492,-1.5062754,-1.1664315,-0.3398439
5,1.0573654,1.1685101,"('distant', 'outgoing')",-0.7349361,-0.027879708,0.1612146,0.5703152,-0.4091006
68,-1.0209739,-0.81902784,"('dependent', 'independent')",-1.2525573,-1.1809205,-1.1367656,-0.9999741,-0.1367915
40,0.98863465,1.1530076,"('stingy', 'generous')",-2.1683834,-1.9733164,-0.5898744,-0.4101544,-0.17972
1,0.9737809,1.115134,"('unfriendly', 'friendly')",1.043678,1.8193438,1.0087295,1.4672389,-0.4585094
64,-0.95110154,-0.4437374,"('shy', 'confident')",-6.612882,-6.9043674,-3.781992,-3.6740525,-0.1079395
80,-0.94159836,-1.0224712,"('dominated', 'dominating')",0.10235682,-0.4916715,-0.4196208,-0.7570714,0.3374506
36,0.91703707,0.79312015,"('hostile', 'amicable')",-1.4162449,-0.85452,-0.2496039,-0.0306999,-0.218904
