,pg&e_male,pg&e_female,tuple,corp_male,corp_female,average_male,average_female,male-female
18,-1.5810671,-1.4739335,"('disagreeable', 'welcoming')",0.24796064,0.196654,-0.6665532,-0.6386397,-0.0279135
2,1.5456188,1.6032811,"('unlikable', 'likable')",1.5163002,1.789284,1.5309595,1.6962826,-0.1653231
62,1.386074,1.3780276,"('incompetent', 'brilliant')",-0.9760858,-0.8172493,0.2049941,0.2803891,-0.075395
15,1.3580842,1.5742872,"('boring', 'funny')",1.3773522,1.2788785,1.3677182,1.4265828,-0.0588646
81,-1.3469585,-1.0714986,"('submissive', 'aggressive')",-0.49656653,-0.18646716,-0.9217625,-0.6289829,-0.2927796
56,1.3361245,1.7390301,"('impractical', 'practical')",-1.001968,-0.58019817,0.1670783,0.579416,-0.4123377
10,-1.2769803,-1.1393888,"('unsympathetic', 'sympathetic')",-2.1485302,-1.9051278,-1.7127552,-1.5222583,-0.1904969
69,1.2148961,0.9425462,"('lazy', 'industrious')",1.5094922,1.2876031,1.3621941,1.1150746,0.2471195
29,1.1962839,0.94146276,"('unfair', 'fair')",0.2520898,0.2650535,0.7241869,0.6032581,0.1209288
35,-1.1754533,-1.3909168,"('corrupt', 'incorrupt')",0.62383646,0.5481729,-0.2758084,-0.421372,0.1455636
70,-1.0626482,-0.89844465,"('lethargic', 'energetic')",-0.9457437,-0.48318174,-1.0041959,-0.6908132,-0.3133827
17,-1.0401431,-0.6579695,"('nasty', 'nice')",-0.79835016,-0.6001707,-0.9192467,-0.62907,-0.2901767
53,1.0385424,0.98043454,"('uncreative', 'creative')",-0.5585579,-0.4283256,0.2399922,0.2760545,-0.0360623
39,0.991234,1.2205815,"('exploitative', 'cooperative')",-0.72631687,-0.37076437,0.1324586,0.4249086,-0.29245
38,-0.9890935,-1.2966459,"('untruthful', 'truthful')",-0.65471774,-0.7004229,-0.8219056,-0.9985344,0.1766288
68,-0.9681361,-1.34643,"('dependent', 'independent')",-0.6414027,-0.80037844,-0.8047694,-1.0734042,0.2686348
28,-0.90245837,-0.65334404,"('disloyal', 'loyal')",-1.3929112,-1.1465882,-1.1476848,-0.8999661,-0.2477187
42,0.8735993,1.0967286,"('unreliable', 'reliable')",1.1639519,1.4722533,1.0187756,1.2844909,-0.2657153
8,-0.84959835,-0.86596996,"('unaffectionate', 'affectionate')",-0.45676622,-0.64450854,-0.6531823,-0.7552392,0.1020569
21,0.83725053,1.1436232,"('immoral', 'moral')",-0.33202508,0.10257426,0.2526127,0.6230987,-0.370486
76,0.83032686,0.9579074,"('anxious', 'daring')",0.30398315,0.62327063,0.567155,0.790589,-0.223434
88,-0.8262649,-0.44815525,"('low', 'eminent')",0.024594057,0.7293092,-0.4008354,0.140577,-0.5414124
73,0.8092508,0.9712204,"('helpless', 'self-reliant')",0.6212695,0.6591024,0.7152601,0.8151613,-0.0999012
47,-0.8046491,-0.6579654,"('stupid', 'smart')",-0.81301826,-0.6454065,-0.8088337,-0.651686,-0.1571477
