,te_male,te_female,tuple,connectivity_male,connectivity_female,ltd_male,ltd_female,average_male,average_female,male-female
61,2.0391355,1.9829196,"('illogical', 'logical')",2.0251906,2.1842275,-0.020378832,0.027667426,1.3479824,1.3982716,-0.0502892
8,-1.9066806,-1.829153,"('unaffectionate', 'affectionate')",-0.9917518,-1.0720417,0.70457137,0.710446,-0.731287,-0.7302496,-0.0010374
14,1.8591539,1.8340787,"('antisocial', 'social')",2.066545,2.0210645,0.046389796,0.12221975,1.3240295,1.3257876,-0.0017581
35,-1.7511102,-1.4859613,"('corrupt', 'incorrupt')",-2.0183601,-2.0526252,-0.24618162,-0.15091974,-1.3385506,-1.2298354,-0.1087152
6,-1.7317444,-1.5822991,"('distant', 'open')",-0.7278037,-0.60285777,-0.13918927,-0.086371295,-0.8662457,-0.757176,-0.1090697
39,1.67817,1.810709,"('exploitative', 'cooperative')",1.3893999,1.4597785,-0.24659325,0.093973085,0.9403255,1.1214869,-0.1811614
60,1.6330969,1.7764393,"('inefficient', 'efficient')",2.4827695,2.5511734,-0.12175107,-0.10056765,1.3313719,1.409015,-0.0776431
56,1.4235097,1.4880288,"('impractical', 'practical')",1.236235,1.154857,0.22889668,0.52762467,0.9628805,1.0568368,-0.0939563
71,1.4173546,1.8860642,"('diffident', 'self-confident')",1.8524512,2.0906484,-0.012344573,0.28808713,1.0858204,1.4216,-0.3357796
31,-1.3563191,-1.2112834,"('evil', 'good')",-1.6390586,-1.6630315,-0.6663837,-0.6884644,-1.2205871,-1.1875931,-0.032994
43,1.3460121,1.4671024,"('irresponsible', 'responsible')",1.1381748,1.235496,0.7530642,0.9822551,1.0790837,1.2282845,-0.1492008
21,1.345714,1.4884433,"('immoral', 'moral')",0.31886157,0.47526664,-0.9041695,-0.6685071,0.2534687,0.4317342,-0.1782655
5,-1.2383038,-1.1588879,"('distant', 'outgoing')",-0.8110866,-0.78555363,-0.33274907,-0.2409599,-0.7940465,-0.7284671,-0.0655794
62,1.2073067,0.9886007,"('incompetent', 'brilliant')",1.7261376,1.7522168,0.013794482,0.17938001,0.982413,0.9733992,0.0090138
17,-1.1341472,-1.1208163,"('nasty', 'nice')",-0.31731585,-0.5868104,-0.16673335,-0.043271482,-0.5393988,-0.5836328,0.044234
66,-1.1300532,-1.057354,"('inactive', 'active')",-0.92977226,-0.804326,0.83529675,0.88890284,-0.4081762,-0.3242591,-0.0839171
73,1.0868735,1.1035336,"('helpless', 'self-reliant')",0.10282933,0.28435233,-2.8538845,-2.5543141,-0.5547272,-0.3888094,-0.1659178
36,-1.0848291,-0.9670812,"('hostile', 'amicable')",-0.8637899,-0.7336458,0.37068078,0.34404302,-0.5259794,-0.452228,-0.0737514
25,-1.0757735,-0.6725861,"('egoistic', 'altruistic')",0.19795704,0.30075032,0.59407806,0.75766283,-0.0945795,0.128609,-0.2231885
11,1.005805,0.9109596,"('unhelpful', 'helpful')",1.6038672,1.5636808,2.2998557,2.342096,1.6365093,1.6055787,0.0309306
75,-1.0034709,-0.94704264,"('meek', 'impulsive')",-0.18482602,0.013589393,-0.32249323,-0.27015325,-0.5035967,-0.4012022,-0.1023945
27,-1.0004826,-0.8452032,"('hardhearted', 'softhearted')",0.59078807,0.8307721,0.49170017,0.4875198,0.0273352,0.1576962,-0.130361
13,0.97303903,0.8297852,"('impolite', 'polite')",1.3519404,1.46668,-0.14861745,-0.039827697,0.7254539,0.7522126,-0.0267587
70,0.95939577,0.9604651,"('lethargic', 'energetic')",1.911104,2.0158968,1.0421071,1.2472161,1.3042022,1.4078593,-0.1036571
30,0.9303109,0.99257517,"('intolerant', 'tolerant')",2.4711192,2.3332202,1.3240993,1.374973,1.5751766,1.5669228,0.0082538
24,0.87470686,1.0118024,"('dishonest', 'honest')",0.69443846,0.6784551,0.3257589,0.5052161,0.6316348,0.7318246,-0.1001898
32,0.865406,0.93226695,"('unkind', 'kind')",0.9805519,1.0402825,1.2102764,1.240579,1.0187448,1.0710429,-0.0522981
