,raytheon_male,raytheon_female,tuple,co_male,co_female,average_male,average_female,male-female
10,-3.2850008,-3.1443813,"('unsympathetic', 'sympathetic')",0.2505778,0.33187947,-1.5172114,-1.406251,-0.1109604
69,2.7166114,2.7175574,"('lazy', 'industrious')",-1.5775555,-1.2875062,0.5695279,0.7150256,-0.1454977
45,-2.6943345,-2.530048,"('incompetent', 'competent')",-0.36122918,-0.13562365,-1.5277818,-1.3328358,-0.194946
43,-2.4178555,-2.2792602,"('irresponsible', 'responsible')",0.83108854,0.7808732,-0.7933835,-0.7491935,-0.04419
70,-2.3154938,-2.2731571,"('lethargic', 'energetic')",0.53162575,0.68395674,-0.891934,-0.7946002,-0.0973338
85,2.2673612,2.3489861,"('insignificant', 'prestigious')",-1.0389311,-0.99674374,0.614215,0.6761212,-0.0619062
35,1.979577,2.0528615,"('corrupt', 'incorrupt')",-1.1141305,-0.9087154,0.4327232,0.572073,-0.1393498
13,-1.9075792,-1.8309214,"('impolite', 'polite')",0.110381365,0.14075711,-0.8985989,-0.8450822,-0.0535167
55,-1.8934392,-1.9571805,"('incompetent', 'clever')",0.46458814,0.47592983,-0.7144255,-0.7406253,0.0261998
57,-1.6797148,-1.4877142,"('unimaginative', 'imaginative')",-3.294602,-2.9542599,-2.4871583,-2.2209871,-0.2661712
0,-1.6788498,-1.5763975,"('unsociable', 'sociable')",-0.32218075,-0.32717937,-1.0005152,-0.9517884,-0.0487268
23,-1.6025957,-1.5788951,"('insincere', 'sincere')",6.08823,5.96278,2.2428172,2.1919425,0.0508747
24,-1.601698,-1.3812494,"('dishonest', 'honest')",1.3227684,1.2621081,-0.1394648,-0.0595707,-0.0798941
60,-1.5973432,-1.5576694,"('inefficient', 'efficient')",0.42798203,0.27751946,-0.5846806,-0.640075,0.0553944
3,-1.5697948,-1.5078547,"('repellent', 'pleasant')",0.33056107,0.4776802,-0.6196169,-0.5150872,-0.1045297
14,-1.559342,-1.3793751,"('antisocial', 'social')",-0.4958828,-0.13709056,-1.0276124,-0.7582328,-0.2693796
63,-1.537164,-1.524994,"('unperceptive', 'insightful')",0.4146843,0.4358276,-0.5612398,-0.5445832,-0.0166566
