,molson_male,molson_female,tuple,coors_male,coors_female,beverage_male,beverage_female,co_male,co_female,average_male,average_female,male-female
10,-2.572587,-2.7004495,"('unsympathetic', 'sympathetic')",-3.2219145,-3.556325,-1.692354,-1.6571734,-0.16941401,-0.23747993,-1.9140674,-2.0378571,0.1237897
55,-2.2343452,-2.1671777,"('incompetent', 'clever')",-1.8858101,-2.3116872,-0.722387,-0.68337446,-0.016120655,-0.030781416,-1.2146657,-1.2982551,0.0835894
81,-2.219269,-1.9688948,"('submissive', 'aggressive')",-3.2709584,-3.309814,-1.4807495,-1.008368,-1.27267,-1.0449678,-2.0609119,-1.8330112,-0.2279007
21,-2.1254323,-2.0566652,"('immoral', 'moral')",-2.3666441,-2.573041,-0.5416746,-0.59526944,-0.840621,-0.8946958,-1.468593,-1.5299178,0.0613248
85,2.0718014,1.7567214,"('insignificant', 'prestigious')",2.1511827,2.2299216,2.1631553,1.823046,-0.08421137,-0.31842887,1.5754821,1.3728149,0.2026672
69,1.8334017,1.8687456,"('lazy', 'industrious')",2.495212,2.7010777,1.1225969,1.1321943,-0.8082117,-0.93157446,1.1607497,1.1926109,-0.0318612
65,-1.7690967,-1.8369062,"('insecure', 'secure')",-1.7444972,-2.040589,-0.79354465,-0.8482312,0.17711069,0.16688463,-1.0325069,-1.1397105,0.1072036
73,1.7654543,1.7455907,"('helpless', 'self-reliant')",2.6119254,2.80343,1.2200516,1.2112397,-3.120055,-3.0400503,0.6193441,0.6800526,-0.0607085
46,-1.7553452,-1.8610004,"('uncompetitive', 'competitive')",-1.7164505,-2.1029205,-0.53474796,-0.49874982,-0.37225434,-0.62861526,-1.0946995,-1.2728215,0.178122
57,-1.6349274,-1.8509992,"('unimaginative', 'imaginative')",-1.8892845,-2.2587426,-1.2546313,-1.3914944,-3.4722207,-3.6969974,-2.0627658,-2.2995584,0.2367926
71,1.5959833,1.3613951,"('diffident', 'self-confident')",1.1757337,1.1129237,2.1596699,2.0272348,0.6175797,0.4966702,1.3872416,1.2495559,0.1376857
