,king_male,king_female,tuple,pharmaceuticals_male,pharmaceuticals_female,inc_male,inc_female,average_male,average_female,male-female
24,1.3950002,1.6384438,"('dishonest', 'honest')",-1.2786753,-1.0739976,0.73205936,0.8807035,0.2827948,0.4817166,-0.1989218
57,-1.347404,-1.313136,"('unimaginative', 'imaginative')",-0.55660117,-0.6937711,-2.7154303,-2.7751791,-1.5398118,-1.5940288,0.054217
39,1.3277024,1.3493943,"('exploitative', 'cooperative')",-0.07318707,0.08371451,-0.39720803,-0.35243496,0.2857691,0.3602246,-0.0744555
9,1.2928543,1.0811856,"('unaffectionate', 'caring')",0.18431544,-0.0050973594,0.84471774,0.7725675,0.7739625,0.6162186,0.1577439
2,1.284915,1.369386,"('unlikable', 'likable')",0.31309542,0.3630731,0.36729226,0.6950067,0.6551009,0.8091553,-0.1540544
73,1.2180158,1.1421163,"('helpless', 'self-reliant')",-0.3680504,-0.43985453,-3.743533,-3.8389707,-0.9645225,-1.0455696,0.0810471
31,-1.1884658,-1.4233544,"('evil', 'good')",-0.49576607,-0.59907776,-1.1927568,-1.3578521,-0.9589962,-1.1267614,0.1677652
72,1.0928532,1.169198,"('unambitious', 'ambitious')",-0.19604862,-0.19835116,-1.0663387,-0.89942944,-0.0565114,0.0238058,-0.0803172
33,1.0803502,0.99759996,"('wrong', 'right')",0.6410304,0.6636785,-0.9034056,-0.94331855,0.2726583,0.23932,0.0333383
58,-1.076035,-0.93254066,"('undiscriminating', 'discriminating')",-0.5044199,-0.6943468,-0.13858424,-0.15641418,-0.5730131,-0.5944339,0.0214208
28,1.0611402,0.8444418,"('disloyal', 'loyal')",0.024879664,-0.03980797,1.3288901,1.0690464,0.8049699,0.62456,0.1804099
16,-0.95465,-0.95080584,"('unpopular', 'popular')",0.16055472,0.13640246,0.6832536,0.7244618,-0.0369472,-0.0299805,-0.0069667
36,-0.9344703,-1.3858342,"('hostile', 'amicable')",-1.1060206,-1.5693094,-0.02909262,-0.5594369,-0.6898611,-1.1715267,0.4816656
76,0.92279696,1.1384373,"('anxious', 'daring')",-0.9385653,-0.77774304,0.5501538,0.81176805,0.1781285,0.3908207,-0.2126922
8,0.9018459,0.47780463,"('unaffectionate', 'affectionate')",-0.042463254,-0.30082303,0.301067,0.019935401,0.3868165,0.065639,0.3211775
63,-0.8825073,-0.6451766,"('unperceptive', 'insightful')",-0.10043984,-0.023048926,1.0735404,1.5346227,0.0301978,0.288799,-0.2586012
25,0.84760773,0.9522669,"('egoistic', 'altruistic')",0.24555479,0.32701862,1.1962647,1.0449716,0.7631424,0.7747523,-0.0116099
46,-0.83653605,-0.16726331,"('uncompetitive', 'competitive')",0.020524777,0.16800472,-0.12043162,0.22847122,-0.3121476,0.0764042,-0.3885518
18,0.8355019,0.6278337,"('disagreeable', 'welcoming')",0.06789534,-0.10743567,-0.40800864,-0.6185755,0.1651295,-0.0327258,0.1978553
75,-0.80063045,-0.7802067,"('meek', 'impulsive')",-0.8445296,-0.8755768,-0.5515445,-0.36902225,-0.7322349,-0.6749352,-0.0572997
70,-0.785475,-0.41428354,"('lethargic', 'energetic')",-1.1079187,-0.8360976,0.7606506,1.2249557,-0.377581,-0.0084751,-0.3691059
