,goodyear_male,goodyear_female,tuple,tire_male,tire_female,&_male,&_female,rubber_male,rubber_female,co_male,co_female,average_male,average_female,male-female
10,-2.707178,-2.8191164,"('unsympathetic', 'sympathetic')",-1.7956527,-2.065664,-1.5759962,-1.9502548,-1.3408039,-1.5902896,-0.1738321,-0.19405144,-1.5186926,-1.7238754,0.2051828
60,-2.531332,-2.592581,"('inefficient', 'efficient')",-1.513191,-1.631508,-0.4659355,-0.66910803,-1.5536952,-1.6735336,-0.17602968,-0.22858801,-1.2480368,-1.3590637,0.1110269
0,-2.4840941,-2.5245836,"('unsociable', 'sociable')",-0.5032379,-0.7294124,-0.120385356,-0.30108756,-0.31834888,-0.47402364,0.07364268,-0.042490385,-0.6704847,-0.8143195,0.1438348
65,-2.3779864,-2.3672018,"('insecure', 'secure')",-2.151218,-2.3288934,-0.1469048,-0.4955182,-1.8315685,-2.0378473,-0.054204337,-0.13089475,-1.3123765,-1.4720711,0.1596946
35,2.3051207,2.3073683,"('corrupt', 'incorrupt')",1.4157822,1.5539279,0.48175102,0.8098547,0.6942905,0.6950815,-0.4369799,-0.43688515,0.891993,0.9858693,-0.0938763
57,-2.1399877,-2.1405723,"('unimaginative', 'imaginative')",-1.0849346,-1.2757825,-1.6011093,-1.7787566,-0.8419993,-1.0243993,-3.258416,-3.3405175,-1.7852894,-1.9120056,0.1267162
48,-2.0360227,-2.1645494,"('unintelligent', 'intelligent')",-1.2225101,-1.4222269,-1.3198589,-1.5810672,-1.7708745,-1.9424071,-0.36831805,-0.35581586,-1.3435168,-1.4932133,0.1496965
69,2.0322516,2.0606155,"('lazy', 'industrious')",1.5551322,1.629603,1.2519956,1.3572696,1.6646042,1.8483924,-0.6539576,-0.7454939,1.1700052,1.2300774,-0.0600722
55,-1.9884714,-2.0812502,"('incompetent', 'clever')",-2.1689723,-2.3127935,-0.27657133,-0.4687244,-2.6390998,-2.7276192,0.016412787,-0.068740994,-1.4113403,-1.5318256,0.1204853
14,-1.9815962,-2.0487614,"('antisocial', 'social')",-1.141071,-1.2820588,0.48833123,0.2438179,-0.43310177,-0.61509395,-0.28731623,-0.42847618,-0.6709508,-0.8261145,0.1551637
45,-1.9730371,-2.1141768,"('incompetent', 'competent')",-1.9795103,-2.2248473,-0.24015532,-0.51251715,-1.592939,-1.6324339,-0.86498815,-0.97106117,-1.330126,-1.4910072,0.1608812
86,-1.9580711,-1.9678965,"('uninfluential', 'influential')",-0.16086902,-0.22139896,-0.9843564,-1.2255008,-0.988505,-0.9507836,-0.39088178,-0.55178064,-0.8965366,-0.9834722,0.0869356
46,-1.9273951,-2.1544893,"('uncompetitive', 'competitive')",-1.0487887,-1.2759299,-0.8824154,-1.0403373,-1.2670004,-1.3676282,-0.83490795,-0.8958241,-1.1921016,-1.3468417,0.1547401
43,-1.8407809,-1.7463446,"('irresponsible', 'responsible')",-1.0230018,-1.1316316,-1.0406675,-0.9976078,-1.3636775,-1.4048222,-0.0968079,0.055149592,-1.0729871,-1.0450514,-0.0279357
41,-1.8195341,-1.7543042,"('unforgiving', 'forgiving')",-1.4562081,-1.477684,-0.37789518,-0.38186568,-1.4246985,-1.3274468,0.10433405,-0.034679897,-0.9948004,-0.9951962,0.0003958
61,-1.808724,-1.6078902,"('illogical', 'logical')",0.45776254,0.4278203,0.29780617,0.4600674,0.0036243442,-0.013217827,-0.32637957,-0.26133728,-0.2751821,-0.1989115,-0.0762706
79,1.7250026,1.8413439,"('wavering', 'unwavering')",1.0421001,1.1043235,0.4021696,0.6533262,0.7272391,1.0185869,-0.37150753,-0.2506482,0.7050008,0.8733865,-0.1683857
70,-1.6796038,-1.6034924,"('lethargic', 'energetic')",-1.3007853,-1.4916767,-0.7217351,-0.94831246,-1.6333789,-1.6751741,-0.0055903923,0.011209496,-1.0682187,-1.1414892,0.0732705
85,1.6743827,1.8527317,"('insignificant', 'prestigious')",2.0373445,2.1389318,0.30106178,0.69407064,2.3957994,2.6124165,-0.19092119,-0.07284146,1.2435334,1.4450619,-0.2015285
21,-1.5997963,-1.5945508,"('immoral', 'moral')",-0.34705922,-0.40842158,-0.025031038,-0.16201687,-0.5043298,-0.56347185,-0.59528637,-0.66276836,-0.6143005,-0.6782459,0.0639454
3,-1.5638629,-1.5191562,"('repellent', 'pleasant')",-0.9476385,-1.0445312,-0.47240478,-0.5684404,-0.26650894,-0.44910297,0.6121632,0.50577414,-0.5276504,-0.6150913,0.0874409
81,-1.5577707,-1.4870657,"('submissive', 'aggressive')",-1.3499134,-1.490895,-0.767113,-1.1366861,-1.027951,-1.2770237,-0.7902943,-0.8885442,-1.0986085,-1.256043,0.1574345
7,-1.5526198,-1.4766879,"('insensitive', 'sensitive')",-0.56001264,-0.6709839,0.24475038,0.04264178,-0.81888723,-0.9079372,-0.1451056,-0.0716414,-0.566375,-0.6169217,0.0505467
82,-1.5290976,-1.495738,"('poor', 'rich')",-1.2605435,-1.1910782,0.014613744,0.2578263,-1.6954348,-1.6365681,5.537505,6.111063,0.2134087,0.409101,-0.1956923
22,-1.4845666,-1.4721575,"('untrustworthy', 'trustworthy')",-2.2943916,-2.366852,0.66426075,0.7370082,-2.2883604,-2.303212,-0.8016535,-0.8229417,-1.2409423,-1.245631,0.0046887
73,1.4843941,1.7106638,"('helpless', 'self-reliant')",2.234007,2.2213995,0.59050745,0.76502514,1.2411779,1.4091419,-3.208283,-3.3211763,0.4683607,0.5570108,-0.0886501
27,-1.4717913,-1.6231345,"('hardhearted', 'softhearted')",-0.5544421,-0.7428615,-0.9228416,-1.082824,-0.7047579,-0.88948035,0.3819204,0.43861243,-0.6543825,-0.7799376,0.1255551
62,-1.454725,-1.1929168,"('incompetent', 'brilliant')",-1.7634914,-1.7522095,-1.334193,-1.2805786,-1.9968809,-1.9224894,-0.5812069,-0.27145806,-1.4260994,-1.2839305,-0.1421689
58,-1.3897495,-1.5626302,"('undiscriminating', 'discriminating')",0.55606455,0.3697721,-0.93673986,-1.1700613,0.20285167,0.22896501,0.0060775727,-0.17596397,-0.3122991,-0.4619836,0.1496845
77,-1.3631743,-1.3906649,"('unmotivated', 'motivated')",-1.6703211,-1.6631292,-0.8340472,-0.87414396,-0.8503115,-0.90869117,-1.058404,-1.2109525,-1.1552517,-1.2095163,0.0542646
75,1.3529097,1.4291785,"('meek', 'impulsive')",-0.602573,-0.4570677,-0.3582931,-0.09929921,0.0770848,0.27627587,-0.3942139,-0.32826596,0.0149829,0.1641643,-0.1491814
53,-1.2637461,-1.1401404,"('uncreative', 'creative')",0.72999156,0.79525775,-0.12715636,0.14626887,-0.15611176,-0.23385224,0.67007667,0.7764621,-0.0293892,0.0687992,-0.0981884
78,-1.2254875,-1.3306341,"('nonresilient', 'resilient')",0.7672941,0.6540648,-0.39755216,-0.57927424,1.0750663,0.9299635,0.25952435,0.19826423,0.095769,-0.0255232,0.1212922
59,1.1977417,1.3754139,"('foolish', 'wise')",1.5886487,1.6155022,1.355332,1.7023578,1.120502,1.2033877,-0.0797169,0.005294919,1.0365015,1.1803913,-0.1438898
33,1.1465498,1.238721,"('wrong', 'right')",1.40519,1.4398456,0.70764536,0.79296553,1.3426116,1.3740518,-0.8009554,-0.83247316,0.7602082,0.8026221,-0.0424139
1,-1.1405902,-1.0160766,"('unfriendly', 'friendly')",1.3536518,1.4833686,-0.20093244,-0.020460112,0.5781764,0.6588518,1.292559,1.5997982,0.3765729,0.5410964,-0.1645235
51,-1.122241,-1.1780814,"('uneducated', 'educated')",-1.3109843,-1.2612208,0.6747357,0.6818163,-1.3307409,-1.1739637,0.8427974,0.8514144,-0.4492866,-0.416007,-0.0332796
30,-1.1162685,-1.145947,"('intolerant', 'tolerant')",-0.89004165,-0.93643576,-0.74773496,-0.92414325,-0.64477986,-0.70128447,0.1916628,0.13129097,-0.6414325,-0.7153039,0.0738714
13,-1.0862172,-1.0609666,"('impolite', 'polite')",-1.3182265,-1.3899355,-0.54784423,-0.6991653,-0.7589893,-0.8700804,-0.092284575,-0.24079484,-0.7607124,-0.8521885,0.0914761
72,-1.0666964,-1.0704821,"('unambitious', 'ambitious')",-0.9367284,-1.0639986,-0.8715263,-0.86072195,-0.8957949,-1.0560809,-0.85499084,-0.7334659,-0.9251473,-0.9569498,0.0318025
49,-1.0642251,-0.8898658,"('unable', 'able')",-1.3834436,-1.2794212,-1.1183298,-0.8634608,-1.1139272,-0.9786895,-0.785488,-0.44911826,-1.0930827,-0.8921111,-0.2009716
63,-1.0343972,-1.0837672,"('unperceptive', 'insightful')",0.47248632,0.3090194,0.6161182,0.57525855,-0.14773297,-0.10493982,0.34887275,0.2680845,0.0510694,-0.0072689,0.0583383
