,anthem_male,anthem_female,tuple,inc_male,inc_female,average_male,average_female,male-female
52,-3.1798472,-3.4912786,"('irrational', 'rational')",-0.6893313,-0.90704393,-1.9345893,-2.1991613,0.264572
60,3.0690396,3.41224,"('inefficient', 'efficient')",0.5918498,0.7990538,1.8304447,2.1056468,-0.2752021
56,2.5176764,2.6731544,"('impractical', 'practical')",0.2986475,0.23819928,1.4081619,1.4556768,-0.0475149
23,2.4743617,2.4916763,"('insincere', 'sincere')",5.924577,6.1373,4.1994696,4.3144884,-0.1150188
31,-2.4391184,-2.668377,"('evil', 'good')",-1.478303,-1.4885716,-1.9587107,-2.0784743,0.1197636
62,2.2965255,2.3111606,"('incompetent', 'brilliant')",0.4265629,0.5052878,1.3615441,1.4082242,-0.0466801
36,-2.2652006,-2.1802108,"('hostile', 'amicable')",-0.45251924,-0.514351,-1.3588599,-1.347281,-0.0115789
7,2.1442478,2.0715597,"('insensitive', 'sensitive')",0.9560524,0.9598975,1.5501502,1.5157286,0.0344216
6,-2.009196,-1.9665436,"('distant', 'open')",-0.1535064,-0.26838875,-1.0813513,-1.1174662,0.0361149
75,-1.9419745,-1.9462233,"('meek', 'impulsive')",-0.59163475,-0.6371333,-1.2668047,-1.2916783,0.0248736
4,-1.8547386,-1.9838806,"('disliked', 'liked')",-6.719711,-6.967627,-4.2872248,-4.4757538,0.188529
10,1.8433106,1.8652524,"('unsympathetic', 'sympathetic')",-0.21550076,-0.26622057,0.8139049,0.7995159,0.014389
43,1.8406152,1.953123,"('irresponsible', 'responsible')",0.8293607,0.9312676,1.3349879,1.4421953,-0.1072074
5,-1.8387983,-1.7550839,"('distant', 'outgoing')",-0.6681645,-0.6302629,-1.2534814,-1.1926734,-0.060808
35,-1.8242165,-1.8562673,"('corrupt', 'incorrupt')",-0.52266484,-0.61719763,-1.1734407,-1.2367325,0.0632918
70,1.7403972,1.8090438,"('lethargic', 'energetic')",0.8649244,0.82912,1.3026608,1.3190819,-0.0164211
16,-1.6766733,-1.7036545,"('unpopular', 'popular')",-0.023113351,-0.029575944,-0.8498933,-0.8666152,0.0167219
55,1.6669152,1.9112805,"('incompetent', 'clever')",0.23259355,0.30647188,0.9497544,1.1088762,-0.1591218
13,1.614453,1.6288396,"('impolite', 'polite')",-0.57453984,-0.6336531,0.5199566,0.4975933,0.0223633
48,1.5608486,1.7995383,"('unintelligent', 'intelligent')",0.70729226,0.8707157,1.1340704,1.335127,-0.2010566
39,1.496525,1.1985116,"('exploitative', 'cooperative')",0.020568408,0.0071516577,0.7585467,0.6028316,0.1557151
66,-1.4773679,-1.6867163,"('inactive', 'active')",0.4751299,0.26274824,-0.501119,-0.711984,0.210865
24,1.46522,1.3193102,"('dishonest', 'honest')",0.62242126,0.6050678,1.0438206,0.962189,0.0816316
81,1.4649566,1.7002232,"('submissive', 'aggressive')",-0.41391233,-0.32599208,0.5255222,0.6871156,-0.1615934
