,expedia_male,expedia_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.0282745,-2.11483,"('uninfluential', 'influential')",0.20817444,0.05837322,-0.15159313,-0.24051198,-0.6572311,-0.7656562,0.1084251
53,-1.9274827,-1.8746393,"('uncreative', 'creative')",-0.034255102,-0.0994582,1.0681926,0.9807386,-0.2978484,-0.3311196,0.0332712
73,1.7128483,1.7791348,"('helpless', 'self-reliant')",0.048947044,0.13430557,-3.0260615,-2.9262977,-0.421422,-0.3376191,-0.0838029
8,-1.6570926,-1.7586079,"('unaffectionate', 'affectionate')",-0.49722132,-0.5741798,0.9615034,0.93014497,-0.3976035,-0.4675476,0.0699441
1,-1.5645716,-1.7163143,"('unfriendly', 'friendly')",-0.41247272,-0.5792096,2.2491467,2.0358353,0.0907008,-0.0865629,0.1772637
10,-1.5579344,-1.6579646,"('unsympathetic', 'sympathetic')",0.41741768,0.3013468,-0.3722935,-0.3027931,-0.5042701,-0.553137,0.0488669
69,1.547746,1.470474,"('lazy', 'industrious')",0.08648543,0.030134216,-0.39296982,-0.5528335,0.4137538,0.3159249,0.0978289
57,-1.5238385,-1.5100178,"('unimaginative', 'imaginative')",-0.21454872,-0.29200196,-2.5885932,-2.6198902,-1.4423269,-1.4739699,0.031643
44,1.4589607,1.4779952,"('prejudiced', 'unprejudiced')",-0.15493667,-0.13902465,-1.3225187,-1.2898755,-0.0061649,0.016365,-0.0225299
9,-1.4289415,-1.5792463,"('unaffectionate', 'caring')",-0.22015104,-0.38889697,1.4509103,1.3767391,-0.0660607,-0.1971347,0.131074
82,-1.3851961,-1.4000218,"('poor', 'rich')",-0.07759357,-0.062048003,5.9743032,5.978445,1.5038379,1.5054585,-0.0016206
67,1.3586196,1.3451205,"('doubtful', 'determined')",0.40813047,0.47029,-0.7949773,-0.64424473,0.3239243,0.3903886,-0.0664643
78,-1.324608,-1.3699682,"('nonresilient', 'resilient')",0.9014638,0.8017923,0.22006421,0.08749984,-0.0676933,-0.1602253,0.092532
45,-1.3007034,-1.1753317,"('incompetent', 'competent')",0.07202926,0.16671291,-0.75635993,-0.6794909,-0.661678,-0.5627033,-0.0989747
46,-1.2872275,-1.3863561,"('uncompetitive', 'competitive')",1.5313766,1.4790874,-0.8874482,-0.87569827,-0.214433,-0.260989,0.046556
55,-1.27967,-1.2680968,"('incompetent', 'clever')",1.3076954,1.329926,-0.25859582,-0.1909505,-0.0768568,-0.0430404,-0.0338164
28,-1.249841,-1.3997314,"('disloyal', 'loyal')",-0.29735795,-0.4329795,0.7892387,0.7007859,-0.2526534,-0.3773083,0.1246549
64,1.1477358,1.0706807,"('shy', 'confident')",1.3154956,1.2507697,-6.7392564,-6.54121,-1.4253416,-1.4065866,-0.018755
0,-1.125594,-1.3035111,"('unsociable', 'sociable')",0.53025675,0.35206303,-0.62158334,-0.70237494,-0.4056402,-0.5512743,0.1456341
23,-0.9826658,-1.0539079,"('insincere', 'sincere')",0.4817306,0.44091997,5.770132,5.7838163,1.756399,1.7236094,0.0327896
42,0.9478019,0.84712523,"('unreliable', 'reliable')",1.437267,1.3770425,-3.0308213,-2.943281,-0.2152508,-0.2397044,0.0244536
