,murphy_male,murphy_female,tuple,oil_male,oil_female,corp_male,corp_female,average_male,average_female,male-female
74,1.7601314,1.5627285,"('undedicated', 'dedicated')",-0.01689507,-0.08416679,-0.15635061,-0.14165524,0.5289619,0.4456355,0.0833264
25,1.3408917,1.12808,"('egoistic', 'altruistic')",1.1417892,1.0771192,0.96752346,0.9666355,1.1500681,1.0572782,0.0927899
49,-1.3357743,-1.2795413,"('unable', 'able')",-0.53717136,-0.43982995,-0.7526317,-0.8736319,-0.8751925,-0.8643343,-0.0108582
12,1.3278518,1.3430398,"('unsupportive', 'supportive')",1.1602324,1.1866293,-1.4571444,-1.1372759,0.3436466,0.464131,-0.1204844
9,1.2916677,1.0497723,"('unaffectionate', 'caring')",0.5500532,0.58273727,0.5830834,0.6199204,0.8082681,0.75081,0.0574581
47,-1.2171559,-1.0886438,"('stupid', 'smart')",0.33638677,0.5017275,4.6765327,4.3385773,1.2652545,1.2505537,0.0147008
71,1.2079909,1.0410225,"('diffident', 'self-confident')",1.5782459,1.5573303,0.5745517,0.5415569,1.1202628,1.0466366,0.0736262
17,-1.1135508,-1.0481616,"('nasty', 'nice')",-1.5768716,-1.5170237,-0.7336357,-0.7101168,-1.1413527,-1.0917674,-0.0495853
44,-1.0922333,-1.1065818,"('prejudiced', 'unprejudiced')",-1.1206167,-0.9876099,-1.4072187,-1.288114,-1.2066896,-1.1274352,-0.0792544
16,-1.08343,-1.2634147,"('unpopular', 'popular')",0.13302542,-0.012168497,0.2912876,0.26772106,-0.2197057,-0.3359541,0.1162484
82,-1.0440899,-1.1129485,"('poor', 'rich')",-0.42656103,-0.47776666,6.014055,5.312275,1.5144679,1.2405199,0.273948
33,0.99957114,0.9457864,"('wrong', 'right')",1.399176,1.4860773,-0.65355015,-0.21853235,0.5817324,0.7377772,-0.1560448
23,0.9775183,0.9287937,"('insincere', 'sincere')",-0.087362945,-0.01223258,5.264001,4.6778355,2.0513854,1.8647989,0.1865865
79,0.89621085,0.64463115,"('wavering', 'unwavering')",-0.5486259,-0.6977909,-0.49195352,-0.53175056,-0.0481229,-0.1949701,0.1468472
73,0.89012647,0.83378685,"('helpless', 'self-reliant')",0.7364477,0.6751695,-3.6004739,-3.1581888,-0.6579666,-0.5497441,-0.1082225
31,-0.87398094,-0.88175195,"('evil', 'good')",-0.70719916,-0.8301779,-1.8259585,-1.4924887,-1.1357129,-1.0681396,-0.0675733
46,-0.86924523,-0.8855804,"('uncompetitive', 'competitive')",0.42159444,0.44256645,0.099754475,-0.020333625,-0.1159654,-0.1544492,0.0384838
39,0.8675431,0.9349949,"('exploitative', 'cooperative')",-0.6886227,-0.3718517,0.016155746,0.082787186,0.0650254,0.2153101,-0.1502847
72,0.8646277,0.9618955,"('unambitious', 'ambitious')",0.33372563,0.5137175,-0.9912199,-0.8053253,0.0690445,0.2234292,-0.1543847
1,0.8604338,0.63967663,"('unfriendly', 'friendly')",0.73583734,0.814389,0.38312104,0.5560237,0.6597974,0.6700298,-0.0102324
30,-0.82814234,-0.8216481,"('intolerant', 'tolerant')",-0.33430564,-0.15748185,0.0189479,0.1528475,-0.3811667,-0.2754275,-0.1057392
38,0.7576153,0.4739006,"('untruthful', 'truthful')",0.40598541,0.35424882,-0.30159295,-0.117453754,0.2873359,0.2368986,0.0504373
32,0.73308784,0.9028169,"('unkind', 'kind')",-0.403239,-0.17361745,0.58351564,0.5319473,0.3044548,0.4203823,-0.1159275
75,-0.7241868,-0.84242845,"('meek', 'impulsive')",-0.5139117,-0.6855693,-0.6935035,-0.49706188,-0.6438673,-0.6750199,0.0311526
45,-0.7098559,-0.6751783,"('incompetent', 'competent')",0.20984344,0.04662793,0.34016365,0.16387966,-0.0532829,-0.1548902,0.1016073
19,0.7022681,0.667837,"('inhospitable', 'hospitable')",-1.1640155,-1.1681668,-0.7309098,-0.7659168,-0.3975524,-0.4220822,0.0245298
50,0.6977116,0.48166543,"('clumsy', 'skillful')",-0.110558145,-0.14056803,0.41350287,0.40872607,0.3335521,0.2499412,0.0836109
56,0.6947772,0.7939953,"('impractical', 'practical')",0.7617795,0.7236017,-0.17878127,-0.32274204,0.4259251,0.398285,0.0276401
28,0.6744546,0.88655514,"('disloyal', 'loyal')",-0.047270253,0.057510644,0.8691312,0.6240232,0.4987719,0.5226963,-0.0239244
6,-0.6666044,-0.80929464,"('distant', 'open')",-0.10053554,-0.07653472,-1.2241085,-0.99335426,-0.6637495,-0.6263945,-0.037355
27,0.6469881,0.36594716,"('hardhearted', 'softhearted')",-0.09003559,-0.057125382,0.552897,0.5162649,0.3699498,0.2750289,0.0949209
88,-0.642707,-0.58548206,"('low', 'eminent')",-0.43664637,-0.39024696,-0.40112692,-0.40474898,-0.4934934,-0.4601593,-0.0333341
78,0.6234084,0.44870365,"('nonresilient', 'resilient')",1.411732,1.1801312,0.96711737,0.684155,1.0007525,0.7709966,0.2297559
26,0.609528,0.6081547,"('hardhearted', 'benevolent')",0.8014486,0.88603497,1.1608282,1.301927,0.8572683,0.9320389,-0.0747706
54,0.6006222,0.33666655,"('incapable', 'capable')",-0.097157426,0.013790317,0.36262032,0.38715133,0.288695,0.2458694,0.0428256
5,-0.59968466,-0.69277173,"('distant', 'outgoing')",-0.3283652,-0.2525563,-1.1634387,-0.91280335,-0.6971629,-0.6193771,-0.0777858
29,-0.59378004,-0.6405157,"('unfair', 'fair')",-0.70801103,-0.72018844,-0.63077873,-0.5954552,-0.6441899,-0.6520531,0.0078632
84,0.5512068,0.55792993,"('inferior', 'superior')",0.75647974,0.7512903,1.0176284,1.0199157,0.775105,0.7763786,-0.0012736
83,-0.5477255,-0.5441889,"('powerless', 'powerful')",0.8331189,0.83585024,-0.6855078,-0.6868025,-0.1333715,-0.1317137,-0.0016578
65,-0.52793914,-0.24576047,"('insecure', 'secure')",-0.2560613,-0.15612373,0.13271374,-0.030017056,-0.2170956,-0.1439671,-0.0731285
35,-0.52549607,-0.65466535,"('corrupt', 'incorrupt')",-1.5471417,-1.5716857,-1.680165,-1.4612595,-1.2509343,-1.2292035,-0.0217308
68,-0.50758636,-0.5406617,"('dependent', 'independent')",-1.1276648,-1.189343,-0.88870883,-1.0564219,-0.84132,-0.9288088,0.0874888
48,-0.4577253,-0.45984274,"('unintelligent', 'intelligent')",0.51629347,0.5077989,0.36061823,0.18158153,0.1397288,0.0765126,0.0632162
40,-0.44113684,-0.21671495,"('stingy', 'generous')",-0.21309748,-0.17173845,-2.2313075,-1.9582884,-0.9618473,-0.7822473,-0.1796
81,-0.43159276,0.069506,"('submissive', 'aggressive')",0.7474129,0.87548244,0.21940851,0.14653805,0.1784096,0.3638422,-0.1854326
4,-0.42395002,-0.3760504,"('disliked', 'liked')",0.30401647,0.19142872,-6.218447,-5.5537415,-2.1127936,-1.9127878,-0.2000058
60,0.42049137,0.6518922,"('inefficient', 'efficient')",1.1693219,1.254727,0.3185718,0.2028479,0.6361283,0.7031557,-0.0670274
21,-0.4080621,-0.041981332,"('immoral', 'moral')",0.4670875,0.6132121,0.10894031,-0.20896305,0.0559886,0.1207559,-0.0647673
7,0.40522805,0.5400028,"('insensitive', 'sensitive')",0.7010391,0.7538795,0.751849,0.68773377,0.619372,0.6605387,-0.0411667
64,-0.39974508,-0.15314054,"('shy', 'confident')",0.7309744,0.8831246,-5.34305,-4.6357,-1.6706069,-1.3019054,-0.3687015
34,-0.38614762,-0.43709105,"('mean', 'honorable')",0.053934485,-0.08692682,4.886582,4.226056,1.518123,1.2340128,0.2841102
76,0.36689344,0.45700708,"('anxious', 'daring')",-0.3779379,-0.28454912,0.28014535,0.10318382,0.0897003,0.0918806,-0.0021803
66,0.3581795,0.23288023,"('inactive', 'active')",-0.20171839,-0.22083223,0.9201619,0.9241613,0.3588743,0.3120698,0.0468045
43,-0.35259396,-0.29290926,"('irresponsible', 'responsible')",-0.21788709,0.094756424,0.46532184,0.46651077,-0.0350531,0.0894526,-0.1245057
2,0.3461253,0.4647977,"('unlikable', 'likable')",1.4184939,1.5691556,0.41383186,0.574059,0.7261504,0.8693374,-0.143187
42,0.3451147,0.43899608,"('unreliable', 'reliable')",0.40310004,0.6051455,-2.0200548,-1.6926848,-0.4239467,-0.2161811,-0.2077656
22,-0.33028004,-0.2814505,"('untrustworthy', 'trustworthy')",-0.5743824,-0.43840575,-0.83257246,-0.76968414,-0.5790783,-0.4965134,-0.0825649
8,0.30772084,0.12285826,"('unaffectionate', 'affectionate')",-0.28459665,-0.22862424,-0.3268549,-0.20834808,-0.1012436,-0.1047047,0.0034611
61,-0.30765873,-0.2816716,"('illogical', 'logical')",0.06520948,0.24048245,0.30813205,0.22308014,0.0218943,0.0606303,-0.038736
86,0.30475244,0.29746264,"('uninfluential', 'influential')",0.9596896,0.8572715,0.26173338,-0.011396468,0.5087252,0.3811126,0.1276126
77,0.28257096,0.2798012,"('unmotivated', 'motivated')",0.7826867,0.7158525,-0.49874455,-0.7033628,0.1888377,0.0974303,0.0914074
37,0.27947474,0.12410073,"('fake', 'genuine')",-0.55380684,-0.60404384,-0.03796687,-0.074941665,-0.1040997,-0.1849616,0.0808619
53,0.27701995,0.25619712,"('uncreative', 'creative')",0.21050897,0.42287037,-0.28561085,-0.14136419,0.067306,0.1792344,-0.1119284
52,-0.26449955,-0.44339737,"('irrational', 'rational')",-0.9110933,-0.9958167,-0.92601836,-0.7457265,-0.700537,-0.7283135,0.0277765
62,-0.26354417,-0.11647753,"('incompetent', 'brilliant')",1.0545516,1.1123623,0.69437116,0.7084272,0.4951262,0.5681039,-0.0729777
18,-0.26063555,-0.0030818284,"('disagreeable', 'welcoming')",-0.4568076,-0.3246271,-1.1470445,-1.0212116,-0.6214959,-0.4496402,-0.1718557
20,-0.25843397,-0.2573824,"('rough', 'thoughtful')",-0.8011886,-0.77066725,0.111019686,0.11580442,-0.316201,-0.3040818,-0.0121192
58,0.22171952,0.1363827,"('undiscriminating', 'discriminating')",0.6225694,0.56080115,0.25867012,0.17573957,0.367653,0.2909745,0.0766785
