,fedex_male,fedex_female,tuple,corp_male,corp_female,average_male,average_female,male-female
57,-1.9201379,-1.6991898,"('unimaginative', 'imaginative')",-3.5265183,-3.370174,-2.7233281,-2.5346818,-0.1886463
86,-1.6285237,-1.4017224,"('uninfluential', 'influential')",-0.18121824,0.027473778,-0.904871,-0.6871243,-0.2177467
53,-1.5696,-1.6300954,"('uncreative', 'creative')",0.39376232,0.3562367,-0.5879188,-0.6369293,0.0490105
10,-1.5628394,-1.1271125,"('unsympathetic', 'sympathetic')",-0.25513262,0.18955265,-0.908986,-0.4687799,-0.4402061
8,-1.5265974,-1.482625,"('unaffectionate', 'affectionate')",-0.072864324,-0.19572982,-0.7997308,-0.8391774,0.0394466
1,-1.4185183,-1.552091,"('unfriendly', 'friendly')",1.1121851,0.82003534,-0.1531666,-0.3660278,0.2128612
28,-1.1484517,-1.1937008,"('disloyal', 'loyal')",0.950097,0.8860888,-0.0991773,-0.153806,0.0546287
45,-1.1394962,-0.9225551,"('incompetent', 'competent')",0.20470819,0.3639043,-0.467394,-0.2793254,-0.1880686
52,-1.0369766,-1.1070194,"('irrational', 'rational')",-0.75098443,-0.9143027,-0.8939805,-1.0106611,0.1166806
37,-0.9941394,-0.89249396,"('fake', 'genuine')",-0.033444077,0.16415074,-0.5137917,-0.3641716,-0.1496201
9,-0.9603136,-1.0036837,"('unaffectionate', 'caring')",0.8538331,0.6537105,-0.0532403,-0.1749866,0.1217463
70,-0.9427008,-0.70154685,"('lethargic', 'energetic')",0.50863725,0.7514377,-0.2170318,0.0249454,-0.2419772
6,-0.93537086,-1.1016074,"('distant', 'open')",-0.7100394,-1.0984623,-0.8227051,-1.100035,0.2773299
18,-0.8988809,-1.0135258,"('disagreeable', 'welcoming')",-0.49118492,-0.69899297,-0.6950329,-0.8562594,0.1612265
43,-0.8845573,-0.8581705,"('irresponsible', 'responsible')",0.3985727,0.44904825,-0.2429923,-0.2045611,-0.0384312
26,-0.8763529,-0.85335207,"('hardhearted', 'benevolent')",0.816641,0.6948353,-0.029856,-0.0792584,0.0494024
41,-0.868169,-0.5960292,"('unforgiving', 'forgiving')",-0.3761184,-0.39693734,-0.6221437,-0.4964833,-0.1256604
88,-0.85678095,-0.7857236,"('low', 'eminent')",-0.382831,-0.39609873,-0.619806,-0.5909111,-0.0288949
74,-0.7916589,-0.5944451,"('undedicated', 'dedicated')",-0.4864318,-0.42717522,-0.6390454,-0.5108101,-0.1282353
71,0.77723783,0.52870595,"('diffident', 'self-confident')",0.6129368,0.35687158,0.6950873,0.4427888,0.2522985
58,-0.77572423,-0.6693098,"('undiscriminating', 'discriminating')",-0.012117397,0.025229823,-0.3939208,-0.32204,-0.0718808
21,-0.734586,-0.54908234,"('immoral', 'moral')",-0.18976486,0.058786966,-0.4621754,-0.2451477,-0.2170277
73,0.7302531,0.55764735,"('helpless', 'self-reliant')",-3.8037834,-3.9671524,-1.5367651,-1.7047524,0.1679873
63,-0.70192075,-0.6333692,"('unperceptive', 'insightful')",1.3909049,1.4512697,0.3444921,0.4089503,-0.0644582
0,-0.69155294,-0.5222669,"('unsociable', 'sociable')",-0.026277147,0.15963334,-0.358915,-0.1813168,-0.1775982
36,-0.6822788,-0.81210464,"('hostile', 'amicable')",-0.92425126,-1.2347622,-0.803265,-1.0234334,0.2201684
19,-0.68188673,-0.6380531,"('inhospitable', 'hospitable')",-0.5824554,-0.5395247,-0.632171,-0.5887889,-0.0433821
48,-0.67353326,-0.53138834,"('unintelligent', 'intelligent')",0.88364285,1.1252941,0.1050548,0.2969529,-0.1918981
84,0.62045795,0.56569546,"('inferior', 'superior')",0.8608451,0.84815633,0.7406515,0.7069259,0.0337256
65,-0.60732514,-0.5790867,"('insecure', 'secure')",0.20160413,0.31390008,-0.2028605,-0.1325933,-0.0702672
22,-0.5939854,-0.4536572,"('untrustworthy', 'trustworthy')",-1.016965,-0.86338645,-0.8054752,-0.6585218,-0.1469534
7,-0.5808875,-0.52915776,"('insensitive', 'sensitive')",0.48533502,0.48996034,-0.0477762,-0.0195987,-0.0281775
31,-0.56779706,-0.703719,"('evil', 'good')",-1.2633394,-1.6086085,-0.9155682,-1.1561637,0.2405955
56,0.5662552,0.65283644,"('impractical', 'practical')",0.043123994,0.18707538,0.3046896,0.4199559,-0.1152663
27,-0.5499281,-0.5426228,"('hardhearted', 'softhearted')",0.9128231,0.7302927,0.1814475,0.0938349,0.0876126
5,-0.54833466,-0.708758,"('distant', 'outgoing')",-0.52706265,-0.9007118,-0.5376986,-0.8047349,0.2670363
38,-0.5481402,-0.5521706,"('untruthful', 'truthful')",0.43831035,0.35451996,-0.0549149,-0.0988253,0.0439104
54,-0.53624904,-0.70671386,"('incapable', 'capable')",0.670398,0.6992383,0.0670745,-0.0037378,0.0708123
72,-0.53405833,-0.45867476,"('unambitious', 'ambitious')",-0.265805,-0.28881192,-0.3999317,-0.3737434,-0.0261883
11,-0.53154814,-0.48046035,"('unhelpful', 'helpful')",2.2827322,2.370514,0.8755921,0.9450268,-0.0694347
55,-0.51854295,-0.26710132,"('incompetent', 'clever')",0.44301516,0.72747713,-0.0377639,0.2301879,-0.2679518
35,-0.5118892,-0.7716936,"('corrupt', 'incorrupt')",-0.8486866,-1.1804366,-0.6802879,-0.9760651,0.2957772
24,-0.49256873,-0.33182096,"('dishonest', 'honest')",0.8779009,0.99892026,0.1926661,0.3335496,-0.1408835
66,-0.48812687,-0.3171103,"('inactive', 'active')",0.15064782,0.2304715,-0.1687395,-0.0433194,-0.1254201
83,0.46831644,0.71113515,"('powerless', 'powerful')",-1.1244421,-0.89957345,-0.3280628,-0.0942191,-0.2338437
17,-0.46494594,-0.29291633,"('nasty', 'nice')",-0.7810656,-0.7791614,-0.6230057,-0.5360389,-0.0869668
68,-0.4592111,-0.52828926,"('dependent', 'independent')",0.028040703,-0.023033962,-0.2155852,-0.2756616,0.0600764
