,equifax_male,equifax_female,tuple,inc_male,inc_female,average_male,average_female,male-female
86,-2.5776021,-2.5951495,"('uninfluential', 'influential')",-0.06807721,0.009745792,-1.3228397,-1.2927018,-0.0301379
69,2.0316784,2.02187,"('lazy', 'industrious')",-0.452691,-0.4214018,0.7894937,0.8002341,-0.0107404
44,1.9176971,1.9125215,"('prejudiced', 'unprejudiced')",-1.1764631,-1.2478924,0.370617,0.3323146,0.0383024
0,-1.8405397,-2.0065875,"('unsociable', 'sociable')",-0.29043898,-0.34200847,-1.0654893,-1.174298,0.1088087
8,-1.8390768,-1.7405078,"('unaffectionate', 'affectionate')",0.6747471,0.65082645,-0.5821648,-0.5448407,-0.0373241
10,-1.8371646,-1.8287928,"('unsympathetic', 'sympathetic')",-0.46804804,-0.45366934,-1.1526064,-1.1412311,-0.0113753
9,-1.7320619,-1.7583138,"('unaffectionate', 'caring')",1.1029773,0.9892195,-0.3145423,-0.3845471,0.0700048
57,-1.7307135,-1.8646728,"('unimaginative', 'imaginative')",-2.2698183,-2.3743732,-2.0002658,-2.119523,0.1192572
1,-1.6997228,-1.6827594,"('unfriendly', 'friendly')",1.777382,1.690967,0.0388296,0.0041038,0.0347258
53,-1.6730057,-1.629013,"('uncreative', 'creative')",0.76246685,0.671123,-0.4552694,-0.478945,0.0236756
23,-1.549632,-1.5954446,"('insincere', 'sincere')",5.4068255,5.265474,1.9285967,1.8350146,0.0935821
73,1.4272127,1.4756985,"('helpless', 'self-reliant')",-2.6722102,-2.6655982,-0.6224988,-0.5949498,-0.027549
28,-1.3313345,-1.4315964,"('disloyal', 'loyal')",0.8171688,0.7323068,-0.2570828,-0.3496448,0.092562
38,-1.2742915,-1.1639739,"('untruthful', 'truthful')",-0.26633185,-0.18523706,-0.7703117,-0.6746055,-0.0957062
45,-1.2599932,-1.2491333,"('incompetent', 'competent')",-0.3176396,-0.40230674,-0.7888164,-0.8257201,0.0369037
61,-1.2305682,-1.2760956,"('illogical', 'logical')",0.24376847,0.21342532,-0.4933999,-0.5313352,0.0379353
63,-1.2253646,-1.2277051,"('unperceptive', 'insightful')",1.2217851,1.1769663,-0.0017897,-0.0253694,0.0235797
48,-1.2048285,-1.4259044,"('unintelligent', 'intelligent')",0.9422556,0.8260842,-0.1312864,-0.2999101,0.1686237
55,-1.179784,-1.2803466,"('incompetent', 'clever')",0.18279292,0.18174994,-0.4984956,-0.5492983,0.0508027
19,-1.1445619,-0.9084765,"('inhospitable', 'hospitable')",-0.07617675,0.003925061,-0.6103693,-0.4522757,-0.1580936
58,-1.1314187,-1.2296691,"('undiscriminating', 'discriminating')",0.096760616,0.00890744,-0.517329,-0.6103808,0.0930518
72,-1.1239704,-1.1144619,"('unambitious', 'ambitious')",-1.0307631,-1.0305831,-1.0773668,-1.0725225,-0.0048443
39,1.0912453,1.0019671,"('exploitative', 'cooperative')",0.24136142,0.23790793,0.6663033,0.6199375,0.0463658
11,-1.0473626,-1.2121361,"('unhelpful', 'helpful')",1.7221022,1.5339041,0.3373698,0.160884,0.1764858
43,-1.0426673,-0.9826494,"('irresponsible', 'responsible')",0.5747161,0.6088585,-0.2339756,-0.1868954,-0.0470802
35,1.037901,1.1123562,"('corrupt', 'incorrupt')",-0.28046775,-0.29633552,0.3787166,0.4080103,-0.0292937
59,0.99822235,1.048704,"('foolish', 'wise')",0.5345342,0.52621174,0.7663783,0.7874579,-0.0210796
64,0.9512068,0.82860625,"('shy', 'confident')",-5.903328,-5.8470407,-2.4760606,-2.5092173,0.0331567
82,-0.8577843,-0.71722,"('poor', 'rich')",5.8843403,5.8241916,2.513278,2.5534859,-0.0402079
46,-0.82114047,-0.8809886,"('uncompetitive', 'competitive')",-0.40652055,-0.43264002,-0.6138305,-0.6568143,0.0429838
42,0.81135833,0.8552041,"('unreliable', 'reliable')",-2.781774,-2.7589483,-0.9852079,-0.9518721,-0.0333358
7,-0.80647296,-0.91952443,"('insensitive', 'sensitive')",0.69472444,0.59570235,-0.0558743,-0.161911,0.1060367
24,-0.7976776,-0.70286006,"('dishonest', 'honest')",0.4409037,0.5294663,-0.1783869,-0.0866969,-0.09169
60,-0.7646683,-0.8777265,"('inefficient', 'efficient')",0.27137583,0.24388374,-0.2466462,-0.3169214,0.0702752
4,0.75396734,0.80438936,"('disliked', 'liked')",-6.0014167,-5.909466,-2.6237247,-2.5525382,-0.0711865
50,0.7494255,0.7745667,"('clumsy', 'skillful')",0.45538515,0.3751166,0.6024053,0.5748416,0.0275637
21,-0.7285542,-0.74277914,"('immoral', 'moral')",-0.43310583,-0.3379773,-0.58083,-0.5403782,-0.0404518
77,-0.7218195,-0.7917708,"('unmotivated', 'motivated')",-1.2077819,-1.1981958,-0.9648007,-0.9949833,0.0301826
3,-0.71483326,-0.72393805,"('repellent', 'pleasant')",-0.10499154,-0.03933096,-0.4099124,-0.3816345,-0.0282779
84,0.6845394,0.6269706,"('inferior', 'superior')",1.1172117,1.0638554,0.9008756,0.845413,0.0554626
62,-0.6794853,-0.6921195,"('incompetent', 'brilliant')",0.23134367,0.24868792,-0.2240708,-0.2217158,-0.002355
12,-0.6609995,-0.6754691,"('unsupportive', 'supportive')",-1.433573,-1.4570267,-1.0472863,-1.0662479,0.0189616
6,-0.6603081,-0.4714896,"('distant', 'open')",0.07316553,0.12217167,-0.2935713,-0.174659,-0.1189123
87,0.6505858,0.6023867,"('unsuccessful', 'successful')",0.96775717,0.9340342,0.8091714,0.7682105,0.0409609
41,-0.6301879,-0.56511533,"('unforgiving', 'forgiving')",-0.046952467,-0.038126178,-0.3385702,-0.3016208,-0.0369494
51,-0.62951183,-0.76337963,"('uneducated', 'educated')",0.8207228,0.8036438,0.0956055,0.0201321,0.0754734
2,0.60569,0.82054883,"('unlikable', 'likable')",0.8660428,1.0195467,0.7358664,0.9200478,-0.1841814
67,0.60006714,0.67328876,"('doubtful', 'determined')",-0.69262695,-0.48142186,-0.0462799,0.0959335,-0.1422134
13,-0.59727806,-0.7160072,"('impolite', 'polite')",-0.4571568,-0.52468145,-0.5272174,-0.6203443,0.0931269
18,-0.5883295,-0.44192162,"('disagreeable', 'welcoming')",-0.44381258,-0.37194398,-0.516071,-0.4069328,-0.1091382
65,-0.5707654,-0.7860759,"('insecure', 'secure')",-0.22333707,-0.29195225,-0.3970512,-0.5390141,0.1419629
40,0.5616774,0.54928786,"('stingy', 'generous')",-1.348521,-1.4733775,-0.3934218,-0.4620448,0.068623
27,-0.55409366,-0.52987206,"('hardhearted', 'softhearted')",1.3194952,1.1738173,0.3827008,0.3219726,0.0607282
85,0.532204,0.67570186,"('insignificant', 'prestigious')",0.8999364,0.90297276,0.7160702,0.7893373,-0.0732671
52,-0.50750643,-0.5235251,"('irrational', 'rational')",0.25691417,0.16446766,-0.1252961,-0.1795287,0.0542326
20,0.47553617,0.46035177,"('rough', 'thoughtful')",1.2200994,1.189014,0.8478178,0.8246828,0.023135
79,-0.46944767,-0.23073035,"('wavering', 'unwavering')",-0.07278299,-0.060145486,-0.2711153,-0.1454379,-0.1256774
78,-0.46176377,-0.46619618,"('nonresilient', 'resilient')",0.451214,0.43845192,-0.0052749,-0.0138721,0.0085972
54,-0.44775927,-0.23675318,"('incapable', 'capable')",1.1660812,1.2029032,0.359161,0.483075,-0.123914
47,0.44129053,0.49765116,"('stupid', 'smart')",5.3147326,5.336303,2.8780115,2.9169772,-0.0389657
5,-0.41524747,-0.26530862,"('distant', 'outgoing')",-0.38865298,-0.3384042,-0.4019502,-0.3018564,-0.1000938
70,-0.39985007,-0.42983285,"('lethargic', 'energetic')",0.6970731,0.7157695,0.1486115,0.1429683,0.0056432
32,-0.381019,-0.4084962,"('unkind', 'kind')",1.0174959,0.97679675,0.3182384,0.2841503,0.0340881
