,allergan_male,allergan_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.3681507,-2.2647355,"('unfriendly', 'friendly')",1.4939365,1.6138271,-0.4371071,-0.3254542,-0.1116529
53,-2.2158995,-1.9836621,"('uncreative', 'creative')",0.5348679,0.63086265,-0.8405158,-0.6763997,-0.1641161
86,-1.8811755,-2.049083,"('uninfluential', 'influential')",-0.33132666,-0.39678574,-1.1062511,-1.2229344,0.1166833
19,-1.7067527,-1.3185962,"('inhospitable', 'hospitable')",-0.5891774,-0.44071397,-1.1479651,-0.8796551,-0.26831
44,1.6635301,1.5339167,"('prejudiced', 'unprejudiced')",-0.8569673,-1.0198749,0.4032814,0.2570209,0.1462605
36,-1.577735,-1.4670548,"('hostile', 'amicable')",-0.23302361,-0.13360092,-0.9053793,-0.8003279,-0.1050514
10,-1.4311945,-1.5085243,"('unsympathetic', 'sympathetic')",-0.1983209,-0.25312954,-0.8147577,-0.880827,0.0660693
57,-1.2969836,-1.2899063,"('unimaginative', 'imaginative')",-2.0068166,-2.256631,-1.6519001,-1.7732686,0.1213685
82,-1.2880304,-0.8036112,"('poor', 'rich')",5.2733765,5.9798675,1.992673,2.5881281,-0.5954551
23,-1.1921887,-1.066798,"('insincere', 'sincere')",4.9544406,5.3957744,1.8811259,2.1644883,-0.2833624
58,-1.1270175,-1.1453444,"('undiscriminating', 'discriminating')",0.12654525,0.023795303,-0.5002362,-0.5607746,0.0605384
61,-1.12366,-1.127928,"('illogical', 'logical')",0.11351131,0.054195173,-0.5050743,-0.5368664,0.0317921
9,-1.116654,-0.96822053,"('unaffectionate', 'caring')",0.8037721,0.9269404,-0.156441,-0.0206401,-0.1358009
54,-1.093878,-0.88490707,"('incapable', 'capable')",1.031162,1.1294558,-0.031358,0.1222744,-0.1536324
66,-1.0879791,-1.2687697,"('inactive', 'active')",0.5523642,0.25468943,-0.2678075,-0.5070401,0.2392326
31,-1.0835854,-0.9613933,"('evil', 'good')",-1.0551932,-1.0900363,-1.0693893,-1.0257148,-0.0436745
51,-1.0361259,-0.9519039,"('uneducated', 'educated')",0.062360846,0.1460503,-0.4868825,-0.4029268,-0.0839557
63,-1.021092,-0.9488549,"('unperceptive', 'insightful')",0.961642,1.0064187,-0.029725,0.0287819,-0.0585069
8,-1.0205996,-0.74756813,"('unaffectionate', 'affectionate')",0.67035824,0.794578,-0.1751207,0.0235049,-0.1986256
80,1.0073341,0.81531954,"('dominated', 'dominating')",-1.0388827,-1.3323708,-0.0157743,-0.2585256,0.2427513
85,-1.0021234,-1.118118,"('insignificant', 'prestigious')",0.4662123,0.2909765,-0.2679555,-0.4135708,0.1456153
69,0.979931,0.75190866,"('lazy', 'industrious')",-0.22913322,-0.63615984,0.3753989,0.0578744,0.3175245
24,-0.9724313,-0.91811246,"('dishonest', 'honest')",0.26628613,0.49459824,-0.3530726,-0.2117571,-0.1413155
37,0.965178,0.91551054,"('fake', 'genuine')",0.5736122,0.56691813,0.7693951,0.7412143,0.0281808
0,-0.9495564,-1.2373503,"('unsociable', 'sociable')",-0.2200841,-0.32135794,-0.5848203,-0.7793542,0.1945339
6,-0.93206507,-0.641112,"('distant', 'open')",-0.22749549,-0.13674232,-0.5797803,-0.3889272,-0.1908531
73,0.8324089,1.0263928,"('helpless', 'self-reliant')",-2.427416,-2.4375808,-0.7975036,-0.705594,-0.0919096
5,-0.82716346,-0.4974876,"('distant', 'outgoing')",-0.58706754,-0.5041908,-0.7071155,-0.5008392,-0.2062763
39,0.80190694,0.71963525,"('exploitative', 'cooperative')",0.35427037,0.3071372,0.5780886,0.5133862,0.0647024
71,-0.79951483,-0.804662,"('diffident', 'self-confident')",0.47679394,0.36553374,-0.1613604,-0.2195641,0.0582037
38,-0.79780406,-0.5552385,"('untruthful', 'truthful')",-0.42419818,-0.23083785,-0.6110011,-0.3930382,-0.2179629
16,-0.7949053,-0.7150576,"('unpopular', 'popular')",0.2626606,0.20021681,-0.2661223,-0.2574204,-0.0087019
45,-0.76213324,-0.5586022,"('incompetent', 'competent')",-0.091021836,-0.01621825,-0.4265775,-0.2874102,-0.1391673
60,0.7479599,0.8165961,"('inefficient', 'efficient')",0.34130794,0.59662324,0.5446339,0.7066097,-0.1619758
77,-0.7429819,-0.91641647,"('unmotivated', 'motivated')",-0.9773376,-1.1232344,-0.8601598,-1.0198255,0.1596657
79,-0.7270485,-0.46524692,"('wavering', 'unwavering')",-0.44877693,-0.31852865,-0.5879127,-0.3918878,-0.1960249
64,0.68432224,0.4379731,"('shy', 'confident')",-5.861354,-6.346659,-2.5885158,-2.9543431,0.3658273
88,-0.6548929,-0.83057123,"('low', 'eminent')",0.24628699,0.2589264,-0.204303,-0.2858224,0.0815194
81,0.6464855,0.57926416,"('submissive', 'aggressive')",-0.5248073,-0.36548945,0.0608391,0.1068874,-0.0460483
29,-0.6447885,-0.57878697,"('unfair', 'fair')",-0.5618787,-0.58126485,-0.6033336,-0.5800259,-0.0233077
74,-0.6359587,-0.5460156,"('undedicated', 'dedicated')",0.06390205,0.13250281,-0.2860283,-0.2067564,-0.0792719
27,-0.6338768,-0.68197274,"('hardhearted', 'softhearted')",1.3741814,1.1986927,0.3701523,0.25836,0.1117923
78,-0.6178228,-0.6810402,"('nonresilient', 'resilient')",0.62349766,0.31084377,0.0028374,-0.1850982,0.1879356
30,0.5776904,0.66277283,"('intolerant', 'tolerant')",1.2924364,1.4919438,0.9350634,1.0773584,-0.142295
28,-0.54673916,-0.6014612,"('disloyal', 'loyal')",0.68662786,0.81258816,0.0699444,0.1055635,-0.0356191
11,-0.5291646,-0.42645776,"('unhelpful', 'helpful')",1.4115196,1.551819,0.4411775,0.5626806,-0.1215031
13,-0.51202595,-0.41819075,"('impolite', 'polite')",-0.70703113,-0.61474,-0.6095285,-0.5164654,-0.0930631
52,-0.4748066,-0.5877875,"('irrational', 'rational')",0.06595508,-0.20932098,-0.2044258,-0.3985542,0.1941284
26,-0.47297004,-0.6811677,"('hardhearted', 'benevolent')",1.9496207,1.8376473,0.7383254,0.5782398,0.1600856
7,-0.4610568,-0.5584433,"('insensitive', 'sensitive')",0.6678216,0.7972582,0.1033824,0.1194074,-0.016025
72,-0.44984975,-0.31537503,"('unambitious', 'ambitious')",-0.87751436,-0.61301947,-0.663682,-0.4641972,-0.1994848
46,-0.42842865,-0.4872999,"('uncompetitive', 'competitive')",-0.25480688,-0.4671679,-0.3416178,-0.4772339,0.1356161
87,-0.42230484,-0.5019619,"('unsuccessful', 'successful')",1.0909241,0.75373983,0.3343096,0.125889,0.2084206
41,-0.41535315,-0.36617798,"('unforgiving', 'forgiving')",-0.24264732,-0.27433065,-0.3290002,-0.3202543,-0.0087459
67,0.40805408,0.4194683,"('doubtful', 'determined')",-0.67923045,-0.54322606,-0.1355882,-0.0618789,-0.0737093
14,0.37907928,0.24786581,"('antisocial', 'social')",-0.17483379,-0.13678294,0.1021227,0.0555414,0.0465813
56,0.37091988,0.67251456,"('impractical', 'practical')",-0.13225736,0.17871985,0.1193313,0.4256172,-0.3062859
22,-0.3666916,-0.24233879,"('untrustworthy', 'trustworthy')",-0.9231465,-0.7727683,-0.644919,-0.5075536,-0.1373654
12,-0.35203817,-0.2796499,"('unsupportive', 'supportive')",-1.6313385,-1.6897159,-0.9916883,-0.9846829,-0.0070054
70,-0.3464339,-0.2951883,"('lethargic', 'energetic')",0.88983583,0.9407145,0.271701,0.3227631,-0.0510621
3,-0.3359234,-0.44231698,"('repellent', 'pleasant')",0.14509133,0.26216552,-0.095416,-0.0900757,-0.0053403
84,0.33477694,0.26506883,"('inferior', 'superior')",1.2032835,1.106971,0.7690302,0.6860199,0.0830103
4,-0.3328816,-0.13411595,"('disliked', 'liked')",-6.1109905,-6.3223953,-3.221936,-3.2282557,0.0063197
32,-0.31148437,-0.31649643,"('unkind', 'kind')",0.6173669,0.70168227,0.1529413,0.1925929,-0.0396516
21,-0.31082243,-0.36685503,"('immoral', 'moral')",-0.40830898,-0.45923346,-0.3595657,-0.4130442,0.0534785
48,-0.30845776,-0.5442383,"('unintelligent', 'intelligent')",0.9048111,0.76650864,0.2981766,0.1111352,0.1870414
55,-0.29462013,-0.2705769,"('incompetent', 'clever')",0.42446718,0.31332037,0.0649235,0.0213717,0.0435518
34,-0.29225492,-0.28303584,"('mean', 'honorable')",5.5158944,5.874525,2.6118197,2.7957447,-0.183925
50,0.288745,0.3606626,"('clumsy', 'skillful')",0.27960008,0.18715031,0.2841725,0.2739065,0.010266
42,0.28592032,0.44540745,"('unreliable', 'reliable')",-2.7764714,-2.8920608,-1.2452755,-1.2233267,-0.0219488
15,-0.2823051,-0.18717536,"('boring', 'funny')",0.3437198,0.24806021,0.0307074,0.0304424,0.000265
62,0.27725273,0.58305365,"('incompetent', 'brilliant')",0.29524875,0.5285007,0.2862507,0.5557772,-0.2695265
2,0.27357638,0.39326102,"('unlikable', 'likable')",0.36828998,0.48346296,0.3209332,0.438362,-0.1174288
20,-0.27225828,-0.35404846,"('rough', 'thoughtful')",1.6032388,1.4510301,0.6654903,0.5484908,0.1169995
18,-0.27083313,-0.27453074,"('disagreeable', 'welcoming')",-0.5681658,-0.5176581,-0.4194995,-0.3960944,-0.0234051
17,-0.26552567,-0.17765714,"('nasty', 'nice')",-0.7530196,-0.6449986,-0.5092726,-0.4113279,-0.0979447
59,0.25385848,0.3722672,"('foolish', 'wise')",0.09453571,0.13930583,0.1741971,0.2557865,-0.0815894
35,0.19261138,0.28102764,"('corrupt', 'incorrupt')",-0.3394174,-0.33669496,-0.073403,-0.0278337,-0.0455693
65,-0.1897834,-0.28533328,"('insecure', 'secure')",-0.24230485,-0.123116635,-0.2160441,-0.204225,-0.0118191
40,0.12156239,0.05241126,"('stingy', 'generous')",-1.3444413,-1.5741242,-0.6114395,-0.7608565,0.149417
43,-0.11892132,-0.08165534,"('irresponsible', 'responsible')",0.69935185,0.7257872,0.2902153,0.3220659,-0.0318506
25,0.08228031,-0.031009944,"('egoistic', 'altruistic')",1.3905878,1.3707331,0.736434,0.6698616,0.0665724
75,-0.076722495,0.24056071,"('meek', 'impulsive')",-0.6035813,-0.4568942,-0.3401519,-0.1081667,-0.2319852
33,-0.07366689,-0.06567549,"('wrong', 'right')",-0.7173851,-0.8460019,-0.395526,-0.4558387,0.0603127
68,-0.06482347,-0.095157035,"('dependent', 'independent')",-0.46201634,-0.5055126,-0.2634199,-0.3003348,0.0369149
47,-0.032800395,0.108058,"('stupid', 'smart')",4.7737107,5.289691,2.3704553,2.6988745,-0.3284192
76,0.023116522,0.18127124,"('anxious', 'daring')",0.38452542,0.49856567,0.203821,0.3399185,-0.1360975
49,0.021490727,0.2697579,"('unable', 'able')",-0.10181507,0.09133147,-0.0401622,0.1805447,-0.2207069
83,0.008236233,0.011033982,"('powerless', 'powerful')",-0.88111126,-0.8651992,-0.4364375,-0.4270826,-0.0093549
