,lilly_male,lilly_female,tuple,eli_male,eli_female,&_male,&_female,co_male,co_female,average_male,average_female,male-female
5,3.0023582,2.8225799,"('distant', 'outgoing')",1.340361,1.3035282,0.68293184,0.7981751,0.04506269,0.32766995,1.2676784,1.3129883,-0.0453099
6,2.814655,2.5716019,"('distant', 'open')",1.8320346,1.6440563,1.0676222,1.1464394,0.30369264,0.61151326,1.5045011,1.4934027,0.0110984
85,2.3782187,1.8271722,"('insignificant', 'prestigious')",1.0257077,0.69520164,2.695113,2.2025697,1.1423002,1.0264456,1.8103348,1.4378471,0.3724877
71,2.331839,2.1051962,"('diffident', 'self-confident')",1.8614956,1.5580684,0.4703203,0.3594348,0.26115406,0.24207744,1.2312022,1.0661942,0.165008
35,2.2492805,2.151798,"('corrupt', 'incorrupt')",0.58386284,0.6333113,0.96646476,0.9352115,0.48018777,0.4570496,1.0699489,1.0443425,0.0256064
3,-2.0991838,-2.1504588,"('repellent', 'pleasant')",-1.5196992,-1.7440128,-1.2933515,-1.3930534,0.3675654,0.27885836,-1.1361673,-1.2521667,0.1159994
9,2.050887,1.9251413,"('unaffectionate', 'caring')",1.7474891,1.6408143,0.87016433,0.88931733,1.3122108,1.5212032,1.4951878,1.494119,0.0010688
46,-1.8707638,-1.9543327,"('uncompetitive', 'competitive')",-0.54291916,-0.6237983,-1.0956819,-1.0515205,-0.6934616,-0.73881483,-1.0507066,-1.0921166,0.04141
45,-1.7776068,-1.3987713,"('incompetent', 'competent')",-1.0374207,-0.818594,-1.0915341,-0.59372973,-1.4669935,-1.2507663,-1.3433888,-1.0154653,-0.3279235
26,1.7597193,1.840034,"('hardhearted', 'benevolent')",2.100531,2.3811436,2.6396408,2.9425876,1.4506755,1.8621305,1.9876417,2.2564738,-0.2688321
76,-1.7257576,-1.6994987,"('anxious', 'daring')",-1.6554096,-1.913692,-0.09411921,-0.1791215,-0.5927235,-0.52606845,-1.0170025,-1.0795951,0.0625926
69,1.6829656,1.4249303,"('lazy', 'industrious')",1.0315816,0.81196415,1.8320178,1.5882902,0.56768125,0.27563715,1.2785616,1.0252055,0.2533561
19,1.6459178,1.853683,"('inhospitable', 'hospitable')",0.69678843,0.8653988,-0.15922748,0.06994719,0.61558914,0.7911789,0.699767,0.895052,-0.195285
10,-1.6253508,-1.3577645,"('unsympathetic', 'sympathetic')",-1.0425823,-0.9581137,-1.3450152,-1.1227018,-0.4160971,-0.18427482,-1.1072613,-0.9057137,-0.2015476
65,-1.6140836,-1.6773084,"('insecure', 'secure')",-1.6431322,-1.8331237,-0.7326422,-0.98135674,-1.2379968,-1.2329595,-1.3069637,-1.4311872,0.1242235
1,1.6001434,1.3603293,"('unfriendly', 'friendly')",1.3185838,1.0078666,0.8150081,0.83363897,1.3289038,1.5794128,1.2656598,1.1953119,0.0703479
33,1.5919573,1.5368361,"('wrong', 'right')",0.63342404,0.56632185,1.1566309,1.1034074,-0.46488068,-0.7481245,0.7292829,0.6146102,0.1146727
68,-1.5811268,-1.373443,"('dependent', 'independent')",-1.2406006,-1.3384798,-1.4308687,-1.4391925,-1.6669071,-1.7420704,-1.4798758,-1.4732964,-0.0065794
57,-1.574489,-1.5014274,"('unimaginative', 'imaginative')",-1.6280891,-1.5931827,-1.368703,-1.2208949,-3.1434991,-3.2805872,-1.928695,-1.8990231,-0.0296719
79,1.5205626,1.5863116,"('wavering', 'unwavering')",0.9577794,1.1693668,1.480208,1.5225241,0.4853753,0.5916885,1.1109813,1.2174728,-0.1064915
70,-1.5155181,-1.4671115,"('lethargic', 'energetic')",-0.9954927,-1.0857958,-0.4642073,-0.5466625,-0.71701723,-0.57148236,-0.9230587,-0.9177631,-0.0052956
80,-1.4729354,-1.283848,"('dominated', 'dominating')",-0.6550931,-0.4929953,-0.44198394,-0.35029924,-0.7566214,-0.7078762,-0.8316584,-0.7087547,-0.1229037
81,-1.4282503,-0.96944106,"('submissive', 'aggressive')",-0.779228,-0.61476576,-0.6171564,-0.38542008,-1.649733,-1.5352594,-1.1185919,-0.8762215,-0.2423704
