,assurant_male,assurant_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-2.2225187,-2.432261,"('unfriendly', 'friendly')",1.9987081,2.0322614,-0.1119053,-0.1999998,0.0880945
86,-2.1541777,-2.1300466,"('uninfluential', 'influential')",-0.34653953,-0.29829955,-1.2503586,-1.2141731,-0.0361855
53,-1.7461736,-1.8937718,"('uncreative', 'creative')",0.8330188,0.8061188,-0.4565774,-0.5438265,0.0872491
19,-1.6647378,-1.3974819,"('inhospitable', 'hospitable')",0.054440677,0.16220601,-0.8051486,-0.6176379,-0.1875107
0,-1.6563475,-1.6634223,"('unsociable', 'sociable')",-0.45913655,-0.39274192,-1.057742,-1.0280821,-0.0296599
57,-1.6515629,-1.6598248,"('unimaginative', 'imaginative')",-2.7016964,-2.662882,-2.1766295,-2.1613536,-0.0152759
9,-1.5189911,-1.6977229,"('unaffectionate', 'caring')",1.6234597,1.5328226,0.0522343,-0.0824502,0.1346845
8,-1.3004866,-1.4948233,"('unaffectionate', 'affectionate')",1.2797478,1.1700789,-0.0103694,-0.1623722,0.1520028
12,-1.2714169,-1.3133143,"('unsupportive', 'supportive')",-1.6915512,-1.7580914,-1.4814841,-1.5357029,0.0542188
31,-1.2472571,-1.1051501,"('evil', 'good')",-1.1349659,-1.0926982,-1.1911116,-1.0989242,-0.0921874
69,1.2305709,1.2090504,"('lazy', 'industrious')",-0.56249964,-0.57334423,0.3340356,0.3178531,0.0161825
46,-1.2102956,-1.0952945,"('uncompetitive', 'competitive')",-0.9474563,-0.8353596,-1.0788759,-0.965327,-0.1135489
5,-1.1166092,-1.1937078,"('distant', 'outgoing')",0.33391798,0.31290483,-0.3913456,-0.4404015,0.0490559
77,-1.0875801,-0.9884928,"('unmotivated', 'motivated')",-0.9645954,-0.993209,-1.0260878,-0.9908509,-0.0352369
6,-1.0639315,-1.1202599,"('distant', 'open')",0.72652644,0.6634634,-0.1687025,-0.2283982,0.0596957
71,-1.0620781,-1.1518649,"('diffident', 'self-confident')",0.5562625,0.46062827,-0.2529078,-0.3456183,0.0927105
45,-1.0102209,-0.76914227,"('incompetent', 'competent')",-0.26248273,-0.22653832,-0.6363518,-0.4978403,-0.1385115
44,0.99780935,0.9680305,"('prejudiced', 'unprejudiced')",-1.5451611,-1.527756,-0.2736759,-0.2798627,0.0061868
3,-0.99709195,-0.9833915,"('repellent', 'pleasant')",0.14503528,-0.107570976,-0.4260283,-0.5454813,0.119453
23,-0.98423314,-0.9404035,"('insincere', 'sincere')",6.1421413,5.906382,2.5789542,2.4829893,0.0959649
