,american_male,american_female,tuple,international_male,international_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
73,1.618689,1.6684647,"('helpless', 'self-reliant')",1.0298103,1.221587,-0.1557881,0.047371667,-3.284113,-2.9633725,-0.1978505,-0.0064873,-0.1913632
66,1.3826232,1.1136687,"('inactive', 'active')",1.3594031,1.101169,0.7340074,0.41851142,1.00676,0.83664006,1.1206985,0.8674973,0.2532012
0,-1.2620927,-1.1719276,"('unsociable', 'sociable')",-1.417261,-1.4032648,0.4406701,0.32785916,-0.523526,-0.52424455,-0.6905524,-0.6928945,0.0023421
45,-1.259633,-1.2287267,"('incompetent', 'competent')",-0.91251385,-0.82857066,0.2364146,0.22531582,-0.32109916,-0.37992162,-0.5642079,-0.5529758,-0.0112321
53,-1.2498924,-1.0744553,"('uncreative', 'creative')",-1.0078351,-0.7992991,-0.62424403,-0.5585558,0.8505678,0.80028844,-0.5078509,-0.4080054,-0.0998455
49,-1.2303913,-0.9859926,"('unable', 'able')",-1.0156248,-0.762709,-1.0718125,-0.9863962,-0.14387777,-0.12930597,-0.8654266,-0.716101,-0.1493256
47,-1.213179,-1.0170785,"('stupid', 'smart')",-0.32919496,-0.07287552,0.5530851,0.7180764,5.850933,5.5298424,1.2154111,1.2894912,-0.0740801
16,-1.181703,-1.2152346,"('unpopular', 'popular')",0.28160512,0.36383167,-0.33045325,-0.2368896,0.5553565,0.5266854,-0.1687987,-0.1404018,-0.0283969
77,-1.156582,-0.9854552,"('unmotivated', 'motivated')",-0.6078356,-0.6810815,0.5764065,0.47801426,-0.94811285,-0.93179095,-0.534031,-0.5300784,-0.0039526
29,-1.1255243,-1.241123,"('unfair', 'fair')",-0.72419935,-0.8788466,-0.5306837,-0.7186613,-0.83530354,-0.9941088,-0.8039277,-0.958185,0.1542573
22,-1.1160557,-1.1333293,"('untrustworthy', 'trustworthy')",-0.850575,-0.7806182,0.3407477,0.30000576,-1.0854399,-0.9809054,-0.6778307,-0.6487118,-0.0291189
55,-1.0925386,-1.0313275,"('incompetent', 'clever')",-1.6086532,-1.5874503,0.79985565,0.7145792,-0.15776142,-0.3052148,-0.5147744,-0.5523533,0.0375789
57,-0.9453021,-0.8571536,"('unimaginative', 'imaginative')",-1.3009387,-1.0554348,-0.77622753,-0.7201043,-2.6400824,-2.397934,-1.4156377,-1.2576566,-0.1579811
3,-0.9330738,-0.8710829,"('repellent', 'pleasant')",-1.2026453,-1.1858464,0.79705095,0.77140546,0.14380117,0.14333823,-0.2987167,-0.2855464,-0.0131703
36,-0.91386247,-1.0697845,"('hostile', 'amicable')",0.7399665,0.6892622,-1.928756,-1.8486656,-0.1842696,-0.3830397,-0.5717304,-0.6530569,0.0813265
78,-0.9104543,-0.8899156,"('nonresilient', 'resilient')",-0.029159836,-0.14513642,1.1276861,0.88734853,0.44923705,0.19088842,0.1593273,0.0107962,0.1485311
51,0.88752264,1.0481896,"('uneducated', 'educated')",0.34320253,0.44858408,0.42343134,0.31763282,0.63272196,0.64034235,0.5717196,0.6136872,-0.0419676
39,0.859747,1.1622357,"('exploitative', 'cooperative')",0.5088389,0.7361106,1.6043347,1.8514863,-0.053401563,0.14431192,0.7298797,0.9735361,-0.2436564
14,-0.82921016,-0.6025753,"('antisocial', 'social')",0.0066265,0.11270337,1.8528883,2.0525832,-0.73291165,-0.41761455,0.0743483,0.2862742,-0.2119259
31,-0.8253548,-1.176649,"('evil', 'good')",0.4419097,0.32277024,-0.99870986,-0.9567091,-1.3895938,-1.4825014,-0.6929372,-0.8232723,0.1303351
