,lexmark_male,lexmark_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
73,1.5375402,1.6830033,"('helpless', 'self-reliant')",0.19872117,0.25616693,-2.9458582,-2.961987,-0.403199,-0.3409389,-0.0622601
57,-1.2934254,-1.3499764,"('unimaginative', 'imaginative')",-0.44020018,-0.47891125,-2.6837525,-2.769354,-1.4724595,-1.5327473,0.0602878
86,-1.170792,-1.1863812,"('uninfluential', 'influential')",-0.043933637,-0.10480395,-0.33005533,-0.38313866,-0.514927,-0.5581079,0.0431809
69,1.0109137,0.83710915,"('lazy', 'industrious')",1.29979,1.2375162,-0.45258668,-0.586305,0.6193724,0.4961067,0.1232657
39,1.0067173,1.0150653,"('exploitative', 'cooperative')",0.5923978,0.6394975,0.08145764,0.1830043,0.5601909,0.6125224,-0.0523315
10,-0.9988698,-0.86050344,"('unsympathetic', 'sympathetic')",-0.8589695,-0.8391384,-0.55323327,-0.6044892,-0.8036909,-0.7680437,-0.0356472
33,0.97441584,0.9854387,"('wrong', 'right')",0.67900676,0.60214996,-0.3396411,-0.40725473,0.4379272,0.3934447,0.0444825
53,-0.966802,-0.91095227,"('uncreative', 'creative')",-0.34907368,-0.2097088,1.0735885,1.0966736,-0.0807624,-0.0079958,-0.0727666
84,0.89362544,0.962042,"('inferior', 'superior')",0.5791087,0.7411092,0.9747759,0.97565174,0.8158367,0.8929343,-0.0770976
2,0.88930625,0.76583,"('unlikable', 'likable')",1.2970481,1.0770463,0.66743994,0.5540038,0.9512648,0.79896,0.1523048
82,-0.8729982,-0.8061869,"('poor', 'rich')",-0.4198941,-0.5525227,6.3557878,6.4135895,1.6876319,1.68496,0.0026719
31,-0.8278901,-0.92562556,"('evil', 'good')",-0.5960475,-0.63325626,-0.71790284,-0.740675,-0.7139468,-0.7665189,0.0525721
83,0.77748185,0.841445,"('powerless', 'powerful')",-0.006892346,0.03668507,-0.9529176,-0.94392604,-0.060776,-0.021932,-0.038844
30,0.76796013,0.7660777,"('intolerant', 'tolerant')",0.5956703,0.5471005,1.0087937,0.9690563,0.790808,0.7607448,0.0300632
87,0.7578832,0.6150113,"('unsuccessful', 'successful')",1.3376329,1.1574,1.0976777,0.95906043,1.064398,0.9104906,0.1539074
6,-0.7473197,-0.77464247,"('distant', 'open')",-0.61541784,-0.46228242,0.4135014,0.45041925,-0.3164121,-0.2621685,-0.0542436
71,0.74069405,0.63992906,"('diffident', 'self-confident')",0.6768989,0.59649444,0.5420073,0.40797824,0.6532001,0.5481339,0.1050662
42,0.71716887,0.6247797,"('unreliable', 'reliable')",0.24572198,0.3375231,-3.2906632,-3.2408195,-0.7759241,-0.7595056,-0.0164185
35,-0.7042188,-0.6600839,"('corrupt', 'incorrupt')",-0.77997917,-0.70088947,-0.13879807,-0.06030828,-0.5409987,-0.4737606,-0.0672381
51,-0.6974154,-0.8348558,"('uneducated', 'educated')",0.59195703,0.5493906,0.51438284,0.5035487,0.1363082,0.0726945,0.0636137
59,0.6877986,0.66787374,"('foolish', 'wise')",0.14576139,0.2600728,0.74046355,0.7801842,0.5246745,0.5693769,-0.0447024
67,0.6557038,0.872689,"('doubtful', 'determined')",0.21046372,0.4245326,-0.78621805,-0.6380634,0.0266498,0.2197194,-0.1930696
81,-0.6341987,-0.5720052,"('submissive', 'aggressive')",0.38113552,0.32002193,-1.0504522,-1.0799103,-0.4345051,-0.4439645,0.0094594
55,-0.6286304,-0.57569814,"('incompetent', 'clever')",-0.251929,-0.561755,-0.11853439,-0.15784822,-0.3330313,-0.4317671,0.0987358
62,0.60325307,0.6285237,"('incompetent', 'brilliant')",0.8627724,0.6129061,0.23502955,0.18245393,0.5670183,0.4746279,0.0923904
79,-0.5973762,-0.6517288,"('wavering', 'unwavering')",-0.9202967,-0.850413,0.062409095,0.11233522,-0.485088,-0.4632689,-0.0218191
72,-0.5938121,-0.5421433,"('unambitious', 'ambitious')",-0.25734687,-0.34260088,-0.8298158,-0.7893592,-0.5603249,-0.5580345,-0.0022904
88,-0.5769881,-0.557879,"('low', 'eminent')",-0.42689946,-0.3425529,0.12312725,0.18971716,-0.2935868,-0.2369049,-0.0566819
18,-0.5619829,-0.6517783,"('disagreeable', 'welcoming')",0.7800444,0.73847204,-0.06925465,-0.18564266,0.0496023,-0.032983,0.0825853
28,-0.53236157,-0.48991042,"('disloyal', 'loyal')",-0.2956277,-0.23111355,0.86811286,1.0784409,0.0133745,0.119139,-0.1057645
44,-0.5303769,-0.4688411,"('prejudiced', 'unprejudiced')",-0.070763625,-0.106773734,-1.6011626,-1.6513547,-0.7341011,-0.7423232,0.0082221
46,0.5067095,0.44782794,"('uncompetitive', 'competitive')",0.55203384,0.29035267,-0.60447836,-0.77189094,0.1514217,-0.0112368,0.1626585
85,0.49418515,0.30887315,"('insignificant', 'prestigious')",-0.8360835,-0.8402629,0.53071016,0.40132132,0.0629373,-0.0433561,0.1062934
12,0.48160157,0.2838708,"('unsupportive', 'supportive')",0.3871227,0.3289979,-1.5936756,-1.6219361,-0.2416505,-0.3363558,0.0947053
