,lumen_male,lumen_female,tuple,techologies_male,techologies_female,inc_male,inc_female,average_male,average_female,male-female
19,-1.7749482,-1.9385959,"('inhospitable', 'hospitable')",-1.9814578,-1.935569,-0.49125892,-0.84095216,-1.4158883,-1.5717058,0.1558175
31,-1.6898372,-1.8423679,"('evil', 'good')",-1.9906516,-2.0712273,-0.7541638,-1.3420721,-1.4782176,-1.7518891,0.2736715
5,-1.5949644,-1.6833115,"('distant', 'outgoing')",-1.7834617,-1.6314106,-0.5032258,-0.8628234,-1.293884,-1.3925152,0.0986312
6,-1.5465105,-1.8134378,"('distant', 'open')",-1.5942037,-1.5754352,0.039436918,-0.44606322,-1.0337591,-1.2783121,0.244553
36,-1.535034,-1.8063834,"('hostile', 'amicable')",-1.8565737,-2.0975926,0.1280429,-0.30915523,-1.0878549,-1.404377,0.3165221
79,-1.4838393,-1.5291075,"('wavering', 'unwavering')",-1.869505,-1.6663041,-0.34148479,-0.41864467,-1.2316097,-1.2046854,-0.0269243
60,1.3666421,1.5330505,"('inefficient', 'efficient')",2.9485135,2.6956518,0.22411944,0.49458408,1.5130917,1.5744289,-0.0613372
9,-1.1504395,-1.4783463,"('unaffectionate', 'caring')",-1.6849746,-2.0196571,0.7008253,0.33577135,-0.7115296,-1.0540774,0.3425478
66,-1.0174503,-1.0366906,"('inactive', 'active')",-0.7270623,-0.73032594,0.48614776,0.23788375,-0.4194549,-0.5097109,0.090256
78,-1.0076252,-0.9630834,"('nonresilient', 'resilient')",0.28278583,0.20715567,0.3996609,0.23996383,-0.1083928,-0.171988,0.0635952
85,-1.0004653,-1.3443074,"('insignificant', 'prestigious')",-1.9164834,-1.6620661,0.45546156,0.07284276,-0.8204958,-0.9778435,0.1573477
67,0.99755436,1.0931948,"('doubtful', 'determined')",0.9585727,1.1532984,-0.7317284,-0.25502253,0.4081329,0.6638236,-0.2556907
53,-0.9837382,-1.1010158,"('uncreative', 'creative')",-0.30352303,-0.50803643,0.80470103,0.51503545,-0.1608534,-0.3646723,0.2038189
1,-0.9732794,-1.4899228,"('unfriendly', 'friendly')",-1.0648118,-1.5959218,1.4914953,0.7406109,-0.1821986,-0.7817446,0.599546
16,-0.9403537,-0.740779,"('unpopular', 'popular')",-1.1561952,-0.8851993,0.35539913,0.43682602,-0.5803832,-0.3963841,-0.1839991
38,-0.93601,-1.0317185,"('untruthful', 'truthful')",-0.63893527,-0.5207895,-0.4683859,-0.23194167,-0.6811104,-0.5948166,-0.0862938
14,0.90495104,1.0926467,"('antisocial', 'social')",2.0359435,2.0385897,-0.20651217,0.11997334,0.9114608,1.0837367,-0.1722759
4,-0.8770856,-0.97214466,"('disliked', 'liked')",-0.6657683,-0.64808065,-5.928049,-6.2854605,-2.490301,-2.6352286,0.1449276
2,0.85475576,1.2115067,"('unlikable', 'likable')",0.022210445,0.49374634,0.28594354,0.71646106,0.3876366,0.8072381,-0.4196015
51,-0.84200174,-0.7009335,"('uneducated', 'educated')",0.40831587,0.54070395,-0.06626637,0.030166434,-0.1666508,-0.0433544,-0.1232964
55,0.8261108,1.0990938,"('incompetent', 'clever')",1.6390147,1.4622042,0.54507273,0.61981004,1.0033995,1.0603693,-0.0569698
56,0.8128826,1.0550126,"('impractical', 'practical')",1.1971338,1.2723058,-0.57867193,0.000664019,0.4771148,0.7759941,-0.2988793
39,0.77045125,0.83386946,"('exploitative', 'cooperative')",0.57789856,0.55387276,0.43578038,0.5648825,0.5947101,0.6508749,-0.0561648
65,0.7652025,1.0691872,"('insecure', 'secure')",1.4528548,1.2763277,0.12255676,0.45513242,0.7802046,0.9335491,-0.1533445
76,0.7525413,1.2948984,"('anxious', 'daring')",1.4873363,1.7627742,0.47245654,1.0237122,0.9041114,1.3604616,-0.4563502
10,-0.7282182,-0.60295355,"('unsympathetic', 'sympathetic')",-0.28184277,-0.47257298,-0.25438008,-0.21756053,-0.4214804,-0.431029,0.0095486
61,-0.7222873,-0.89543587,"('illogical', 'logical')",0.23480049,0.041489612,-0.04123075,-0.18864426,-0.1762392,-0.3475302,0.171291
54,-0.67671514,-0.66416025,"('incapable', 'capable')",-0.80345786,-0.6889448,0.72945297,0.9771414,-0.25024,-0.1253212,-0.1249188
37,0.66623735,0.4224186,"('fake', 'genuine')",-0.25784853,-0.34912795,0.2955717,-0.095165074,0.2346535,-0.0072915,0.241945
17,-0.6585262,-0.66223407,"('nasty', 'nice')",-0.86774945,-0.93895996,-0.5420393,-0.6511859,-0.6894383,-0.7507933,0.061355
8,-0.6506492,-1.0670261,"('unaffectionate', 'affectionate')",-2.2598557,-2.5330036,0.4510705,-0.024629297,-0.8198114,-1.2082197,0.3884083
52,-0.6275817,-1.0434941,"('irrational', 'rational')",-1.1839544,-1.3544115,-0.2871886,-0.55230373,-0.6995749,-0.9834031,0.2838282
86,-0.6214669,-1.1191257,"('uninfluential', 'influential')",-0.051222183,-0.48611248,-0.12053911,-0.619226,-0.2644094,-0.7414881,0.4770787
84,0.5541035,0.35114548,"('inferior', 'superior')",-0.3284824,-0.40083522,1.1021233,0.9998189,0.4425815,0.3167097,0.1258718
21,0.52317965,0.6430101,"('immoral', 'moral')",1.2645675,1.3139038,-0.4037254,-0.07674261,0.4613406,0.6267238,-0.1653832
64,0.5211172,0.34107536,"('shy', 'confident')",0.8981756,0.82461125,-6.03599,-5.940784,-1.5388991,-1.5916991,0.0528
47,0.51983565,0.7863844,"('stupid', 'smart')",0.9492988,0.98171496,5.3004584,5.698844,2.2565309,2.4889811,-0.2324502
73,0.5118468,0.5637757,"('helpless', 'self-reliant')",0.15176277,0.33176363,-2.9926457,-3.1019921,-0.7763454,-0.7354843,-0.0408611
