,marsh_male,marsh_female,tuple,&_male,&_female,mclennan_male,mclennan_female,cos_male,cos_female,inc_male,inc_female,average_male,average_female,male-female
82,-1.5720106,-1.540918,"('poor', 'rich')",0.10238554,-0.0839595,-0.97777015,-1.0202254,0.36016643,0.31695744,5.6709104,5.739067,0.7167363,0.6821843,0.034552
7,1.4340726,1.4334286,"('insensitive', 'sensitive')",0.36821243,0.2447176,-1.5101398,-1.5151181,-0.19297668,-0.23229747,0.7725009,0.65810984,0.1743339,0.1177681,0.0565658
47,-1.389564,-1.25786,"('stupid', 'smart')",0.2839179,0.3144045,-1.2729446,-1.316765,0.5872054,0.65370286,4.683972,4.6868615,0.5785173,0.6160687,-0.0375514
51,-1.2853589,-1.2927904,"('uneducated', 'educated')",0.77062106,0.72156924,-1.3079073,-1.3780476,-0.199887,-0.2850837,0.31862417,0.23409766,-0.3407816,-0.400051,0.0592694
73,1.1963713,1.3399229,"('helpless', 'self-reliant')",0.41239694,0.5840942,1.7655923,1.9256595,0.1565032,0.36167872,-3.1806407,-3.1038408,0.0700446,0.2215029,-0.1514583
18,-1.1602242,-0.9853063,"('disagreeable', 'welcoming')",0.40378645,0.38559338,0.15749179,0.25329417,-1.9428279,-1.930069,-0.5471675,-0.47674352,-0.6177883,-0.5506463,-0.067142
74,1.1552864,1.3496892,"('undedicated', 'dedicated')",0.98581195,1.0248293,-0.26481134,-0.16598536,0.45467883,0.6066005,0.2834746,0.49429697,0.5228881,0.6618861,-0.138998
71,1.1420466,0.946661,"('diffident', 'self-confident')",-0.122068614,-0.0302139,0.15855274,0.24592012,-0.1569422,-0.18055624,0.77160156,0.6458337,0.358638,0.3255289,0.0331091
77,-1.1197424,-1.25942,"('unmotivated', 'motivated')",0.43396497,0.22027037,-1.357225,-1.3845874,0.083823025,-0.059992984,-0.72578776,-0.97309506,-0.5369934,-0.6913651,0.1543717
52,-1.0978776,-1.005147,"('irrational', 'rational')",-0.5640762,-0.5481995,0.27041706,0.40524086,-1.0210532,-1.0299853,0.094412066,0.1864107,-0.4636356,-0.398336,-0.0652996
60,-1.0821155,-0.9712037,"('inefficient', 'efficient')",1.3782351,1.3125566,-3.0112648,-3.0807376,0.77704966,0.85056126,0.13325424,0.17762524,-0.3609682,-0.3422396,-0.0187286
44,-1.0712934,-1.1949829,"('prejudiced', 'unprejudiced')",-1.5190425,-1.47139,1.1607802,1.128988,-0.8282191,-0.7025239,-1.5584456,-1.4573714,-0.7632441,-0.739456,-0.0237881
88,-1.0292426,-1.0486102,"('low', 'eminent')",-0.49110308,-0.39540172,-0.9205344,-1.0598236,-0.62149197,-0.58045065,0.3999198,0.56645304,-0.5324904,-0.5035666,-0.0289238
56,1.0283616,1.0307868,"('impractical', 'practical')",0.7799241,0.8466808,-1.1331087,-1.138209,0.85419494,0.92038393,-0.09617941,-0.12799999,0.2866385,0.3063285,-0.01969
16,-1.0193912,-0.9474077,"('unpopular', 'popular')",0.19057621,0.05059962,0.27849272,0.29335153,-0.19483674,-0.30818498,0.7857399,0.74163425,0.0081162,-0.0340015,0.0421177
9,0.9931365,1.1853299,"('unaffectionate', 'caring')",-0.40794826,-0.39324182,-0.26889542,-0.19411182,-0.3553817,-0.3532819,1.4344765,1.5298322,0.2790775,0.3549053,-0.0758278
69,0.92481613,0.4299597,"('lazy', 'industrious')",0.78075016,0.8433325,2.7682452,2.785792,1.3289685,1.2837318,0.01451195,-0.08065393,1.1634584,1.0524324,0.111026
49,-0.91089815,-0.9426333,"('unable', 'able')",-0.017282858,-0.113637276,-1.2944674,-1.3733656,-1.2459861,-1.1349223,-0.55139357,-0.51119685,-0.8040056,-0.815151,0.0111454
55,0.9063036,0.95806456,"('incompetent', 'clever')",1.4682716,1.2330728,-2.727507,-2.9463823,-0.3648432,-0.31977624,-0.12733698,-0.12409344,-0.1690224,-0.2398229,0.0708005
39,0.90174425,0.8506088,"('exploitative', 'cooperative')",0.24085647,0.3477556,-0.47264308,-0.4533122,1.1451535,1.2835855,-0.036769554,0.012121443,0.3556683,0.4081519,-0.0524836
2,-0.90154505,-0.61937016,"('unlikable', 'likable')",0.7366029,0.8299956,0.018784529,0.1377618,0.9303107,1.0257093,0.6199875,0.8255123,0.2808281,0.4399218,-0.1590937
54,-0.8999355,-0.8922253,"('incapable', 'capable')",-0.508698,-0.55375165,-0.13587767,-0.10976318,-0.64868975,-0.6974609,0.92257637,0.8823771,-0.2541249,-0.2741648,0.0200399
