,grainger_male,grainger_female,tuple,w_male,w_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.2178366,-2.0941634,"('unfriendly', 'friendly')",-1.3011687,-1.2667034,0.9776134,1.2539089,-0.8471306,-0.7023193,-0.1448113
6,-2.2038605,-1.8568811,"('distant', 'open')",-1.4458326,-1.3628992,-0.3466811,0.10719168,-1.3321247,-1.0375296,-0.2945951
55,1.9372002,1.5132192,"('incompetent', 'clever')",1.7789953,1.7475127,0.58032787,0.294213,1.4321745,1.1849817,0.2471928
36,-1.898765,-1.6234509,"('hostile', 'amicable')",-1.8826073,-2.1256855,-0.22725594,0.034090064,-1.3362095,-1.2383488,-0.0978607
60,1.8621635,1.5994726,"('inefficient', 'efficient')",1.7467989,2.1790621,0.71625614,0.50715035,1.4417396,1.4285617,0.0131779
52,-1.8443671,-1.5697205,"('irrational', 'rational')",-0.26361707,-0.6059408,-0.012598008,0.36175597,-0.7068608,-0.6046351,-0.1022257
85,-1.8025459,-1.6057855,"('insignificant', 'prestigious')",-1.3160076,-1.684715,0.40505365,0.8683375,-0.9045,-0.8073877,-0.0971123
80,1.8001142,1.2698497,"('dominated', 'dominating')",1.2922748,1.1380929,-0.7453858,-1.1344867,0.7823344,0.4244853,0.3578491
56,1.776727,1.660082,"('impractical', 'practical')",1.2173731,1.4428637,0.24143486,0.013785038,1.0785116,1.0389103,0.0396013
5,-1.7108761,-1.4148018,"('distant', 'outgoing')",-1.3697122,-1.338766,-1.0370668,-0.634498,-1.3725518,-1.1293553,-0.2431965
14,1.7093431,1.4191097,"('antisocial', 'social')",2.2109847,2.2866645,-0.380208,-0.6134372,1.1800399,1.030779,0.1492609
87,1.6895368,1.3929731,"('unsuccessful', 'successful')",2.2707417,2.0356107,1.2981124,1.1077049,1.752797,1.5120961,0.2407009
27,-1.5848794,-1.530694,"('hardhearted', 'softhearted')",-0.5828419,-0.53440624,1.2026713,1.1870284,-0.3216833,-0.2926906,-0.0289927
31,-1.5700277,-1.1768432,"('evil', 'good')",-0.62401795,-0.8692251,-1.372131,-1.0644943,-1.1887255,-1.0368541,-0.1518714
46,1.5330514,1.119147,"('uncompetitive', 'competitive')",1.7409778,1.5763012,1.0347892,0.51105845,1.4362728,1.0688356,0.3674372
45,1.5099893,1.3160269,"('incompetent', 'competent')",2.4241688,2.2218273,0.68895435,0.46813083,1.5410376,1.3353284,0.2057092
18,-1.4346201,-1.3018268,"('disagreeable', 'welcoming')",-0.74973714,-0.60714924,-1.0527153,-0.79890186,-1.0790242,-0.902626,-0.1763982
8,-1.4047508,-1.3397114,"('unaffectionate', 'affectionate')",-1.4534041,-1.488888,7.7378005e-05,0.28831375,-0.9526924,-0.8467619,-0.1059305
79,-1.361799,-1.1861552,"('wavering', 'unwavering')",-0.38197377,-0.4938866,-0.23295398,-0.08320554,-0.6589089,-0.5877491,-0.0711598
81,1.3507082,1.1195239,"('submissive', 'aggressive')",0.5254441,0.79123867,-0.75692034,-0.9868034,0.3730773,0.3079864,0.0650909
16,-1.3057618,-1.075246,"('unpopular', 'popular')",-0.5784733,-0.53931,0.4513324,0.63368374,-0.4776343,-0.3269574,-0.1506769
67,1.1909696,1.1638273,"('doubtful', 'determined')",0.30289698,0.4661915,-0.5528019,-0.49804342,0.3136882,0.3773251,-0.0636369
74,1.1614772,1.1104828,"('undedicated', 'dedicated')",1.6744647,1.6995363,0.12824957,0.0059925653,0.9880638,0.9386706,0.0493932
62,1.0803478,0.8143606,"('incompetent', 'brilliant')",1.6625427,1.7275664,0.8329241,0.7271084,1.1919382,1.0896784,0.1022598
35,-1.0182129,-0.7828449,"('corrupt', 'incorrupt')",-1.9462652,-2.1128824,-1.1066474,-0.8212089,-1.3570418,-1.2389787,-0.1180631
42,1.0111953,0.9500143,"('unreliable', 'reliable')",0.7301801,0.7247897,-2.739559,-2.761924,-0.3327278,-0.3623734,0.0296456
88,-0.9242565,-0.9622474,"('low', 'eminent')",-1.9595488,-1.9234048,-0.52191824,-0.40242845,-1.1352412,-1.0960268,-0.0392144
65,0.91873705,0.7345414,"('insecure', 'secure')",1.0206876,1.2876793,0.074506834,-0.10061574,0.6713105,0.640535,0.0307755
39,0.90599674,0.91931874,"('exploitative', 'cooperative')",0.34824654,0.38630143,-0.08403019,-0.09326792,0.390071,0.4041174,-0.0140464
53,-0.90555465,-0.992134,"('uncreative', 'creative')",0.16470684,0.13228324,0.8939813,0.8466002,0.0510445,-0.0044169,0.0554614
9,-0.89923704,-0.78389794,"('unaffectionate', 'caring')",-0.10972483,-0.067773595,1.0970192,1.4023143,0.0293524,0.1835476,-0.1541952
70,0.8786114,0.6710175,"('lethargic', 'energetic')",1.4852785,1.576853,1.6013716,1.3652424,1.3217538,1.204371,0.1173828
7,0.8576507,0.71262974,"('insensitive', 'sensitive')",0.801711,0.92428696,0.9938655,0.9467262,0.8844091,0.8612143,0.0231948
37,0.8510121,0.73698646,"('fake', 'genuine')",1.0237291,1.045646,0.46577135,0.5387486,0.7801708,0.7737937,0.0063771
71,0.83990365,0.9836397,"('diffident', 'self-confident')",-0.1433018,-0.2472371,-0.045382652,0.08840104,0.2170731,0.2749346,-0.0578615
54,-0.8189711,-0.8323665,"('incapable', 'capable')",-0.13764337,-0.09654233,0.8887854,1.0066715,-0.0226097,0.0259209,-0.0485306
13,0.78160965,0.858665,"('impolite', 'polite')",0.77121824,1.0907729,0.49631003,0.38544846,0.6830459,0.7782954,-0.0952495
21,0.7791233,0.5924931,"('immoral', 'moral')",2.480819,2.4175746,0.08524859,-0.17177936,1.1150637,0.9460961,0.1689676
10,0.72981274,0.3669161,"('unsympathetic', 'sympathetic')",1.4671646,1.6052836,0.81734025,0.4967245,1.0047725,0.8229747,0.1817978
47,0.7097002,0.4345034,"('stupid', 'smart')",0.25878942,0.18874046,4.7977176,4.801322,1.9220691,1.8081886,0.1138805
64,0.7095259,0.6418073,"('shy', 'confident')",0.72805834,0.77705646,-5.795691,-5.998459,-1.4527022,-1.5265317,0.0738295
30,0.6861811,0.5502665,"('intolerant', 'tolerant')",0.1706357,0.3722786,0.9962156,0.9664011,0.6176775,0.6296487,-0.0119712
0,0.6731287,0.4903745,"('unsociable', 'sociable')",0.89369917,0.9106939,0.24377681,0.012933604,0.6035349,0.471334,0.1322009
76,0.65686667,0.37965968,"('anxious', 'daring')",0.977724,1.088829,0.61087185,0.45832342,0.7484875,0.6422707,0.1062168
82,-0.63701516,-0.55636835,"('poor', 'rich')",-0.11658384,0.141264,5.7584205,5.904157,1.6682738,1.8296843,-0.1614105
48,-0.6338202,-0.763239,"('unintelligent', 'intelligent')",-0.4610559,-0.36896017,0.15724948,0.19323233,-0.3125422,-0.312989,0.0004468
22,0.6323634,0.4812376,"('untrustworthy', 'trustworthy')",0.7506315,0.8239846,-0.4035426,-0.52021015,0.3264841,0.2616707,0.0648134
19,-0.61548126,-0.49626556,"('inhospitable', 'hospitable')",0.04578787,-0.08531249,-0.3686684,-0.15016896,-0.3127873,-0.2439157,-0.0688716
2,0.61275613,0.67932916,"('unlikable', 'likable')",1.1196996,1.2270159,0.23873144,0.4485678,0.6570624,0.7849709,-0.1279085
58,0.6120034,0.32728848,"('undiscriminating', 'discriminating')",1.0113527,0.67478275,0.10193622,0.014512988,0.5750974,0.3388614,0.236236
25,-0.56538963,-0.3590222,"('egoistic', 'altruistic')",-0.52110803,-0.5462743,0.6336683,0.8842841,-0.1509431,-0.0070041,-0.143939
72,-0.54789627,-0.6351075,"('unambitious', 'ambitious')",0.4534668,0.54684114,-1.1602565,-0.9039442,-0.4182287,-0.3307369,-0.0874918
75,-0.5461224,-0.42762548,"('meek', 'impulsive')",-0.5720694,-0.7260768,-0.34528393,-0.25331348,-0.4878252,-0.4690053,-0.0188199
69,0.50422937,0.6819537,"('lazy', 'industrious')",-0.553804,-0.6764049,-0.9384964,-0.6920726,-0.329357,-0.2288412,-0.1005158
40,-0.48912436,-0.3694005,"('stingy', 'generous')",-0.5336499,-0.6465001,-1.7610489,-1.5586653,-0.927941,-0.8581886,-0.0697524
83,0.47549966,0.25213638,"('powerless', 'powerful')",-0.39542812,-0.5060806,-0.7469332,-0.836822,-0.2222872,-0.3635887,0.1413015
68,-0.46937457,-0.50319,"('dependent', 'independent')",0.053343367,0.01702362,-0.5910534,-0.7801096,-0.3356949,-0.422092,0.0863971
4,-0.459498,-0.26420787,"('disliked', 'liked')",-0.9551457,-1.452909,-6.0090775,-6.0689416,-2.4745738,-2.5953528,0.120779
44,-0.44195253,-0.48145437,"('prejudiced', 'unprejudiced')",-1.216002,-1.2174563,-1.654275,-1.6209507,-1.1040765,-1.1066205,0.002544
12,0.4334698,0.36993983,"('unsupportive', 'supportive')",0.8206339,0.6824666,-1.7264036,-1.6749607,-0.1574333,-0.2075181,0.0500848
15,-0.41172478,-0.26192343,"('boring', 'funny')",0.09286168,-0.011318069,0.14189574,0.2201459,-0.0589891,-0.0176985,-0.0412906
66,-0.4116987,-0.47741747,"('inactive', 'active')",0.61249524,0.39257014,1.2200696,1.1929048,0.4736221,0.3693525,0.1042696
84,0.38770193,0.26141587,"('inferior', 'superior')",0.179016,0.06306038,0.44844097,0.44863847,0.3383863,0.2577049,0.0806814
34,-0.37506196,-0.32723048,"('mean', 'honorable')",0.14971991,0.26759925,5.9217615,6.050983,1.8988064,1.9971172,-0.0983108
33,-0.3668514,-0.15645826,"('wrong', 'right')",-0.3457536,-0.33859935,-0.9169979,-0.6327,-0.543201,-0.3759192,-0.1672818
43,0.36578208,0.24859191,"('irresponsible', 'responsible')",0.57062846,0.69533646,0.99500936,0.9160001,0.6438066,0.6199762,0.0238304
24,-0.344307,-0.28696683,"('dishonest', 'honest')",-0.9212588,-0.5758483,0.5247131,0.5936121,-0.2469509,-0.0897344,-0.1572165
38,-0.3403309,-0.26432592,"('untruthful', 'truthful')",-0.6952393,-0.5642363,0.05864992,0.22160724,-0.3256401,-0.2023183,-0.1233218
23,-0.33773774,-0.43863177,"('insincere', 'sincere')",0.8125638,1.0682387,5.6481276,5.7747545,2.0409845,2.1347872,-0.0938027
11,-0.30860087,-0.51869917,"('unhelpful', 'helpful')",0.26415294,0.4192094,2.123307,2.069874,0.692953,0.6567947,0.0361583
17,-0.29920843,-0.38836855,"('nasty', 'nice')",-0.29429814,-0.39903867,-0.6301519,-0.42508405,-0.4078862,-0.4041638,-0.0037224
59,-0.2864675,-0.1943033,"('foolish', 'wise')",0.2523417,0.13784474,-0.0055134706,0.1583136,-0.0132131,0.0339517,-0.0471648
20,0.27642488,0.06458829,"('rough', 'thoughtful')",-0.021470137,-0.08525927,0.9010004,0.9062934,0.3853184,0.2952075,0.0901109
51,0.26317284,0.18855216,"('uneducated', 'educated')",1.9448903,1.80189,0.5270666,0.4502181,0.9117099,0.8135534,0.0981565
86,-0.24632157,-0.39596397,"('uninfluential', 'influential')",0.7154467,0.8357425,0.3040235,0.17274877,0.2577162,0.2041758,0.0535404
73,0.23837668,0.40995815,"('helpless', 'self-reliant')",-0.069696024,-0.11915831,-3.6062384,-3.5337374,-1.1458526,-1.0809792,-0.0648734
78,0.21551076,0.10280055,"('nonresilient', 'resilient')",1.294427,1.1612614,1.5797565,1.3011593,1.0298981,0.8550738,0.1748243
63,0.21473618,0.12441017,"('unperceptive', 'insightful')",0.9862322,0.9916128,1.361854,1.1597157,0.8542741,0.7585796,0.0956945
49,-0.20257907,-0.34725487,"('unable', 'able')",0.2377424,0.09672921,0.20134316,-0.07572483,0.0788355,-0.1087502,0.1875857
57,-0.20077352,-0.4034738,"('unimaginative', 'imaginative')",0.8963134,0.6927121,-1.8439773,-2.1361415,-0.3828125,-0.6156344,0.2328219
29,-0.15894133,-0.22041358,"('unfair', 'fair')",0.9048323,0.7237395,-0.13561665,-0.1367482,0.2034248,0.1221926,0.0812322
26,-0.12787439,-0.12616768,"('hardhearted', 'benevolent')",0.37772018,0.27599666,0.5180563,0.80693424,0.2559674,0.3189211,-0.0629537
41,-0.11355129,0.11640507,"('unforgiving', 'forgiving')",-0.10437277,-0.11451722,-0.07015954,0.0168779,-0.0960279,0.0062553,-0.1022832
61,0.051987927,0.004038293,"('illogical', 'logical')",1.3635484,1.4364306,0.33560318,0.27670068,0.5837131,0.5723898,0.0113233
50,0.044754513,0.10422503,"('clumsy', 'skillful')",0.68692183,0.7224233,0.47694576,0.6866471,0.402874,0.5044318,-0.1015578
32,0.013645284,0.12811922,"('unkind', 'kind')",0.6214984,0.9877399,0.4231903,0.6224982,0.352778,0.5794524,-0.2266744
3,0.0023569278,-0.008064117,"('repellent', 'pleasant')",1.2036004,1.1785563,0.95985585,0.64678085,0.7219377,0.6057577,0.11618
28,0.0021864856,-0.012701789,"('disloyal', 'loyal')",-0.35026324,-0.1734449,1.0591946,1.0886632,0.2370393,0.3008388,-0.0637995
77,-0.000726277,-0.08325419,"('unmotivated', 'motivated')",0.8786183,0.8592492,0.40338555,0.23809919,0.4270925,0.3380314,0.0890611
