,mckesson_male,mckesson_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.4697056,-2.4101145,"('unsympathetic', 'sympathetic')",0.0391498,0.118038855,-1.2152779,-1.1460378,-0.0692401
86,-2.371758,-2.364336,"('uninfluential', 'influential')",-0.32674426,-0.22219545,-1.3492512,-1.2932657,-0.0559855
23,-2.2169163,-2.0914805,"('insincere', 'sincere')",4.998651,5.0695877,1.3908674,1.4890536,-0.0981862
69,2.0791206,1.8472842,"('lazy', 'industrious')",-0.30881673,-0.4217415,0.885152,0.7127714,0.1723806
0,-1.8831842,-1.852997,"('unsociable', 'sociable')",-0.48416784,-0.5307763,-1.183676,-1.1918867,0.0082107
85,1.8197023,1.6206425,"('insignificant', 'prestigious')",0.8605175,0.7233874,1.3401098,1.172015,0.1680948
48,-1.810608,-1.8321792,"('unintelligent', 'intelligent')",0.46242413,0.48506367,-0.6740919,-0.6735578,-0.0005341
11,-1.7744018,-1.6254808,"('unhelpful', 'helpful')",1.6314086,1.7770128,-0.0714966,0.075766,-0.1472626
63,-1.7701303,-1.6593708,"('unperceptive', 'insightful')",1.0791965,1.3362217,-0.3454669,-0.1615745,-0.1838924
21,-1.7556424,-1.6677502,"('immoral', 'moral')",-0.7104002,-0.79214156,-1.2330213,-1.2299459,-0.0030754
35,1.6905705,1.6287042,"('corrupt', 'incorrupt')",-0.052543737,-0.15437683,0.8190134,0.7371637,0.0818497
46,-1.6224773,-1.5760537,"('uncompetitive', 'competitive')",-0.18129134,-0.16152166,-0.9018843,-0.8687877,-0.0330966
73,1.5439823,1.5807546,"('helpless', 'self-reliant')",-2.4305391,-2.3686783,-0.4432784,-0.3939618,-0.0493166
1,-1.5178447,-1.5209367,"('unfriendly', 'friendly')",1.5125811,1.580845,-0.0026318,0.0299541,-0.0325859
43,-1.503935,-1.5012996,"('irresponsible', 'responsible')",0.7068129,0.8103554,-0.398561,-0.3454721,-0.0530889
57,-1.470412,-1.3849019,"('unimaginative', 'imaginative')",-2.091192,-1.9246936,-1.780802,-1.6547978,-0.1260042
65,-1.4460477,-1.4734108,"('insecure', 'secure')",-0.66397625,-0.59288496,-1.055012,-1.0331479,-0.0218641
44,1.4458929,1.2510543,"('prejudiced', 'unprejudiced')",-1.2662542,-1.4635286,0.0898194,-0.1062372,0.1960566
62,-1.4303771,-1.1144627,"('incompetent', 'brilliant')",0.2373472,0.5082257,-0.5965149,-0.3031185,-0.2933964
12,-1.4086826,-1.3396646,"('unsupportive', 'supportive')",-1.5391045,-1.3411162,-1.4738935,-1.3403904,-0.1335031
81,-1.4020388,-1.2626424,"('submissive', 'aggressive')",-0.75365233,-0.74070096,-1.0778456,-1.0016717,-0.0761739
72,-1.3363341,-1.2244986,"('unambitious', 'ambitious')",-0.802305,-0.62386894,-1.0693195,-0.9241838,-0.1451357
60,-1.2999967,-1.1201724,"('inefficient', 'efficient')",-0.077162564,0.18921913,-0.6885797,-0.4654766,-0.2231031
3,-1.2822311,-1.257634,"('repellent', 'pleasant')",-0.09275822,-0.0399487,-0.6874946,-0.6487914,-0.0387032
14,-1.2709085,-1.226592,"('antisocial', 'social')",-0.50386786,-0.4579744,-0.8873882,-0.8422832,-0.045105
75,1.244604,1.3685954,"('meek', 'impulsive')",-0.2008529,0.021462116,0.5218756,0.6950287,-0.1731531
56,-1.2335498,-1.0888364,"('impractical', 'practical')",-0.115717135,-0.032694194,-0.6746335,-0.5607653,-0.1138682
55,-1.226761,-1.2015201,"('incompetent', 'clever')",0.2196679,0.21655753,-0.5035465,-0.4924813,-0.0110652
22,-1.1307669,-0.79942036,"('untrustworthy', 'trustworthy')",-1.1808074,-0.8151913,-1.1557871,-0.8073058,-0.3484813
30,-1.12781,-0.87913346,"('intolerant', 'tolerant')",0.89115685,1.0315186,-0.1183266,0.0761926,-0.1945192
13,-1.1003568,-0.8673808,"('impolite', 'polite')",-0.79841137,-0.57326114,-0.9493841,-0.7203209,-0.2290632
34,-1.0926495,-1.013814,"('mean', 'honorable')",5.591575,5.6813893,2.2494628,2.3337877,-0.0843249
5,1.0887315,1.1144258,"('distant', 'outgoing')",-0.2364538,-0.21760094,0.4261389,0.4484124,-0.0222735
32,-1.0785348,-1.1310958,"('unkind', 'kind')",0.53681535,0.49054617,-0.2708597,-0.3202748,0.0494151
7,-1.0723289,-0.8979991,"('insensitive', 'sensitive')",0.5361197,0.80491966,-0.2681046,-0.0465397,-0.2215649
47,-1.0444318,-0.92614335,"('stupid', 'smart')",4.595827,4.7206345,1.7756977,1.8972455,-0.1215478
4,1.0323826,1.0254643,"('disliked', 'liked')",-5.9113774,-5.811988,-2.4394975,-2.3932619,-0.0462356
70,-1.020138,-0.8167198,"('lethargic', 'energetic')",0.7853982,1.0761012,-0.1173699,0.1296907,-0.2470606
61,-0.99371433,-0.8644637,"('illogical', 'logical')",0.2756846,0.20270541,-0.3590149,-0.3308792,-0.0281357
41,-0.9826649,-0.8532547,"('unforgiving', 'forgiving')",-0.3704867,-0.22781345,-0.6765758,-0.5405341,-0.1360417
79,0.9791128,0.8196894,"('wavering', 'unwavering')",0.207008,0.1573458,0.5930604,0.4885176,0.1045428
45,-0.9232423,-0.7018171,"('incompetent', 'competent')",-0.14022377,0.08960499,-0.531733,-0.3061061,-0.2256269
51,-0.9228667,-0.73176974,"('uneducated', 'educated')",0.34415242,0.49774036,-0.2893571,-0.1170147,-0.1723424
50,0.9123877,0.80600655,"('clumsy', 'skillful')",0.40592778,0.2860307,0.6591578,0.5460186,0.1131392
59,0.9080359,0.83275414,"('foolish', 'wise')",0.34726542,0.251995,0.6276506,0.5423746,0.085276
66,0.89363986,0.683849,"('inactive', 'active')",1.1318673,1.0578128,1.0127536,0.8708309,0.1419227
6,0.86179274,0.9105449,"('distant', 'open')",0.098836996,0.15025192,0.4803149,0.5303984,-0.0500835
36,0.83102405,0.63707584,"('hostile', 'amicable')",0.22238955,0.12814446,0.5267068,0.3826101,0.1440967
68,-0.8125664,-0.7134607,"('dependent', 'independent')",-0.53674614,-0.51505136,-0.6746563,-0.614256,-0.0604003
58,-0.7945624,-0.6247516,"('undiscriminating', 'discriminating')",0.30791068,0.37248665,-0.2433259,-0.1261325,-0.1171934
38,-0.7691638,-0.79141945,"('untruthful', 'truthful')",-0.029014967,0.069601916,-0.3990894,-0.3609088,-0.0381806
88,-0.76418805,-0.88034385,"('low', 'eminent')",0.17240997,0.054663494,-0.295889,-0.4128402,0.1169512
53,-0.76278275,-0.711802,"('uncreative', 'creative')",0.6928967,0.83888876,-0.034943,0.0635434,-0.0984864
24,-0.75910455,-0.653944,"('dishonest', 'honest')",0.3801277,0.5338358,-0.1894884,-0.0600541,-0.1294343
83,-0.74596447,-0.79038393,"('powerless', 'powerful')",-0.7126717,-0.7141978,-0.7293181,-0.7522908,0.0229727
82,-0.66842574,-0.5066885,"('poor', 'rich')",5.255284,5.360689,2.2934291,2.4270003,-0.1335712
87,0.6674298,0.65479386,"('unsuccessful', 'successful')",1.3499964,1.2448218,1.0087131,0.9498078,0.0589053
77,-0.6516419,-0.5588384,"('unmotivated', 'motivated')",-0.94679224,-0.82231313,-0.7992171,-0.6905758,-0.1086413
26,0.6473063,0.4153764,"('hardhearted', 'benevolent')",1.9399871,1.9204923,1.2936467,1.1679343,0.1257124
28,-0.5832965,-0.66991603,"('disloyal', 'loyal')",0.9229572,0.79537314,0.1698304,0.0627286,0.1071018
31,0.57080775,0.7015258,"('evil', 'good')",-0.9920965,-1.0008281,-0.2106444,-0.1496512,-0.0609932
49,-0.56882435,-0.49988583,"('unable', 'able')",-0.15368824,-0.13047169,-0.3612563,-0.3151788,-0.0460775
27,-0.54215187,-0.46719825,"('hardhearted', 'softhearted')",1.2992718,1.2019478,0.37856,0.3673748,0.0111852
2,0.54108346,0.51883465,"('unlikable', 'likable')",0.4572808,0.4997005,0.4991821,0.5092676,-0.0100855
18,-0.45985663,-0.46390137,"('disagreeable', 'welcoming')",-0.87456757,-0.82032645,-0.6672121,-0.6421139,-0.0250982
78,-0.43371344,-0.57709056,"('nonresilient', 'resilient')",0.8094614,0.78337693,0.187874,0.1031432,0.0847308
19,0.39387196,0.6158342,"('inhospitable', 'hospitable')",-0.03223844,0.16540703,0.1808168,0.3906206,-0.2098038
80,-0.34674218,-0.3830242,"('dominated', 'dominating')",-1.0192468,-1.1788355,-0.6829945,-0.7809299,0.0979354
20,-0.34272277,-0.25515515,"('rough', 'thoughtful')",1.4976835,1.5163833,0.5774804,0.630614,-0.0531336
39,0.32652104,0.37225145,"('exploitative', 'cooperative')",0.114147685,0.24544865,0.2203344,0.30885,-0.0885156
74,0.30912912,0.19972391,"('undedicated', 'dedicated')",0.3735023,0.3198983,0.3413157,0.2598111,0.0815046
33,0.2948463,0.3767504,"('wrong', 'right')",-0.7058655,-0.6498743,-0.2055096,-0.136562,-0.0689476
