,ameriprise_male,ameriprise_female,tuple,financial_male,financial_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.9183443,-2.9143965,"('unfriendly', 'friendly')",0.8445958,0.90513015,2.0227153,1.938148,-0.0170111,-0.0237061,0.006695
8,-2.5389013,-2.481048,"('unaffectionate', 'affectionate')",-0.4546672,-0.3834498,0.39528933,0.465617,-0.866093,-0.799627,-0.066466
9,-2.2873263,-2.2607987,"('unaffectionate', 'caring')",1.0565674,1.152375,0.9777188,1.0956297,-0.0843467,-0.0042647,-0.080082
86,-2.0545409,-2.156387,"('uninfluential', 'influential')",-0.00029861555,-0.14126062,-0.12397492,0.005231455,-0.7262715,-0.7641388,0.0378673
53,-2.0076265,-2.0736952,"('uncreative', 'creative')",0.9906807,0.9376716,0.9595093,0.93915826,-0.0191455,-0.0656218,0.0464763
12,-1.8315159,-1.7612302,"('unsupportive', 'supportive')",1.2642184,1.2740918,-2.0030515,-1.5996416,-0.856783,-0.6955934,-0.1611896
31,-1.8187317,-1.4740791,"('evil', 'good')",-1.4177629,-1.3121718,-1.22904,-1.1769258,-1.4885116,-1.3210589,-0.1674527
44,1.7346627,1.6708463,"('prejudiced', 'unprejudiced')",-0.2911824,-0.3172661,-1.3256395,-1.5352024,0.0392803,-0.0605407,0.099821
85,-1.48043,-1.3213419,"('insignificant', 'prestigious')",0.5636025,0.5954006,0.16669756,0.059631318,-0.2500433,-0.2221033,-0.02794
57,-1.3956132,-1.5447453,"('unimaginative', 'imaginative')",-0.28616142,-0.27926204,-2.7891204,-2.5411525,-1.4902983,-1.4550533,-0.035245
77,-1.3762019,-1.3324841,"('unmotivated', 'motivated')",0.7974882,0.8126625,-1.3262085,-1.2192324,-0.634974,-0.5796847,-0.0552893
71,-1.3608679,-1.2023278,"('diffident', 'self-confident')",1.7872192,1.6916813,0.45340145,0.41282034,0.2932509,0.3007246,-0.0074737
25,-1.3572776,-1.2967577,"('egoistic', 'altruistic')",-0.56737983,-0.55251896,1.4700751,1.3640205,-0.1515274,-0.1617521,0.0102247
42,1.3519171,1.3708673,"('unreliable', 'reliable')",0.46780857,0.58089566,-2.764858,-2.426147,-0.3150441,-0.158128,-0.1569161
78,-1.3403571,-1.3179786,"('nonresilient', 'resilient')",1.0285308,1.104959,0.086260706,0.29033062,-0.0751885,0.0257703,-0.1009588
19,-1.2742053,-1.1679885,"('inhospitable', 'hospitable')",-0.6716416,-0.6211816,0.12015589,0.049065437,-0.6085637,-0.5800349,-0.0285288
36,-1.1933916,-1.215229,"('hostile', 'amicable')",-0.7047984,-0.718948,0.038315937,-0.28040186,-0.619958,-0.738193,0.118235
76,1.1444075,0.9120095,"('anxious', 'daring')",0.3598301,0.23981754,0.37876606,0.35009637,0.6276679,0.5006411,0.1270268
52,-1.1251225,-1.102548,"('irrational', 'rational')",-0.47052115,-0.65631706,-0.20963089,-0.4570448,-0.6017582,-0.7386367,0.1368785
73,1.1068392,1.2215765,"('helpless', 'self-reliant')",0.3893953,0.49239737,-3.1932902,-2.9775476,-0.5656853,-0.4211913,-0.144494
28,-1.0956358,-1.2677361,"('disloyal', 'loyal')",0.28953505,0.111139484,1.0400524,0.87717086,0.0779839,-0.0931419,0.1711258
0,-1.0294359,-1.3319944,"('unsociable', 'sociable')",0.9779093,0.7897433,-0.5470216,-0.4915337,-0.1995161,-0.344595,0.1450789
54,-1.029312,-0.9587811,"('incapable', 'capable')",0.63947487,0.66061825,1.2066367,1.0278025,0.2722665,0.2432132,0.0290533
63,-1.0196055,-1.028577,"('unperceptive', 'insightful')",1.3120412,1.3936499,1.0009023,1.3582666,0.4311126,0.5744465,-0.1433339
80,1.0162957,0.81874436,"('dominated', 'dominating')",0.3267743,0.1453924,-1.0948207,-0.89679134,0.0827498,0.0224485,0.0603013
