,ust_male,ust_female,tuple,inc_male,inc_female,average_male,average_female,male-female
36,-2.0898812,-2.1762984,"('hostile', 'amicable')",0.03470369,-0.28554568,-1.0275887,-1.230922,0.2033333
6,-2.0688083,-1.8435626,"('distant', 'open')",0.03879179,-0.030790742,-1.0150082,-0.9371766,-0.0778316
31,-1.8990916,-1.5936584,"('evil', 'good')",-1.0588126,-1.3503296,-1.4789522,-1.471994,-0.0069582
60,1.8373661,2.0735047,"('inefficient', 'efficient')",0.25666288,0.7568721,1.0470145,1.4151884,-0.3681739
5,-1.7503855,-1.4416459,"('distant', 'outgoing')",-0.5021245,-0.4828942,-1.126255,-0.96227,-0.163985
81,1.6992717,1.6082795,"('submissive', 'aggressive')",-0.63927114,-0.35367095,0.5300003,0.6273043,-0.097304
8,-1.5712801,-1.7465332,"('unaffectionate', 'affectionate')",0.7806758,0.7287253,-0.3953021,-0.5089039,0.1136018
66,-1.471983,-1.4046597,"('inactive', 'active')",0.48389626,0.3409215,-0.4940434,-0.5318691,0.0378257
1,-1.449817,-1.4588552,"('unfriendly', 'friendly')",1.6037881,1.4062054,0.0769856,-0.0263249,0.1033105
53,-1.4261825,-1.4110131,"('uncreative', 'creative')",0.9541169,0.94972235,-0.2360328,-0.2306454,-0.0053874
76,1.3962455,1.2444826,"('anxious', 'daring')",0.27582192,0.41519684,0.8360337,0.8298397,0.006194
62,1.3502966,1.6815808,"('incompetent', 'brilliant')",0.5061056,0.99677724,0.9282011,1.339179,-0.4109779
79,-1.2867339,-1.1271303,"('wavering', 'unwavering')",-0.42135945,-0.34487087,-0.8540466,-0.7360005,-0.1180461
19,-1.1751648,-0.7283997,"('inhospitable', 'hospitable')",-0.4511346,-0.22494584,-0.8131497,-0.4766728,-0.3364769
30,1.1653656,1.0735915,"('intolerant', 'tolerant')",1.3605936,1.4724789,1.2629795,1.2730352,-0.0100557
35,-1.1170244,-1.2805043,"('corrupt', 'incorrupt')",-0.51835406,-0.82454216,-0.8176892,-1.0525233,0.2348341
85,-1.1111281,-1.5688194,"('insignificant', 'prestigious')",0.37577668,0.09017737,-0.3676757,-0.739321,0.3716453
9,-1.1107273,-1.1702907,"('unaffectionate', 'caring')",1.0320886,1.1228448,-0.0393193,-0.0237229,-0.0155964
65,1.1094757,0.9328657,"('insecure', 'secure')",-0.24671751,-0.14484689,0.4313791,0.3940094,0.0373697
21,1.1045736,0.99566925,"('immoral', 'moral')",-0.46175236,-0.457057,0.3214106,0.2693061,0.0521045
56,1.0949739,1.231732,"('impractical', 'practical')",-0.109413,0.15877263,0.4927804,0.6952523,-0.2024719
67,1.0230974,1.0397906,"('doubtful', 'determined')",-0.31016907,-0.3591227,0.3564641,0.340334,0.0161301
87,1.0085567,0.76229805,"('unsuccessful', 'successful')",0.8484574,0.6505952,0.9285071,0.7064466,0.2220605
86,-0.9399934,-1.1451086,"('uninfluential', 'influential')",-0.10717343,-0.057825334,-0.5235834,-0.601467,0.0778836
39,0.9003392,0.78416926,"('exploitative', 'cooperative')",0.012138311,-0.090386584,0.4562387,0.3468913,0.1093474
80,0.87390643,0.868966,"('dominated', 'dominating')",-1.2205558,-1.1361814,-0.1733247,-0.1336077,-0.039717
57,-0.86366934,-0.82048786,"('unimaginative', 'imaginative')",-2.7546735,-2.5750084,-1.8091714,-1.6977482,-0.1114232
52,-0.8438103,-1.1059434,"('irrational', 'rational')",0.13797618,-0.28091973,-0.3529171,-0.6934316,0.3405145
