,us_male,us_female,tuple,bancorp_male,bancorp_female,del_male,del_female,average_male,average_female,male-female
39,1.8456621,1.6994507,"('exploitative', 'cooperative')",0.706363,0.7748488,-0.14650401,-0.09126118,0.8018404,0.7943461,0.0074943
11,1.8006517,1.810398,"('unhelpful', 'helpful')",-0.48186913,-0.4121625,1.6433197,1.6219697,0.9873675,1.006735,-0.0193675
12,1.7122496,1.7164968,"('unsupportive', 'supportive')",0.10291137,0.13971344,-1.6729858,-1.5022587,0.0473917,0.1179839,-0.0705922
36,-1.6003892,-1.6443325,"('hostile', 'amicable')",1.9302853,1.8567128,-0.35366017,-0.3857282,-0.0079214,-0.0577826,0.0498612
35,-1.5594151,-1.6001617,"('corrupt', 'incorrupt')",0.466448,0.5430017,-0.71897876,-0.5717448,-0.6039819,-0.5429682,-0.0610137
62,1.5174669,1.6266948,"('incompetent', 'brilliant')",-0.12419162,0.00975506,0.2032122,0.40990877,0.5321625,0.6821195,-0.149957
60,1.4344299,1.3125274,"('inefficient', 'efficient')",-0.5158405,-0.70072705,0.10311488,-0.07097769,0.3405681,0.1802742,0.1602939
43,1.4326588,1.5178292,"('irresponsible', 'responsible')",-0.5856697,-0.6768225,0.5162922,0.5090687,0.4544271,0.4500252,0.0044019
56,1.4161927,1.4706746,"('impractical', 'practical')",-0.1203573,-0.13880177,-0.011730708,0.09212902,0.4280349,0.4746673,-0.0466324
42,1.3402952,1.326954,"('unreliable', 'reliable')",0.24740534,0.21942917,-2.6081655,-2.497919,-0.340155,-0.3171786,-0.0229764
74,1.3223958,1.3385706,"('undedicated', 'dedicated')",-0.027980976,-0.04392337,-0.23780529,-0.08267768,0.3522032,0.4039898,-0.0517866
23,1.2294124,1.0857196,"('insincere', 'sincere')",0.35391426,0.20520993,5.638708,5.6055307,2.407345,2.2988202,0.1085248
73,1.17856,1.0866848,"('helpless', 'self-reliant')",1.1471456,1.1217483,-3.2622035,-3.1469755,-0.312166,-0.3128475,0.0006815
10,1.1216264,1.0605057,"('unsympathetic', 'sympathetic')",-2.0436792,-2.2089007,0.3077364,0.22651577,-0.2047722,-0.3072931,0.1025209
2,1.0968238,0.99613434,"('unlikable', 'likable')",1.420017,1.3958611,0.7289749,0.7235225,1.0819386,1.038506,0.0434326
63,1.0955896,1.3004776,"('unperceptive', 'insightful')",0.29077187,0.30863062,0.1395079,0.45920825,0.5086231,0.6894388,-0.1808157
85,-1.0923123,-1.2025546,"('insignificant', 'prestigious')",1.1177124,1.1525656,-0.26331505,-0.06719213,-0.079305,-0.0390604,-0.0402446
24,1.043429,1.062718,"('dishonest', 'honest')",-0.7211771,-0.8081237,0.98096323,1.1917484,0.434405,0.4821142,-0.0477092
28,1.0193762,0.8611508,"('disloyal', 'loyal')",-0.20142144,-0.385729,0.39641458,0.21054104,0.4047898,0.2286543,0.1761355
9,1.0165223,1.0052996,"('unaffectionate', 'caring')",1.3341846,1.3287095,1.7364151,1.8001693,1.362374,1.3780595,-0.0156855
21,0.98623055,1.02581,"('immoral', 'moral')",-1.0108452,-1.0807859,-0.84748745,-0.8902832,-0.2907007,-0.3150864,0.0243857
32,0.9665783,0.87458533,"('unkind', 'kind')",0.25401023,0.22986047,1.2325102,1.2464662,0.8176996,0.7836374,0.0340622
16,-0.95919526,-1.1473255,"('unpopular', 'popular')",0.04417636,-0.039025236,0.31835544,0.22038382,-0.1988878,-0.321989,0.1231012
27,0.9466928,1.0548283,"('hardhearted', 'softhearted')",-0.16239578,0.04654583,1.3813092,1.4556165,0.7218688,0.8523302,-0.1304614
51,0.9446856,1.038946,"('uneducated', 'educated')",-1.8264122,-1.7362926,-0.302101,-0.23874569,-0.3946092,-0.3120308,-0.0825784
82,-0.9432649,-0.9187046,"('poor', 'rich')",-1.1600415,-1.2333826,6.543528,6.7429585,1.4800739,1.5302904,-0.0502165
31,-0.94250125,-0.949674,"('evil', 'good')",0.44963425,0.5921117,-0.65383846,-0.43988144,-0.3822351,-0.2658146,-0.1164205
40,0.9367061,0.94737315,"('stingy', 'generous')",1.3571607,1.3543935,-1.8686447,-1.6682351,0.1417407,0.2111772,-0.0694365
65,0.92094725,0.63096046,"('insecure', 'secure')",-0.3676229,-0.6130846,-0.035333797,-0.23229499,0.1726635,-0.071473,0.2441365
80,0.8904183,1.0711526,"('dominated', 'dominating')",-0.4441432,-0.38368052,-0.9731486,-0.87844944,-0.1756245,-0.0636591,-0.1119654
71,0.8600218,0.84503615,"('diffident', 'self-confident')",1.4404925,1.4886513,0.6760077,0.8509604,0.992174,1.0615492,-0.0693752
76,0.84339696,0.777882,"('anxious', 'daring')",-0.37017632,-0.47636095,0.10474227,0.21398444,0.1926543,0.1718352,0.0208191
38,0.8367455,0.9521892,"('untruthful', 'truthful')",1.0550157,1.110081,-0.18092659,-0.08017364,0.5702782,0.6606989,-0.0904207
70,0.8309544,0.84602344,"('lethargic', 'energetic')",-1.0694102,-1.1301423,0.65431184,0.6810624,0.1386187,0.1323145,0.0063042
37,-0.81507057,-0.70961106,"('fake', 'genuine')",-1.6916931,-1.646782,0.13143086,0.19813591,-0.7917776,-0.7194191,-0.0723585
