,jefferies_male,jefferies_female,tuple,financial_male,financial_female,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
1,-2.3702629,-2.354907,"('unfriendly', 'friendly')",1.6410393,1.9094017,-0.4429482,0.039099015,1.9836804,1.8989395,0.2028771,0.3731333,-0.1702562
48,-2.0614235,-1.9037229,"('unintelligent', 'intelligent')",-1.5287935,-1.3744856,-0.9695478,-0.68124735,-0.07019578,0.10241562,-1.1574901,-0.9642601,-0.19323
45,-1.753609,-0.959454,"('incompetent', 'competent')",-1.2750497,-0.8276165,-0.8459398,-0.18434197,-0.7961477,-0.52001977,-1.1676866,-0.622858,-0.5448286
57,-1.6987358,-1.0550691,"('unimaginative', 'imaginative')",-0.5413142,-0.23285489,-0.46118104,-0.21322891,-2.9956985,-2.7746623,-1.4242324,-1.0689538,-0.3552786
86,-1.5412151,-1.1495228,"('uninfluential', 'influential')",-0.79035276,-0.45240134,-0.1672239,0.31150562,-0.31498346,0.028368715,-0.7034438,-0.3155125,-0.3879313
28,-1.5128784,-1.256602,"('disloyal', 'loyal')",0.15457341,0.26976085,-0.23311742,0.08281863,1.1025673,1.22117,-0.1222138,0.0792868,-0.2015006
40,-1.4630376,-0.9956039,"('stingy', 'generous')",1.3452591,1.7718863,0.8032965,1.052867,-1.7660348,-1.5578117,-0.2701292,0.0678344,-0.3379636
88,-1.40118,-1.635922,"('low', 'eminent')",-0.9924494,-1.1204988,-1.5232581,-1.6345948,0.2462708,0.07906553,-0.9176542,-1.0779876,0.1603334
10,-1.3801032,-0.86473185,"('unsympathetic', 'sympathetic')",-1.5662396,-1.2761472,-0.34297526,0.033706956,-0.32812914,-0.13391557,-0.9043618,-0.560272,-0.3440898
43,-1.374286,-0.98432904,"('irresponsible', 'responsible')",0.3207761,0.4782867,0.34055728,0.7634479,0.39102393,0.5829571,-0.0804822,0.2100907,-0.2905729
69,1.2566773,1.1276287,"('lazy', 'industrious')",1.6275365,1.558462,0.7593745,0.82381094,-0.7129072,-0.5867729,0.7326703,0.7307822,0.0018881
24,-1.2082226,-0.8385269,"('dishonest', 'honest')",-0.29119372,-0.020513866,-1.3174684,-1.0553327,0.5335096,0.55308187,-0.5708438,-0.3403229,-0.2305209
26,-1.1274576,-1.2355494,"('hardhearted', 'benevolent')",1.7137372,1.9000273,0.38918948,0.5697101,1.6688164,1.7141626,0.6610714,0.7370876,-0.0760162
38,-1.058521,-0.9423225,"('untruthful', 'truthful')",0.84192955,0.89005953,-0.60627174,-0.6650174,-0.12840924,-0.2505829,-0.2378181,-0.2419658,0.0041477
61,-1.0553485,-0.9040761,"('illogical', 'logical')",1.1687319,1.1981497,0.03697948,0.34234372,0.27987033,0.46020982,0.1075583,0.2741568,-0.1665985
62,-1.0532353,-0.8226947,"('incompetent', 'brilliant')",-0.39799637,-0.25177085,-0.029935531,0.26563865,-0.4022935,-0.32835978,-0.4708652,-0.2842967,-0.1865685
72,-1.0425605,-0.6136583,"('unambitious', 'ambitious')",-0.14036772,0.099770695,0.09082486,0.42449915,-1.2009114,-0.8745597,-0.5732537,-0.240987,-0.3322667
63,-1.0389594,-0.55217934,"('unperceptive', 'insightful')",0.86482036,1.215173,1.6237895,2.1946528,0.8130493,1.0629762,0.565675,0.9801557,-0.4144807
0,-1.0304925,-0.80628514,"('unsociable', 'sociable')",-0.28626263,-0.31124824,0.2806109,0.4197559,-0.64389265,-0.5191312,-0.4200092,-0.3042272,-0.115782
31,-1.0293984,-1.116809,"('evil', 'good')",0.16428475,0.26654956,-1.2851659,-1.208166,-0.7421761,-0.7340356,-0.7231139,-0.6981152,-0.0249987
11,-1.0236056,-0.9586556,"('unhelpful', 'helpful')",-0.46879613,-0.4849399,-0.6984709,-0.46204334,1.5764831,1.5886838,-0.1535974,-0.0792388,-0.0743586
6,-1.0095347,-1.1189497,"('distant', 'open')",0.62381256,0.75332904,-1.3606967,-1.2098255,0.6218022,0.5791918,-0.2811542,-0.2490636,-0.0320906
29,-0.97828174,-1.0066535,"('unfair', 'fair')",-0.108175956,-0.093912214,-0.19569576,0.008105695,-0.64860153,-0.44839972,-0.4826888,-0.385215,-0.0974738
55,-0.91034174,-0.6436445,"('incompetent', 'clever')",-1.4791163,-1.3783917,0.34118548,0.5087301,-0.3138095,-0.20622818,-0.5905205,-0.4298836,-0.1606369
41,-0.9071317,-0.6356563,"('unforgiving', 'forgiving')",0.759646,0.7494865,0.34986436,0.45691425,0.10886892,-0.0128103085,0.0778119,0.1394835,-0.0616716
27,-0.89012194,-0.5484505,"('hardhearted', 'softhearted')",-0.8054922,-0.45585865,-0.7533682,-0.24803676,1.2651366,1.5685989,-0.2959614,0.0790632,-0.3750246
30,-0.8838569,-0.86087424,"('intolerant', 'tolerant')",0.06508528,-0.043719202,-0.28266364,-0.43711174,0.94628954,0.7416088,-0.0387864,-0.1500241,0.1112377
82,-0.84509116,-0.70399433,"('poor', 'rich')",-0.93248063,-0.83018196,-0.7767852,-0.75173324,6.3561373,6.165627,0.9504451,0.9699293,-0.0194842
32,-0.84356964,-0.8375302,"('unkind', 'kind')",-0.3665049,-0.21335804,0.31194448,0.5228781,0.8305477,0.80013496,-0.0168956,0.0680312,-0.0849268
20,-0.8364003,-0.8614251,"('rough', 'thoughtful')",-0.018815737,-0.04805017,0.9819742,1.0043539,1.113076,1.2787677,0.3099585,0.3434116,-0.0334531
73,0.8363748,0.79691684,"('helpless', 'self-reliant')",1.4340966,1.5315285,0.09915951,0.119229004,-3.5046673,-3.4399986,-0.2837591,-0.248081,-0.0356781
23,-0.8363679,-0.7593643,"('insincere', 'sincere')",-0.092593774,-0.100083515,-0.24974862,-0.026989684,6.037033,5.8623295,1.2145807,1.243973,-0.0293923
3,-0.82251465,-0.56829786,"('repellent', 'pleasant')",-0.95715636,-0.92079175,1.258309,1.2118306,0.18292534,0.15277642,-0.0846092,-0.0311206,-0.0534886
50,0.8070164,0.656184,"('clumsy', 'skillful')",0.69941556,0.81644106,0.41989177,0.5559102,-0.0068885535,0.1936221,0.4798588,0.5555394,-0.0756806
70,-0.7679138,-0.14440571,"('lethargic', 'energetic')",-0.70022434,-0.3036946,0.53478533,0.9464023,0.5397998,0.8166211,-0.0983883,0.3287308,-0.4271191
47,-0.7619578,-0.70291424,"('stupid', 'smart')",0.58713245,0.5880867,0.36874303,0.4342466,5.8760424,5.813248,1.51749,1.5331668,-0.0156768
14,-0.71970415,-0.66118646,"('antisocial', 'social')",1.3152275,1.1834706,1.3211546,1.2379665,-0.80774444,-0.77753586,0.2772334,0.2456787,0.0315547
39,0.7192662,0.50317615,"('exploitative', 'cooperative')",0.90048236,0.73189056,1.2519715,1.2441006,0.0784337,0.018178025,0.7375385,0.6243363,0.1132022
49,-0.7134192,-0.96095115,"('unable', 'able')",-1.3176433,-1.4556769,-0.7691125,-0.87056494,-0.44751486,-0.38744977,-0.8119225,-0.9186607,0.1067382
35,0.70609003,0.28042775,"('corrupt', 'incorrupt')",0.25182405,0.10821361,-0.8793545,-1.1095917,0.17415825,0.10972588,0.0631795,-0.1528061,0.2159856
53,-0.70409167,-0.59086215,"('uncreative', 'creative')",1.0834563,1.2396249,0.13734967,0.23718993,1.2080162,1.1980711,0.4311826,0.5210059,-0.0898233
9,-0.69422287,-0.6761213,"('unaffectionate', 'caring')",1.4977751,1.6271117,0.023901572,0.32984003,1.311573,1.401092,0.5347567,0.6704806,-0.1357239
66,0.6938594,0.7789909,"('inactive', 'active')",1.7064061,1.7927155,2.002506,2.1764107,1.3050606,1.3992077,1.4269581,1.5368313,-0.1098732
4,-0.6868706,-0.50563955,"('disliked', 'liked')",0.29592282,0.4300839,-0.23413879,-0.26409698,-6.856111,-6.7873673,-1.8702993,-1.781755,-0.0885443
22,-0.67098194,-0.24514054,"('untrustworthy', 'trustworthy')",-0.73721564,-0.49388298,0.6546619,1.029818,-1.1231525,-0.9165959,-0.4691721,-0.1564503,-0.3127218
75,0.670457,0.704884,"('meek', 'impulsive')",-0.108377546,-0.054131567,-0.6490457,-0.6389258,-0.55839306,-0.62159896,-0.1613398,-0.1524431,-0.0088967
15,-0.6528301,-0.9329188,"('boring', 'funny')",0.2724383,0.1089647,-1.3406541,-1.3765941,0.31108823,0.19313236,-0.3524894,-0.5018539,0.1493645
58,-0.6268026,-0.0926062,"('undiscriminating', 'discriminating')",1.2280117,1.5609757,0.88645816,1.3083551,0.18305285,0.29138955,0.4176801,0.7670285,-0.3493484
60,-0.6129747,-0.3855809,"('inefficient', 'efficient')",-1.0446572,-0.86921394,0.5272223,0.85706264,-0.5089648,-0.35474768,-0.4098436,-0.18812,-0.2217236
68,-0.6081851,-0.5212452,"('dependent', 'independent')",-1.9090103,-1.9070551,-0.09651543,0.046768434,-0.7106906,-0.50788075,-0.8311003,-0.7223532,-0.1087471
52,-0.5917418,-0.9468237,"('irrational', 'rational')",1.2827507,1.0735369,-0.8212124,-1.1053854,0.30868396,0.10293357,0.0446201,-0.2189347,0.2635548
37,0.579847,0.66277707,"('fake', 'genuine')",-0.7948271,-0.46794748,-0.31423378,0.08576685,0.3134339,0.50401366,-0.053945,0.1961525,-0.2500975
51,-0.56781083,-0.54939204,"('uneducated', 'educated')",-0.6294591,-0.6802952,0.61795634,0.40828443,0.5119311,0.42778054,-0.0168456,-0.0984056,0.08156
65,-0.55802613,-0.66492426,"('insecure', 'secure')",-0.9898826,-0.95611215,0.47531185,0.57723695,-0.5469914,-0.42698893,-0.4048971,-0.3676971,-0.0372
84,0.54493904,0.3875825,"('inferior', 'superior')",0.3933208,0.43196508,0.6447469,0.64447206,0.9400476,0.9557066,0.6307636,0.6049316,0.025832
83,-0.49523202,-0.64743924,"('powerless', 'powerful')",1.1647081,0.99465144,0.22913212,0.0034008175,-0.90995836,-0.92318386,-0.0028375,-0.1431427,0.1403052
59,-0.48359334,-0.6600424,"('foolish', 'wise')",1.5414516,1.5182098,-1.0801271,-0.9347509,0.31409207,0.38803187,0.0729558,0.0778621,-0.0049063
67,0.48035887,0.26569274,"('doubtful', 'determined')",0.15548646,-0.042365666,0.3227393,0.41511312,-0.83593345,-0.9439819,0.0306628,-0.0763854,0.1070482
87,0.45759353,0.3942622,"('unsuccessful', 'successful')",1.2302535,1.2212641,1.2746729,1.4596058,0.6130805,0.7152019,0.8939001,0.9475835,-0.0536834
33,0.44403866,0.42876604,"('wrong', 'right')",1.8291551,1.8870063,0.17638467,0.2728688,-0.50470173,-0.41315505,0.4862192,0.5438715,-0.0576523
85,-0.42689082,-0.7870559,"('insignificant', 'prestigious')",2.422228,2.25343,0.44785804,0.23330718,1.0282506,0.68558526,0.8678615,0.5963166,0.2715449
8,-0.40436035,-0.53063905,"('unaffectionate', 'affectionate')",0.73968345,0.8543018,-0.22894284,-0.028003685,0.74986553,0.8653741,0.2140614,0.2902583,-0.0761969
56,-0.39835015,0.007266924,"('impractical', 'practical')",-0.121203944,-0.20156948,0.0566324,0.12367084,-0.44517532,-0.51111,-0.2270243,-0.1454354,-0.0815889
12,-0.3762929,0.058282763,"('unsupportive', 'supportive')",1.2172979,1.4057627,1.0844965,1.3916947,-1.8934058,-1.643531,0.0080239,0.3030523,-0.2950284
19,-0.37172484,-0.5247745,"('inhospitable', 'hospitable')",-0.13684201,-0.16817361,-1.5369048,-1.3803633,-0.09995905,-0.18176663,-0.5363577,-0.5637695,0.0274118
77,-0.33769858,-0.24415594,"('unmotivated', 'motivated')",0.8489214,0.812462,1.2683887,1.2796637,-1.1630158,-1.131205,0.1541489,0.1791912,-0.0250423
64,0.33506945,0.5875501,"('shy', 'confident')",0.5708939,0.6343647,1.5787559,1.6167034,-7.230724,-7.056498,-1.1865011,-1.0544699,-0.1320312
76,-0.32397264,-0.32144067,"('anxious', 'daring')",-0.6305744,-0.5976386,1.0983069,0.8706509,0.24721074,0.096665464,0.0977426,0.0120593,0.0856833
5,-0.3115027,-0.47394633,"('distant', 'outgoing')",1.2574065,1.2369784,-1.1808684,-0.91693,-0.18791826,-0.19721192,-0.1057207,-0.0877775,-0.0179432
