,apartment_male,apartment_female,tuple,investment_male,investment_female,&_male,&_female,mgmt_male,mgmt_female,co_male,co_female,average_male,average_female,male-female
31,-2.938332,-2.7719789,"('evil', 'good')",-2.0871515,-1.743419,-2.8742223,-2.0979657,-1.9738922,-1.4435958,-1.8586954,-1.6866488,-2.3464586,-1.9487217,-0.3977369
60,2.6849277,2.7982583,"('inefficient', 'efficient')",1.3781115,1.3328713,2.6261597,2.7992742,0.78944546,0.6178898,0.556239,0.9616316,1.6069767,1.701985,-0.0950083
52,-2.2391818,-2.293991,"('irrational', 'rational')",-1.4602132,-1.418028,-1.6165557,-1.7528037,-0.70927155,-0.7477432,-0.68568504,-0.8187815,-1.3421814,-1.4062695,0.0640881
14,2.18461,2.2084925,"('antisocial', 'social')",2.2560608,2.1743803,2.061155,1.9778072,1.1564275,0.95332235,0.22812805,0.3209508,1.5772763,1.5269906,0.0502857
39,2.1696353,1.9865223,"('exploitative', 'cooperative')",0.32133636,0.2137155,1.3786893,1.1901995,0.10215495,-0.18937624,0.7496745,0.7292509,0.9442981,0.7860623,0.1582358
56,2.1427686,2.1202185,"('impractical', 'practical')",0.8933765,0.68503207,1.3731527,0.94633245,0.7640048,0.41784215,-0.078006364,-0.06010186,1.0190593,0.8218646,0.1971947
16,-2.137375,-2.168915,"('unpopular', 'popular')",-0.8853452,-0.8082175,-0.79307085,-0.7688537,-0.47926888,-0.68099225,-0.31920284,-0.4275432,-0.9228526,-0.9709044,0.0480518
43,2.1123722,2.2257652,"('irresponsible', 'responsible')",1.4461322,1.3807925,1.8707399,2.0543127,0.6984537,0.6314448,1.0988312,1.520603,1.4453058,1.5625837,-0.1172779
1,-2.072067,-2.0150466,"('unfriendly', 'friendly')",0.22156096,0.40306634,-0.4841219,-0.2143349,-1.1553917,-0.9775171,0.9752689,1.160709,-0.5029501,-0.3286247,-0.1743254
30,1.857689,1.9449431,"('intolerant', 'tolerant')",1.6768739,1.6024585,1.4591058,1.4357538,0.8232376,0.6505358,0.6979545,0.7425107,1.3029722,1.2752403,0.0277319
85,-1.769079,-1.9425843,"('insignificant', 'prestigious')",0.5576821,0.75869006,-1.846633,-1.7538466,-0.070967,0.29387403,-0.97792083,-1.1093323,-0.8213836,-0.7506398,-0.0707438
75,-1.7621689,-1.7871305,"('meek', 'impulsive')",0.3992923,0.21552587,-0.4253065,-0.5201998,0.7153191,0.54312587,-0.36730617,-0.39625356,-0.2880341,-0.3889864,0.1009523
25,-1.7018741,-1.7336802,"('egoistic', 'altruistic')",-0.008752644,0.024445042,-0.80518335,-0.9528709,-0.77063715,-0.76119107,1.2085348,1.079404,-0.4155826,-0.4687786,0.053196
23,1.6049961,1.6082636,"('insincere', 'sincere')",1.5229249,1.3542894,2.075185,2.0381353,0.5602246,0.3885885,5.9666996,5.9002376,2.346006,2.2579029,0.0881031
29,-1.56143,-1.4861287,"('unfair', 'fair')",-1.3564409,-1.197738,-0.7044287,-0.24146558,-1.3873655,-1.0138499,-1.3690116,-1.0111011,-1.2757353,-0.9900567,-0.2856786
35,-1.5041617,-1.5598099,"('corrupt', 'incorrupt')",-1.9412866,-1.715984,-2.441837,-2.1468267,-1.2676708,-0.89715225,-1.2934885,-1.3176599,-1.6896889,-1.5274866,-0.1622023
59,-1.4954779,-1.4838711,"('foolish', 'wise')",-0.1282386,-0.057017446,-0.10676683,-0.043723926,0.023084387,-0.038140696,-0.4633344,-0.5044314,-0.4341466,-0.4254369,-0.0087097
6,-1.4921237,-1.4050536,"('distant', 'open')",-0.093906164,0.42768767,-1.8314189,-1.2894018,-0.9627273,-0.33903602,-0.984304,-0.57004815,-1.072896,-0.6351704,-0.4377256
