,cnx_male,cnx_female,tuple,resources_male,resources_female,corp_male,corp_female,average_male,average_female,male-female
1,-1.5633893,-1.8425121,"('unfriendly', 'friendly')",0.017959174,-0.14134239,0.96124244,0.5509872,-0.1947292,-0.4776224,0.2828932
0,-1.445174,-1.3446391,"('unsociable', 'sociable')",-0.026609056,-0.033660818,0.0792153,0.17341617,-0.4641893,-0.4016279,-0.0625614
84,1.3258,1.4448726,"('inferior', 'superior')",0.968483,1.0966719,0.83452535,0.88738984,1.0429361,1.1429781,-0.100042
41,-1.0217202,-1.2893896,"('unforgiving', 'forgiving')",-0.1447316,-0.31537977,0.1583951,-0.16702197,-0.3360189,-0.5905971,0.2545782
18,-0.94815916,-0.8743262,"('disagreeable', 'welcoming')",-0.8394217,-0.88069224,-0.58758545,-0.6043388,-0.7917221,-0.7864525,-0.0052696
10,-0.94059354,-0.8089624,"('unsympathetic', 'sympathetic')",-0.6838492,-0.6431341,0.34106323,0.37512678,-0.4277932,-0.3589899,-0.0688033
86,-0.9291642,-1.1022114,"('uninfluential', 'influential')",-0.16283612,-0.3236053,0.14310905,-0.009455387,-0.3162971,-0.478424,0.1621269
27,-0.92478406,-1.3454815,"('hardhearted', 'softhearted')",-0.16491695,-0.14760016,1.147948,0.8590471,0.0194157,-0.2113449,0.2307606
8,-0.9108618,-1.277394,"('unaffectionate', 'affectionate')",-0.64062357,-0.7828307,0.3771007,-0.037136655,-0.3914615,-0.6991204,0.3076589
38,-0.87820995,-1.0496373,"('untruthful', 'truthful')",-0.035692412,-0.02514844,-0.027952582,-0.17426956,-0.3139517,-0.4163518,0.1024001
80,0.85668766,1.0140574,"('dominated', 'dominating')",0.47495916,0.54691404,0.14692882,0.29029435,0.4928585,0.6170886,-0.1242301
39,0.8558819,1.1856334,"('exploitative', 'cooperative')",-0.104508184,0.06937565,0.13855252,0.25513458,0.2966421,0.5033812,-0.2067391
57,-0.84831566,-1.0300457,"('unimaginative', 'imaginative')",-0.06334569,-0.15540162,-2.5945761,-2.810409,-1.1687458,-1.3319521,0.1632063
2,0.8385604,1.0557133,"('unlikable', 'likable')",0.6226559,0.69023085,0.5219915,0.5862215,0.6610693,0.7773886,-0.1163193
