,conagra_male,conagra_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,male-female
86,-2.3541737,-2.2468088,"('uninfluential', 'influential')",-0.14639851,-0.15451652,-0.024539113,-0.0003213156,-0.8417037,-0.8005489,-0.0411548
57,-1.9700997,-2.0130537,"('unimaginative', 'imaginative')",-0.82431984,-0.97413564,-2.5368285,-2.8033416,-1.7770828,-1.9301771,0.1530943
10,-1.6305214,-1.730095,"('unsympathetic', 'sympathetic')",0.21604387,-0.013607049,-0.44014195,-0.6561905,-0.6182065,-0.7999642,0.1817577
1,-1.3744879,-1.4820511,"('unfriendly', 'friendly')",0.7607253,0.7692085,1.4084934,1.4809631,0.2649103,0.2560402,0.0088701
3,-1.3723344,-1.3805422,"('repellent', 'pleasant')",-0.5119582,-0.6995365,-0.13985464,-0.31898746,-0.6747158,-0.7996887,0.1249729
77,-1.3637513,-1.1725012,"('unmotivated', 'motivated')",-0.27533937,-0.2349895,-1.2840766,-1.2008299,-0.9743891,-0.8694402,-0.1049489
53,-1.2555596,-1.3231798,"('uncreative', 'creative')",0.6849647,0.6159892,0.70310444,0.7000501,0.0441699,-0.0023802,0.0465501
46,-1.202261,-1.1753299,"('uncompetitive', 'competitive')",1.1126487,0.9603709,-0.0760715,-0.39087465,-0.0552279,-0.2019445,0.1467166
20,-1.1783637,-1.000245,"('rough', 'thoughtful')",0.3066725,0.42603177,0.62586075,0.6735161,-0.0819435,0.033101,-0.1150445
69,1.1352217,1.2844241,"('lazy', 'industrious')",-0.06831814,0.25510415,-0.95581126,-0.631827,0.0370308,0.3025671,-0.2655363
72,-1.1224152,-1.1496553,"('unambitious', 'ambitious')",-0.71940476,-0.9910996,-1.0259176,-0.9994077,-0.9559126,-1.0467209,0.0908083
78,-1.119201,-0.83521616,"('nonresilient', 'resilient')",0.80862033,1.091983,0.48927695,0.6109961,0.0595654,0.2892543,-0.2296889
0,-1.1162579,-1.3846216,"('unsociable', 'sociable')",0.9150225,0.6095215,-0.39369175,-0.5790415,-0.1983091,-0.4513805,0.2530714
48,-1.1153408,-1.0369442,"('unintelligent', 'intelligent')",-0.5257697,-0.67647696,0.4131839,0.31949794,-0.4093089,-0.4646411,0.0553322
55,-1.0206013,-0.8654456,"('incompetent', 'clever')",0.67972034,0.71590793,0.0387446,-0.030398961,-0.1007121,-0.0599789,-0.0407332
73,1.0182147,0.9985443,"('helpless', 'self-reliant')",0.935401,0.89120066,-2.9471285,-2.9958088,-0.331171,-0.3686879,0.0375169
35,1.0120966,0.979892,"('corrupt', 'incorrupt')",-1.9569592,-1.6388999,-0.5154279,-0.38550955,-0.4867635,-0.3481725,-0.138591
9,-1.0115546,-1.1491436,"('unaffectionate', 'caring')",0.68222374,0.59131974,0.8339653,1.0158446,0.1682115,0.1526736,0.0155379
43,-0.9892977,-1.040959,"('irresponsible', 'responsible')",1.0511142,0.883358,0.52613956,0.5284706,0.1959854,0.1236232,0.0723622
11,-0.96689767,-1.27008,"('unhelpful', 'helpful')",0.499435,0.06615979,2.43124,2.0475786,0.6545925,0.2812195,0.373373
81,-0.93782145,-1.147095,"('submissive', 'aggressive')",-0.052714065,-0.3300184,-0.5527543,-0.79967564,-0.5144299,-0.7589296,0.2444997
51,-0.92129344,-0.8593577,"('uneducated', 'educated')",-0.06373535,-0.1493468,0.99475294,0.84003943,0.0032414,-0.0562217,0.0594631
33,0.91837674,1.1079316,"('wrong', 'right')",0.5526601,0.7127652,-0.68827033,-0.36488867,0.2609222,0.4852694,-0.2243472
7,-0.8953045,-0.9244314,"('insensitive', 'sensitive')",0.6885935,0.40856275,0.8534594,0.78666055,0.2155828,0.090264,0.1253188
