,amerisourcebergen_male,amerisourcebergen_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-2.2572856,-2.1826007,"('uninfluential', 'influential')",-0.80855554,-0.7686329,-1.5329206,-1.4756168,-0.0573038
1,-2.091506,-1.847795,"('unfriendly', 'friendly')",1.7396554,1.6308889,-0.1759253,-0.108453,-0.0674723
10,-2.0354605,-2.0200677,"('unsympathetic', 'sympathetic')",-0.76347876,-0.6453171,-1.3994696,-1.3326924,-0.0667772
9,-1.9937005,-1.760253,"('unaffectionate', 'caring')",1.6963377,1.3848579,-0.1486814,-0.1876975,0.0390161
8,-1.9928977,-1.8830056,"('unaffectionate', 'affectionate')",1.178237,0.92798525,-0.4073304,-0.4775102,0.0701798
53,-1.681451,-1.537116,"('uncreative', 'creative')",0.51293606,0.42440087,-0.5842575,-0.5563576,-0.0278999
12,-1.595818,-1.3542844,"('unsupportive', 'supportive')",-2.2333279,-2.0670583,-1.914573,-1.7106714,-0.2039016
0,-1.5857693,-1.5333811,"('unsociable', 'sociable')",-0.4347998,-0.35052362,-1.0102845,-0.9419523,-0.0683322
28,-1.4957949,-1.3797163,"('disloyal', 'loyal')",1.1026291,0.99486965,-0.1965829,-0.1924233,-0.0041596
69,1.4580861,1.6194354,"('lazy', 'industrious')",-0.5512474,-0.51785904,0.4534194,0.5507882,-0.0973688
19,-1.4215536,-0.9693047,"('inhospitable', 'hospitable')",-0.3583573,-0.2814342,-0.8899555,-0.6253694,-0.2645861
38,-1.3544465,-0.9629587,"('untruthful', 'truthful')",-0.046668276,-0.08354242,-0.7005574,-0.5232506,-0.1773068
46,-1.2855324,-1.2652625,"('uncompetitive', 'competitive')",-1.4334954,-1.2277972,-1.3595139,-1.2465298,-0.1129841
43,-1.2564104,-0.96847975,"('irresponsible', 'responsible')",-0.0227783,0.19677192,-0.6395943,-0.3858539,-0.2537404
57,-1.2381628,-1.1687899,"('unimaginative', 'imaginative')",-3.5949328,-3.339264,-2.4165478,-2.2540269,-0.1625209
44,1.2056077,1.1849517,"('prejudiced', 'unprejudiced')",-1.632916,-1.4147775,-0.2136542,-0.1149129,-0.0987413
23,-1.1967049,-1.064707,"('insincere', 'sincere')",6.3043766,6.007158,2.5538359,2.4712253,0.0826106
63,-1.1697967,-0.95376086,"('unperceptive', 'insightful')",0.24942932,0.24909517,-0.4601837,-0.3523328,-0.1078509
58,-1.1653562,-1.0466315,"('undiscriminating', 'discriminating')",0.10769573,-0.025335215,-0.5288302,-0.5359833,0.0071531
11,-1.1200042,-0.9507471,"('unhelpful', 'helpful')",1.8068482,1.8064272,0.343422,0.4278401,-0.0844181
41,-1.042051,-0.8830616,"('unforgiving', 'forgiving')",-0.18452205,-0.18952195,-0.6132865,-0.5362918,-0.0769947
45,-1.0104465,-0.787882,"('incompetent', 'competent')",-0.5204976,-0.34658465,-0.7654721,-0.5672333,-0.1982388
73,0.95274657,0.95192826,"('helpless', 'self-reliant')",-3.1012788,-3.0350027,-1.0742661,-1.0415373,-0.0327288
24,-0.9371755,-0.9554479,"('dishonest', 'honest')",0.7807687,0.5921186,-0.0782034,-0.1816646,0.1034612
72,-0.9158469,-1.0168473,"('unambitious', 'ambitious')",-0.48458454,-0.6580461,-0.7002157,-0.8374467,0.137231
35,0.91230965,0.95367926,"('corrupt', 'incorrupt')",-0.33233073,-0.53001136,0.2899895,0.211834,0.0781555
74,-0.85354614,-0.6189439,"('undedicated', 'dedicated')",-0.5670332,-0.374076,-0.7102897,-0.49651,-0.2137797
32,-0.8483456,-0.7566839,"('unkind', 'kind')",0.65985775,0.8463163,-0.0942439,0.0448162,-0.1390601
71,-0.8243921,-0.5028353,"('diffident', 'self-confident')",0.08575303,0.18835774,-0.3693195,-0.1572388,-0.2120807
70,-0.81515485,-0.7261482,"('lethargic', 'energetic')",-0.29265776,-0.045689143,-0.5539063,-0.3859187,-0.1679876
2,0.804287,0.9272032,"('unlikable', 'likable')",0.5276656,0.68793684,0.6659763,0.80757,-0.1415937
88,-0.79983413,-0.8260052,"('low', 'eminent')",-0.46472377,-0.5064916,-0.6322789,-0.6662484,0.0339695
36,-0.7978582,-0.6307744,"('hostile', 'amicable')",-0.07692875,-0.20278172,-0.4373935,-0.4167781,-0.0206154
79,-0.74926263,-0.40815976,"('wavering', 'unwavering')",-0.40796512,-0.46283513,-0.5786139,-0.4354975,-0.1431164
6,-0.7442864,-0.31251484,"('distant', 'open')",-0.15749602,-0.26683185,-0.4508912,-0.2896733,-0.1612179
77,-0.71629924,-0.7334712,"('unmotivated', 'motivated')",-1.6473657,-1.6827725,-1.1818324,-1.2081219,0.0262895
61,-0.6909726,-0.5583117,"('illogical', 'logical')",0.26601383,0.25665277,-0.2124794,-0.1508295,-0.0616499
31,-0.6816655,-0.496733,"('evil', 'good')",-0.5997672,-0.71315885,-0.6407163,-0.6049459,-0.0357704
7,-0.6792537,-0.5998108,"('insensitive', 'sensitive')",0.25502804,0.31414592,-0.2121128,-0.1428324,-0.0692804
78,-0.6749676,-0.62849015,"('nonresilient', 'resilient')",0.09463549,0.029582867,-0.2901661,-0.2994536,0.0092875
5,-0.64251375,-0.20304023,"('distant', 'outgoing')",-0.29131642,-0.31628323,-0.4669151,-0.2596617,-0.2072534
26,-0.64044625,-0.51881194,"('hardhearted', 'benevolent')",1.4107474,1.5557512,0.3851506,0.5184696,-0.133319
54,-0.6122851,-0.39814195,"('incapable', 'capable')",0.7299566,0.7558568,0.0588358,0.1788574,-0.1200216
80,0.5776145,0.38058138,"('dominated', 'dominating')",-1.1616998,-1.0558312,-0.2920426,-0.3376249,0.0455823
85,-0.5646691,-0.33485627,"('insignificant', 'prestigious')",-0.0040233117,-0.11012334,-0.2843462,-0.2224898,-0.0618564
51,-0.53288937,-0.6521764,"('uneducated', 'educated')",0.15591355,0.16131139,-0.1884879,-0.2454325,0.0569446
20,0.5198971,0.44717687,"('rough', 'thoughtful')",0.785016,0.70553845,0.6524565,0.5763577,0.0760988
42,0.46810535,0.6098264,"('unreliable', 'reliable')",-3.9891744,-3.6367886,-1.7605345,-1.5134811,-0.2470534
18,-0.46165025,-0.40603125,"('disagreeable', 'welcoming')",-0.2627729,-0.35037297,-0.3622116,-0.3782021,0.0159905
