,marsh_male,marsh_female,tuple,&_male,&_female,mclennan_male,mclennan_female,cos_male,cos_female,inc_male,inc_female,average_male,average_female,male-female
82,-1.5948279,-1.5937974,"('poor', 'rich')",0.099452235,0.22779198,-0.9801265,-0.7916676,0.2647821,0.40795058,5.711725,6.118544,0.7002011,0.8737644,-0.1735633
7,1.3811694,1.4862361,"('insensitive', 'sensitive')",0.38593248,0.45888692,-1.572958,-1.3647549,-0.17974915,-0.19754107,0.8015731,0.673313,0.1631936,0.211228,-0.0480344
51,-1.3461673,-1.4121287,"('uneducated', 'educated')",0.6946784,0.6606091,-1.3673124,-1.2285594,-0.43286228,-0.4410912,-0.0128252655,-0.06288387,-0.4928977,-0.4968108,0.0039131
74,1.3009504,1.241726,"('undedicated', 'dedicated')",1.1713823,1.1219428,-0.21053609,-0.2627092,0.5226159,0.51417464,0.37559494,0.31187147,0.6320015,0.5854012,0.0466003
16,-1.2999866,-1.1637582,"('unpopular', 'popular')",0.25312817,0.1693867,0.1060476,0.10476883,-0.33163285,-0.31904897,0.7656819,0.8241027,-0.1013523,-0.0769098,-0.0244425
18,-1.2789237,-1.0864193,"('disagreeable', 'welcoming')",0.408365,0.42754602,0.10598639,0.32676956,-1.8597747,-1.8392186,-0.35909817,-0.2104848,-0.5966891,-0.4763614,-0.1203277
44,-1.181252,-0.9937391,"('prejudiced', 'unprejudiced')",-1.5393689,-1.3981808,1.2879862,1.5333056,-0.77642787,-0.5688968,-1.4329909,-1.2394356,-0.7284107,-0.5333894,-0.1950213
37,1.1705284,1.0131849,"('fake', 'genuine')",0.69441575,0.7462889,-0.21501975,-0.21573392,-0.083525054,-0.15997604,0.86510533,0.82818,0.4863009,0.4423888,0.0439121
77,-1.1429057,-1.151775,"('unmotivated', 'motivated')",0.39977106,0.35695383,-1.3731042,-1.252517,0.09789513,0.018362746,-0.92658734,-1.070758,-0.5889862,-0.6199467,0.0309605
47,-1.1413956,-1.3376526,"('stupid', 'smart')",0.42003608,0.4984188,-1.1161805,-1.1202257,0.72338235,0.7607564,5.00938,5.0693626,0.7790444,0.7741319,0.0049125
4,-1.1340528,-0.8310896,"('disliked', 'liked')",0.054406025,-0.017248094,0.31962252,0.54060614,-0.9183852,-0.81632173,-5.847893,-6.03346,-1.5052605,-1.4315027,-0.0737578
32,-1.1222249,-1.0815204,"('unkind', 'kind')",0.12400064,0.19967644,-2.221314,-2.1492043,0.31807137,0.36503848,1.048277,1.0425502,-0.370638,-0.3246919,-0.0459461
73,1.1046108,1.3982246,"('helpless', 'self-reliant')",0.4169555,0.50820124,1.6593165,1.8230883,0.1935983,0.29714724,-3.2006855,-3.199047,0.0347591,0.1655229,-0.1307638
60,-1.0490074,-1.0715302,"('inefficient', 'efficient')",1.2590988,1.3272526,-3.1641328,-2.9467878,0.76503456,0.84352773,-0.12291235,0.03561557,-0.4623838,-0.3623844,-0.0999994
71,0.9556009,1.2749789,"('diffident', 'self-confident')",0.07172911,0.09276982,0.11683577,0.28390852,-0.19245768,-0.17609388,0.7647095,0.60989505,0.3432835,0.4170917,-0.0738082
52,-0.9499438,-1.2054795,"('irrational', 'rational')",-0.4429191,-0.586367,0.34720653,-0.06326246,-0.90878,-1.1284935,0.394331,0.22762476,-0.3120211,-0.5511956,0.2391745
88,-0.93952,-1.0709288,"('low', 'eminent')",-0.40551102,-0.46858412,-0.82323,-1.0191953,-0.5419173,-0.64416075,0.30573332,0.3275048,-0.480889,-0.5750728,0.0941838
56,0.9388367,0.8868225,"('impractical', 'practical')",0.69414884,0.805147,-1.3100063,-1.132323,0.77234536,0.84428567,-0.25668246,-0.29450545,0.1677285,0.2218853,-0.0541568
55,0.9385586,0.8561711,"('incompetent', 'clever')",1.5491375,1.4811994,-2.868091,-2.7847736,-0.33081618,-0.39061037,-0.25952396,-0.41428146,-0.194147,-0.250459,0.056312
83,-0.9279092,-0.9371492,"('powerless', 'powerful')",-0.00992104,0.029376175,-1.1802871,-1.2063533,-1.2347893,-1.22791,-0.9192345,-0.9938861,-0.8544283,-0.8671845,0.0127562
9,0.90219885,0.76581204,"('unaffectionate', 'caring')",-0.42451835,-0.45227504,-0.42119807,-0.6335781,-0.3509588,-0.47029188,1.5511198,1.4776512,0.2513287,0.1374636,0.1138651
