,bemis_male,bemis_female,tuple,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
53,-1.878641,-1.8230108,"('uncreative', 'creative')",0.1144126,0.11371651,1.3225362,1.35319,-0.1472307,-0.1187015,-0.0285292
86,-1.8410581,-1.6448337,"('uninfluential', 'influential')",-0.73835975,-0.47449437,-0.015397713,0.056310296,-0.8649386,-0.6876726,-0.177266
57,-1.6776415,-1.1104951,"('unimaginative', 'imaginative')",-0.15463468,0.017621733,-2.747655,-2.5305996,-1.5266438,-1.2078243,-0.3188195
44,1.3657238,1.0030675,"('prejudiced', 'unprejudiced')",-0.24179052,-0.5947296,-1.2876872,-1.4883214,-0.0545846,-0.3599945,0.3054099
77,-1.1752611,-1.3920364,"('unmotivated', 'motivated')",-0.28152817,-0.5392965,-1.0453254,-1.0420777,-0.8340383,-0.9911369,0.1570986
73,1.1132351,1.1944493,"('helpless', 'self-reliant')",0.96387696,0.86874783,-3.1369152,-3.1993601,-0.3532677,-0.378721,0.0254533
0,-1.0774757,-0.97927636,"('unsociable', 'sociable')",0.4586077,0.44837445,-0.814118,-0.68539464,-0.477662,-0.4054322,-0.0722298
10,-1.0765138,-0.5424515,"('unsympathetic', 'sympathetic')",-0.8470819,-0.41681743,-0.7651036,-0.39793992,-0.8962331,-0.4524029,-0.4438302
88,-1.0499854,-0.9638506,"('low', 'eminent')",-1.2374518,-1.1405705,0.36254835,0.2325108,-0.6416296,-0.6239701,-0.0176595
14,1.0223681,1.0590175,"('antisocial', 'social')",1.2430052,1.34008,-0.76220584,-0.55863297,0.5010558,0.6134882,-0.1124324
46,-0.9600503,-0.77560186,"('uncompetitive', 'competitive')",-0.3159695,-0.040964134,-1.1833403,-1.005174,-0.8197867,-0.6072467,-0.21254
6,-0.95827866,-0.9370031,"('distant', 'open')",-0.8320881,-0.92852396,0.99625516,0.823151,-0.2647039,-0.3474587,0.0827548
1,-0.90221953,-0.7955196,"('unfriendly', 'friendly')",-0.01571919,0.04158508,2.379623,2.2351987,0.4872281,0.4937547,-0.0065266
48,-0.8867422,-0.93312746,"('unintelligent', 'intelligent')",-0.61482805,-0.7648727,0.13187984,0.17585118,-0.4565635,-0.507383,0.0508195
39,0.87365687,0.6604262,"('exploitative', 'cooperative')",1.7936713,1.3833613,-0.025950553,-0.056855652,0.8804591,0.6623106,0.2181485
63,-0.85212404,-0.42836905,"('unperceptive', 'insightful')",-0.14305575,0.10249299,0.62463653,0.8085342,-0.1235144,0.160886,-0.2844004
11,-0.8021448,-0.5980434,"('unhelpful', 'helpful')",-0.41419852,-0.28916854,1.1571974,1.3835585,-0.0197153,0.1654489,-0.1851642
9,-0.76574296,-0.65589607,"('unaffectionate', 'caring')",-0.56905246,-0.3765577,1.7833,1.7711158,0.1495015,0.2462207,-0.0967192
51,-0.75588256,-0.67785865,"('uneducated', 'educated')",-0.71278554,-0.6503344,0.040264837,0.05702505,-0.4761344,-0.4237227,-0.0524117
52,-0.7533876,-0.7547937,"('irrational', 'rational')",-0.94678664,-0.9807421,0.7858527,0.50605845,-0.3047738,-0.4098258,0.105052
2,0.70694774,0.67096883,"('unlikable', 'likable')",1.2804929,1.3151168,0.3932038,0.43892398,0.7935481,0.8083366,-0.0147885
12,-0.6958402,-0.36101562,"('unsupportive', 'supportive')",-0.62128687,-0.31380618,-2.044322,-1.8994025,-1.120483,-0.8580747,-0.2624083
19,-0.67088884,-0.4886741,"('inhospitable', 'hospitable')",-0.69900787,-0.70369804,0.009137467,-0.011247573,-0.4535864,-0.4012065,-0.0523799
23,-0.6669932,-0.53802514,"('insincere', 'sincere')",-0.57754755,-0.3333697,5.598595,5.6861467,1.4513515,1.6049172,-0.1535657
32,-0.6515101,-0.4667416,"('unkind', 'kind')",-0.025873784,0.368532,0.80838066,0.9009316,0.0436656,0.267574,-0.2239084
