,kimco_male,kimco_female,tuple,realty_male,realty_female,corp_male,corp_female,average_male,average_female,male-female
26,-1.5226583,-1.0657614,"('hardhearted', 'benevolent')",1.3896482,1.5047368,1.3910689,1.5832089,0.4193529,0.6740615,-0.2547086
86,-1.3106279,-1.1244272,"('uninfluential', 'influential')",-2.424716,-2.538009,-0.57493126,-0.46518955,-1.4367584,-1.3758752,-0.0608832
0,-1.2052294,-0.8424032,"('unsociable', 'sociable')",-0.7561882,-0.8493799,-0.54931116,-0.4485694,-0.8369096,-0.7134508,-0.1234588
83,-1.1438844,-0.95500815,"('powerless', 'powerful')",0.20350799,0.2433606,-1.4163581,-1.398533,-0.7855782,-0.7033935,-0.0821847
14,-1.1114155,-0.5984211,"('antisocial', 'social')",-0.24563184,-0.152436,-0.7975586,-0.47767943,-0.718202,-0.4095122,-0.3086898
57,-1.1022254,-0.87188,"('unimaginative', 'imaginative')",-0.7715031,-0.744524,-3.5115967,-3.2259352,-1.7951085,-1.6141132,-0.1809953
1,-1.0903924,-1.2262326,"('unfriendly', 'friendly')",-0.14440766,-0.15292613,1.6671054,1.7314246,0.1441018,0.1174219,0.0266799
51,-1.0681949,-0.8806445,"('uneducated', 'educated')",-1.3882285,-1.4145129,-0.049589448,-0.0030674115,-0.8353376,-0.766075,-0.0692626
20,-1.0346386,-0.8118541,"('rough', 'thoughtful')",-0.061949257,-0.023373572,0.71256226,0.7948923,-0.1280085,-0.0134451,-0.1145634
53,-1.0227766,-0.98633045,"('uncreative', 'creative')",0.18478638,0.15677488,0.6576814,0.81857806,-0.0601029,-0.0036592,-0.0564437
39,1.002608,1.1916003,"('exploitative', 'cooperative')",-0.15052725,0.01822244,-0.02384972,0.01298584,0.276077,0.4076029,-0.1315259
68,-0.96768266,-0.8758856,"('dependent', 'independent')",-1.8571433,-1.8783062,-0.9053274,-1.0690817,-1.2433844,-1.2744246,0.0310402
41,-0.9523399,-0.66274285,"('unforgiving', 'forgiving')",-0.63453424,-0.6115723,-0.39889506,-0.42372766,-0.6619231,-0.5660143,-0.0959088
65,-0.8984461,-0.4072423,"('insecure', 'secure')",-1.7225912,-1.5987782,-0.67412966,-0.48862284,-1.098389,-0.8315478,-0.2668412
49,-0.8788678,-0.43671644,"('unable', 'able')",-1.1563742,-1.101972,-0.2692904,-0.16977058,-0.7681775,-0.5694863,-0.1986912
36,-0.8582643,-1.1715318,"('hostile', 'amicable')",1.6304353,1.546457,0.3066165,0.018460803,0.3595959,0.1311287,0.2284672
45,-0.8508623,-0.4590343,"('incompetent', 'competent')",-1.9492012,-2.010549,-0.14502281,0.032414623,-0.9816955,-0.8123895,-0.169306
40,-0.8365337,-0.7632772,"('stingy', 'generous')",-0.17667924,-0.22921725,-2.1622138,-2.1234903,-1.0584756,-1.0386616,-0.019814
58,-0.7903112,-0.6738084,"('undiscriminating', 'discriminating')",-0.507808,-0.51922995,-0.023230683,-0.025972791,-0.44045,-0.4063371,-0.0341129
72,-0.78249806,-0.812282,"('unambitious', 'ambitious')",-0.015188069,0.079127565,-0.43499964,-0.22152507,-0.4108953,-0.3182265,-0.0926688
10,-0.7666268,-0.41162688,"('unsympathetic', 'sympathetic')",-2.3984478,-2.3823738,-0.55660176,-0.41330996,-1.2405588,-1.0691036,-0.1714552
33,0.73469937,0.29841736,"('wrong', 'right')",1.4162194,1.2754499,-0.39296848,-0.50761425,0.5859834,0.3554176,0.2305658
31,-0.72666276,-0.95048493,"('evil', 'good')",0.5331428,0.39497194,-0.5238303,-0.6594421,-0.2391167,-0.404985,0.1658683
88,-0.72170496,-0.7878442,"('low', 'eminent')",-1.0163821,-0.99454755,-0.48789597,-0.42380425,-0.7419944,-0.7353987,-0.0065957
73,0.7163637,0.7546868,"('helpless', 'self-reliant')",1.1693103,1.2524023,-3.4226599,-3.4217162,-0.5123286,-0.4715424,-0.0407862
18,-0.6977103,-0.62963355,"('disagreeable', 'welcoming')",0.111071706,0.16217664,-0.4077977,-0.473489,-0.3314788,-0.3136486,-0.0178302
48,-0.6923437,-0.44641724,"('unintelligent', 'intelligent')",-0.8767553,-0.86970943,0.41617492,0.5204963,-0.384308,-0.2652101,-0.1190979
28,-0.6903711,-0.7884888,"('disloyal', 'loyal')",-0.9251526,-0.9773507,0.94306177,0.9147356,-0.224154,-0.2837013,0.0595473
8,-0.6688962,-0.7345784,"('unaffectionate', 'affectionate')",0.048474748,0.05108755,1.3001758,1.2198035,0.2265848,0.1787709,0.0478139
4,-0.6383898,-0.585672,"('disliked', 'liked')",0.8729875,0.839705,-7.3599143,-7.2422953,-2.3751055,-2.3294207,-0.0456848
32,-0.620816,-0.34541655,"('unkind', 'kind')",-0.7736068,-0.744045,0.6353625,0.73174274,-0.2530201,-0.1192396,-0.1337805
9,-0.6072889,-0.66579115,"('unaffectionate', 'caring')",0.25505129,0.25046,1.7764177,1.7347865,0.4747267,0.4398185,0.0349082
2,0.60501087,0.92043996,"('unlikable', 'likable')",0.9551243,1.1508267,0.7386159,0.94644815,0.7662503,1.0059049,-0.2396546
67,0.59329677,0.65467644,"('doubtful', 'determined')",0.7504961,0.7287415,-0.6142657,-0.51185894,0.2431757,0.2905197,-0.047344
76,0.5712265,0.94272906,"('anxious', 'daring')",-0.123438016,-0.013494074,-0.60501814,-0.42957792,-0.0524099,0.1665524,-0.2189623
55,-0.5449618,-0.03202343,"('incompetent', 'clever')",-2.0462046,-2.0188725,-0.19370435,0.002297204,-0.9282903,-0.6828663,-0.245424
24,0.54432833,0.77139974,"('dishonest', 'honest')",-1.5807159,-1.3792392,0.46397012,0.59618634,-0.1908058,-0.0038844,-0.1869214
19,-0.5348849,-0.5705478,"('inhospitable', 'hospitable')",-0.24511752,-0.29558027,-0.24155483,-0.20723012,-0.3405191,-0.3577861,0.017267
59,0.4730578,0.17612123,"('foolish', 'wise')",1.4076401,1.3456028,0.59213656,0.5252862,0.8242782,0.6823367,0.1419415
69,0.455995,-0.09120828,"('lazy', 'industrious')",2.635944,2.455708,-0.23053843,-0.35106888,0.9538002,0.6711436,0.2826566
66,-0.4223072,-0.5630472,"('inactive', 'active')",1.0404283,1.0550586,1.173741,1.0564617,0.5972873,0.5161577,0.0811296
5,0.41000476,0.17316307,"('distant', 'outgoing')",0.8719232,0.85182536,0.079221465,0.039934672,0.4537165,0.3549743,0.0987422
75,0.4014599,0.4243477,"('meek', 'impulsive')",0.39689887,0.5388011,-0.7056889,-0.63569164,0.03089,0.1091524,-0.0782624
52,-0.37320775,-0.7561352,"('irrational', 'rational')",0.96984476,0.8992718,0.30331966,0.110696845,0.2999856,0.0846111,0.2153745
13,-0.37030092,0.20191579,"('impolite', 'polite')",-0.9704546,-0.82668436,-0.67808825,-0.5767593,-0.6729479,-0.4005093,-0.2724386
44,0.36334458,0.46169922,"('prejudiced', 'unprejudiced')",0.12132259,0.36269018,-1.4482687,-1.3721051,-0.3212005,-0.1825719,-0.1386286
16,-0.3597109,-0.5867916,"('unpopular', 'popular')",0.8131254,0.71919715,0.5924733,0.47189856,0.3486293,0.2014347,0.1471946
82,-0.35481006,-0.34374472,"('poor', 'rich')",-0.68364507,-0.6923887,6.849643,6.980727,1.9370627,1.9815313,-0.0444686
74,-0.34431028,-0.23600729,"('undedicated', 'dedicated')",-1.5249414,-1.5761787,-0.72630244,-0.5131633,-0.8651847,-0.7751164,-0.0900683
60,0.34020293,0.7711795,"('inefficient', 'efficient')",-1.4158531,-1.3415273,-0.42247126,-0.0586199,-0.4993738,-0.2096559,-0.2897179
21,-0.32855392,0.17212275,"('immoral', 'moral')",-0.91372746,-0.79359955,-0.8937813,-0.7684763,-0.7120209,-0.4633177,-0.2487032
42,0.30640358,0.47129196,"('unreliable', 'reliable')",0.23425952,0.19803098,-3.1066709,-3.0407848,-0.8553359,-0.7904873,-0.0648486
71,-0.2993315,-0.29857048,"('diffident', 'self-confident')",1.4961767,1.5105386,0.683495,0.6060688,0.6267801,0.6060123,0.0207678
47,-0.27535483,-0.13153107,"('stupid', 'smart')",0.068441726,0.2192545,5.7322297,5.7999706,1.8417722,1.9625646,-0.1207924
79,-0.26372963,-0.51275986,"('wavering', 'unwavering')",0.8692838,0.7539029,-0.018891677,-0.26653475,0.1955542,-0.0084639,0.2040181
25,-0.25954,-0.399705,"('egoistic', 'altruistic')",0.78699785,0.6104583,1.2828792,1.2879713,0.6034457,0.4995749,0.1038708
70,0.25748825,0.7899736,"('lethargic', 'energetic')",-1.7305758,-1.5181941,0.08030237,0.28653738,-0.4642617,-0.1472277,-0.317034
87,0.25334996,0.34653583,"('unsuccessful', 'successful')",1.083411,1.0609205,1.0340563,1.195969,0.7902724,0.8678084,-0.077536
6,-0.2512076,-0.5143626,"('distant', 'open')",0.8975349,0.79019105,0.3629468,0.23706615,0.3364247,0.1709649,0.1654598
7,-0.24839655,0.00792126,"('insensitive', 'sensitive')",-0.8582634,-0.7529144,0.46628445,0.63339823,-0.2134585,-0.0371983,-0.1762602
23,-0.2363596,-0.049816202,"('insincere', 'sincere')",-0.6191602,-0.579482,5.9869556,6.05808,1.7104786,1.809594,-0.0991154
50,0.2230106,0.058900654,"('clumsy', 'skillful')",1.2416711,1.1709712,0.48788202,0.35530144,0.6508545,0.528391,0.1224635
17,-0.22237697,-0.12677084,"('nasty', 'nice')",0.653734,0.6874641,-0.7685725,-0.7579765,-0.1124052,-0.0657611,-0.0466441
46,-0.21668997,0.050504193,"('uncompetitive', 'competitive')",-1.8933619,-1.9297807,-1.318649,-1.2162137,-1.1429003,-1.0318301,-0.1110702
30,0.19695416,0.6680522,"('intolerant', 'tolerant')",-0.54784656,-0.4045212,0.30162728,0.67104936,-0.0164217,0.3115268,-0.3279485
37,0.19157237,0.040305503,"('fake', 'genuine')",-1.1820655,-1.1832194,0.3637381,0.25077355,-0.2089183,-0.2973801,0.0884618
61,-0.19089763,-0.08831563,"('illogical', 'logical')",-0.4230888,-0.43431944,0.49901587,0.5215727,-0.0383235,-0.0003541,-0.0379694
38,0.17645586,0.054284606,"('untruthful', 'truthful')",-0.1734502,-0.12112143,-0.013907537,-0.013197059,-0.003634,-0.026678,0.023044
63,-0.16989936,0.217847,"('unperceptive', 'insightful')",-0.5071618,-0.5468793,0.67446995,0.71883255,-0.0008637,0.1299334,-0.1307971
64,-0.16645075,-0.33276477,"('shy', 'confident')",-0.390449,-0.5044805,-6.7693973,-6.701755,-2.4420989,-2.5130002,0.0709013
56,-0.12994872,0.25524294,"('impractical', 'practical')",-0.8021392,-0.74840844,-1.0697016,-0.816022,-0.6672632,-0.4363958,-0.2308674
29,0.12734514,-0.095931105,"('unfair', 'fair')",-0.61854345,-0.63481694,-0.25509477,-0.38020855,-0.2487644,-0.3703189,0.1215545
85,-0.12627405,-0.366926,"('insignificant', 'prestigious')",2.275883,2.2798653,0.44901395,0.29274857,0.8662076,0.7352293,0.1309783
3,-0.119283006,-0.06605294,"('repellent', 'pleasant')",-0.8921603,-0.968009,0.76975095,0.74235064,-0.0805641,-0.0972371,0.016673
78,-0.11765089,-0.22259381,"('nonresilient', 'resilient')",1.1949642,0.8766332,0.43661255,0.19595207,0.5046419,0.2833305,0.2213114
80,-0.1156564,0.045793418,"('dominated', 'dominating')",-1.593148,-1.6036512,-1.2247335,-1.1782011,-0.977846,-0.9120196,-0.0658264
81,-0.09688801,0.26723653,"('submissive', 'aggressive')",-1.4261894,-1.4421748,-1.2294576,-1.0549418,-0.9175117,-0.7432933,-0.1742184
62,0.08731887,0.7631085,"('incompetent', 'brilliant')",-1.0821279,-0.9301628,0.20091309,0.6120533,-0.264632,0.148333,-0.412965
27,-0.07925346,0.070365034,"('hardhearted', 'softhearted')",-0.37077397,-0.33050644,1.4692519,1.3048093,0.3397415,0.3482227,-0.0084812
12,-0.0685408,-0.015453352,"('unsupportive', 'supportive')",0.16651319,0.14157164,-1.8785703,-1.8180468,-0.5935326,-0.5639762,-0.0295564
84,0.06272671,-0.1134693,"('inferior', 'superior')",-0.7819582,-0.92657447,0.92960566,0.90265274,0.0701247,-0.045797,0.1159217
35,0.050525665,-0.28642246,"('corrupt', 'incorrupt')",1.187217,1.1126119,-0.02898032,-0.29203132,0.4029208,0.1780527,0.2248681
34,-0.048663348,0.09336732,"('mean', 'honorable')",0.1617768,0.25296542,5.849557,5.866949,1.9875568,2.0710939,-0.0835371
54,-0.03624554,7.641688e-05,"('incapable', 'capable')",1.0132229,0.8928044,1.172155,1.2056209,0.7163775,0.6995006,0.0168769
15,0.03307642,0.24554656,"('boring', 'funny')",0.7185335,0.8114614,-0.21909499,-0.18197452,0.177505,0.2916778,-0.1141728
11,0.021182671,0.3234042,"('unhelpful', 'helpful')",-0.9838863,-0.87829816,1.6001434,1.8528007,0.2124799,0.4326356,-0.2201557
43,-0.013624128,0.3339472,"('irresponsible', 'responsible')",-1.600578,-1.4395188,0.2181967,0.4677352,-0.4653351,-0.2126122,-0.2527229
77,0.0061550196,0.04745092,"('unmotivated', 'motivated')",-0.13330117,-0.2031655,-1.119225,-1.0603393,-0.4154571,-0.4053513,-0.0101058
22,0.00034542382,0.32116643,"('untrustworthy', 'trustworthy')",-1.6711396,-1.5614944,-1.2695881,-1.1371094,-0.9801274,-0.7924791,-0.1876483
