,cummins_male,cummins_female,tuple,inc_male,inc_female,average_male,average_female,male-female
18,-1.6714308,-1.3799031,"('disagreeable', 'welcoming')",-0.82316464,-0.6633775,-1.2472978,-1.0216403,-0.2256575
69,1.5919746,1.447241,"('lazy', 'industrious')",-0.6788592,-0.64356077,0.4565577,0.4018401,0.0547176
87,1.473131,1.357816,"('unsuccessful', 'successful')",1.0101445,0.78488296,1.2416377,1.0713495,0.1702882
39,1.4298892,1.3621846,"('exploitative', 'cooperative')",0.12897448,0.018014459,0.7794318,0.6900995,0.0893323
57,-1.3144855,-1.309098,"('unimaginative', 'imaginative')",-2.514821,-2.7385223,-1.9146533,-2.0238101,0.1091568
73,1.254633,1.3504506,"('helpless', 'self-reliant')",-3.1459007,-3.02354,-0.9456339,-0.8365447,-0.1090892
8,-1.2448156,-1.1977884,"('unaffectionate', 'affectionate')",0.5285569,0.8171622,-0.3581294,-0.1903131,-0.1678163
72,-1.1299508,-0.89581704,"('unambitious', 'ambitious')",-1.1205494,-0.84460074,-1.1252501,-0.8702089,-0.2550412
33,1.0858898,0.7551425,"('wrong', 'right')",-0.5857129,-0.49031088,0.2500885,0.1324158,0.1176727
84,1.0187142,0.9217665,"('inferior', 'superior')",0.9758156,1.0158559,0.9972649,0.9688112,0.0284537
65,-0.9672474,-0.89192635,"('insecure', 'secure')",-0.5101029,-0.6182473,-0.7386752,-0.7550868,0.0164116
71,0.87801296,0.8909189,"('diffident', 'self-confident')",0.7654444,0.6854125,0.8217287,0.7881657,0.033563
55,-0.81567717,-0.7714155,"('incompetent', 'clever')",0.17349792,0.024226427,-0.3210896,-0.3735945,0.0525049
59,0.8080289,0.8682172,"('foolish', 'wise')",0.48511568,0.67271316,0.6465723,0.7704651,-0.1238928
17,-0.8037573,-0.7925755,"('nasty', 'nice')",-0.33441055,-0.3276296,-0.5690839,-0.5601025,-0.0089814
51,-0.7810727,-0.61064726,"('uneducated', 'educated')",0.8831397,0.70590603,0.0510335,0.0476294,0.0034041
42,-0.76199985,-0.41376665,"('unreliable', 'reliable')",-3.0389895,-3.068132,-1.9004947,-1.7409493,-0.1595454
52,-0.75962764,-0.9959508,"('irrational', 'rational')",-0.39019242,-0.40757564,-0.57491,-0.7017632,0.1268532
85,0.75577193,0.490493,"('insignificant', 'prestigious')",0.54757726,0.53170717,0.6516746,0.5111001,0.1405745
10,-0.70256656,-0.8289079,"('unsympathetic', 'sympathetic')",0.20895168,-0.0153295845,-0.2468074,-0.4221188,0.1753114
19,-0.6990579,-0.7306014,"('inhospitable', 'hospitable')",-0.059228152,0.069196105,-0.379143,-0.3307026,-0.0484404
6,-0.68781126,-0.63466173,"('distant', 'open')",0.11667356,0.43232197,-0.2855688,-0.1011699,-0.1843989
36,-0.6446339,-0.7380054,"('hostile', 'amicable')",-0.30974382,-0.2748483,-0.4771889,-0.5064269,0.029238
37,0.64115596,0.49756998,"('fake', 'genuine')",0.73005885,0.8066588,0.6856074,0.6521144,0.033493
14,-0.61703837,-0.312034,"('antisocial', 'social')",-1.232235,-1.16525,-0.9246367,-0.738642,-0.1859947
41,-0.5997171,-0.28074452,"('unforgiving', 'forgiving')",-0.55605984,-0.52301043,-0.5778885,-0.4018775,-0.176011
3,-0.58803666,-0.6467012,"('repellent', 'pleasant')",0.09181558,-0.08204924,-0.2481105,-0.3643752,0.1162647
16,-0.5772267,-0.64130384,"('unpopular', 'popular')",0.4724029,0.48188686,-0.0524119,-0.0797085,0.0272966
26,0.56496906,0.67044836,"('hardhearted', 'benevolent')",1.3255818,1.2769821,0.9452754,0.9737152,-0.0284398
67,0.5608982,0.69613165,"('doubtful', 'determined')",-0.7177894,-0.4158345,-0.0784456,0.1401486,-0.2185942
31,-0.55695736,-0.61531323,"('evil', 'good')",-1.2134022,-1.0113739,-0.8851798,-0.8133435,-0.0718363
53,-0.5532528,-0.6862421,"('uncreative', 'creative')",0.5686614,0.6219512,0.0077043,-0.0321454,0.0398497
74,0.5470636,0.72855186,"('undedicated', 'dedicated')",0.08825674,0.06076285,0.3176602,0.3946573,-0.0769971
30,-0.54661787,-0.20816636,"('intolerant', 'tolerant')",0.59775835,0.7365004,0.0255702,0.264167,-0.2385968
82,-0.5441674,-0.10744576,"('poor', 'rich')",5.8212314,6.3247423,2.6385319,3.1086483,-0.4701164
15,-0.54095364,-0.2782419,"('boring', 'funny')",0.06641337,0.3085425,-0.2372701,0.0151503,-0.2524204
76,-0.5320294,-0.36066216,"('anxious', 'daring')",0.42775577,0.51170075,-0.0521368,0.0755193,-0.1276561
28,-0.5172542,-0.7024364,"('disloyal', 'loyal')",0.7755959,0.87204987,0.1291709,0.0848067,0.0443642
63,0.4865089,0.52276796,"('unperceptive', 'insightful')",1.5010813,1.4210691,0.9937952,0.9719186,0.0218766
68,-0.48377988,-0.5497554,"('dependent', 'independent')",-0.09015457,-0.21753478,-0.2869672,-0.3836451,0.0966779
56,0.4727099,0.69040805,"('impractical', 'practical')",-0.09971993,-0.015199849,0.186495,0.3376041,-0.1511091
0,-0.45401958,-0.4754372,"('unsociable', 'sociable')",-0.51894754,-0.60390097,-0.4864836,-0.5396691,0.0531855
77,-0.4447674,-0.79234606,"('unmotivated', 'motivated')",-0.755336,-0.98492825,-0.6000517,-0.8886372,0.2885855
48,-0.43510312,-0.53724444,"('unintelligent', 'intelligent')",0.7306287,0.6828363,0.1477628,0.0727959,0.0749669
49,-0.43108034,-0.27446625,"('unable', 'able')",-0.09502881,0.062234677,-0.2630546,-0.1061158,-0.1569388
50,0.41133827,0.32599914,"('clumsy', 'skillful')",0.7051457,0.6175427,0.558242,0.4717709,0.0864711
45,-0.39223403,-0.22608241,"('incompetent', 'competent')",-0.12390125,-0.26171026,-0.2580676,-0.2438963,-0.0141713
78,0.3658898,0.1881377,"('nonresilient', 'resilient')",0.9836366,0.7898802,0.6747632,0.489009,0.1857542
86,-0.3589675,-0.54521453,"('uninfluential', 'influential')",0.11136073,-0.10432686,-0.1238034,-0.3247707,0.2009673
27,-0.35526663,-0.4173013,"('hardhearted', 'softhearted')",1.5165765,1.2390888,0.580655,0.4108937,0.1697613
61,0.33653,0.1614502,"('illogical', 'logical')",0.23315455,0.22387357,0.2848423,0.1926619,0.0921804
29,0.32058963,0.2746614,"('unfair', 'fair')",-0.6102964,-0.6010647,-0.1448534,-0.1632016,0.0183482
7,-0.31857032,-0.30481178,"('insensitive', 'sensitive')",0.7411991,0.55368567,0.2113144,0.1244369,0.0868775
24,0.3137439,0.35278937,"('dishonest', 'honest')",0.6990008,0.85937214,0.5063723,0.6060808,-0.0997085
40,-0.3094958,-0.20859993,"('stingy', 'generous')",-1.4578941,-1.6068454,-0.8836949,-0.9077227,0.0240278
75,0.30779925,0.53243,"('meek', 'impulsive')",-0.4276543,-0.26494777,-0.0599275,0.1337411,-0.1936686
25,-0.29840758,-0.26438212,"('egoistic', 'altruistic')",1.0636008,1.0053518,0.3825966,0.3704848,0.0121118
83,0.2880472,0.24783598,"('powerless', 'powerful')",-0.68103415,-0.7131087,-0.1964935,-0.2326364,0.0361429
1,0.28601244,0.13266388,"('unfriendly', 'friendly')",1.6126368,1.7402102,0.9493246,0.936437,0.0128876
60,-0.2603383,-0.07019223,"('inefficient', 'efficient')",0.19450241,0.21956998,-0.0329179,0.0746889,-0.1076068
23,0.25139794,0.17881541,"('insincere', 'sincere')",5.99681,6.1639028,3.124104,3.1713591,-0.0472551
21,-0.25136554,-0.30657265,"('immoral', 'moral')",-0.5469968,-0.70771956,-0.3991812,-0.5071461,0.1079649
43,-0.22030991,-0.19485341,"('irresponsible', 'responsible')",0.44550505,0.47204494,0.1125976,0.1385958,-0.0259982
54,0.21745142,0.255565,"('incapable', 'capable')",1.0294846,1.2333318,0.623468,0.7444484,-0.1209804
44,0.2102598,0.29297963,"('prejudiced', 'unprejudiced')",-1.5919385,-1.56775,-0.6908394,-0.6373852,-0.0534542
80,0.20749412,0.24920714,"('dominated', 'dominating')",-0.6596041,-0.94717085,-0.226055,-0.3489819,0.1229269
4,-0.20324415,0.11850409,"('disliked', 'liked')",-6.2729535,-6.319751,-3.2380989,-3.1006234,-0.1374755
64,-0.2020928,-0.28998297,"('shy', 'confident')",-7.0572805,-7.2615695,-3.6296866,-3.7757761,0.1460895
11,0.1997544,0.20599614,"('unhelpful', 'helpful')",2.3109157,2.341079,1.2553351,1.2735375,-0.0182024
88,-0.19762208,-0.052996606,"('low', 'eminent')",0.2829765,0.38748527,0.0426772,0.1672443,-0.1245671
58,0.16333804,0.13628958,"('undiscriminating', 'discriminating')",-0.02189546,0.020709153,0.0707213,0.0784994,-0.0077781
46,0.15759178,0.17568085,"('uncompetitive', 'competitive')",-0.17196044,-0.36911702,-0.0071843,-0.0967181,0.0895338
81,-0.1560839,0.04028158,"('submissive', 'aggressive')",-0.6303458,-0.6469587,-0.3932149,-0.3033386,-0.0898763
62,0.15017784,0.4428103,"('incompetent', 'brilliant')",0.5273952,0.6482131,0.3387865,0.5455117,-0.2067252
38,0.14637637,0.24409215,"('untruthful', 'truthful')",0.36967412,0.53427273,0.2580252,0.3891824,-0.1311572
47,0.14505187,0.32008314,"('stupid', 'smart')",5.350805,5.5647173,2.7479284,2.9424002,-0.1944718
2,0.14476565,0.4037081,"('unlikable', 'likable')",0.061162878,0.24935974,0.1029643,0.3265339,-0.2235696
5,0.11238663,0.2670917,"('distant', 'outgoing')",-0.37919754,-0.021796282,-0.1334054,0.1226477,-0.2560531
70,-0.09491086,0.3201932,"('lethargic', 'energetic')",0.69390726,0.6809203,0.2994982,0.5005568,-0.2010586
9,-0.086946815,-0.243265,"('unaffectionate', 'caring')",1.1384989,1.3731912,0.525776,0.5649631,-0.0391871
20,-0.08644134,-0.08418627,"('rough', 'thoughtful')",1.5184872,1.3083911,0.716023,0.6121024,0.1039206
34,0.06338992,0.1524702,"('mean', 'honorable')",6.19844,6.3282194,3.1309149,3.2403448,-0.1094299
35,0.051615234,0.042601377,"('corrupt', 'incorrupt')",-0.36780548,-0.21718542,-0.1580951,-0.087292,-0.0708031
66,0.046287447,-0.14965515,"('inactive', 'active')",0.8923488,0.752533,0.4693182,0.3014389,0.1678793
32,0.017600343,0.076229945,"('unkind', 'kind')",0.9026761,0.98500144,0.4601382,0.5306157,-0.0704775
22,-0.016444732,-0.00096833566,"('untrustworthy', 'trustworthy')",-1.1387365,-1.1762938,-0.5775906,-0.5886311,0.0110405
13,-0.01518482,-0.071424276,"('impolite', 'polite')",-0.29291672,-0.29355198,-0.1540508,-0.1824881,0.0284373
12,0.012833117,0.033273038,"('unsupportive', 'supportive')",-1.4941624,-1.5694517,-0.7406647,-0.7680894,0.0274247
79,0.0085063595,-0.1901944,"('wavering', 'unwavering')",0.22944,0.27357978,0.1189732,0.0416927,0.0772805
