,unitedhealth_male,unitedhealth_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
55,-3.7846024,-3.561606,"('incompetent', 'clever')",1.4607633,1.6357273,-0.2032859,-0.31095102,-0.842375,-0.7456099,-0.0967651
46,-3.1039581,-2.7875054,"('uncompetitive', 'competitive')",1.7995117,1.8535404,-0.70665467,-0.8417172,-0.6703671,-0.5918941,-0.078473
69,2.896597,2.8631954,"('lazy', 'industrious')",-0.17569333,0.1498949,-0.84502685,-0.50178295,0.6252923,0.8371025,-0.2118102
10,-2.609657,-2.4644666,"('unsympathetic', 'sympathetic')",0.78983855,0.9117159,-0.23208767,-0.3608829,-0.6839687,-0.6378778,-0.0460909
45,-2.453842,-2.184019,"('incompetent', 'competent')",0.21382542,0.61061597,-0.8699645,-0.86548954,-1.0366604,-0.8129642,-0.2236962
58,-2.4289792,-2.211879,"('undiscriminating', 'discriminating')",0.18340844,0.5066031,-0.14157991,-0.19105057,-0.7957168,-0.6321088,-0.163608
85,2.235176,2.0476005,"('insignificant', 'prestigious')",-1.219972,-1.4902191,0.70874083,0.7531293,0.5746483,0.4368369,0.1378114
59,2.2086701,2.0526855,"('foolish', 'wise')",-1.4336259,-1.4154106,0.37826478,0.65456456,0.3844363,0.4306131,-0.0461768
0,-2.1645536,-2.0362113,"('unsociable', 'sociable')",0.84664685,0.95550543,-0.697422,-0.65014094,-0.6717763,-0.576949,-0.0948273
57,-2.0827293,-1.9112867,"('unimaginative', 'imaginative')",-0.5477761,-0.38665646,-2.6871126,-2.891,-1.7725395,-1.7296476,-0.0428919
86,-2.0301769,-1.8083717,"('uninfluential', 'influential')",0.24993297,0.43549454,-0.47209138,-0.42823556,-0.7507784,-0.6003709,-0.1504075
60,-1.9188211,-1.6778098,"('inefficient', 'efficient')",2.1273203,2.4573836,-0.27752036,-0.06569195,-0.0230071,0.2379606,-0.2609677
35,1.8845419,1.7386917,"('corrupt', 'incorrupt')",-1.9414947,-1.813575,-0.1663937,0.012483974,-0.0744488,-0.0207998,-0.053649
53,-1.837442,-1.7530082,"('uncreative', 'creative')",-0.446746,-0.37054023,0.9213976,0.8764915,-0.4542634,-0.4156857,-0.0385777
