,laboratory_male,laboratory_female,tuple,corp_male,corp_female,america_male,america_female,hldgs_male,hldgs_female,average_male,average_female,male-female
55,2.3622408,1.632508,"('incompetent', 'clever')",2.6448572,1.0308394,1.2020372,1.0505191,-0.39553663,-0.66006213,1.4533998,0.7634512,0.6899486
36,-2.13185,-1.4767675,"('hostile', 'amicable')",-3.47592,-2.0987923,-0.9583727,-0.7737,-1.1513501,-1.1783288,-1.9293731,-1.3818972,-0.5474759
6,-2.1127865,-1.3114165,"('distant', 'open')",-3.450295,-2.3426344,-1.7707627,-1.4157988,-1.3287317,-0.9473841,-2.1656439,-1.5043085,-0.6613354
5,-2.0776703,-1.353195,"('distant', 'outgoing')",-2.5103774,-1.5475296,-1.845381,-1.3504755,-1.3603714,-0.99364644,-1.9484501,-1.3112116,-0.6372385
62,2.0588903,1.4362469,"('incompetent', 'brilliant')",1.9885961,0.98635036,1.1363301,0.9052065,0.6070112,0.17755488,1.4477069,0.8763396,0.5713673
56,2.0085177,1.3171415,"('impractical', 'practical')",1.6618956,0.71302867,1.1075485,0.77238894,0.4629295,0.1863597,1.3102229,0.7472297,0.5629932
79,-1.905754,-1.520867,"('wavering', 'unwavering')",-3.4525256,-2.4696796,-0.9663075,-1.0864308,-0.574635,-0.87751335,-1.7248056,-1.4886228,-0.2361828
20,1.8159275,1.5233411,"('rough', 'thoughtful')",0.6897608,0.20540039,-0.40415832,-0.37453905,-0.19068502,-0.28753978,0.4777112,0.2666656,0.2110456
31,-1.7605693,-1.054534,"('evil', 'good')",-2.8615437,-1.5373191,-2.3870842,-1.7695254,-1.6491591,-1.2178884,-2.1645892,-1.3948168,-0.7697724
66,-1.7507102,-1.6074706,"('inactive', 'active')",-1.82881,-1.3439013,0.017596982,0.2935689,-0.6493666,-0.63543487,-1.0528225,-0.8233095,-0.229513
60,1.7162898,1.2289139,"('inefficient', 'efficient')",2.2499762,1.0261953,1.7304773,1.69531,0.21523494,0.1377955,1.4779944,1.0220537,0.4559407
48,1.6918648,1.5878495,"('unintelligent', 'intelligent')",1.8085003,0.88448995,0.18565635,0.4196786,-0.91704977,-1.0151622,0.692243,0.469214,0.223029
19,-1.6882492,-1.4959301,"('inhospitable', 'hospitable')",-2.4614499,-1.6229502,-0.9627696,-0.7242253,-0.7583127,-0.66562945,-1.4676954,-1.1271838,-0.3405116
81,1.676034,0.9338909,"('submissive', 'aggressive')",2.1740046,0.696933,2.460831,2.151254,0.3479025,-0.022634469,1.6646929,0.9398608,0.7248321
14,1.4508536,0.96509534,"('antisocial', 'social')",1.9617857,1.0487237,1.1937008,0.8602627,-0.09483957,-0.18190706,1.1278751,0.6730436,0.4548315
21,1.4375993,0.767066,"('immoral', 'moral')",2.5790355,1.169774,1.4949273,0.8345711,0.1359726,-0.43081573,1.4118837,0.5851489,0.8267348
35,-1.4353392,-0.74077994,"('corrupt', 'incorrupt')",-3.2406163,-1.6109837,-1.2151265,-1.1192447,-0.48322362,-0.32813436,-1.5935764,-0.9497856,-0.6437908
4,-1.3036726,-0.99926215,"('disliked', 'liked')",-1.6253861,-0.6983755,-1.0273135,-0.7225375,-2.221305,-1.9377837,-1.5444193,-1.0894897,-0.4549296
46,1.2528367,0.41557434,"('uncompetitive', 'competitive')",2.1727211,0.62953544,1.4891957,1.1930878,-0.1962943,-0.63893324,1.1796148,0.3998161,0.7797987
85,-1.0647079,-0.481232,"('insignificant', 'prestigious')",-3.2326894,-1.5857614,-1.8342218,-1.8915411,0.038814846,0.02705016,-1.523201,-0.9828711,-0.5403299
37,-1.0566818,-1.2528443,"('fake', 'genuine')",-0.20550893,-0.43180215,-0.44593135,-0.37122825,-0.31498745,-0.34393317,-0.5057774,-0.599952,0.0941746
82,1.0496136,0.683207,"('poor', 'rich')",0.42076373,-0.20816958,1.5052626,1.2338706,2.3859124,1.9143307,1.3403881,0.9058097,0.4345784
27,-1.0209928,-0.9182271,"('hardhearted', 'softhearted')",-1.36326,-1.1041249,-0.45354792,-0.010176323,-0.43654883,-0.17751113,-0.8185874,-0.5525099,-0.2660775
11,1.0083836,0.18418816,"('unhelpful', 'helpful')",1.4507442,0.76391244,1.6532179,1.4593936,1.1011268,0.65001273,1.3033681,0.7643767,0.5389914
72,0.98121035,1.0320382,"('unambitious', 'ambitious')",0.80867547,0.45012838,0.8933809,0.9424587,0.30788648,0.49629828,0.7477883,0.7302309,0.0175574
78,0.95426935,0.61779845,"('nonresilient', 'resilient')",0.8638864,0.2595589,0.19755694,-0.050837047,-0.9194976,-1.3286632,0.2740538,-0.1255357,0.3995895
32,0.921166,0.55415064,"('unkind', 'kind')",1.9727725,1.5105238,1.445329,1.4376429,1.0789635,0.89210653,1.3545578,1.098606,0.2559518
13,0.91354996,0.5916666,"('impolite', 'polite')",0.671095,0.2996182,1.1562222,1.342199,-0.44453862,-0.36012244,0.5740821,0.4683403,0.1057418
73,-0.87361467,-0.6982977,"('helpless', 'self-reliant')",0.50218564,0.6818625,-1.0554334,-1.1583056,-1.3928694,-1.1357818,-0.7049329,-0.5776306,-0.1273023
22,0.85629225,0.6515379,"('untrustworthy', 'trustworthy')",1.5393639,1.0098436,0.58923495,0.66149616,0.091684304,0.052394476,0.7691438,0.593818,0.1753258
39,0.8548577,0.7363503,"('exploitative', 'cooperative')",1.875143,1.978611,1.0261856,1.2132554,0.6151366,0.76623464,1.0928308,1.1736128,-0.080782
61,0.7847895,0.714901,"('illogical', 'logical')",0.7639364,0.60223365,0.2281469,0.37474608,-0.44689694,-0.20250402,0.332494,0.3723442,-0.0398502
84,0.7842643,0.88209695,"('inferior', 'superior')",0.38871646,0.17610696,-0.26309666,-0.3217337,0.39879948,0.2838648,0.3271709,0.2550837,0.0720872
50,-0.7796044,-0.92875725,"('clumsy', 'skillful')",-1.0981538,-0.6978786,-0.15503849,-0.20939678,1.0843413,0.9496009,-0.2371139,-0.2216079,-0.015506
52,-0.7504004,-0.42790186,"('irrational', 'rational')",-2.0869462,-0.9684943,-1.4628521,-1.1925464,-0.48594248,-0.25613806,-1.1965352,-0.7112702,-0.485265
38,0.70203084,0.5029593,"('untruthful', 'truthful')",-0.95792687,-0.60131955,0.46837646,0.27424616,-0.6124325,-0.8291262,-0.099988,-0.1633101,0.0633221
80,0.6838232,-0.12988743,"('dominated', 'dominating')",1.7506616,0.40062258,0.78832287,0.59053314,0.21920913,-0.0010780741,0.8605043,0.2150476,0.6454567
43,0.6688271,0.07944008,"('irresponsible', 'responsible')",1.3018382,0.35351685,0.40585172,0.36438808,0.020421226,-0.31526774,0.5992345,0.1205193,0.4787152
77,0.6571424,0.14931062,"('unmotivated', 'motivated')",0.54345435,-0.50394183,-0.29814348,-0.40550947,-1.119015,-1.2974838,-0.0541404,-0.5144061,0.4602657
26,0.65154254,1.0387348,"('hardhearted', 'benevolent')",0.50407004,1.0818589,0.16281955,0.53108776,-0.111175835,-0.047995828,0.3018141,0.6509214,-0.3491073
65,0.6499782,-0.00060582533,"('insecure', 'secure')",1.5403044,0.46007097,1.2003878,1.0419886,-0.006253101,-0.113801464,0.8461043,0.3469131,0.4991912
47,0.63920677,0.51654446,"('stupid', 'smart')",0.4662068,0.22297856,0.1570393,0.36796525,2.3054461,2.2058256,0.8919747,0.8283285,0.0636462
41,0.6250826,0.6186311,"('unforgiving', 'forgiving')",0.74118876,0.5795919,-0.12845318,0.105317384,-0.3058142,-0.19127557,0.233001,0.2780662,-0.0450652
