,manitowoc_male,manitowoc_female,tuple,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
28,-2.0663204,-2.1117568,"('disloyal', 'loyal')",-0.8569712,-0.83509094,1.2023014,1.0912898,-0.5736634,-0.6185193,0.0448559
86,-2.0461764,-2.2657044,"('uninfluential', 'influential')",-0.2575,-0.5423552,0.42080438,0.123825654,-0.627624,-0.8947447,0.2671207
55,-1.9505259,-2.2189221,"('incompetent', 'clever')",1.5462008,1.132777,0.22581717,-0.08890776,-0.0595027,-0.3916843,0.3321816
10,-1.5897497,-1.8782811,"('unsympathetic', 'sympathetic')",-0.05460845,-0.40961236,0.33163193,0.08067398,-0.4375754,-0.7357399,0.2981645
77,-1.5777817,-1.8510344,"('unmotivated', 'motivated')",0.46296632,0.14181805,-0.11365761,-0.3695411,-0.409491,-0.6929192,0.2834282
0,-1.5515556,-1.6381857,"('unsociable', 'sociable')",0.3736988,0.26216874,-0.62556857,-0.62728965,-0.6011418,-0.6677689,0.0666271
14,-1.5397999,-1.6648743,"('antisocial', 'social')",1.2896484,1.3397778,-0.8544528,-0.6907473,-0.3682014,-0.3386146,-0.0295868
23,-1.5321633,-1.6694872,"('insincere', 'sincere')",0.022771465,-0.31577608,6.349417,6.1962705,1.6133418,1.403669,0.2096728
58,-1.52309,-1.5649117,"('undiscriminating', 'discriminating')",0.90729094,0.81657577,-0.18756065,-0.2349504,-0.2677866,-0.3277621,0.0599755
69,1.5215763,1.7515035,"('lazy', 'industrious')",0.9308372,1.2026473,-0.6905741,-0.45010602,0.5872798,0.8346815,-0.2474017
44,1.4397051,1.41183,"('prejudiced', 'unprejudiced')",-0.47056243,-0.51923895,-1.7039384,-1.6552896,-0.2449319,-0.2542329,0.009301
46,-1.4180458,-1.9216969,"('uncompetitive', 'competitive')",0.3325556,-0.13688836,-0.42261106,-0.84055984,-0.5027004,-0.9663817,0.4636813
65,-1.4130052,-1.7810456,"('insecure', 'secure')",0.79744226,0.5747177,-0.20764549,-0.34905365,-0.2744028,-0.5184605,0.2440577
20,-1.2643952,-1.3690679,"('rough', 'thoughtful')",0.825418,0.6697228,0.7158303,0.64771694,0.0922844,-0.0172094,0.1094938
81,-1.2345465,-1.6086645,"('submissive', 'aggressive')",0.89894956,0.4506259,-0.31563675,-0.45546493,-0.2170779,-0.5378345,0.3207566
41,-1.184965,-1.1227297,"('unforgiving', 'forgiving')",-0.10694969,-0.03770896,-0.30986685,-0.108430535,-0.5339272,-0.4229564,-0.1109708
59,1.155555,1.2998377,"('foolish', 'wise')",-0.661251,-0.39336216,0.4701593,0.5985991,0.3214878,0.5016915,-0.1802037
61,-1.1048286,-1.1861074,"('illogical', 'logical')",-0.0733348,-0.35701564,0.12730816,0.11368295,-0.3502851,-0.47648,0.1261949
7,-1.098846,-1.4891516,"('insensitive', 'sensitive')",0.19706452,-0.143415,1.1915103,0.97370565,0.0965763,-0.2196203,0.3161966
52,1.0911267,1.2883093,"('irrational', 'rational')",-1.2163138,-1.0575794,0.003928244,0.076955974,-0.0404196,0.102562,-0.1429816
60,-1.0850853,-1.3382196,"('inefficient', 'efficient')",1.6681707,1.2156742,0.5816006,0.48937136,0.3882287,0.1222753,0.2659534
75,1.0546746,1.1843164,"('meek', 'impulsive')",-0.80014306,-0.63745064,-0.29605728,-0.30719244,-0.0138419,0.0798911,-0.093733
62,-1.0408015,-1.3410681,"('incompetent', 'brilliant')",1.1250552,0.6795487,0.81677395,0.45341513,0.3003425,-0.0693681,0.3697106
35,1.0055419,1.27412,"('corrupt', 'incorrupt')",-1.4542735,-1.1220474,-0.3426021,-0.08296422,-0.2637779,0.0230361,-0.286814
8,-0.99249494,-0.76937723,"('unaffectionate', 'affectionate')",-2.0407913,-1.7890831,0.89062876,0.86008465,-0.7142191,-0.5661252,-0.1480939
45,-0.9801089,-1.2353414,"('incompetent', 'competent')",0.23028408,-0.1247953,-0.21643625,-0.5057172,-0.322087,-0.6219513,0.2998643
1,-0.9622855,-0.8070594,"('unfriendly', 'friendly')",-0.87710893,-0.75309,1.7146589,1.7034677,-0.0415785,0.0477728,-0.0893513
27,0.9479869,0.7831185,"('hardhearted', 'softhearted')",-0.22966862,-0.3901536,1.4904575,1.4846685,0.7362586,0.6258778,0.1103808
21,-0.9396143,-1.4175042,"('immoral', 'moral')",0.67915577,0.26862255,-0.45976138,-0.75267255,-0.2400733,-0.6338514,0.3937781
73,0.8975839,0.77082044,"('helpless', 'self-reliant')",1.0670748,1.107176,-3.7128491,-3.790495,-0.5827301,-0.6374995,0.0547694
74,-0.89648026,-0.91311866,"('undedicated', 'dedicated')",0.27875495,0.010022782,0.26068264,0.037942357,-0.1190142,-0.2883845,0.1693703
70,-0.88445246,-1.2536256,"('lethargic', 'energetic')",0.1066112,-0.39041054,1.4193659,1.0607677,0.2138415,-0.1944228,0.4082643
32,-0.88102424,-0.8633804,"('unkind', 'kind')",0.67284095,0.6176213,1.2406929,1.2561648,0.3441699,0.3368019,0.007368
