,american_male,american_female,tuple,tower_male,tower_female,corp_male,corp_female,average_male,average_female,male-female
16,-1.5827066,-1.745222,"('unpopular', 'popular')",-0.93308616,-1.1623423,0.25622734,0.024701148,-0.7531885,-0.9609543,0.2077658
36,-1.5339943,-1.8708133,"('hostile', 'amicable')",-1.7147638,-1.9440141,-0.5441647,-0.6886131,-1.2643076,-1.5011468,0.2368392
39,1.3384216,1.4993025,"('exploitative', 'cooperative')",1.3339831,1.3635446,0.36857298,0.49987796,1.0136592,1.1209083,-0.1072491
29,-1.2569466,-1.3298012,"('unfair', 'fair')",-0.45939478,-0.4060945,-0.07418008,-0.3287696,-0.5968405,-0.6882218,0.0913813
73,1.1199068,1.1753206,"('helpless', 'self-reliant')",-0.7277785,-0.7210055,-3.2596755,-3.2874188,-0.9558491,-0.9443679,-0.0114812
53,-1.0965066,-1.1360872,"('uncreative', 'creative')",-0.5866217,-0.69865716,0.2833354,0.3912571,-0.4665976,-0.4811624,0.0145648
24,1.0825441,1.0355237,"('dishonest', 'honest')",0.1398667,0.21464619,0.4506768,0.6274763,0.5576959,0.6258821,-0.0681862
1,-1.0025457,-1.0649697,"('unfriendly', 'friendly')",-0.45553726,-0.58435965,1.5910711,1.4972492,0.0443294,-0.0506934,0.0950228
12,0.9945634,0.63983583,"('unsupportive', 'supportive')",0.8716522,0.5891038,-1.607966,-1.8171035,0.0860832,-0.1960546,0.2821378
51,0.97883266,0.9507336,"('uneducated', 'educated')",0.42631167,0.38508156,0.6504053,0.543273,0.6851832,0.6263627,0.0588205
77,-0.9514047,-0.8139763,"('unmotivated', 'motivated')",0.17963065,0.13751155,-1.1038724,-1.0205761,-0.6252155,-0.5656803,-0.0595352
31,-0.91816235,-1.0518382,"('evil', 'good')",-1.1610256,-1.2211277,-0.7436998,-0.96866006,-0.9409626,-1.080542,0.1395794
47,-0.8340106,-0.71840024,"('stupid', 'smart')",0.43592352,0.36524415,5.151197,5.556112,1.58437,1.7343186,-0.1499486
76,0.82559466,0.66645,"('anxious', 'daring')",0.5779735,0.5687426,-0.26161614,-0.08745829,0.3806507,0.3825781,-0.0019274
48,0.752951,0.6000684,"('unintelligent', 'intelligent')",0.4617129,0.32567355,0.68011767,0.67259437,0.6315939,0.5327787,0.0988152
78,-0.7335592,-0.8117351,"('nonresilient', 'resilient')",0.31263807,0.115634784,0.40268034,0.22902562,-0.0060803,-0.1556916,0.1496113
4,-0.6836213,-0.86116827,"('disliked', 'liked')",-0.9654904,-0.94609106,-6.976473,-7.7384005,-2.8751949,-3.1818867,0.3066918
81,0.67800283,0.89697117,"('submissive', 'aggressive')",0.91469836,1.0608404,-0.54953414,-0.40210968,0.3477224,0.5185673,-0.1708449
3,-0.65338975,-0.66094714,"('repellent', 'pleasant')",-0.12968029,-0.03811706,0.8495944,1.0642109,0.0221748,0.1217156,-0.0995408
66,0.65094364,0.39565393,"('inactive', 'active')",-0.85314333,-0.90952486,0.33097073,0.21011189,0.0429237,-0.101253,0.1441767
8,-0.6378326,-0.9518088,"('unaffectionate', 'affectionate')",-0.67343295,-0.8978525,0.6431821,0.7647252,-0.2226945,-0.3616454,0.1389509
0,-0.61612946,-0.68781817,"('unsociable', 'sociable')",0.37711886,0.4201072,-0.19888073,-0.11450334,-0.1459638,-0.1274048,-0.018559
80,0.61251104,0.4599594,"('dominated', 'dominating')",0.60620713,0.6250197,-0.63078517,-0.53761816,0.1959777,0.1824536,0.0135241
45,-0.6080422,-0.81484705,"('incompetent', 'competent')",0.18385379,0.21347377,0.030481055,-0.16530943,-0.1312358,-0.2555609,0.1243251
72,0.59294045,0.8370174,"('unambitious', 'ambitious')",1.8167402,1.9083301,-0.1891535,0.10198304,0.7401757,0.9491102,-0.2089345
5,-0.5882589,-0.45162666,"('distant', 'outgoing')",-1.3389041,-1.2564671,-0.3856599,-0.44325018,-0.770941,-0.7171146,-0.0538264
21,0.57610035,0.5924441,"('immoral', 'moral')",0.7874824,0.7350717,-0.4679691,-0.1952635,0.2985379,0.3774174,-0.0788795
34,-0.5650106,-0.6202414,"('mean', 'honorable')",0.64275664,0.5140136,5.197631,5.490039,1.7584589,1.7946037,-0.0361448
28,0.55486435,0.546412,"('disloyal', 'loyal')",-0.40231556,-0.51551217,1.106196,1.2175239,0.4195816,0.4161413,0.0034403
56,0.5485232,0.490621,"('impractical', 'practical')",1.8627142,1.9583691,-0.45627725,-0.37520218,0.6516533,0.6912626,-0.0396093
63,0.53360003,0.26281503,"('unperceptive', 'insightful')",0.9578029,0.7307722,0.81781745,0.65338254,0.7697401,0.5489899,0.2207502
49,-0.5162035,-0.59681624,"('unable', 'able')",-0.8280592,-0.7885059,-0.39608076,-0.11648707,-0.5801145,-0.500603,-0.0795115
57,-0.5130491,-0.77895796,"('unimaginative', 'imaginative')",0.040648848,0.007629197,-3.2478855,-3.2495093,-1.2400952,-1.3402794,0.1001842
18,0.5027882,0.59820086,"('disagreeable', 'welcoming')",-0.5905558,-0.5899967,-0.39555916,-0.36763552,-0.1611089,-0.1198105,-0.0412984
84,0.5011448,0.65317225,"('inferior', 'superior')",-0.15728633,-0.14462245,0.6975779,0.60844314,0.3471455,0.372331,-0.0251855
41,-0.49196663,-0.6507351,"('unforgiving', 'forgiving')",-0.01247013,-0.010758283,0.14363196,-0.06454048,-0.1202683,-0.2420113,0.121743
67,0.4899859,0.6957127,"('doubtful', 'determined')",0.31776148,0.42148426,-0.42457914,-0.51324064,0.1277227,0.2013188,-0.0735961
26,0.47856078,0.33424288,"('hardhearted', 'benevolent')",0.6378568,0.5255849,1.4932548,1.0518308,0.8698908,0.6372195,0.2326713
64,0.47364646,0.6380181,"('shy', 'confident')",0.82677937,0.86083865,-5.825199,-6.2933865,-1.5082579,-1.5981766,0.0899187
11,0.46384388,0.2603963,"('unhelpful', 'helpful')",-0.047897644,-0.18777451,2.1694026,2.1166978,0.8617829,0.7297732,0.1320097
87,0.4602125,0.3900302,"('unsuccessful', 'successful')",0.5636148,0.3771846,1.0963358,0.8604409,0.706721,0.5425519,0.1641691
68,0.43787605,0.53777534,"('dependent', 'independent')",-0.19864707,-0.041976962,-0.9006859,-0.9211587,-0.2204856,-0.1417868,-0.0786988
6,-0.41485387,-0.40309763,"('distant', 'open')",-1.7978196,-1.6575735,-0.6030518,-0.48280916,-0.9385751,-0.8478267,-0.0907484
27,0.41446856,0.24474163,"('hardhearted', 'softhearted')",-0.44456974,-0.37177816,0.9737798,1.2379292,0.3145595,0.3702976,-0.0557381
2,0.38255292,0.3649452,"('unlikable', 'likable')",0.6843839,0.6574962,0.7883832,0.6976761,0.61844,0.5733725,0.0450675
59,-0.35331,-0.22790375,"('foolish', 'wise')",-0.7145949,-0.83544445,0.19778949,0.09146206,-0.2900385,-0.323962,0.0339235
58,0.35079998,0.10224336,"('undiscriminating', 'discriminating')",1.1074736,0.9002773,0.41116178,0.08496791,0.6231451,0.3624962,0.2606489
52,-0.34679314,-0.3795427,"('irrational', 'rational')",-1.2094303,-1.324734,0.06880858,-0.021431562,-0.495805,-0.5752361,0.0794311
22,-0.34664202,-0.414612,"('untrustworthy', 'trustworthy')",0.6192953,0.62034,-0.74536496,-0.6443963,-0.1575706,-0.1462228,-0.0113478
40,0.33876023,0.22856537,"('stingy', 'generous')",0.18692252,0.09713705,-1.8227131,-2.0963614,-0.4323435,-0.5902197,0.1578762
75,-0.3224916,-0.3097262,"('meek', 'impulsive')",-1.773372,-1.7766459,-0.81933784,-0.8968872,-0.9717338,-0.9944197,0.0226859
35,-0.3138616,-0.36349148,"('corrupt', 'incorrupt')",-1.3399754,-1.3531103,-0.80565083,-0.79585546,-0.8198293,-0.8374858,0.0176565
74,0.313673,0.022727143,"('undedicated', 'dedicated')",0.5796805,0.49173626,-0.4630928,-0.54355735,0.1434202,-0.009698,0.1531182
70,0.31153512,0.18557169,"('lethargic', 'energetic')",0.20049511,0.14083473,0.15118599,0.40618238,0.2210721,0.2441963,-0.0231242
14,0.30760607,0.47860846,"('antisocial', 'social')",2.0503788,2.1531312,0.0905778,-0.06534719,0.8161875,0.8554641,-0.0392766
85,-0.3064624,-0.55241054,"('insignificant', 'prestigious')",-1.0177436,-1.2936374,-0.49431846,-0.8489301,-0.6061748,-0.898326,0.2921512
43,0.30641854,0.27598745,"('irresponsible', 'responsible')",0.45384684,0.3978259,0.3569543,0.3758412,0.3724066,0.3498848,0.0225218
42,0.29845646,0.16682318,"('unreliable', 'reliable')",-0.21326226,-0.19934717,-3.2065248,-2.9828975,-1.0404436,-1.0051405,-0.0353031
44,-0.2942684,-0.25718692,"('prejudiced', 'unprejudiced')",-1.6820635,-1.495885,-1.6522313,-1.5673642,-1.2095211,-1.106812,-0.1027091
15,0.2628668,0.08285,"('boring', 'funny')",0.3737688,0.39215168,-0.050144017,-0.0024103913,0.1954972,0.1575304,0.0379668
46,-0.2533602,-0.46600184,"('uncompetitive', 'competitive')",0.72905064,0.6133151,-1.0209862,-1.0725223,-0.1817653,-0.308403,0.1266377
10,0.2218039,0.067988135,"('unsympathetic', 'sympathetic')",0.2570445,0.31816688,-0.6514728,-0.14279512,-0.0575415,0.08112,-0.1386615
71,0.21271165,0.35490668,"('diffident', 'self-confident')",1.0622507,0.93249345,0.35451427,0.32660085,0.5431589,0.5380003,0.0051586
88,0.20240507,0.13916545,"('low', 'eminent')",-1.2127136,-1.2678808,-0.38737175,-0.35330695,-0.4658934,-0.4940074,0.028114
79,0.19047397,-0.16174014,"('wavering', 'unwavering')",-1.713547,-1.9189183,-0.58906645,-0.58233815,-0.7040465,-0.8876655,0.183619
25,-0.18902873,-0.29811093,"('egoistic', 'altruistic')",-0.044885494,-0.1359813,1.4796383,1.4721826,0.4152414,0.3460302,0.0692112
65,0.15038234,0.21460967,"('insecure', 'secure')",0.98205537,1.0317599,0.022077383,0.27897507,0.3848384,0.5084482,-0.1236098
82,-0.1496273,-0.20444807,"('poor', 'rich')",-0.14305475,-0.19431005,6.4121985,6.659959,2.0398388,2.087067,-0.0472282
30,0.14626873,0.32799453,"('intolerant', 'tolerant')",1.1354356,1.177843,0.5952679,0.7845531,0.6256574,0.7634635,-0.1378061
20,0.13747099,0.10846262,"('rough', 'thoughtful')",0.31977752,0.38688636,0.49926683,0.4213892,0.3188384,0.3055794,0.013259
50,-0.13224353,-0.29020435,"('clumsy', 'skillful')",-1.1330013,-1.3245918,0.054864325,0.10034566,-0.4034602,-0.5048169,0.1013567
23,0.1292273,0.040438704,"('insincere', 'sincere')",0.92924106,0.82903004,6.130726,6.5571465,2.3963981,2.4755384,-0.0791403
86,0.12633,-0.063807294,"('uninfluential', 'influential')",0.9634777,0.86954665,-0.20496628,-0.22358918,0.2949471,0.1940501,0.100897
83,-0.12323709,-0.021418817,"('powerless', 'powerful')",1.2509131,1.3347342,-0.9116479,-0.81384003,0.0720094,0.1664918,-0.0944824
61,0.12073972,0.12852453,"('illogical', 'logical')",0.38669795,0.29442734,0.7404929,0.60651934,0.4159768,0.3431571,0.0728197
32,-0.12066559,-0.21095574,"('unkind', 'kind')",0.18411419,0.10991728,0.95601326,0.96836185,0.3398206,0.2891078,0.0507128
55,0.120250806,0.102166325,"('incompetent', 'clever')",1.2729366,1.3510218,0.4699191,0.50140786,0.6210355,0.651532,-0.0304965
37,-0.11377642,-0.45212293,"('fake', 'genuine')",-0.8232111,-0.83307415,0.056894682,0.2542287,-0.2933643,-0.3436561,0.0502918
54,-0.113237165,-0.1824675,"('incapable', 'capable')",-0.45011145,-0.5202941,0.8770093,0.96048546,0.1045536,0.085908,0.0186456
7,0.109174974,0.08236695,"('insensitive', 'sensitive')",0.62637764,0.70735437,0.5603934,0.6851379,0.431982,0.4916197,-0.0596377
33,0.07405268,0.23092428,"('wrong', 'right')",0.32605344,0.23526116,-0.3146886,-0.3175534,0.0284725,0.049544,-0.0210715
38,0.06881994,0.04586776,"('untruthful', 'truthful')",-0.35217467,-0.37189412,0.006450277,-0.10789549,-0.0923015,-0.1446406,0.0523391
19,0.06153655,0.015780676,"('inhospitable', 'hospitable')",-1.952472,-1.9071639,-0.5013738,-0.3745724,-0.7974364,-0.7553185,-0.0421179
17,-0.06112671,-0.010867048,"('nasty', 'nice')",-0.88710827,-0.8339419,-0.44747272,-0.36960623,-0.4652359,-0.4048051,-0.0604308
9,0.055114783,-0.11198956,"('unaffectionate', 'caring')",-0.22465348,-0.33193827,1.3827379,1.5568744,0.4043997,0.3709822,0.0334175
13,0.054543912,0.1858463,"('impolite', 'polite')",0.47968966,0.46259108,-0.41493523,-0.23232938,0.0397661,0.1387027,-0.0989366
62,0.053130455,0.26566538,"('incompetent', 'brilliant')",1.1074812,1.2248923,0.5452964,0.6828117,0.568636,0.7244565,-0.1558205
69,-0.04120227,-0.05950839,"('lazy', 'industrious')",-0.53705204,-0.6048707,-0.7219723,-1.1383035,-0.4334089,-0.6008942,0.1674853
60,0.03821565,0.44600615,"('inefficient', 'efficient')",1.9311153,2.1102993,0.08773314,0.28674674,0.685688,0.947684,-0.261996
