,kohls_male,kohls_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-1.8450115,-1.8994493,"('unfriendly', 'friendly')",1.1549151,1.0092673,-0.3450482,-0.445091,0.1000428
28,-1.5673896,-1.6601032,"('disloyal', 'loyal')",0.9241259,1.0205288,-0.3216318,-0.3197872,-0.0018446
39,1.566529,1.3438762,"('exploitative', 'cooperative')",0.36767653,0.3008816,0.9671028,0.8223789,0.1447239
86,-1.5337796,-1.7315824,"('uninfluential', 'influential')",-0.21820895,-0.38833773,-0.8759943,-1.0599601,0.1839658
57,-1.4342756,-1.2166293,"('unimaginative', 'imaginative')",-2.6364582,-2.7148716,-2.035367,-1.9657505,-0.0696165
88,-1.3968796,-1.5598354,"('low', 'eminent')",-0.5771467,-0.48924223,-0.9870131,-1.0245389,0.0375258
36,-1.1708356,-1.3582335,"('hostile', 'amicable')",-0.25129128,-0.45993248,-0.7110634,-0.9090829,0.1980195
79,-1.1698264,-1.1414232,"('wavering', 'unwavering')",-0.71678406,-0.6090374,-0.9433053,-0.8752303,-0.068075
6,-1.0677063,-1.2508894,"('distant', 'open')",-0.7532066,-0.80887944,-0.9104565,-1.0298845,0.119428
48,-1.0456735,-0.9465257,"('unintelligent', 'intelligent')",0.73219955,0.63044506,-0.156737,-0.1580403,0.0013033
10,-1.0404863,-0.9083002,"('unsympathetic', 'sympathetic')",-0.20665748,-0.17636937,-0.6235719,-0.5423348,-0.0812371
11,-1.0011377,-0.8654435,"('unhelpful', 'helpful')",1.5946816,1.8499746,0.2967719,0.4922656,-0.1954937
53,-0.9571234,-1.035744,"('uncreative', 'creative')",0.2923387,0.12963955,-0.3323923,-0.4530522,0.1206599
9,-0.9067683,-1.0064609,"('unaffectionate', 'caring')",1.0821751,1.1638751,0.0877034,0.0787071,0.0089963
38,-0.891527,-0.6288758,"('untruthful', 'truthful')",-0.50222504,-0.39734405,-0.696876,-0.5131099,-0.1837661
29,-0.88501984,-0.86475945,"('unfair', 'fair')",-0.55052143,-0.6625348,-0.7177706,-0.7636471,0.0458765
73,0.85827255,1.0029655,"('helpless', 'self-reliant')",-3.0831308,-3.1662567,-1.1124291,-1.0816456,-0.0307835
31,-0.8387217,-0.95080554,"('evil', 'good')",-0.9312874,-1.1531976,-0.8850045,-1.0520016,0.1669971
54,-0.81487036,-0.89841384,"('incapable', 'capable')",0.37897256,0.43952808,-0.2179489,-0.2294429,0.011494
72,-0.7809719,-0.649575,"('unambitious', 'ambitious')",-0.69296175,-0.5412548,-0.7369668,-0.5954149,-0.1415519
67,0.76529855,0.65416354,"('doubtful', 'determined')",-0.53742415,-0.5409615,0.1139372,0.056601,0.0573362
5,-0.74893874,-1.0465754,"('distant', 'outgoing')",-0.80158234,-0.92327046,-0.7752606,-0.9849229,0.2096623
78,-0.74192137,-0.5895442,"('nonresilient', 'resilient')",0.4254201,0.32710522,-0.1582506,-0.1312195,-0.0270311
49,-0.6883363,-0.58499664,"('unable', 'able')",-0.52057624,-0.34904584,-0.6044563,-0.4670212,-0.1374351
82,-0.6870594,-0.5705756,"('poor', 'rich')",5.647399,5.941894,2.4801698,2.6856592,-0.2054894
17,-0.668958,-0.7374562,"('nasty', 'nice')",-0.8328077,-0.98838896,-0.7508829,-0.8629225,0.1120396
26,-0.6511233,-0.74972165,"('hardhearted', 'benevolent')",1.800554,1.7969916,0.5747154,0.523635,0.0510804
12,-0.6130245,-0.50105053,"('unsupportive', 'supportive')",-1.8494574,-2.0492194,-1.231241,-1.2751349,0.0438939
8,-0.59879565,-0.76230425,"('unaffectionate', 'affectionate')",0.7381183,0.6897288,0.0696613,-0.0362877,0.105949
64,0.59699714,0.34112883,"('shy', 'confident')",-6.1216397,-6.5043283,-2.7623212,-3.0815997,0.3192785
0,-0.5865274,-0.65604883,"('unsociable', 'sociable')",0.031279195,-0.07086502,-0.2776241,-0.3634569,0.0858328
69,0.5754174,0.12889938,"('lazy', 'industrious')",-0.3891791,-0.68481034,0.0931191,-0.2779555,0.3710746
45,-0.57474196,-0.34297112,"('incompetent', 'competent')",0.2690148,0.38579267,-0.1528636,0.0214108,-0.1742744
56,0.569289,0.8113254,"('impractical', 'practical')",-0.74293596,-0.4618075,-0.0868235,0.1747589,-0.2615824
19,-0.56602293,-0.71271724,"('inhospitable', 'hospitable')",-0.6892067,-0.82097894,-0.6276149,-0.7668481,0.1392332
59,0.5555382,0.4743976,"('foolish', 'wise')",-0.006422529,-0.037771806,0.2745578,0.2183129,0.0562449
23,-0.54702663,-0.32926983,"('insincere', 'sincere')",5.1292315,5.495364,2.2911024,2.5830472,-0.2919448
