,cme_male,cme_female,tuple,group_male,group_female,inc_male,inc_female,average_male,average_female,male-female
39,1.7989147,1.9984461,"('exploitative', 'cooperative')",2.04651,2.0704198,0.24199566,0.27775443,1.3624735,1.4488734,-0.0863999
73,1.1993574,1.0009276,"('helpless', 'self-reliant')",0.10955876,-0.0072298935,-3.2276022,-3.3130903,-0.6395621,-0.7731309,0.1335688
57,-1.1029294,-1.2657055,"('unimaginative', 'imaginative')",-0.3533627,-0.2605986,-2.360694,-2.4057338,-1.2723287,-1.3106793,0.0383506
69,1.0803179,0.86149955,"('lazy', 'industrious')",0.07947208,0.028511938,-0.4179104,-0.57338864,0.2472932,0.105541,0.1417522
1,-1.0740147,-1.3942541,"('unfriendly', 'friendly')",-0.48491523,-0.4754914,1.4079605,1.3550559,-0.0503231,-0.1715632,0.1212401
67,1.0548449,1.186057,"('doubtful', 'determined')",0.66440916,0.76157576,-0.3905733,-0.34100106,0.4428936,0.5355439,-0.0926503
6,-1.0156342,-1.2015762,"('distant', 'open')",-2.30299,-2.2566185,-0.1679257,-0.18796891,-1.1621832,-1.2153879,0.0532047
8,-1.01495,-1.2888023,"('unaffectionate', 'affectionate')",-0.49847752,-0.5540469,0.36463886,0.45450243,-0.3829296,-0.4627823,0.0798527
79,-1.0049922,-1.1511284,"('wavering', 'unwavering')",-2.171118,-2.1874416,-0.455048,-0.3827427,-1.2103861,-1.2404376,0.0300515
66,-0.9646893,-1.2529587,"('inactive', 'active')",0.51072276,0.33530682,0.9133647,0.5779812,0.1531327,-0.1132236,0.2663563
33,0.92489076,0.7061256,"('wrong', 'right')",-0.22722526,-0.3359877,-0.4708711,-0.5896232,0.0755981,-0.0731618,0.1487599
10,-0.9203098,-1.0374459,"('unsympathetic', 'sympathetic')",0.5211529,0.29147676,0.0859506,0.04311341,-0.1044021,-0.2342853,0.1298832
9,-0.90549386,-1.0642174,"('unaffectionate', 'caring')",-0.053813964,-0.10290983,1.0970466,1.2479427,0.0459129,0.0269385,0.0189744
86,-0.9022081,-0.95075786,"('uninfluential', 'influential')",0.020764511,0.040910684,-0.18990839,-0.061217204,-0.3571173,-0.3236881,-0.0334292
56,0.87649304,1.0670698,"('impractical', 'practical')",0.9605965,1.2885678,0.02309509,0.372651,0.6200616,0.9094296,-0.289368
2,0.87030387,0.6975085,"('unlikable', 'likable')",1.6875727,1.6123517,0.6911376,0.84736025,1.0830047,1.0524068,0.0305979
78,-0.84252393,-0.9025567,"('nonresilient', 'resilient')",0.7352444,0.59352,0.1729702,0.07942699,0.0218969,-0.0765366,0.0984335
53,-0.8402498,-0.9309928,"('uncreative', 'creative')",-0.0662864,0.06737052,0.87602687,0.9856566,-0.0101698,0.0406781,-0.0508479
36,-0.80643094,-1.2103353,"('hostile', 'amicable')",-1.6353116,-1.8000424,-0.060887344,-0.2520477,-0.8342099,-1.0874751,0.2532652
5,-0.76053834,-0.94748354,"('distant', 'outgoing')",-1.9804403,-1.8702209,-0.52778107,-0.4767009,-1.0895866,-1.0981352,0.0085486
82,-0.74770135,-0.5768163,"('poor', 'rich')",-0.25381714,-0.05297564,5.613271,5.9556704,1.5372508,1.7752927,-0.2380419
27,-0.7379668,-0.8549547,"('hardhearted', 'softhearted')",-0.23217809,-0.4649223,1.3562007,1.241843,0.1286853,-0.0260113,0.1546966
30,0.71348697,0.8148525,"('intolerant', 'tolerant')",0.9247192,0.96131223,1.3298424,1.466827,0.9893495,1.0809973,-0.0916478
48,-0.68108183,-0.55979687,"('unintelligent', 'intelligent')",0.22158118,0.29128286,0.79184014,0.83400065,0.1107798,0.1884956,-0.0777158
0,-0.67855114,-0.60582614,"('unsociable', 'sociable')",0.47502077,0.55835056,-0.38510984,-0.2866436,-0.1962134,-0.1113731,-0.0848403
60,0.6715001,1.0508639,"('inefficient', 'efficient')",1.9348726,2.139442,0.11108691,0.48865753,0.9058199,1.2263211,-0.3205012
54,-0.6512343,-0.60445404,"('incapable', 'capable')",-0.16629142,-0.13791561,0.8497837,0.9568376,0.0107527,0.0714893,-0.0607366
18,-0.64892095,-0.75724554,"('disagreeable', 'welcoming')",-0.63315487,-0.54347694,-0.43969917,-0.3916851,-0.573925,-0.5641359,-0.0097891
61,0.61181116,0.64724886,"('illogical', 'logical')",0.16723078,0.18948725,0.23565601,0.13370028,0.3382326,0.3234788,0.0147538
68,-0.6103401,-0.42442727,"('dependent', 'independent')",-0.16150671,-0.13493298,-0.40305462,-0.41338184,-0.3916338,-0.3242474,-0.0673864
84,0.6053744,0.7170194,"('inferior', 'superior')",0.24514663,0.31582078,0.7116283,0.6564239,0.5207164,0.563088,-0.0423716
49,-0.59138274,-0.32808158,"('unable', 'able')",-0.7866547,-0.70760924,-0.3642869,-0.27699283,-0.5807748,-0.4375612,-0.1432136
21,0.534332,0.5478742,"('immoral', 'moral')",0.7791651,0.6932011,-0.56848186,-0.6554214,0.2483384,0.195218,0.0531204
42,0.5213228,0.45353663,"('unreliable', 'reliable')",1.1041536,1.1124101,-2.7991483,-2.8312232,-0.391224,-0.4217589,0.0305349
62,0.5058668,0.9105201,"('incompetent', 'brilliant')",1.1231973,1.3960756,0.29195654,0.6763122,0.6403402,0.9943027,-0.3539625
28,-0.49683386,-0.65477633,"('disloyal', 'loyal')",0.44252977,0.3076634,0.6442064,0.6743078,0.1966341,0.109065,0.0875691
63,0.48195964,0.6065012,"('unperceptive', 'insightful')",1.4128401,1.4289246,1.3009087,1.482063,1.0652361,1.1724962,-0.1072601
23,-0.466832,-0.3204394,"('insincere', 'sincere')",0.52309805,0.6571178,5.780092,6.12178,1.9454525,2.1528195,-0.207367
64,0.46256366,0.48945975,"('shy', 'confident')",1.06583,1.0945821,-6.096385,-6.0513496,-1.5226638,-1.4891027,-0.0335611
26,-0.42360073,-0.8262416,"('hardhearted', 'benevolent')",0.89698184,0.809239,1.4501317,1.2496935,0.6411709,0.4108969,0.230274
35,-0.40723935,-0.4502586,"('corrupt', 'incorrupt')",-1.8055073,-1.8008972,-0.50245035,-0.58205307,-0.9050657,-0.944403,0.0393373
25,-0.38437244,-0.6459843,"('egoistic', 'altruistic')",-0.4561341,-0.52590895,1.1961937,1.0000293,0.1185624,-0.057288,0.1758504
17,-0.3760538,-0.2876897,"('nasty', 'nice')",-0.78853905,-0.6751748,-0.4472597,-0.35773525,-0.5372842,-0.4401999,-0.0970843
24,-0.36672124,-0.50607455,"('dishonest', 'honest')",0.22171976,0.17202252,0.7046344,0.92112887,0.1865443,0.1956923,-0.009148
31,-0.35975385,-0.7565989,"('evil', 'good')",-1.5589558,-1.5722302,-1.4245012,-1.5749695,-1.1144036,-1.3012662,0.1868626
34,-0.35865712,-0.3703534,"('mean', 'honorable')",0.15223064,0.35930926,5.932232,6.1488233,1.9086018,2.0459264,-0.1373246
51,-0.35853186,-0.10623997,"('uneducated', 'educated')",0.8520459,0.9620267,1.0074102,1.1630372,0.5003081,0.6729413,-0.1726332
32,-0.3571928,-0.42851502,"('unkind', 'kind')",0.9370862,0.86903375,1.0125648,1.0413754,0.5308194,0.4939647,0.0368547
12,0.35671794,0.3568685,"('unsupportive', 'supportive')",0.9240048,1.0196586,-1.3291005,-1.2375762,-0.0161259,0.0463169,-0.0624428
45,-0.35143778,-0.28809854,"('incompetent', 'competent')",0.3581621,0.42083865,-0.56108385,-0.5177194,-0.1847865,-0.1283264,-0.0564601
87,0.33694103,0.48596072,"('unsuccessful', 'successful')",1.4355891,1.4679396,0.763111,0.59671193,0.8452137,0.8502041,-0.0049904
20,0.33269536,0.4104229,"('rough', 'thoughtful')",1.4339529,1.4284995,1.3158826,1.0820832,1.0275103,0.9736686,0.0538417
4,-0.32732952,-0.3365646,"('disliked', 'liked')",-0.54118586,-0.31002074,-6.2539845,-6.2624974,-2.3741666,-2.3030276,-0.071139
13,0.31439558,0.3665462,"('impolite', 'polite')",0.46643752,0.3956787,0.064629935,0.22262868,0.281821,0.3282845,-0.0464635
72,-0.29576486,-0.3457206,"('unambitious', 'ambitious')",0.7180159,0.74745303,-0.9857961,-0.8337691,-0.1878483,-0.1440122,-0.0438361
43,0.2802176,0.28930992,"('irresponsible', 'responsible')",0.9472629,0.9351125,0.7948824,0.9866576,0.6741209,0.7370267,-0.0629058
50,0.26209617,0.10882503,"('clumsy', 'skillful')",-0.13644513,-0.33963767,0.2702782,0.10244113,0.1319764,-0.0427905,0.1747669
19,-0.25943583,-0.30416897,"('inhospitable', 'hospitable')",-1.537362,-1.4737056,-0.16288404,-0.0029038414,-0.6532272,-0.5935928,-0.0596344
55,-0.25684658,0.008755885,"('incompetent', 'clever')",1.195185,1.2677969,0.2121745,0.21310699,0.3835043,0.4965533,-0.113049
88,-0.25654095,-0.3014789,"('low', 'eminent')",-0.92847943,-0.77736604,0.03865357,0.14082164,-0.3821223,-0.3126744,-0.0694479
14,0.25071326,0.4212726,"('antisocial', 'social')",1.5993576,1.7564173,-0.5081617,-0.4397182,0.4473031,0.5793238,-0.1320207
37,0.24454135,0.060105793,"('fake', 'genuine')",0.1990263,0.008540487,0.4558352,0.38843694,0.299801,0.1523611,0.1474399
16,-0.2385151,-0.18907349,"('unpopular', 'popular')",-0.22329468,-0.18870637,0.45073152,0.3779222,-0.0036927,4.75e-05,-0.0037402
22,0.23464589,0.24390529,"('untrustworthy', 'trustworthy')",0.4954772,0.55215466,-0.9000142,-0.8633882,-0.0566304,-0.0224427,-0.0341877
38,-0.23366708,-0.12837426,"('untruthful', 'truthful')",-0.8390517,-0.70804566,0.11458354,0.4176673,-0.3193784,-0.1395842,-0.1797942
29,-0.22400695,-0.103500515,"('unfair', 'fair')",-0.5891153,-0.5021323,-0.7691144,-0.8314509,-0.5274122,-0.4790279,-0.0483843
