,international_male,international_female,tuple,business_male,business_female,machs_male,machs_female,cor_male,cor_female,average_male,average_female,male-female
2,1.9630549,2.1483405,"('unlikable', 'likable')",2.1406765,2.131058,0.49217013,0.72826105,0.831579,1.0073546,1.3568702,1.5037535,-0.1468833
56,1.8681037,2.016179,"('impractical', 'practical')",2.4928713,2.6629593,1.8302552,1.9688993,0.62417424,0.7932695,1.7038511,1.8603268,-0.1564757
87,1.848342,1.9319618,"('unsuccessful', 'successful')",2.22158,2.292948,0.44339487,0.5546179,0.6066023,0.71863276,1.2799797,1.3745401,-0.0945604
81,1.7144428,1.6355054,"('submissive', 'aggressive')",3.083157,2.9738238,1.582171,1.529775,0.8861031,0.8615175,1.8164685,1.7501554,0.0663131
51,1.669962,1.7973207,"('uneducated', 'educated')",1.4902043,1.4006444,0.6503911,0.7809967,0.39036292,0.48012522,1.05023,1.1147718,-0.0645418
31,-1.6600834,-1.6852045,"('evil', 'good')",-2.9252605,-2.9204967,-1.9138422,-1.8581079,-2.3420289,-2.2271032,-2.2103038,-2.1727281,-0.0375757
76,1.6392754,1.6763823,"('anxious', 'daring')",2.0645206,1.9595578,1.2022564,1.150137,0.8933035,0.7993199,1.449839,1.3963492,0.0534898
63,1.5949559,1.4830204,"('unperceptive', 'insightful')",1.3330461,1.1708623,0.8819705,0.87489367,0.24712922,0.42859218,1.0142754,0.9893422,0.0249332
39,1.5520804,1.5325094,"('exploitative', 'cooperative')",1.7591293,1.6612903,1.3436245,1.2692728,1.7276891,1.6230216,1.5956309,1.5215236,0.0741073
62,1.5061271,1.53886,"('incompetent', 'brilliant')",2.5981286,2.6606638,1.412876,1.4599403,0.70436615,0.65169525,1.5553745,1.5777899,-0.0224154
14,1.4802328,1.5968803,"('antisocial', 'social')",2.5251913,2.5648913,1.6592393,1.7037269,1.0993779,1.1532215,1.6910102,1.75468,-0.0636698
29,-1.4674195,-1.4573818,"('unfair', 'fair')",-1.538602,-1.3656353,-1.095974,-1.2233512,-1.1610024,-1.3149562,-1.3157494,-1.3403312,0.0245818
74,1.4214776,1.4805739,"('undedicated', 'dedicated')",1.6658218,1.5061831,0.7508505,0.90473956,-0.012557529,0.11808849,0.9563981,1.0023963,-0.0459982
69,1.3221638,1.2891744,"('lazy', 'industrious')",-0.76617813,-0.7184622,-0.7030971,-0.5880261,-0.7676365,-0.6009677,-0.228687,-0.1545704,-0.0741166
6,-1.2591182,-1.1750689,"('distant', 'open')",-1.7442948,-1.8044313,-2.9919245,-2.9169683,-3.1490412,-3.0056622,-2.2860947,-2.2255328,-0.0605619
27,-1.2440869,-1.3802106,"('hardhearted', 'softhearted')",-1.750335,-1.9632274,-1.4511636,-1.5939401,-0.21455945,-0.2539928,-1.1650363,-1.2978427,0.1328064
5,-1.2317643,-1.0893767,"('distant', 'outgoing')",-0.86664736,-0.91106313,-2.3133168,-2.1654012,-2.9890788,-2.8812017,-1.8502018,-1.7617607,-0.0884411
21,1.2015387,1.1875986,"('immoral', 'moral')",2.7605386,2.7857075,1.3584919,1.3876345,0.54229665,0.7239417,1.4657164,1.5212207,-0.0555043
17,-1.1962123,-0.94512033,"('nasty', 'nice')",-0.32491648,-0.19653927,-0.50921756,-0.41223118,-0.35487917,-0.26029447,-0.5963064,-0.4535463,-0.1427601
43,1.128533,1.0147694,"('irresponsible', 'responsible')",2.124049,2.0293484,0.71415406,0.6762793,0.43875667,0.37926278,1.1013732,1.024915,0.0764582
26,1.1269268,1.1773925,"('hardhearted', 'benevolent')",0.6319384,0.52510613,-0.33804452,-0.099397995,0.5907939,0.6802684,0.5029036,0.5708423,-0.0679387
66,1.1195152,1.2033975,"('inactive', 'active')",0.04320594,0.02438213,-1.6291982,-1.4156245,-1.305126,-0.95135134,-0.4429007,-0.284799,-0.1581017
11,1.0815488,1.098426,"('unhelpful', 'helpful')",2.5350032,2.4781613,1.1417862,1.095063,1.966619,1.8150876,1.6812392,1.6216843,0.0595549
19,-1.0803108,-0.78225374,"('inhospitable', 'hospitable')",-0.6745636,-0.60799515,-1.1370068,-0.8259609,-1.5243106,-1.2256904,-1.104048,-0.8604751,-0.2435729
80,1.0568062,1.0600274,"('dominated', 'dominating')",1.5216352,1.5222958,1.2206794,1.1288818,0.50731224,0.3078954,1.0766083,1.004775,0.0718333
58,1.0556842,0.9691075,"('undiscriminating', 'discriminating')",0.8541877,0.85953337,-0.14566214,-0.08372195,0.18445316,0.25665972,0.4871657,0.5003946,-0.0132289
13,1.0204712,1.059742,"('impolite', 'polite')",2.2487688,2.3447194,1.6969495,1.5098678,0.7839692,0.93665624,1.4375397,1.4627464,-0.0252067
23,0.95348847,0.79365754,"('insincere', 'sincere')",1.8002598,1.6505123,1.076862,1.1611353,2.890146,2.7806785,1.6801891,1.5964959,0.0836932
46,0.92139745,0.94503766,"('uncompetitive', 'competitive')",3.3583,3.203475,1.0454918,0.97788244,-0.023879103,-0.02158933,1.3253275,1.2762015,0.049126
