,allegheny_male,allegheny_female,tuple,energy_male,energy_female,inc_male,inc_female,average_male,average_female,male-female
85,2.7046008,2.5818713,"('insignificant', 'prestigious')",0.050911464,0.11441851,0.6665666,0.6680417,1.1406929,1.1214438,0.0192491
12,1.9905195,2.0115054,"('unsupportive', 'supportive')",0.89449996,0.8905814,-1.6877476,-1.5981326,0.3990906,0.4346514,-0.0355608
71,1.9455544,1.5686523,"('diffident', 'self-confident')",1.4859833,1.3837273,0.41781354,0.47436297,1.2831171,1.1422475,0.1408696
9,1.8765416,1.8694974,"('unaffectionate', 'caring')",-3.308803e-05,0.06726467,0.49163556,0.6879705,0.7893813,0.8749108,-0.0855295
39,1.8744341,1.5550778,"('exploitative', 'cooperative')",0.09902157,0.035575397,-0.0140145365,-0.01849003,0.6531471,0.5240544,0.1290927
74,1.8625365,1.8192303,"('undedicated', 'dedicated')",-0.06503635,-0.05770337,-0.059424277,-0.08977294,0.5793587,0.5572513,0.0221074
66,1.8386493,1.6483921,"('inactive', 'active')",-0.60997385,-0.66807616,1.1719029,1.084492,0.8001928,0.6882693,0.1119235
29,-1.7973933,-1.6440314,"('unfair', 'fair')",-0.50871575,-0.4262423,-0.349068,-0.35315934,-0.885059,-0.807811,-0.077248
45,-1.7646403,-1.3170964,"('incompetent', 'competent')",-0.5775462,-0.53825295,-0.84698313,-0.71414006,-1.0630565,-0.8564965,-0.20656
16,-1.5990742,-1.5652487,"('unpopular', 'popular')",-0.6298134,-0.5708012,0.2690012,0.2261946,-0.6532954,-0.6366185,-0.0166769
53,1.3626648,1.2496595,"('uncreative', 'creative')",0.770762,0.711862,0.619554,0.69918174,0.9176603,0.8869011,0.0307592
55,-1.3521643,-1.3023221,"('incompetent', 'clever')",-0.0039771497,-0.11155906,-0.34838516,-0.24967408,-0.5681756,-0.5545184,-0.0136572
3,-1.3317153,-1.3402503,"('repellent', 'pleasant')",0.08099551,0.022546224,0.14298528,0.10146244,-0.3692448,-0.4054139,0.0361691
65,-1.2344427,-1.4359655,"('insecure', 'secure')",0.7754969,0.5879412,-0.39270982,-0.30200925,-0.2838852,-0.3833445,0.0994593
