,verizon_male,verizon_female,tuple,communications_male,communications_female,inc_male,inc_female,average_male,average_female,male-female
69,2.9138973,2.6888366,"('lazy', 'industrious')",0.098605305,-0.19216827,-0.16962075,-0.12871553,0.9476273,0.7893176,0.1583097
10,-2.6717548,-2.72207,"('unsympathetic', 'sympathetic')",0.18732384,0.4441162,-0.19949341,-0.10920852,-0.8946415,-0.7957208,-0.0989207
45,-2.5273767,-2.2782457,"('incompetent', 'competent')",0.15367925,0.1046906,-0.5658928,-0.570988,-0.9798633,-0.9148477,-0.0650156
0,-2.353842,-2.6117318,"('unsociable', 'sociable')",0.053189464,-0.38377702,-0.38121226,-0.8153455,-0.8939549,-1.2702847,0.3763298
43,-2.277848,-2.3561897,"('irresponsible', 'responsible')",0.72598505,0.75659573,0.31932187,-0.016777888,-0.410847,-0.5387906,0.1279436
55,-2.2399304,-2.294802,"('incompetent', 'clever')",0.78318787,0.62638146,0.025927586,-0.17106684,-0.4769383,-0.6131625,0.1362242
85,2.1078005,2.118743,"('insignificant', 'prestigious')",-0.70675087,-0.8830155,0.42695653,0.1802985,0.6093354,0.4720086,0.1373268
35,2.0752788,2.1224713,"('corrupt', 'incorrupt')",-2.1234848,-2.022123,-0.38072628,-0.25773564,-0.1429775,-0.0524625,-0.090515
57,-2.0043697,-2.081975,"('unimaginative', 'imaginative')",-0.5674201,-0.44153658,-2.5618982,-2.5842974,-1.7112293,-1.702603,-0.0086263
36,1.9631778,1.6546104,"('hostile', 'amicable')",-1.5868318,-2.1747139,-0.019361371,-0.34671736,0.1189949,-0.2889403,0.4079352
14,-1.8359313,-2.1350708,"('antisocial', 'social')",1.7345564,1.5922605,-0.62545055,-1.0672143,-0.2422751,-0.5366749,0.2943998
76,-1.800192,-1.9108715,"('anxious', 'daring')",1.1338125,1.1681349,0.4564995,0.40442222,-0.06996,-0.1127715,0.0428115
30,-1.7245879,-1.7320577,"('intolerant', 'tolerant')",1.3676168,1.4345361,1.2271818,1.1026704,0.2900702,0.2683829,0.0216873
70,-1.7077374,-1.7771273,"('lethargic', 'energetic')",0.7183162,0.6380253,0.64598805,0.6144773,-0.1144777,-0.1748749,0.0603972
13,-1.7026678,-1.914178,"('impolite', 'polite')",0.59193057,0.5492083,0.36026227,0.13623229,-0.2501583,-0.4095792,0.1594209
33,1.636996,1.6401503,"('wrong', 'right')",0.57806236,0.46111187,-0.33548975,-0.38814822,0.6265229,0.571038,0.0554849
62,-1.6095792,-1.5700186,"('incompetent', 'brilliant')",1.4675522,1.5716221,0.2253032,0.3776406,0.0277587,0.1264147,-0.098656
79,1.5983682,1.5640737,"('wavering', 'unwavering')",-0.8883194,-0.9763277,0.04492387,0.12217711,0.2516576,0.236641,0.0150166
28,-1.5965757,-1.7014531,"('disloyal', 'loyal')",-1.0668895,-1.0740786,0.6644976,0.60576063,-0.6663225,-0.7232571,0.0569346
7,-1.5530512,-1.7167186,"('insensitive', 'sensitive')",0.36288828,0.366778,0.55240303,0.48550296,-0.2125866,-0.2881459,0.0755593
46,-1.5465931,-1.6456201,"('uncompetitive', 'competitive')",1.6133863,1.5263563,-0.30056643,-0.66810083,-0.0779244,-0.2624549,0.1845305
23,-1.524066,-1.6797979,"('insincere', 'sincere')",0.92547,0.73079664,5.006722,4.8885818,1.4693753,1.3131935,0.1561818
41,-1.4833052,-1.4564053,"('unforgiving', 'forgiving')",-0.6168199,-0.69548416,0.30677336,0.14131714,-0.5977839,-0.6701907,0.0724068
81,-1.4721854,-1.8845949,"('submissive', 'aggressive')",1.7430298,1.6814038,-0.11360538,-0.30911097,0.052413,-0.1707674,0.2231804
86,-1.4617785,-1.5115845,"('uninfluential', 'influential')",0.8611049,0.77454835,-0.11467006,-0.3131262,-0.2384479,-0.3500541,0.1116062
24,-1.419689,-1.3022915,"('dishonest', 'honest')",0.25923946,0.62395406,0.7294344,0.8794317,-0.1436718,0.0670314,-0.2107032
21,-1.4092747,-1.7184238,"('immoral', 'moral')",1.341031,1.1105108,-0.5763982,-0.8761399,-0.2148806,-0.4946843,0.2798037
72,-1.3642277,-1.3467165,"('unambitious', 'ambitious')",0.19814192,0.45592996,-1.3321395,-0.9366175,-0.8327417,-0.6091347,-0.223607
