,fedex_male,fedex_female,tuple,corp_male,corp_female,average_male,average_female,male-female
57,-1.5094312,-1.776713,"('unimaginative', 'imaginative')",-3.1827781,-3.2302563,-2.3461046,-2.5034847,0.1573801
53,-1.4980595,-1.4694098,"('uncreative', 'creative')",0.4189062,0.47593492,-0.5395766,-0.4967375,-0.0428391
8,-1.3804091,-1.0915219,"('unaffectionate', 'affectionate')",0.14485441,0.18094166,-0.6177773,-0.4552901,-0.1624872
1,-1.3411143,-0.98744196,"('unfriendly', 'friendly')",0.9824962,1.041867,-0.179309,0.0272125,-0.2065215
18,-1.3262378,-0.8530843,"('disagreeable', 'welcoming')",-0.9108827,-0.69509196,-1.1185603,-0.7740881,-0.3444722
86,-1.173854,-1.5982708,"('uninfluential', 'influential')",0.23432544,-0.11505574,-0.4697643,-0.8566632,0.3868989
10,-1.1579881,-1.4492688,"('unsympathetic', 'sympathetic')",0.37008688,0.14083877,-0.3939506,-0.654215,0.2602644
45,-1.086969,-1.2914841,"('incompetent', 'competent')",0.4673144,0.3037944,-0.3098273,-0.4938449,0.1840176
6,-1.0862415,-0.52570987,"('distant', 'open')",-1.0589356,-0.95764816,-1.0725886,-0.741679,-0.3309096
28,-1.0423708,-0.9362264,"('disloyal', 'loyal')",1.3392735,1.3589422,0.1484513,0.2113579,-0.0629066
43,-0.98138803,-0.8072042,"('irresponsible', 'responsible')",0.5838675,0.6904979,-0.1987603,-0.0583532,-0.1404071
83,0.98135495,0.78583527,"('powerless', 'powerful')",-0.63351697,-0.89555365,0.173919,-0.0548592,0.2287782
9,-0.96413475,-0.55573344,"('unaffectionate', 'caring')",0.8073526,0.90485305,-0.0783911,0.1745598,-0.2529509
70,-0.88263905,-1.061732,"('lethargic', 'energetic')",0.7587091,0.6521657,-0.061965,-0.2047832,0.1428182
52,-0.8637352,-0.694249,"('irrational', 'rational')",-0.5841307,-0.71560353,-0.723933,-0.7049263,-0.0190067
