,oracle_male,oracle_female,tuple,corp_male,corp_female,average_male,average_female,male-female
85,2.27132,2.245244,"('insignificant', 'prestigious')",-1.4951525,-1.4580969,0.3880838,0.3935736,-0.0054898
61,2.1414273,1.921455,"('illogical', 'logical')",0.6157985,0.7273118,1.3786129,1.3243834,0.0542295
26,1.876764,1.5479867,"('hardhearted', 'benevolent')",0.990081,0.78439575,1.4334226,1.1661912,0.2672314
71,1.73034,1.5839355,"('diffident', 'self-confident')",-0.09465974,0.22667068,0.8178402,0.9053031,-0.0874629
44,-1.6666653,-1.508233,"('prejudiced', 'unprejudiced')",-1.4260156,-1.3823287,-1.5463405,-1.4452808,-0.1010597
70,-1.5980636,-1.709178,"('lethargic', 'energetic')",1.056735,1.1168563,-0.2706643,-0.2961608,0.0254965
45,-1.5593739,-1.7685195,"('incompetent', 'competent')",0.28015825,0.26182562,-0.6396078,-0.7533469,0.1137391
84,1.5399404,1.438323,"('inferior', 'superior')",1.395187,1.3974828,1.4675636,1.4179029,0.0496607
80,-1.5364435,-1.6910326,"('dominated', 'dominating')",-0.14589468,-0.035476714,-0.8411691,-0.8632547,0.0220856
6,1.3646398,1.3591304,"('distant', 'open')",-1.517075,-1.1334387,-0.0762176,0.1128458,-0.1890634
33,1.3043025,1.248328,"('wrong', 'right')",-1.3574427,-0.96473247,-0.0265701,0.1417978,-0.1683679
10,-1.2853162,-1.6397222,"('unsympathetic', 'sympathetic')",0.67434996,0.4647775,-0.3054831,-0.5874724,0.2819893
81,-1.2832892,-1.6188984,"('submissive', 'aggressive')",0.2127989,0.14758912,-0.5352452,-0.7356547,0.2004095
9,1.2734756,1.0887575,"('unaffectionate', 'caring')",0.34812453,0.8631146,0.8108001,0.9759361,-0.165136
13,-1.2707392,-1.70457,"('impolite', 'polite')",-0.40954855,-0.36305338,-0.8401439,-1.0338117,0.1936678
83,1.2613052,0.8934134,"('powerless', 'powerful')",-0.23400924,-0.3845734,0.513648,0.25442,0.259228
39,1.2150718,1.001253,"('exploitative', 'cooperative')",-0.16220742,0.1267748,0.5264322,0.5640139,-0.0375817
1,1.2078344,1.0778642,"('unfriendly', 'friendly')",0.55158925,0.6120734,0.8797118,0.8449688,0.034743
52,1.1998143,0.9199493,"('irrational', 'rational')",-1.037586,-0.7928796,0.0811142,0.0635349,0.0175793
73,1.1872685,1.052015,"('helpless', 'self-reliant')",-3.5154665,-3.5476818,-1.164099,-1.2478335,0.0837345
59,1.1720719,0.93178076,"('foolish', 'wise')",-0.7703026,-0.4701644,0.2008847,0.2308082,-0.0299235
37,-1.1023215,-1.1173308,"('fake', 'genuine')",0.26049206,0.36205095,-0.4209147,-0.3776399,-0.0432748
53,1.0944136,0.9354723,"('uncreative', 'creative')",0.665438,0.44286472,0.8799258,0.6891685,0.1907573
5,1.0516211,1.0183587,"('distant', 'outgoing')",-1.4380769,-1.0502503,-0.1932279,-0.0159458,-0.1772821
2,1.0348307,0.7214848,"('unlikable', 'likable')",0.55324,0.3605502,0.7940353,0.5410175,0.2530178
42,-0.99885005,-1.1791276,"('unreliable', 'reliable')",-2.6792855,-2.7865932,-1.8390678,-1.9828603,0.1437925
17,-0.9528898,-0.8899951,"('nasty', 'nice')",-1.0026265,-0.77464956,-0.9777582,-0.8323224,-0.1454358
57,-0.92057985,-1.3077167,"('unimaginative', 'imaginative')",-2.4950588,-3.0772026,-1.7078193,-2.1924596,0.4846403
34,0.9205484,1.0576336,"('mean', 'honorable')",5.5323687,5.951487,3.2264585,3.5045605,-0.278102
54,0.91434395,0.71291614,"('incapable', 'capable')",0.7147914,1.03845,0.8145677,0.8756831,-0.0611154
50,-0.8727311,-0.90145236,"('clumsy', 'skillful')",-0.0878642,-0.07051839,-0.4802977,-0.4859854,0.0056877
0,-0.8641449,-1.4102999,"('unsociable', 'sociable')",0.098272964,-0.10166763,-0.382936,-0.7559838,0.3730478
