,southwest_male,southwest_female,tuple,airlines_male,airlines_female,co_male,co_female,average_male,average_female,male-female
0,-1.414156,-1.0012984,"('unsociable', 'sociable')",-0.26796553,-0.17420785,-0.18980847,-0.049142174,-0.6239767,-0.4082161,-0.2157606
39,1.3499538,1.3590523,"('exploitative', 'cooperative')",1.5373114,1.4334265,0.6483237,0.79629636,1.1785297,1.1962584,-0.0177287
33,1.2383852,0.9130038,"('wrong', 'right')",1.1726265,1.0458903,-0.37843224,-0.5114001,0.6775265,0.482498,0.1950285
27,1.1804904,1.0826998,"('hardhearted', 'softhearted')",-0.09243292,0.027085757,0.9696133,1.0911801,0.6858902,0.7336552,-0.047765
16,-1.0938946,-1.1402879,"('unpopular', 'popular')",-0.20416819,-0.23154494,-0.03407882,-0.11059706,-0.4440472,-0.4941433,0.0500961
42,1.0826758,1.369291,"('unreliable', 'reliable')",-0.014754415,0.22813338,-2.4038148,-2.154844,-0.4452978,-0.1858066,-0.2594912
4,-1.0235385,-1.1118165,"('disliked', 'liked')",0.36233434,0.42967784,-7.38847,-7.4892764,-2.6832247,-2.7238051,0.0405804
63,0.9777591,1.4545172,"('unperceptive', 'insightful')",0.44918174,0.6776557,-0.014280922,0.33151692,0.4708867,0.82123,-0.3503433
87,-0.9649991,-0.7036668,"('unsuccessful', 'successful')",0.00547453,0.0529689,-0.15618046,-0.052284535,-0.3719017,-0.2343275,-0.1375742
64,-0.95399964,-0.7718183,"('shy', 'confident')",-0.50789744,-0.30847323,-5.676986,-5.5902767,-2.3796279,-2.2235228,-0.1561051
45,-0.93646055,-0.28576264,"('incompetent', 'competent')",-0.9830985,-0.61622375,-0.50742114,-0.31450883,-0.8089933,-0.4054984,-0.4034949
7,0.91274995,1.3086766,"('insensitive', 'sensitive')",0.6149052,0.7690996,0.24683459,0.5453868,0.5914966,0.8743877,-0.2828911
49,-0.9001398,-0.6819112,"('unable', 'able')",-0.643205,-0.5270449,-0.78183854,-0.5396562,-0.7750611,-0.5828707,-0.1921904
47,-0.8801731,-0.715212,"('stupid', 'smart')",0.6041038,0.692597,5.3741717,5.434043,1.6993675,1.8038093,-0.1044418
44,-0.84778535,-1.0319895,"('prejudiced', 'unprejudiced')",-0.7130873,-0.7614621,-0.838154,-0.9448411,-0.7996755,-0.9127642,0.1130887
72,0.8107626,1.0355712,"('unambitious', 'ambitious')",0.29684305,0.6128644,-0.24564046,-0.060861208,0.2873217,0.5291915,-0.2418698
23,0.8084495,1.034787,"('insincere', 'sincere')",-0.12271156,0.00039504003,5.83452,6.018462,2.1734193,2.3512147,-0.1777954
35,-0.80391425,-1.0791659,"('corrupt', 'incorrupt')",-0.25296384,-0.36046466,-1.022503,-0.97198755,-0.693127,-0.8038727,0.1107457
36,-0.7658737,-1.2515471,"('hostile', 'amicable')",0.42822263,0.19237125,-0.3174529,-0.43477347,-0.218368,-0.4979831,0.2796151
82,-0.76353186,-0.37438855,"('poor', 'rich')",-0.18249562,-0.05651585,5.9303837,5.9944572,1.661452,1.8545176,-0.1930656
73,0.7336436,0.80032814,"('helpless', 'self-reliant')",0.5524864,0.72133464,-3.4489267,-3.3925323,-0.7209322,-0.6236232,-0.097309
25,0.7254851,0.4341039,"('egoistic', 'altruistic')",1.3278949,1.0045232,1.107587,0.97872114,1.0536556,0.8057827,0.2478729
12,0.7229017,0.87555885,"('unsupportive', 'supportive')",0.30941683,0.41851136,-2.062449,-1.7494658,-0.3433768,-0.1517985,-0.1915783
57,-0.72265923,-0.5900608,"('unimaginative', 'imaginative')",-0.46206334,-0.34556195,-3.5463881,-3.3672962,-1.5770369,-1.4343063,-0.1427306
22,-0.7103144,-0.25789928,"('untrustworthy', 'trustworthy')",-0.16425407,0.12432009,-0.504005,-0.19301823,-0.4595245,-0.1088658,-0.3506587
17,-0.67465335,-0.5940214,"('nasty', 'nice')",0.010115411,-0.052960545,-0.2843509,-0.32845414,-0.3162963,-0.3251454,0.0088491
69,0.6476385,0.29012984,"('lazy', 'industrious')",0.6228339,0.4634536,-0.96513325,-0.96678245,0.1017797,-0.0710663,0.172846
9,0.6453733,0.6349909,"('unaffectionate', 'caring')",0.51560754,0.49942338,0.91597116,1.1465709,0.6923173,0.7603284,-0.0680111
86,-0.64370954,-0.19087851,"('uninfluential', 'influential')",0.14272916,0.18907472,-0.43562117,-0.4502198,-0.3122005,-0.1506745,-0.161526
31,-0.64326566,-0.8163996,"('evil', 'good')",-0.029627755,-0.1049224,-1.1027979,-1.0944428,-0.5918971,-0.6719216,0.0800245
29,-0.64053726,-0.4475394,"('unfair', 'fair')",-0.27449358,-0.055078804,-0.63617676,-0.5063367,-0.5170692,-0.3363183,-0.1807509
67,0.6367726,0.6411065,"('doubtful', 'determined')",-0.32660267,-0.50513077,-0.17465456,-0.34914133,0.0451718,-0.0710552,0.116227
81,-0.60394347,-0.5671669,"('submissive', 'aggressive')",-0.70249736,-0.73137474,-0.41100073,-0.5139526,-0.5724805,-0.6041648,0.0316843
66,0.5957713,0.40202022,"('inactive', 'active')",0.03760969,-0.13625897,0.5726533,0.507096,0.4020114,0.2576191,0.1443923
76,0.59094846,0.7125361,"('anxious', 'daring')",-0.5552493,-0.5831257,0.15004319,0.19507633,0.0619141,0.1081622,-0.0462481
2,0.5690489,0.7094301,"('unlikable', 'likable')",0.5184357,0.6475315,0.73139906,0.8975713,0.6062946,0.7515109,-0.1452163
13,-0.5615608,-0.11934151,"('impolite', 'polite')",0.22250223,0.46671158,0.064831495,0.38636255,-0.091409,0.2445775,-0.3359865
74,0.5594635,0.669204,"('undedicated', 'dedicated')",0.8235455,0.899068,-0.2019104,-0.13071796,0.3936995,0.4791847,-0.0854852
75,-0.55709213,-0.7779859,"('meek', 'impulsive')",0.24601056,0.31942618,-0.5532037,-0.5385596,-0.2880951,-0.3323731,0.044278
52,-0.52486193,-1.0893202,"('irrational', 'rational')",0.7348454,0.32590145,-0.18890473,-0.46218285,0.0070262,-0.4085339,0.4155601
80,-0.5203396,-0.1917837,"('dominated', 'dominating')",-0.31386968,-0.21189392,-0.48868418,-0.5068603,-0.4409645,-0.3035127,-0.1374518
59,-0.5171459,-0.7609486,"('foolish', 'wise')",0.13094962,-0.11213096,0.15475942,0.06007297,-0.0771456,-0.2710022,0.1938566
53,-0.50139374,-0.32670227,"('uncreative', 'creative')",0.49073344,0.5872891,0.31396165,0.427422,0.1011005,0.2293363,-0.1282358
5,-0.5003048,-0.44484,"('distant', 'outgoing')",0.600909,0.6729019,-0.70712656,-0.45423022,-0.2021741,-0.0753894,-0.1267847
14,-0.48860815,0.039224453,"('antisocial', 'social')",-0.25597548,-0.27265573,-0.3810109,-0.19441278,-0.3751982,-0.1426147,-0.2325835
24,0.4873262,0.8572553,"('dishonest', 'honest')",0.121684544,0.2498942,1.05584,1.276576,0.5549502,0.7945752,-0.239625
37,0.4864841,0.82087356,"('fake', 'genuine')",-0.5057147,-0.34246138,-0.042020902,0.15383504,-0.0204172,0.2107491,-0.2311663
43,-0.47778594,-0.13429175,"('irresponsible', 'responsible')",0.039371014,0.2996853,0.66399765,0.9949802,0.0751942,0.3867913,-0.3115971
85,0.46287894,0.032153822,"('insignificant', 'prestigious')",0.3794115,0.18171,-0.9062229,-1.0103321,-0.0213108,-0.2654894,0.2441786
70,-0.45489654,0.10938821,"('lethargic', 'energetic')",-0.32778817,0.034637816,0.5501602,0.7952345,-0.0775082,0.3130868,-0.390595
10,0.45328298,0.7935906,"('unsympathetic', 'sympathetic')",-0.6684765,-0.6030836,0.09714964,0.2892592,-0.039348,0.1599221,-0.1992701
