,franklin_male,franklin_female,tuple,resources_male,resources_female,inc_male,inc_female,average_male,average_female,male-female
36,-1.9976006,-2.2685766,"('hostile', 'amicable')",-2.2533736,-2.469013,-0.5563023,-0.5992252,-1.6024256,-1.7789383,0.1765127
16,-1.8257616,-1.6697204,"('unpopular', 'popular')",0.11966446,0.08200232,0.26925114,0.2664584,-0.4789487,-0.4404199,-0.0385288
56,1.7884973,1.7085785,"('impractical', 'practical')",0.8053632,0.8651848,0.30036515,0.18409714,0.9647419,0.9192868,0.0454551
6,-1.7874116,-1.840636,"('distant', 'open')",-1.4203696,-1.4947028,-0.27214006,-0.0059004277,-1.1599738,-1.1137464,-0.0462274
62,1.6507858,1.8599038,"('incompetent', 'brilliant')",0.46727288,0.7064759,0.23470822,0.49822143,0.7842557,1.0215337,-0.237278
60,1.5583794,1.4465626,"('inefficient', 'efficient')",0.9151507,1.0903441,0.4980348,0.5796997,0.9905216,1.0388688,-0.0483472
39,1.5433877,1.2571658,"('exploitative', 'cooperative')",-0.04942991,-0.08606152,-0.2534416,-0.2551705,0.4135054,0.3053113,0.1081941
31,-1.5188028,-1.2373282,"('evil', 'good')",-1.128924,-1.1263729,-2.0575268,-1.6248001,-1.5684179,-1.3295004,-0.2389175
76,1.4906042,1.0292269,"('anxious', 'daring')",0.39223078,0.42701542,1.1102959,0.7672391,0.9977102,0.7411605,0.2565497
4,-1.4740328,-1.3040613,"('disliked', 'liked')",-0.3696269,-0.42053375,-6.2283964,-5.9804296,-2.6906853,-2.5683416,-0.1223437
81,1.3486161,1.1378776,"('submissive', 'aggressive')",1.7687718,1.7071776,0.3099328,0.18084803,1.1424402,1.0086344,0.1338058
0,-1.2406617,-1.532809,"('unsociable', 'sociable')",-0.14700243,-0.23292182,-0.6122156,-0.6568211,-0.6666266,-0.8075173,0.1408907
73,1.1932774,1.3568283,"('helpless', 'self-reliant')",0.72064805,0.6217548,-3.4155855,-3.1704934,-0.5005534,-0.3973034,-0.10325
24,1.1669991,1.362967,"('dishonest', 'honest')",-0.0042996556,0.14280967,0.8138077,0.8719874,0.6588357,0.792588,-0.1337523
80,1.1604129,1.1650645,"('dominated', 'dominating')",0.43427414,0.5208327,-0.4227537,-0.6314826,0.3906444,0.3514715,0.0391729
30,1.1531205,1.167029,"('intolerant', 'tolerant')",1.5553849,1.6018319,1.1075728,1.2430458,1.2720261,1.3373022,-0.0652761
5,-1.1502562,-1.2143987,"('distant', 'outgoing')",-0.8436677,-0.91506094,-0.75456345,-0.3380155,-0.9161625,-0.8224917,-0.0936708
85,-1.117819,-1.2009574,"('insignificant', 'prestigious')",0.13296857,0.02697967,-0.35404238,-0.201895,-0.4462976,-0.4586242,0.0123266
41,-1.0901742,-0.9154915,"('unforgiving', 'forgiving')",-0.45769525,-0.42922577,-0.28469476,-0.19702986,-0.6108547,-0.5139157,-0.096939
19,-1.0366783,-1.0995986,"('inhospitable', 'hospitable')",-1.653553,-1.6593665,-0.5662173,-0.30517387,-1.0854829,-1.0213796,-0.0641033
65,0.927901,0.47956422,"('insecure', 'secure')",0.043800373,-0.025535453,-0.0093876645,-0.16706651,0.3207712,0.0956541,0.2251171
52,-0.8911183,-1.0512685,"('irrational', 'rational')",-0.68924576,-0.8140971,-1.0268527,-0.8439562,-0.8690723,-0.9031072,0.0340349
72,0.8878771,0.9062377,"('unambitious', 'ambitious')",0.68971956,0.72580886,-1.1109959,-0.89205676,0.1555336,0.2466633,-0.0911297
11,0.8859352,0.9545752,"('unhelpful', 'helpful')",0.9284456,0.98445666,2.4762595,2.4485095,1.4302135,1.4625138,-0.0323003
88,0.8841904,0.6463202,"('low', 'eminent')",0.14742152,0.13243407,0.22516486,0.25755036,0.4189256,0.3454349,0.0734907
33,0.8482885,0.85715926,"('wrong', 'right')",0.8741189,0.7767837,-1.1989537,-0.9173091,0.1744845,0.238878,-0.0643935
12,0.8274344,1.0064205,"('unsupportive', 'supportive')",0.5562743,0.68724245,-1.6819077,-1.3908056,-0.0993996,0.1009524,-0.200352
74,0.82380015,0.8297933,"('undedicated', 'dedicated')",0.48707578,0.5342552,-0.059723597,-0.023081895,0.4170508,0.4469889,-0.0299381
9,0.8229398,1.0660908,"('unaffectionate', 'caring')",0.2488479,0.47626013,0.28049225,0.79112977,0.45076,0.7778269,-0.3270669
87,0.7844528,0.33705452,"('unsuccessful', 'successful')",1.0346264,0.89365834,0.65788853,0.6839922,0.8256559,0.638235,0.1874209
48,0.77700645,0.9365356,"('unintelligent', 'intelligent')",0.88372785,1.1052148,0.60335547,0.762052,0.7546966,0.9346008,-0.1799042
17,-0.7643058,-0.7100686,"('nasty', 'nice')",0.09584241,0.23595485,-0.74761623,-0.66885805,-0.4720265,-0.3809906,-0.0910359
61,0.7563775,0.70490384,"('illogical', 'logical')",0.42405966,0.4141475,-0.019092226,0.025966687,0.387115,0.3816727,0.0054423
21,0.7428505,0.6774328,"('immoral', 'moral')",1.109244,1.1455785,-0.12253509,-0.32458928,0.5765198,0.499474,0.0770458
55,0.7297219,0.6277772,"('incompetent', 'clever')",-0.08805165,-0.058960997,0.20395122,0.015265914,0.2818738,0.1946941,0.0871797
