,firstenergy_male,firstenergy_female,tuple,corp_male,corp_female,average_male,average_female,male-female
57,-1.8990576,-1.7960302,"('unimaginative', 'imaginative')",-3.279665,-3.113234,-2.5893612,-2.454632,-0.1347292
10,-1.7894609,-1.7253596,"('unsympathetic', 'sympathetic')",-0.47454903,-0.585785,-1.132005,-1.1555723,0.0235673
69,1.5678682,1.4887546,"('lazy', 'industrious')",-0.29172,-0.17052503,0.6380741,0.6591148,-0.0210407
71,1.532534,1.7491125,"('diffident', 'self-confident')",0.66383564,0.48455602,1.0981848,1.1168343,-0.0186495
0,-1.4995004,-1.409937,"('unsociable', 'sociable')",-0.4337939,-0.33724198,-0.9666471,-0.8735895,-0.0930576
58,-1.487208,-1.5002197,"('undiscriminating', 'discriminating')",-0.51762223,-0.33324453,-1.0024152,-0.9167321,-0.0856831
55,-1.4179224,-1.4348722,"('incompetent', 'clever')",0.20774603,0.10827406,-0.6050882,-0.663299,0.0582108
65,-1.4060603,-1.4553982,"('insecure', 'secure')",-0.38103023,-0.36264995,-0.8935453,-0.9090241,0.0154788
45,-1.3863177,-1.1452928,"('incompetent', 'competent')",-0.16116546,-0.11890565,-0.7737416,-0.6320992,-0.1416424
14,-1.3239912,-1.2851763,"('antisocial', 'social')",-0.7830202,-0.7219071,-1.0535057,-1.0035417,-0.049964
22,-1.2668567,-1.1733553,"('untrustworthy', 'trustworthy')",-1.0423387,-1.0446141,-1.1545978,-1.1089847,-0.0456131
46,-1.2213461,-1.19611,"('uncompetitive', 'competitive')",-1.2451105,-1.1839719,-1.2332283,-1.1900409,-0.0431874
86,-1.2102201,-1.0808249,"('uninfluential', 'influential')",-0.6780905,-0.62433845,-0.9441553,-0.8525816,-0.0915737
33,1.209938,1.216283,"('wrong', 'right')",-0.49843144,-0.54797393,0.3557533,0.3341545,0.0215988
5,1.1091045,1.3319789,"('distant', 'outgoing')",-0.021960003,-0.015669195,0.5435722,0.6581548,-0.1145826
82,-1.024312,-0.89384335,"('poor', 'rich')",6.523089,6.2678227,2.7493885,2.6869898,0.0623987
73,0.9922475,1.029715,"('helpless', 'self-reliant')",-3.2384186,-3.085898,-1.1230855,-1.0280914,-0.0949941
6,0.94567907,1.1435603,"('distant', 'open')",-0.13745145,-0.2149463,0.4041138,0.464307,-0.0601932
51,-0.9405654,-1.1005586,"('uneducated', 'educated')",0.17905205,0.13585894,-0.3807567,-0.4823498,0.1015931
68,-0.9228939,-1.110401,"('dependent', 'independent')",-0.7198183,-0.7532735,-0.8213561,-0.9318373,0.1104812
13,-0.8985457,-0.80173826,"('impolite', 'polite')",-0.7188992,-0.8803568,-0.8087224,-0.8410475,0.0323251
32,0.8735287,1.0170188,"('unkind', 'kind')",0.9210951,0.9229359,0.8973119,0.9699774,-0.0726655
85,0.87128806,0.9450914,"('insignificant', 'prestigious')",-0.17716934,-0.16372792,0.3470594,0.3906817,-0.0436223
15,0.83060575,0.8557302,"('boring', 'funny')",-0.049875166,-0.06929953,0.3903653,0.3932153,-0.00285
59,0.80166584,0.96587616,"('foolish', 'wise')",0.5509373,0.4814159,0.6763016,0.723646,-0.0473444
25,0.7790867,0.7782185,"('egoistic', 'altruistic')",1.1604989,1.2198386,0.9697928,0.9990286,-0.0292358
3,-0.7682457,-0.88986135,"('repellent', 'pleasant')",0.9104434,0.66461176,0.0710989,-0.1126248,0.1837237
27,0.7655322,0.7069497,"('hardhearted', 'softhearted')",1.3929946,1.1853404,1.0792634,0.9461451,0.1331183
64,-0.743593,-0.75048053,"('shy', 'confident')",-6.463237,-6.2269225,-3.603415,-3.4887016,-0.1147134
70,-0.72002953,-0.72037184,"('lethargic', 'energetic')",0.10507314,0.11858721,-0.3074782,-0.3008923,-0.0065859
28,-0.7125964,-0.48217407,"('disloyal', 'loyal')",0.7020534,0.8757301,-0.0052715,0.196778,-0.2020495
44,0.66501,0.63224006,"('prejudiced', 'unprejudiced')",-1.3655223,-1.3443456,-0.3502561,-0.3560528,0.0057967
72,-0.663644,-0.6432272,"('unambitious', 'ambitious')",-0.16423456,-0.40471956,-0.4139393,-0.5239734,0.1100341
39,0.6514736,0.6824951,"('exploitative', 'cooperative')",0.11449523,0.1267041,0.3829844,0.4045996,-0.0216152
53,-0.6383875,-0.5540051,"('uncreative', 'creative')",0.39292735,0.43251613,-0.1227301,-0.0607445,-0.0619856
76,-0.5883891,-0.62553614,"('anxious', 'daring')",-0.4636681,-0.55526036,-0.5260286,-0.5903983,0.0643697
48,-0.58428997,-0.56504494,"('unintelligent', 'intelligent')",1.0173372,0.8738358,0.2165236,0.1543954,0.0621282
21,-0.5669947,-0.59682083,"('immoral', 'moral')",-0.72652966,-0.6613195,-0.6467622,-0.6290702,-0.017692
67,0.5648236,0.65884745,"('doubtful', 'determined')",-0.73232204,-0.5589593,-0.0837492,0.0499441,-0.1336933
