,penney_male,penney_female,tuple,jc_male,jc_female,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
69,2.5460033,2.4063926,"('lazy', 'industrious')",1.4322081,1.4135458,1.9769108,1.7164034,-0.04541286,-0.15843305,1.4774272,1.3444772,0.13295
10,-2.3721402,-2.2939863,"('unsympathetic', 'sympathetic')",-1.7973298,-1.832604,-2.3505173,-2.0552905,-0.622088,-0.47431403,-1.7855188,-1.6640488,-0.12147
86,-2.1722853,-2.0574992,"('uninfluential', 'influential')",-0.46254492,-0.5165133,-1.7057087,-1.4762112,-0.057663567,-0.15536276,-1.0995506,-1.0513966,-0.048154
45,-2.1199048,-1.9693911,"('incompetent', 'competent')",-0.32189763,-0.40981525,-1.209216,-0.98154885,-0.81530726,-0.6851743,-1.1165814,-1.0114824,-0.105099
35,2.0283604,1.916649,"('corrupt', 'incorrupt')",0.77265704,0.8926253,0.748172,0.5206487,0.688108,0.627658,1.0593244,0.9893953,0.0699291
57,-1.9949508,-1.944507,"('unimaginative', 'imaginative')",-0.849597,-0.95777225,-0.86411184,-0.9944979,-2.8815887,-3.0389814,-1.647562,-1.7339396,0.0863776
46,-1.9660704,-1.9759232,"('uncompetitive', 'competitive')",-1.1844808,-1.3359528,-1.5077374,-1.359494,-1.2685348,-1.2015542,-1.4817059,-1.468231,-0.0134749
48,-1.9097867,-1.7261386,"('unintelligent', 'intelligent')",-0.95000213,-0.8925178,-1.6626222,-1.5165696,0.012704216,0.08670133,-1.1274267,-1.0121312,-0.1152955
30,-1.8201805,-1.5771189,"('intolerant', 'tolerant')",-0.34367982,-0.32708347,0.016125143,0.3328519,0.6788692,0.83905905,-0.3672165,-0.1830729,-0.1841436
55,-1.7772077,-1.645094,"('incompetent', 'clever')",-0.689443,-0.8820614,-0.5993936,-0.41320628,-0.6043387,-0.44737083,-0.9175957,-0.8469331,-0.0706626
3,-1.7674743,-1.7752137,"('repellent', 'pleasant')",-1.1928881,-1.3422031,-0.21475533,-0.10657135,0.04876715,0.12574986,-0.7815877,-0.7745596,-0.0070281
23,-1.6929907,-1.4494393,"('insincere', 'sincere')",-0.68234843,-0.6720207,-1.331355,-1.0975822,5.7245045,5.8931084,0.5044526,0.6685165,-0.1640639
65,-1.6833928,-1.5368297,"('insecure', 'secure')",-1.1969622,-1.2787832,-0.8424046,-0.48589754,-1.2895851,-1.0258657,-1.2530861,-1.081844,-0.1712421
11,-1.6417024,-1.5982989,"('unhelpful', 'helpful')",-1.0228491,-1.0016599,-1.2541968,-0.8767811,1.6707921,1.7520802,-0.5619891,-0.4311649,-0.1308242
43,-1.6102713,-1.4358839,"('irresponsible', 'responsible')",-0.02548617,-0.09593384,-0.25763145,-0.025779955,0.5255423,0.5910275,-0.3419616,-0.2416425,-0.1003191
68,-1.5957891,-1.6059663,"('dependent', 'independent')",-1.0418395,-1.0791395,-1.892705,-1.7813375,-0.9428733,-0.9873469,-1.3683017,-1.3634474,-0.0048543
60,-1.4956725,-1.2606742,"('inefficient', 'efficient')",-0.92483586,-0.9289067,-0.8441695,-0.44965446,-0.6343314,-0.49603677,-0.9747524,-0.7838181,-0.1909343
0,-1.4875942,-1.2714425,"('unsociable', 'sociable')",-0.11872541,-0.18340252,-0.25314593,-0.0038580936,-0.7478156,-0.6782059,-0.6518203,-0.5342273,-0.117593
81,-1.4583887,-1.4362979,"('submissive', 'aggressive')",-1.4060715,-1.5178254,-1.4872106,-1.2939036,-1.5653739,-1.4574597,-1.4792612,-1.4263716,-0.0528896
