,lauder_male,lauder_female,tuple,estee_male,estee_female,cos_male,cos_female,inc_male,inc_female,average_male,average_female,male-female
85,2.318209,2.3999364,"('insignificant', 'prestigious')",2.3189638,2.0740702,-0.4707971,-0.398706,1.243542,1.3781078,1.3524795,1.3633521,-0.0108726
69,2.3035226,2.4695466,"('lazy', 'industrious')",3.1829035,3.0728378,1.0774364,1.2106426,-0.0020979866,-0.021230944,1.6404412,1.6829489,-0.0425077
24,-1.9355378,-1.896106,"('dishonest', 'honest')",-2.4518182,-2.3115098,-1.1883135,-1.1923494,0.42602372,0.41384217,-1.2874115,-1.2465308,-0.0408807
35,1.8806288,2.0590377,"('corrupt', 'incorrupt')",2.105986,1.995792,-0.4149774,-0.28819045,-0.19597732,-0.20203164,0.8439151,0.8911519,-0.0472368
73,1.8711212,2.1004415,"('helpless', 'self-reliant')",1.3755388,1.5647962,0.5757973,0.82021564,-2.8186243,-2.5015745,0.2509583,0.4959697,-0.2450114
57,-1.635422,-1.7107905,"('unimaginative', 'imaginative')",-2.1235464,-2.0633388,-0.682126,-0.87026376,-1.6153581,-1.6685419,-1.5141132,-1.5782337,0.0641205
45,-1.6023797,-1.7556748,"('incompetent', 'competent')",-2.2565525,-2.2407777,-0.52409965,-0.6422225,-0.32437548,-0.35500425,-1.1768519,-1.2484199,0.071568
14,-1.5622778,-1.5469598,"('antisocial', 'social')",-1.4587256,-1.426892,-0.1442836,-0.004108958,-0.9871615,-0.9129828,-1.038112,-0.9727359,-0.0653761
72,-1.5345901,-1.4873095,"('unambitious', 'ambitious')",-1.6290035,-1.6167116,-0.9293105,-1.1150303,-0.889939,-0.79643995,-1.2457107,-1.2538729,0.0081622
65,-1.4494017,-1.5316049,"('insecure', 'secure')",-1.5855261,-1.6198033,0.13776243,0.14522271,-0.5830042,-0.5094961,-0.8700424,-0.8789204,0.008878
