,sempra_male,sempra_female,tuple,energy_male,energy_female,average_male,average_female,male-female
86,-1.9665226,-1.9707917,"('uninfluential', 'influential')",0.19306707,0.055873483,-0.8867278,-0.9574591,0.0707313
8,-1.673128,-1.8877716,"('unaffectionate', 'affectionate')",0.43319944,0.6305345,-0.6199643,-0.6286185,0.0086542
1,-1.6252267,-1.8311576,"('unfriendly', 'friendly')",1.2990832,1.4639124,-0.1630718,-0.1836226,0.0205508
0,-1.4244912,-1.2519861,"('unsociable', 'sociable')",0.10089336,-0.017526124,-0.6617989,-0.6347561,-0.0270428
28,-1.295565,-0.9931925,"('disloyal', 'loyal')",0.76838785,1.0888634,-0.2635886,0.0478354,-0.311424
76,1.2943906,1.0592463,"('anxious', 'daring')",0.450851,0.23272616,0.8726208,0.6459862,0.2266346
9,-1.2826232,-1.6286418,"('unaffectionate', 'caring')",1.5920823,1.7570189,0.1547295,0.0641885,0.090541
19,-1.2165711,-1.0632536,"('inhospitable', 'hospitable')",-0.7929852,-0.54503864,-1.0047781,-0.8041462,-0.2006319
6,-1.2137713,-1.585201,"('distant', 'open')",-0.5681847,-0.3428568,-0.890978,-0.9640289,0.0730509
45,-1.1486746,-1.0038595,"('incompetent', 'competent')",0.05386886,0.026835553,-0.5474029,-0.488512,-0.0588909
44,1.0816585,1.1316009,"('prejudiced', 'unprejudiced')",-1.0462599,-1.1838449,0.0176993,-0.026122,0.0438213
53,-1.0699798,-1.1228234,"('uncreative', 'creative')",0.5796422,0.66463834,-0.2451688,-0.2290925,-0.0160763
10,-1.033859,-1.2402662,"('unsympathetic', 'sympathetic')",-0.03073321,-0.10955148,-0.5322961,-0.6749088,0.1426127
57,-1.0066723,-1.1704671,"('unimaginative', 'imaginative')",-2.692576,-3.0220025,-1.8496242,-2.0962348,0.2466106
5,-0.9896259,-1.2344066,"('distant', 'outgoing')",-0.10038271,-0.014187325,-0.5450043,-0.624297,0.0792927
46,-0.9594084,-0.56252074,"('uncompetitive', 'competitive')",-0.21372971,-0.29461223,-0.5865691,-0.4285665,-0.1580026
66,-0.92850685,-1.2460972,"('inactive', 'active')",-0.4624436,-0.38572848,-0.6954752,-0.8159128,0.1204376
73,0.90720963,0.9835375,"('helpless', 'self-reliant')",-3.3983526,-3.4522352,-1.2455715,-1.2343489,-0.0112226
61,-0.8683277,-0.86232805,"('illogical', 'logical')",0.7583422,0.64178574,-0.0549927,-0.1102712,0.0552785
31,-0.851163,-1.2716224,"('evil', 'good')",-2.098484,-1.9708916,-1.4748235,-1.6212571,0.1464336
12,-0.8366801,-1.1920505,"('unsupportive', 'supportive')",-1.1625098,-1.4356436,-0.9995949,-1.3138471,0.3142522
36,-0.8275077,-1.2531658,"('hostile', 'amicable')",-1.111356,-1.0133617,-0.9694319,-1.1332638,0.1638319
48,-0.82205033,-0.5802756,"('unintelligent', 'intelligent')",1.5334328,1.4479264,0.3556913,0.4338254,-0.0781341
88,-0.77304834,-0.65940166,"('low', 'eminent')",0.17440806,0.14715073,-0.2993201,-0.2561255,-0.0431946
82,-0.7726648,-0.21943274,"('poor', 'rich')",5.99006,6.542545,2.6086974,3.161556,-0.5528586
58,-0.77193594,-0.5801639,"('undiscriminating', 'discriminating')",-0.08098666,-0.08905271,-0.4264613,-0.3346083,-0.091853
23,-0.7638013,-0.7646486,"('insincere', 'sincere')",6.675745,6.8596525,2.955972,3.047502,-0.09153
77,-0.76175725,-0.7117269,"('unmotivated', 'motivated')",-0.2841337,-0.34432876,-0.5229455,-0.5280278,0.0050823
42,0.743727,0.7291697,"('unreliable', 'reliable')",-3.2341812,-3.369771,-1.2452271,-1.3203006,0.0750735
29,-0.73972327,-0.6431637,"('unfair', 'fair')",-0.88529074,-0.7891639,-0.812507,-0.7161638,-0.0963432
51,-0.734363,-0.59830195,"('uneducated', 'educated')",0.119789794,0.14305317,-0.3072866,-0.2276244,-0.0796622
68,-0.73249805,-0.21249688,"('dependent', 'independent')",-0.6345952,-0.49545595,-0.6835467,-0.3539764,-0.3295703
78,-0.70190793,-1.1205641,"('nonresilient', 'resilient')",0.4439253,0.33009613,-0.1289913,-0.395234,0.2662427
7,-0.69549555,-0.61560166,"('insensitive', 'sensitive')",0.92808175,0.6843778,0.1162931,0.0343881,0.081905
63,-0.69025725,-0.53997415,"('unperceptive', 'insightful')",0.8351968,0.8771365,0.0724698,0.1685812,-0.0961114
34,-0.6859841,-0.3559274,"('mean', 'honorable')",5.4334154,5.606289,2.3737156,2.6251807,-0.2514651
2,0.68078125,0.66152394,"('unlikable', 'likable')",0.77381396,0.6295466,0.7272976,0.6455352,0.0817624
52,-0.6614857,-1.0933456,"('irrational', 'rational')",-0.52587605,-0.37880853,-0.5936809,-0.7360771,0.1423962
11,-0.62291265,-0.537373,"('unhelpful', 'helpful')",2.5366526,2.4354455,0.95687,0.9490362,0.0078338
54,-0.610993,-0.7179167,"('incapable', 'capable')",0.9670233,1.1342349,0.1780151,0.2081591,-0.030144
85,-0.59312475,-0.9205231,"('insignificant', 'prestigious')",-0.09723765,-0.023801658,-0.3451812,-0.4721624,0.1269812
55,-0.5888599,-0.18266466,"('incompetent', 'clever')",0.49365902,0.27943394,-0.0476004,0.0483846,-0.095985
71,-0.5583079,-0.86437464,"('diffident', 'self-confident')",1.0251249,0.81878436,0.2334085,-0.0227951,0.2562036
18,-0.51036245,-0.54504424,"('disagreeable', 'welcoming')",-0.570744,-0.61619246,-0.5405532,-0.5806184,0.0400652
43,-0.50400037,-0.69328946,"('irresponsible', 'responsible')",1.2581924,0.9443937,0.377096,0.1255521,0.2515439
79,-0.49733534,-1.2400817,"('wavering', 'unwavering')",-0.13092586,-0.16868135,-0.3141306,-0.7043815,0.3902509
74,-0.46536896,-0.5453323,"('undedicated', 'dedicated')",-0.6233556,-0.6238376,-0.5443623,-0.584585,0.0402227
83,-0.44451523,-0.36545658,"('powerless', 'powerful')",0.3734215,0.25767398,-0.0355469,-0.0538913,0.0183444
26,-0.40351143,-0.5330425,"('hardhearted', 'benevolent')",0.7407914,0.645317,0.16864,0.0561373,0.1125027
32,0.39646095,0.07711653,"('unkind', 'kind')",1.165887,0.9718939,0.7811739,0.5245052,0.2566687
24,-0.37372813,-0.3436401,"('dishonest', 'honest')",1.438619,1.4463694,0.5324454,0.5513647,-0.0189193
75,0.3715998,0.3104978,"('meek', 'impulsive')",-0.8051638,-0.7253512,-0.216782,-0.2074267,-0.0093553
37,-0.35210952,-0.07705667,"('fake', 'genuine')",-0.11014326,0.0035630316,-0.2311264,-0.0367468,-0.1943796
60,0.33271417,0.74396217,"('inefficient', 'efficient')",1.9956027,1.8318218,1.1641585,1.287892,-0.1237335
20,-0.33123428,-0.14513837,"('rough', 'thoughtful')",0.40025622,0.46514475,0.034511,0.1600032,-0.1254922
