,international_male,international_female,tuple,game_male,game_female,technology_male,technology_female,average_male,average_female,male-female
31,-2.5171216,-2.465527,"('evil', 'good')",-0.38770717,-0.45443422,-2.992526,-3.0346403,-1.965785,-1.9848671,0.0190821
14,2.2849534,2.2407846,"('antisocial', 'social')",0.083616026,0.2241782,1.3811744,1.5080278,1.2499146,1.3243303,-0.0744157
85,-2.0911012,-1.8524699,"('insignificant', 'prestigious')",0.6982958,0.7286597,-1.1444544,-0.9470642,-0.8457532,-0.6902915,-0.1554617
13,2.01992,1.9606061,"('impolite', 'polite')",-1.086915,-1.0207572,1.0239105,1.004329,0.6523052,0.6480593,0.0042459
80,1.9883324,1.9314545,"('dominated', 'dominating')",-0.49955034,-0.46919617,0.77541316,0.721351,0.7547317,0.7278698,0.0268619
81,1.9494278,1.9104563,"('submissive', 'aggressive')",-0.45613736,-0.48548558,1.5237198,1.5277067,1.0056701,0.9842258,0.0214443
11,1.8733029,1.867986,"('unhelpful', 'helpful')",0.13596493,0.07869564,3.647923,3.7028904,1.8857303,1.8831906,0.0025397
35,-1.8150394,-1.625643,"('corrupt', 'incorrupt')",0.46849737,0.38080698,-1.6386577,-1.7613645,-0.9950666,-1.0020669,0.0070003
19,-1.8093967,-1.7014682,"('inhospitable', 'hospitable')",-0.9698321,-0.9768095,-0.8853086,-0.9924742,-1.2215125,-1.223584,0.0020715
39,1.7817454,1.6763715,"('exploitative', 'cooperative')",0.29150712,0.20307308,-0.0183224,-0.15921485,0.6849767,0.5734099,0.1115668
76,1.7706461,1.5813754,"('anxious', 'daring')",-1.1320047,-1.127627,0.98471755,0.8913956,0.5411197,0.4483813,0.0927384
56,1.6822262,1.6811233,"('impractical', 'practical')",0.4387754,0.51239955,1.4648914,1.4628323,1.1952976,1.2187851,-0.0234875
87,1.6692573,1.6101593,"('unsuccessful', 'successful')",0.081126735,0.06215352,1.0821234,0.9492029,0.9441691,0.8738386,0.0703305
74,1.6666528,1.5821886,"('undedicated', 'dedicated')",-0.031384673,0.04595695,-0.41181985,-0.476594,0.4078161,0.3838505,0.0239656
60,1.6108472,1.4054699,"('inefficient', 'efficient')",-0.36323503,-0.44286394,2.435798,2.3397665,1.2278034,1.1007908,0.1270126
43,1.4569827,1.1932698,"('irresponsible', 'responsible')",-0.3467236,-0.40785754,0.7431917,0.5738473,0.617817,0.4530865,0.1647305
65,1.4536285,1.2205665,"('insecure', 'secure')",-0.7614893,-0.87227595,1.0743779,0.9815445,0.5888391,0.4432784,0.1455607
46,1.3840166,1.254483,"('uncompetitive', 'competitive')",-0.7513752,-0.7085206,0.7880652,0.60114324,0.4735689,0.3823686,0.0912003
21,1.3578733,1.4492579,"('immoral', 'moral')",-0.062778816,0.05585563,1.4343604,1.3882569,0.9098183,0.9644568,-0.0546385
51,1.3554274,1.3977914,"('uneducated', 'educated')",-1.1316001,-1.0507979,0.8238033,0.89818764,0.3492102,0.4150604,-0.0658502
55,1.3203349,1.163364,"('incompetent', 'clever')",-0.16887525,-0.23071963,1.8500788,1.8146689,1.0005128,0.9157711,0.0847417
5,-1.316418,-1.335961,"('distant', 'outgoing')",0.51945895,0.4966647,-1.7259048,-1.7959126,-0.8409546,-0.8784029,0.0374483
4,-1.3066858,-1.1208401,"('disliked', 'liked')",-0.7412592,-0.6218942,-5.6052938,-5.4280043,-2.5510796,-2.3902461,-0.1608335
70,1.3049719,1.0288719,"('lethargic', 'energetic')",-1.4126588,-1.5454448,0.45452598,0.36188933,0.115613,-0.0515612,0.1671742
57,1.2973118,0.9289034,"('unimaginative', 'imaginative')",-0.0636787,-0.2555903,-1.264627,-1.4271709,-0.0103313,-0.2512859,0.2409546
17,-1.2365315,-1.0423942,"('nasty', 'nice')",-0.8261222,-0.79798436,-0.03535183,0.06079136,-0.6993352,-0.5931957,-0.1061395
79,-1.2316756,-1.2214531,"('wavering', 'unwavering')",-0.70211476,-0.7202068,-1.2901351,-1.2921929,-1.0746419,-1.077951,0.0033091
0,1.2100159,1.0530579,"('unsociable', 'sociable')",-0.09204061,-0.0908482,1.2354105,1.1457293,0.7844619,0.7026463,0.0818156
26,1.1829599,0.9440503,"('hardhearted', 'benevolent')",1.386523,1.3781573,0.34171277,0.3612206,0.9703985,0.894476,0.0759225
63,1.129069,1.1202084,"('unperceptive', 'insightful')",-0.38266855,-0.3454519,1.071724,0.94656456,0.6060415,0.5737737,0.0322678
62,1.1082746,1.126817,"('incompetent', 'brilliant')",0.16175652,0.2058424,1.4032282,1.452409,0.8910864,0.9283562,-0.0372698
27,-1.0816498,-1.2646639,"('hardhearted', 'softhearted')",-0.4287595,-0.5146072,-0.37196344,-0.4894116,-0.6274575,-0.7562276,0.1287701
16,-1.073297,-0.74634856,"('unpopular', 'popular')",-0.62473744,-0.49216723,-0.07340683,0.112121105,-0.5904804,-0.3754649,-0.2150155
52,-1.0493805,-0.963893,"('irrational', 'rational')",1.6506294,1.5824424,-1.6041001,-1.449785,-0.3342837,-0.2770785,-0.0572052
48,1.0405961,0.8715676,"('unintelligent', 'intelligent')",0.44179258,0.48644102,1.4265312,1.5104043,0.9696399,0.9561377,0.0135022
7,1.0274632,0.81606984,"('insensitive', 'sensitive')",-0.6434134,-0.61110425,0.9746711,0.8325754,0.452907,0.345847,0.10706
