,constellation_male,constellation_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,male-female
39,3.729075,3.5134254,"('exploitative', 'cooperative')",1.5477549,1.3350145,0.30155823,0.3596935,1.8594626,1.7360444,0.1234182
16,-2.0878065,-1.9156624,"('unpopular', 'popular')",-0.81306994,-0.47733545,0.18991716,0.4120547,-0.9036531,-0.6603144,-0.2433387
4,-1.8795451,-2.1299937,"('disliked', 'liked')",-0.556704,-0.6064579,-6.1055017,-5.9363227,-2.8472503,-2.8909248,0.0436745
60,1.7476926,2.300673,"('inefficient', 'efficient')",2.0137599,2.2058234,-0.15587202,0.1843702,1.2018601,1.5636222,-0.3617621
6,-1.726829,-2.2795835,"('distant', 'open')",-0.9923786,-1.2955852,0.3580014,0.0006545242,-0.7870688,-1.1915047,0.4044359
20,1.6890848,1.6657057,"('rough', 'thoughtful')",0.7345514,0.57373977,0.80724174,0.4510639,1.0769593,0.8968364,0.1801229
23,1.6886498,2.1181471,"('insincere', 'sincere')",1.1443251,1.3972186,5.6894374,5.7971025,2.8408041,3.1041559,-0.2633518
74,1.3617024,1.324348,"('undedicated', 'dedicated')",0.9001439,1.000126,0.5104831,0.4568364,0.9241098,0.9271034,-0.0029936
56,1.3432162,1.6534246,"('impractical', 'practical')",1.598007,1.9201033,-0.23403335,0.24792327,0.9023966,1.2738171,-0.3714205
5,-1.2788168,-1.6716805,"('distant', 'outgoing')",-0.39860076,-0.6776481,-0.12305846,-0.3171431,-0.6001587,-0.8888239,0.2886652
72,1.2673593,1.354083,"('unambitious', 'ambitious')",-0.6495796,-0.64045423,-0.9299259,-1.0205691,-0.1040487,-0.1023135,-0.0017352
69,-1.2631093,-1.6788116,"('lazy', 'industrious')",-0.21928382,-0.41451198,-0.68378675,-0.7296725,-0.72206,-0.9409986,0.2189386
65,1.2610242,2.0019276,"('insecure', 'secure')",0.6773629,0.87922645,-0.20574333,0.22483633,0.5775479,1.0353301,-0.4577822
29,-1.2599901,-1.446017,"('unfair', 'fair')",-1.0358483,-1.2762289,-0.29361653,-0.72389096,-0.8631516,-1.1487123,0.2855607
76,1.1955224,1.6675909,"('anxious', 'daring')",1.0902256,1.4238508,0.3260921,0.6631249,0.8706133,1.2515222,-0.3809089
84,1.1794572,1.3670985,"('inferior', 'superior')",-0.03437942,0.02424768,0.8093841,0.85234565,0.6514873,0.7478972,-0.0964099
71,1.1651161,0.94695115,"('diffident', 'self-confident')",2.0012386,1.8440367,0.5626471,0.41172,1.2430006,1.0675693,0.1754313
52,-1.1374558,-1.5036135,"('irrational', 'rational')",-1.0282207,-1.3034744,-0.16616282,-0.48507398,-0.7772798,-1.0973873,0.3201075
31,-1.1201103,-1.8616517,"('evil', 'good')",-1.7123148,-2.1732347,-0.823474,-1.3829038,-1.218633,-1.8059301,0.5872971
